month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.004649,3,51,6,60.33,3,12.43,6,5.857,6
11,1,2013,0.05832,1,68,2,84.31,1,3.55,2,2.028,4
11,2,2013,nan,0,67,4,nan,0,6.583,4,2.488,5
11,3,2013,0.001233,1,46,2,93.14,1,14.38,2,4.138,2
11,4,2013,0.00368,1,53,2,92.53,1,18.18,2,0.518,6
11,5,2013,0.002391,1,52,2,60.09,1,18.59,2,4.884,2
11,6,2013,0.004537,4,49,5,59.26,4,10.98,5,5.826,5
11,7,2013,0.005777,4,76,5,95.02,4,3.858,5,1.26,5
11,8,2013,0.0009711,8,56,10,72.03,8,11.05,10,2.877,10
11,9,2013,0.001624,9,53,14,67.49,9,13.65,14,4.336,14
11,10,2013,0.007071,4,64.5,8,99.83,4,6.078,8,1.086,8
11,11,2013,0.002108,5,51,7,83.71,5,8.303,7,2.617,9
11,12,2013,0.001964,1,59,7,106.8,1,23.63,7,5.216,8
11,13,2013,0.003606,11,50.5,14,66.17,11,9.648,14,1.665,15
11,14,2013,0.00109,8,53,10,89.15,8,8.904,10,3.78,11
11,15,2013,0.002833,7,58,7,85.32,7,8.112,7,1.666,8
11,16,2013,0.002572,4,63,7,100.2,4,6.881,7,1.842,8
11,17,2013,0.008292,7,57,10,131.7,7,2.407,10,3.472,9
11,18,2013,0.001049,3,53,3,64.48,3,12.46,3,5.923,4
11,19,2013,0.001111,6,57.5,6,105.6,6,8.533,6,2.776,7
11,20,2013,0.0006653,1,50,5,60.49,1,4.264,5,2.009,6
11,21,2013,0.0003444,1,49,2,51.07,1,15.2,2,3.614,2
11,22,2013,0.02242,2,54,3,160.4,2,7.422,3,2.537,3
11,23,2013,0.0006645,2,49.5,2,63.36,2,15.57,2,1.475,3
11,0,2012,0.005708,4,50,5,92.26,4,3.907,5,2.291,5
11,1,2012,0.001893,2,58,4,117.6,2,16.43,4,3.608,4
11,2,2012,0.004029,4,59,8,81.59,4,12.45,8,3.618,8
11,3,2012,0.00284,2,55,4,143.1,2,6.127,4,2.889,5
11,4,2012,0.004704,3,49,6,117.5,3,17.59,6,1.287,7
11,5,2012,0.00176,3,75.5,4,115.8,3,5.626,4,1.886,4
11,6,2012,0.004137,1,53,7,118.7,1,18.47,7,3.602,7
11,7,2012,0.003588,10,75,15,90.27,10,8.709,15,1.595,15
11,8,2012,0.002236,10,78,15,82.37,10,6.923,15,0.5849,17
11,9,2012,0.003351,13,52,19,81.76,13,6.964,19,1.115,21
11,10,2012,0.00267,9,55,15,77.45,9,9.824,15,2.066,16
11,11,2012,0.002746,11,55,19,71.21,11,6.769,19,1.283,22
11,12,2012,0.002778,11,68,17,101.3,11,5.857,17,0.5832,21
11,13,2012,0.004359,10,78.5,16,100.4,10,5.407,16,1.054,15
11,14,2012,0.007009,10,56.5,12,94.35,10,8.191,12,1.025,15
11,15,2012,0.005164,6,53,9,77.08,6,7.23,9,1.649,11
11,16,2012,0.003907,12,55,17,86.66,12,6.185,17,1.1,19
11,17,2012,0.004624,10,81,11,88.72,10,4.954,11,2.459,12
11,18,2012,0.002984,20,54,21,86.61,20,10.26,21,2.765,25
11,19,2012,0.003336,13,63,16,87.19,13,7.837,16,1.689,19
11,20,2012,0.002685,7,78,13,102.4,7,6.074,13,1.154,17
11,21,2012,0.004623,13,54,15,76.67,13,5.4,15,2.461,19
11,22,2012,0.01419,8,63,15,265.5,8,7.307,15,0.9629,19
11,23,2012,0.008808,8,76.5,10,126,8,2.926,10,1.545,10
10,0,2012,0.009512,2,114,3,164.4,2,3.148,3,0.5578,4
10,1,2012,0.005258,6,53.5,8,83.93,6,2.289,8,0.7215,9
10,2,2012,0.003458,2,70,3,84.91,2,3.731,3,2.01,6
10,3,2012,0.001685,5,50,5,61.39,5,18.36,5,1.824,6
10,4,2012,0.0003648,1,54,3,133.7,1,8.229,3,3.404,3
10,5,2012,0.009356,5,64.5,6,71.94,5,8.923,6,1.204,7
10,6,2012,0.0007632,3,70,5,72.05,3,1.92,5,0.7464,5
10,7,2012,0.001166,5,71.5,10,81.6,5,5.051,10,1.443,12
10,8,2012,0.006519,13,70,15,80.85,13,6.256,15,1.694,15
10,9,2012,0.01094,12,66.5,14,77.57,12,4.997,14,1.473,15
10,10,2012,0.001901,14,55,25,88.12,14,8.511,25,0.8834,27
10,11,2012,0.003297,14,51.5,18,84.69,14,9.118,18,1.127,18
10,12,2012,0.004583,13,52.5,30,98.78,13,7.34,30,0.8092,30
10,13,2012,0.003825,9,52.5,18,95.26,9,8.488,18,0.9429,20
10,14,2012,0.006305,11,50.5,18,72.75,11,8.533,18,0.8799,21
10,15,2012,0.003415,10,55,13,96.62,10,3.11,13,0.67,17
10,16,2012,0.004069,4,50,5,87.98,4,18.38,5,3.638,6
10,17,2012,0.001642,5,50,9,62.6,5,8.354,9,1.747,10
10,18,2012,0.00218,5,54,9,70.61,5,10.44,9,1.89,12
10,19,2012,0.0008101,5,55,7,75.09,5,19.97,7,1.526,7
10,20,2012,0.006281,9,63,12,84.83,9,15.31,12,1.443,15
10,21,2012,0.002203,9,57,14,80.95,9,8.127,14,1.884,15
10,22,2012,0.004303,8,55,10,87.17,8,5.498,10,2.345,14
10,23,2012,0.0007365,7,52,9,82.87,7,13.13,9,3.346,10
10,0,2013,0.004969,3,42,3,50.65,3,18.82,3,3.607,3
10,1,2013,0.004226,2,54.5,2,66.83,2,6.438,2,0.919,3
10,2,2013,0.0006305,1,39,1,46.74,1,25.59,1,3.606,1
10,3,2013,0.009209,2,60,3,257.1,2,4.572,3,1.941,2
10,5,2013,0.001352,5,51,7,53.25,5,17.32,7,3.607,7
10,6,2013,0.003302,3,81,3,93.18,3,11.97,3,4.494,3
10,7,2013,0.005812,6,66,11,77.88,6,4.842,11,0.7959,9
10,8,2013,0.002636,6,60,10,85.65,6,8.651,10,1.312,11
10,9,2013,0.01612,4,53.5,8,57.24,4,5.324,8,1.629,8
10,10,2013,0.005114,7,61,11,104.2,7,5.182,11,0.5431,11
10,11,2013,0.002024,7,49.5,10,68.44,7,8.407,10,1.037,11
10,12,2013,0.007116,6,64,9,66.24,6,6.241,9,3.605,9
10,13,2013,0.001637,8,66,12,69.28,8,6.719,12,0.8356,14
10,14,2013,0.007562,10,66,11,88.56,10,3.505,11,1.019,14
10,15,2013,0.003885,6,70,13,86.29,6,6.521,13,0.6597,11
10,16,2013,0.002424,9,56,11,72.96,9,6.912,11,4.654,12
10,17,2013,0.0008172,2,89,3,86.35,2,5.06,3,2.22,5
10,18,2013,0.006739,3,54.5,4,102.7,3,13.61,4,3.123,4
10,19,2013,0.002238,2,68,5,236.6,2,3.372,5,1.045,9
10,20,2013,0.06758,2,63,4,240.1,2,1.95,4,3.84,5
10,21,2013,0.004012,3,67,5,70.9,3,6.193,5,1.894,5
10,22,2013,0.002821,2,48,2,120.4,2,11.76,2,0.2826,4
10,23,2013,0.002273,7,52.5,8,71.55,7,7.378,8,2.498,9
4,0,2014,0.003736,4,56,5,69.99,4,21.75,5,5.857,5
4,1,2014,0.0007396,6,52,9,91.56,8,16.18,9,4,11
4,2,2014,0.002759,3,82,5,92.48,3,11.42,5,0.5826,5
4,3,2014,0.001443,3,49.5,4,45.87,3,26.55,4,2.275,4
4,4,2014,0.001597,5,50,8,61.13,5,25.38,8,4.399,9
4,5,2014,0.00332,4,77,11,95.82,4,5.163,11,0.8726,11
4,6,2014,0.002198,20,80.5,26,88.75,20,9.641,26,1.036,27
4,7,2014,0.007834,19,74,29,101.6,19,8.816,29,1.174,29
4,8,2014,0.003458,14,79,18,86.69,14,11.54,18,0.6575,18
4,9,2014,0.002203,19,74,27,86.1,19,8.641,27,0.9047,28
4,10,2014,0.002536,37,84,70,98.08,37,9.537,70,0.8581,69
4,11,2014,0.003431,26,53,33,76.35,26,6.85,33,1.118,33
4,12,2014,0.00248,24,50,33,82.6,24,10.19,33,1.513,34
4,13,2014,0.004205,18,68,26,73.15,18,12.94,26,1.353,26
4,14,2014,0.003598,21,53,31,71.25,21,7.618,31,1.226,33
4,15,2014,0.005771,10,76,15,97.8,10,5.35,15,1.141,15
4,16,2014,0.004948,11,53,15,68.84,11,8.367,15,1.083,15
4,17,2014,0.008929,9,55,14,99.52,9,14.46,14,3.409,17
4,18,2014,0.002381,5,53,12,93.28,5,10.85,12,1.789,13
4,19,2014,0.001173,11,69,17,88.95,11,7.471,17,4.004,17
4,20,2014,0.001419,16,54,19,73.55,16,11.21,19,3.474,22
4,21,2014,0.002955,30,60,39,80.93,30,8.203,39,1.378,38
4,22,2014,0.0009564,2,58,6,108.4,2,29.65,6,7.695,8
4,23,2014,0.003222,3,52,17,64.88,3,30.21,17,9.658,15
4,0,2013,0.001349,5,61.5,8,98.68,5,7.113,8,1.45,12
4,1,2013,0.000887,5,68,8,76.26,5,14.38,8,3.403,10
4,2,2013,0.002218,3,51,9,89.15,3,7.506,9,4.515,10
4,3,2013,0.0001618,1,48,3,76.28,1,14.08,3,4.444,5
4,4,2013,nan,0,51,4,nan,0,16.68,4,6.452,6
4,5,2013,0.001686,3,64,5,76.7,3,7.952,5,4.574,5
4,6,2013,0.00236,12,68,19,81.63,12,10.87,19,3.561,19
4,7,2013,0.006242,6,78,12,97.86,6,9.003,12,0.5359,15
4,8,2013,0.00211,10,64,15,85.61,10,6.765,15,1.918,16
4,9,2013,0.0016,6,64.5,14,75.03,6,9.782,14,1.825,13
4,10,2013,0.002515,13,52,19,61.18,13,7.696,19,1.824,20
4,11,2013,0.002815,14,64.5,28,96.09,14,7.549,28,1.079,24
4,12,2013,0.002559,9,65,16,77.31,9,7.534,16,1.594,17
4,13,2013,0.002174,13,64,17,76.05,13,9.339,17,1.736,17
4,14,2013,0.002759,15,64,19,74.51,15,10.49,19,1.811,20
4,15,2013,0.005828,16,57.5,20,93.34,16,5.441,20,1.111,20
4,16,2013,0.004433,11,56,15,108.5,11,9.914,15,1.76,15
4,17,2013,0.003474,6,62,7,93.28,6,6.066,7,4.153,7
4,18,2013,0.001329,13,65,16,97.89,13,7.491,16,4.083,17
4,19,2013,0.002553,10,59,12,94.73,10,6.134,12,3.857,13
4,20,2013,0.002132,7,62,8,81.18,7,10.3,8,3.512,9
