month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.004227,8,110.5,12,126.7,8,2.086,12,0.8491,15
11,1,2013,0.003773,3,89,7,109.2,3,9.203,7,1.322,6
11,2,2013,0.001633,3,45,21,192.2,3,15.1,21,0.8952,21
11,3,2013,0.0009905,2,68.5,6,265.6,2,14.55,6,1.118,6
11,4,2013,0.002634,3,62,6,93.1,3,11.36,6,0.8705,8
11,5,2013,0.001677,6,76,9,101.6,6,13.77,9,0.8699,10
11,6,2013,0.001697,8,101,11,119,8,8.052,11,0.8647,11
11,7,2013,0.006811,7,98,17,117.8,7,5.092,17,0.7926,18
11,8,2013,0.002286,7,90,13,100.9,7,10.52,13,0.794,13
11,9,2013,0.003695,11,101,16,121.9,11,4.071,16,0.8552,16
11,10,2013,0.01034,9,96.5,16,117.8,9,4.583,16,0.8769,18
11,11,2013,0.004563,8,90.5,16,143.7,8,2.263,16,0.868,16
11,12,2013,0.008083,5,103,12,151,5,9.193,12,0.8629,14
11,13,2013,0.009259,15,102,17,121.5,15,2.589,17,0.8842,17
11,14,2013,0.001497,11,108,12,132.7,11,2.521,12,0.8378,13
11,15,2013,0.00815,11,109.5,12,135.7,11,0.8577,12,0.7935,15
11,16,2013,0.005917,17,127,17,159.4,17,0.7618,17,0.9881,18
11,17,2013,0.008621,23,124,24,151.3,23,0.7905,24,0.8427,28
11,18,2013,0.01241,25,121,25,141.5,25,0.652,25,0.8641,28
11,19,2013,0.02068,21,100,22,136.1,21,0.4813,22,0.8512,26
11,20,2013,0.02352,34,118,34,154,34,0.4399,34,0.877,36
11,21,2013,0.02559,21,115,21,147.7,21,0.3676,21,0.885,21
11,22,2013,0.03202,16,115.5,16,149,16,0.3817,16,1.02,17
11,23,2013,0.014,10,127,10,147.6,10,0.5068,10,0.8601,11
11,0,2012,0.005195,9,79,24,128.2,9,10.03,24,0.8139,28
11,1,2012,0.00458,10,83,20,103.8,10,9.791,20,0.8258,20
11,2,2012,0.00347,6,83,15,89.55,6,9.501,15,0.7977,15
11,3,2012,0.001492,3,74.5,16,114.5,3,16.23,16,0.8032,17
