month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.009401,22,97,26,152.7,22,1.268,26,3.121,32
11,2,2013,0.01474,19,111,20,152.8,19,1.053,20,6.448,25
11,3,2013,0.01193,13,117.5,14,160.8,13,0.759,14,7.845,19
11,4,2013,0.02136,15,115,15,136.6,15,0.6507,15,6.257,20
11,5,2013,0.003839,48,66,57,160.4,48,2.356,57,0.5383,60
11,6,2013,0.007531,30,94,31,144.6,30,4.22,31,7.662,31
11,7,2013,0.00778,19,92,25,141.2,19,19.77,25,10.73,27
11,8,2013,0.01154,22,104,29,144,22,2.703,29,3.131,30
11,9,2013,0.008471,17,120,21,142,17,9.517,21,11.31,22
11,10,2013,0.002425,28,81,35,151,28,2.297,35,0.5229,36
11,11,2013,0.009178,30,93,33,139.5,30,3.609,33,7.751,35
11,12,2013,0.008143,23,96,28,158.7,23,2.188,28,0.7938,33
11,13,2013,0.008371,29,99.5,32,158,29,3.067,32,1.981,44
11,14,2013,0.008363,24,95,31,161.9,24,8.731,31,1.779,34
11,15,2013,0.008214,34,92,39,145,34,4.717,39,8.038,45
11,16,2013,0.01017,20,100,26,138.6,20,9.545,26,11.29,30
11,17,2013,0.008328,21,122,28,146.6,21,1.204,28,3.25,33
11,18,2013,0.007075,13,80.5,18,113.8,13,18.43,18,9.746,19
11,19,2013,0.008979,19,95,29,138.9,19,10.96,29,11.24,30
11,20,2013,0.006446,30,85,47,141.6,30,10.66,47,6.231,52
11,21,2013,0.01029,19,92,27,161.1,19,2.867,27,0.9704,35
11,22,2013,0.005202,18,89,23,138.6,18,5.606,23,3.015,27
11,23,2013,0.008596,28,89.5,30,147.4,28,2.923,30,3.066,36
11,24,2013,0.00857,20,98,21,130,20,1.147,21,7.978,24
11,25,2013,0.008444,17,97,18,143.8,17,5.497,18,11.46,19
11,26,2013,0.00673,15,92,21,135.8,15,15.45,21,5.124,26
11,27,2013,0.002549,20,89,32,129.6,20,5.563,32,1.89,36
11,28,2013,0.002742,10,92,15,109.8,10,20.72,15,7.464,16
11,29,2013,0.007514,15,94,19,133.6,15,7.04,19,9.031,21
11,30,2013,0.00907,9,92.5,10,152.6,9,1.304,10,11.74,12
11,1,2012,0.008879,25,98,43,158.5,25,18.6,43,4.16,44
11,2,2012,0.007116,26,101,37,162,26,21,37,11.97,38
11,3,2012,0.009478,32,97.5,42,152.3,32,20.57,42,14.71,44
11,4,2012,0.004756,26,96.5,38,156.8,26,14.68,38,3.381,42
11,5,2012,0.005693,23,99,35,159.4,23,13.29,35,6.694,38
11,6,2012,0.009393,35,96.5,42,147,35,20.93,42,13.37,44
11,7,2012,0.00884,38,98,60,147.2,38,16.77,60,3.813,65
11,8,2012,0.009382,44,101,64,145.5,44,18.35,64,12.73,70
11,9,2012,0.009489,30,99,43,157.3,30,18.41,43,13.89,47
11,10,2012,0.007487,24,98,42,155.1,24,21.44,42,13.21,49
