month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.008185,25,92,29,141.5,25,16.94,29,13.89,28
11,1,2013,0.007715,18,84.5,28,114.7,18,14.04,28,12.47,30
11,2,2013,0.008771,12,97,18,141.7,12,22.07,18,15.06,20
11,3,2013,0.008118,18,93,26,138.1,18,20.31,26,14.78,28
11,4,2013,0.006836,14,88.5,18,161.5,14,21.75,18,15.75,19
11,5,2013,0.008615,17,92,23,140.5,17,22.07,23,16.18,23
11,6,2013,0.008198,13,93.5,22,148,13,21.18,22,15.42,22
11,7,2013,0.008447,14,95,25,139.8,14,21.59,25,6.121,29
11,8,2013,0.008208,19,92,26,137.2,19,14.31,26,1.201,32
11,9,2013,0.007489,23,94,28,162.2,23,15.23,28,5.075,32
11,10,2013,0.007146,23,70.5,32,121.4,23,12.78,32,8.022,34
11,11,2013,0.008756,24,87,34,142.2,24,15.95,34,12.78,36
11,12,2013,0.006939,35,86.5,42,153.3,35,4.459,42,3.868,47
11,13,2013,0.007378,16,92,25,152.1,16,14.24,25,2.597,28
11,14,2013,0.006898,32,99.5,40,143.3,32,3.694,40,2.364,50
11,15,2013,0.00318,25,113,32,137.4,25,5.231,32,5.147,37
11,16,2013,0.004656,28,117,31,148.2,28,1.464,31,3.943,38
11,17,2013,0.005167,56,92,62,150.2,56,1.452,62,0.6746,73
11,18,2013,0.003937,60,88.5,68,152,60,1.777,68,0.7255,77
11,19,2013,0.01347,42,101.5,46,145.3,42,1.107,46,3.962,52
11,20,2013,0.0122,39,112,41,148.1,39,0.6647,41,1.648,55
11,21,2013,0.01744,37,125,41,160.8,37,0.6035,41,2.714,48
11,22,2013,0.01569,31,87.5,32,119.3,31,1.13,32,6.913,38
11,23,2013,0.007966,26,115,31,135.6,26,1.944,31,8.464,33
11,0,2012,0.009041,23,102,45,162.4,23,12.53,45,2.106,48
11,1,2012,0.009189,37,98,48,150.2,37,21.69,48,14.56,51
11,2,2012,0.009582,27,101.5,38,157.5,27,21.28,38,14.52,41
11,3,2012,0.008698,30,99,42,149.1,30,20.37,42,14.49,43
11,4,2012,0.009292,41,98,49,155.5,41,21.42,49,15,50
11,5,2012,0.009774,29,99,45,154.3,29,20.3,45,13.67,46
11,6,2012,0.009517,41,99.5,56,161.9,41,18.47,56,13.13,60
11,7,2012,0.009109,39,102.5,66,161.8,39,18.6,66,9.184,68
11,8,2012,0.009606,26,101,48,159.3,26,19.73,48,3.765,55
11,9,2012,0.009383,42,99,62,161.5,42,16.95,62,3.656,69
11,10,2012,0.008891,40,97,53,155.8,40,20.76,53,13.5,56
11,11,2012,0.00975,37,99,54,154.3,37,17.33,54,5.249,57
11,12,2012,0.009211,45,98,68,148.9,45,21.32,68,4.124,71
11,13,2012,0.009065,43,99,62,152.6,43,18.36,62,11.08,73
11,14,2012,0.007925,46,99,65,152.4,46,20.32,65,4.33,71
11,15,2012,0.00805,31,99,51,144.4,31,17.59,51,6.328,61
11,16,2012,0.009064,38,97,63,144.7,38,12.96,63,3.686,75
11,17,2012,0.007792,47,101,61,144,47,13.39,61,10.99,68
11,18,2012,0.007869,57,100,71,155.3,57,13.95,71,7.894,82
11,19,2012,0.009466,51,98,71,148.1,51,13.11,71,4.834,80
11,20,2012,0.008509,53,99,73,150,53,15.92,73,4.539,84
