month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.002244,288,32,533,73.03,293,11.8,533,2.966,583
1,1,2012,0.002486,185,33,381,77.88,197,11.56,381,2.961,412
1,2,2012,0.001677,133,35,280,75.75,141,12.02,280,2.707,322
1,3,2012,0.002165,124,33,242,73.34,128,10.37,242,2.874,273
1,4,2012,0.002779,88,33,164,68.56,90,9.508,164,2.854,174
1,5,2012,0.001539,65,33,135,74.05,67,10.19,135,2.928,147
1,6,2012,0.003028,62,34,121,72.23,65,11.75,121,2.924,123
1,7,2012,0.0013,80,33,165,70.28,84,14.9,166,2.847,178
1,8,2012,0.00214,88,34,209,78.95,98,11.8,209,2.953,225
1,9,2012,0.001828,138,36,274,74.72,143,12.06,274,2.916,289
1,10,2012,0.00215,181,32,380,72.06,187,13.17,380,3.028,401
1,11,2012,0.002588,190,33,422,73.4,202,11.5,422,2.881,449
1,12,2012,0.002003,213,32,436,70.26,222,11.95,436,2.943,463
1,13,2012,0.002217,236,33,483,68.12,245,11.79,483,2.975,515
1,14,2012,0.002421,248,32,533,69.42,254,12.52,533,2.954,565
1,15,2012,0.002614,264,33,577,78.43,283,11.44,577,2.951,606
1,16,2012,0.00233,292,33,575,67.27,301,11.78,575,2.965,612
1,17,2012,0.002522,314,33,607,73.26,324,11.46,608,2.963,652
1,18,2012,0.002294,368,32,694,67.55,372,12.36,694,3.092,728
1,19,2012,0.002151,383,33,714,65.24,387,12.41,714,2.986,751
1,20,2012,0.002526,414,33,794,76.16,420,10.93,794,2.919,850
1,21,2012,0.002826,418,33,823,75.5,432,11.09,823,2.99,865
1,22,2012,0.002778,394,33,789,67.99,401,10.95,790,2.939,832
1,23,2012,0.001763,340,32,705,70.68,354,11.7,705,2.996,751
2,0,2012,0.001668,249,29,509,68.52,259,12.34,509,2.915,540
2,1,2012,0.001886,177,28,403,70.4,186,13.28,403,2.969,438
2,2,2012,0.001979,127,30,273,72.91,131,13.76,273,2.834,290
2,3,2012,0.001372,87,31,204,53.24,87,13.22,204,2.967,225
2,4,2012,0.002504,75,31,161,69.49,78,15.72,161,2.879,174
2,5,2012,0.002779,63,29,135,68.26,66,11.71,135,2.829,150
2,6,2012,0.001363,62,29,124,57.44,63,12.71,124,2.962,133
2,7,2012,0.002546,75,30,184,64.61,76,11.28,184,3.025,193
2,8,2012,0.001457,121,28,223,55.33,126,14.19,223,2.96,236
2,9,2012,0.001123,138,29,297,65.83,143,13.77,297,2.971,329
2,10,2012,0.00202,164,30,367,78.12,171,12.52,367,3.011,385
2,11,2012,0.00161,203,30,393,63.25,208,13.64,393,3.09,420
2,12,2012,0.001707,200,31,407,66.97,207,12.55,407,3.052,443
2,13,2012,0.001702,232,30,478,73.4,238,13.19,478,2.932,514
2,14,2012,0.001484,215,29,463,63.78,219,13.5,463,3.048,499
2,15,2012,0.002427,254,31,526,69.43,262,10.98,526,2.912,569
2,16,2012,0.001764,268,29,543,66.55,275,11.79,543,2.948,573
2,17,2012,0.001491,256,31,548,67.25,265,13.16,548,3.008,593
2,18,2012,0.002029,299,30,622,63.96,304,12.48,622,3.053,652
2,19,2012,0.001735,343,29,673,63.43,352,13.1,673,3.021,718
2,20,2012,0.001976,346,30,738,71.07,359,12.63,738,3.015,777
2,21,2012,0.001773,363,28.5,716,62.8,374,12.78,716,2.928,771
2,22,2012,0.002287,314,30,714,66.36,324,12.03,714,3.013,771
2,23,2012,0.002647,291,31,660,70.59,297,11.81,660,2.97,720
3,0,2012,0.001786,301,31,549,58.55,301,14.17,549,3.075,584
3,1,2012,0.001684,241,31,460,61.9,241,13.8,460,3.05,492
3,2,2012,0.002222,152,31,294,62.85,152,13.52,294,3.173,306
3,3,2012,0.001627,143,30,269,51.6,143,15.56,269,3.091,291
3,4,2012,0.001132,103,31,192,61.13,103,15.06,192,3.163,201
3,5,2012,0.001541,77,31,151,61.86,77,15.5,151,3.21,157
3,6,2012,0.00157,72,31,175,57.51,72,15.65,175,3.228,185
3,7,2012,0.001678,70,31,181,65.9,70,14.18,181,3.25,192
3,8,2012,0.001162,132,29,226,54.93,132,13.85,226,3.008,242
3,9,2012,0.001302,193,30,337,50.16,193,14.73,337,3.035,349
3,10,2012,0.00113,189,31,333,54.95,189,14.71,333,3.052,363
3,11,2012,0.001183,223,30,367,52.78,222,15.68,368,3.252,396
3,12,2012,0.00134,234,31,422,55.26,234,14.37,422,3.111,444
3,13,2012,0.001117,247,31,446,53.42,247,15.75,446,3.201,480
3,14,2012,0.001522,332,31,564,58.71,331,15.4,565,3.16,593
3,15,2012,0.001464,289,31,538,55.76,289,14.45,538,3.21,579
3,16,2012,0.001319,293,31,537,54.07,293,14.49,537,3.064,564
3,17,2012,0.00117,363,30,663,53.96,363,14.53,663,3.053,693
3,18,2012,0.001701,368,31,691,57.19,368,14.15,691,3.074,731
3,19,2012,0.001782,374,31,689,57.25,374,13.76,689,3.172,723
3,20,2012,0.001632,428,31,789,59.78,428,13.24,789,3.094,835
3,21,2012,0.001628,420,30,782,55.95,419,13.72,783,3.092,813
3,22,2012,0.001588,456,31,842,64.55,456,13.61,842,3.01,904
3,23,2012,0.001792,349,31,647,58.32,349,14.01,647,3.128,695
4,0,2012,0.001073,281,31,487,54.38,281,13.15,487,3.028,509
4,1,2012,0.0009932,208,30,375,53.93,208,14.42,375,3.125,404
4,2,2012,0.001361,174,32,292,63.99,174,14.31,292,3.024,317
4,3,2012,0.001403,122,31,215,54.98,122,13.2,215,3.059,229
4,4,2012,0.001577,101,32,166,56.2,101,14.86,166,3.235,170
4,5,2012,0.001572,70,30.5,128,56.25,70,16.31,128,2.861,140
4,6,2012,0.001183,94,32,152,47.22,94,17.86,152,2.969,162
4,7,2012,0.0008793,95,30,171,50.94,95,15.26,171,3.204,179
4,8,2012,0.001282,142,33,207,55.21,142,10.82,207,3.209,219
4,9,2012,0.001641,190,30,281,49.72,190,12.36,281,3.127,300
4,10,2012,0.002,222,31,362,49.4,222,12.48,362,3.083,385
4,11,2012,0.002736,257,31,386,49.99,257,12.09,386,3.207,405
4,12,2012,0.002429,265,29,400,48.46,265,11.25,400,3.043,418
4,13,2012,0.001958,286,30,437,50.39,286,12.9,437,3.173,466
4,14,2012,0.001902,297,30,446,51.34,297,11.55,446,3.084,482
