month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.001812,125,24,196,61.6,128,8.759,196,2.352,224
1,1,2012,0.002469,92,24,146,69.28,93,9.701,146,2.332,177
1,2,2012,0.001638,85,24.5,132,63.42,87,8.405,132,2.321,155
1,3,2012,0.003212,61,25,103,83.49,63,7.981,103,1.911,123
1,4,2012,0.004161,40,27,73,63.88,42,9.607,73,2.821,85
1,5,2012,0.00193,31,22,55,67.57,33,10.65,55,1.752,76
1,6,2012,0.002259,37,24,71,65.98,40,9.065,71,2.538,86
1,7,2012,0.001951,53,26,105,56.94,54,10.71,105,2.299,134
1,8,2012,0.0009014,72,23,90,47.28,72,8.993,90,2.73,103
1,9,2012,0.001752,93,21,117,41.22,94,8.795,117,2.723,143
1,10,2012,0.002231,125,23,154,47.11,127,6.744,154,3.024,180
1,11,2012,0.00251,123,23,153,43.18,123,5.758,153,2.355,184
1,12,2012,0.002519,125,23,154,44.98,126,6.02,154,2.681,175
1,13,2012,0.002743,141,23,172,42.53,144,5.008,172,2.291,200
1,14,2012,0.003224,137,22,174,46.69,140,5.818,174,2.83,212
1,15,2012,0.004429,143,23,184,42.04,143,4.215,184,2.557,227
1,16,2012,0.003681,213,23,244,44.9,214,4.253,244,2.57,287
1,17,2012,0.004186,165,23,199,45.66,166,4.349,199,2.543,253
1,18,2012,0.00456,203,23,242,44.14,203,4.188,242,2.797,278
1,19,2012,0.006963,269,24,313,47.36,270,3.453,313,2.912,352
1,20,2012,0.006222,230,26,263,49.93,231,3.271,263,2.546,308
1,21,2012,0.006488,208,26,254,54.19,210,3.07,254,2.467,307
1,22,2012,0.003107,242,26,297,54.1,245,4.538,297,2.484,352
1,23,2012,0.001214,181,24,245,56.92,185,8.971,245,2.551,292
2,0,2012,0.001826,113,23,177,56.6,113,9.894,177,2.623,204
2,1,2012,0.001189,88,22,140,56.98,91,12.59,140,2.323,162
2,2,2012,0.00162,56,26,107,71.75,57,9.587,107,1.99,126
2,3,2012,0.002294,54,24,87,70.31,54,7.929,87,1.608,107
2,4,2012,0.002099,33,28,69,69.36,34,10.17,69,2.266,80
2,5,2012,0.001564,35,22,68,59.61,36,12.9,68,2.291,80
2,6,2012,0.001251,35,20.5,66,44.57,35,15.61,66,2.767,83
2,7,2012,0.001183,56,22,102,56.51,56,12.94,102,2.767,124
2,8,2012,0.002106,49,20,102,49.41,50,13.11,102,2.957,109
2,9,2012,0.001205,82,22,132,41.52,83,14.26,132,3.057,157
2,10,2012,0.002385,62,24,111,54.37,62,11.96,111,2.89,130
2,11,2012,0.001507,70,23,131,51.74,71,13.24,131,2.912,152
2,12,2012,0.001358,90,23,171,50.83,91,10.69,171,3.169,186
2,13,2012,0.001206,105,24,172,60.19,106,12.03,172,3.037,201
2,14,2012,0.001999,111,22,168,54.55,111,11.71,168,2.334,208
2,15,2012,0.001953,115,23,178,55.45,116,10.88,178,3.148,202
2,16,2012,0.001052,136,20,200,56.88,136,12.21,200,3.206,232
2,17,2012,0.0009788,162,22,240,50.08,164,11.17,240,3.032,270
2,18,2012,0.001079,180,21,269,51.18,180,11.28,269,3.086,308
2,19,2012,0.001422,175,23,242,58.65,175,10.17,242,3.012,287
2,20,2012,0.001683,172,25,265,58.36,173,9.253,265,2.731,322
