month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.00813,81,52,107,94.89,81,2.81,107,0.6838,123
1,2,2012,0.004962,86,47,117,81.05,86,5.009,117,0.7957,133
1,3,2012,0.005359,44,44,67,71.56,44,4.82,67,0.7905,76
1,4,2012,0.006056,78,45,101,110,78,3.128,101,0.798,108
1,5,2012,0.005728,65,45,86,92.89,65,2.612,86,0.5514,93
1,6,2012,0.006237,57,48,85,81.73,57,3.288,85,0.6833,96
1,7,2012,0.005019,61,45,75,90.1,61,4.814,75,0.7428,86
1,8,2012,0.005558,76,45,107,87.23,76,4.553,107,0.7866,122
1,9,2012,0.004373,63,41,85,64.68,63,4.848,85,0.8443,99
1,10,2012,0.006604,80,43,96,86.06,80,4.571,96,0.7929,109
1,11,2012,0.004749,68,45,86,67.64,68,5.548,86,0.8196,94
1,12,2012,0.003592,69,41,97,64.99,69,4.816,97,0.9938,110
1,13,2012,0.004928,60,47,79,80.23,60,5.208,79,0.799,92
1,14,2012,0.005532,63,44,93,76.36,63,3.422,93,0.7781,101
1,15,2012,0.00495,76,45,99,83.98,76,4.736,99,0.7978,113
1,16,2012,0.004557,78,43.5,108,88.31,78,4.286,108,0.7814,120
1,17,2012,0.005477,63,47,97,89.49,63,4.948,97,0.8616,104
1,18,2012,0.006646,58,46.5,74,85.07,58,4.361,74,0.6435,82
1,19,2012,0.00614,67,48,98,82.63,67,4.057,98,0.8055,107
1,20,2012,0.004996,72,43,90,68.22,72,5.555,90,1.03,98
1,21,2012,0.004684,95,43,121,76.66,95,5.331,121,0.7981,130
1,22,2012,0.006492,95,42,119,85.64,95,4.608,119,0.7902,127
1,23,2012,0.005418,63,42.5,78,86.79,63,4.778,78,0.7688,90
1,24,2012,0.005264,78,44,107,74.41,78,5.048,107,0.7853,121
1,25,2012,0.004392,48,43,75,81.17,48,5.021,75,0.8033,79
1,26,2012,0.005647,64,45,85,78.19,64,4.848,85,0.8022,98
1,27,2012,0.003492,53,42,81,79.67,53,4.725,81,0.7953,97
1,28,2012,0.007175,57,45,89,108,57,2.534,89,0.676,97
1,29,2012,0.006098,49,48.5,66,89.39,49,4.029,66,0.5361,81
1,30,2012,0.004867,57,38,75,71.86,57,4.83,75,0.6348,85
1,31,2012,0.00518,59,45.5,76,92.61,59,2.48,76,0.5835,91
2,1,2012,0.00594,50,47,67,93.36,50,3.681,67,0.804,76
2,2,2012,0.003962,66,42.5,90,61.85,66,8.956,90,1.126,100
2,3,2012,0.004944,59,44,83,74.15,59,4.228,83,0.7986,92
2,4,2012,0.004813,70,45,95,72,70,4.844,95,0.6749,109
2,5,2012,0.004605,94,44.5,120,71.11,94,4.963,120,0.8038,125
2,6,2012,0.005038,71,45.5,88,68.83,71,5.307,88,0.8258,102
2,7,2012,0.004211,49,44,69,85.42,49,4.721,69,0.7818,80
2,8,2012,0.007089,86,55,111,119.7,86,2.758,111,0.6829,135
2,9,2012,0.004005,85,40,118,75.95,85,5.381,118,0.9874,128
2,10,2012,0.00385,87,43,113,73.83,87,6.948,113,0.9489,130
2,11,2012,0.003989,94,45,127,86.08,94,4.61,127,0.8296,143
2,12,2012,0.004094,90,39,132,67.81,90,5.618,132,1.002,149
2,13,2012,0.005118,67,43,87,70.97,67,4.741,87,0.8027,96
2,14,2012,0.004098,67,38,96,62.13,67,8.494,96,1.005,113
2,15,2012,0.005859,70,40.5,92,65.3,70,7.107,92,0.8024,109
2,16,2012,0.005126,111,39,135,62.67,111,7.463,135,1.124,147
2,17,2012,0.00466,82,44,111,71.61,82,4.732,111,0.7624,126
2,18,2012,0.004651,85,44,112,77.86,85,5.599,112,0.8921,133
2,19,2012,0.005561,69,44,99,70.77,69,4.83,99,0.7765,116
2,20,2012,0.005032,59,43,77,70.46,59,4.89,77,0.804,89
2,21,2012,0.003664,85,43,105,71.7,85,4.894,105,0.8243,118
2,22,2012,0.005021,94,39,115,75.84,94,4.756,115,0.7888,125
2,23,2012,0.003782,72,43,92,67.18,72,5.57,92,0.8044,103
2,24,2012,0.00498,62,44,90,67.28,62,4.818,90,0.7979,100
2,25,2012,0.005751,82,44,103,66.58,82,5.68,103,0.9219,109
2,26,2012,0.005062,78,38,122,76.4,78,5.647,122,0.8072,133
2,27,2012,0.004321,81,42,116,65.72,81,5.612,116,0.9575,125
2,28,2012,0.006704,62,46.5,82,74.35,62,3.742,82,0.7706,96
2,29,2012,0.003679,75,41,103,66.92,75,4.837,103,0.7947,111
3,1,2012,0.004228,74,50,106,84.63,74,5.554,106,0.8529,120
3,2,2012,0.004446,48,49.5,76,93.07,48,3.65,76,0.7383,92
3,3,2012,0.003574,86,44,128,68.49,86,5.356,128,0.8353,147
3,4,2012,0.006785,84,49,105,82.9,84,5.15,105,0.7762,126
3,5,2012,0.004644,77,45,102,80.55,77,5.122,102,0.799,116
3,6,2012,0.004176,86,42,113,61.44,86,6.609,113,1.004,131
3,7,2012,0.005326,61,48.5,86,77.59,61,5.128,86,0.6441,100
3,8,2012,0.007004,78,44,100,85.1,78,3.897,100,0.6054,114
3,9,2012,0.00627,63,54.5,88,99.01,63,2.88,88,0.6294,106
3,10,2012,0.006977,76,52.5,98,99.56,76,4.165,98,0.7701,112
3,11,2012,0.005672,80,53,109,97.93,80,4.779,109,0.7516,126
3,12,2012,0.005318,61,48,75,85.37,61,4.873,75,0.7638,81
3,13,2012,0.008239,43,61,61,98.12,43,2.656,61,0.5994,70
3,14,2012,0.007458,66,46,89,91.21,66,4.686,89,0.8008,95
3,15,2012,0.003847,77,48,104,65.42,77,6.272,104,0.8299,116
3,16,2012,0.004284,50,44,75,77.87,50,5.096,75,0.7936,85
3,17,2012,0.005318,66,51.5,94,102.5,66,3.669,94,0.6596,104
3,18,2012,0.003982,76,46,95,68.59,76,8.344,95,0.9498,107
3,19,2012,0.006715,86,46,113,90.45,86,4.127,113,0.7898,130
3,20,2012,0.004974,61,54.5,98,84.11,61,3.229,98,0.7744,108
3,21,2012,0.004007,65,47,91,70.23,65,5.488,91,0.9968,99
3,22,2012,0.006161,47,50,71,74.8,47,4.931,71,0.7954,84
3,23,2012,0.006041,66,52,86,86,66,4.388,86,0.7323,104
3,24,2012,0.005988,59,50,81,80.54,59,3.624,81,0.7936,96
3,25,2012,0.004259,64,48.5,94,71.09,64,4.758,94,0.8019,103
3,26,2012,0.005135,49,51,73,95.77,49,4.151,73,0.577,95
3,27,2012,0.002845,53,43,65,65.55,53,6.697,65,0.8118,81
3,28,2012,0.004794,46,52,63,66.17,46,5.381,63,0.7924,75
3,29,2012,0.00586,66,51,91,90.54,66,4.263,91,0.8039,100
3,30,2012,0.005853,80,49,98,94.34,80,5.275,98,0.7615,115
3,31,2012,0.005175,75,50.5,100,86.64,75,4.223,100,0.7662,118
4,1,2012,0.005371,66,53,89,97.53,66,3.06,89,0.7962,99
4,2,2012,0.003837,90,51,113,89.37,90,2.547,113,0.7595,126
4,3,2012,0.004256,60,52,82,104.3,60,2.819,82,0.7851,96
4,4,2012,0.004701,55,48,74,75.46,55,5.535,74,0.7494,91
4,5,2012,0.004302,66,49.5,88,78.54,66,5.025,88,0.7995,101
4,6,2012,0.004471,87,49,120,73.87,87,6.444,120,0.9636,139
