month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.003635,200,34,424,68.07,200,12.23,424,3.056,451
1,2,2012,0.003678,166,36,385,75.46,167,11.37,385,3.01,413
1,3,2012,0.00253,167,33.5,388,65.31,167,12.68,388,2.995,410
1,4,2012,0.001777,141,33,338,65.06,141,12.63,338,3.132,351
1,5,2012,0.001436,146,31,362,59.04,146,13.8,362,3.082,385
1,6,2012,0.002435,144,31,353,64.37,144,13.99,353,3.174,371
1,7,2012,0.003042,192,32,473,70.87,192,14.5,473,3.136,485
1,8,2012,0.002128,209,33,507,74.98,209,12.48,507,3.161,530
1,9,2012,0.001876,161,32,331,61.29,162,12.93,331,3.214,351
1,10,2012,0.003773,148,33,376,75.66,148,12.75,376,3.172,401
1,11,2012,0.002249,134,33,365,63.49,134,14.21,365,3.253,377
1,12,2012,0.001946,138,33,354,69.2,138,13.59,354,3.094,369
1,13,2012,0.001596,162,31,378,60.18,163,13.88,378,3.252,390
1,14,2012,0.003086,192,31.5,472,61.92,192,14.2,472,3.165,493
1,15,2012,0.002706,205,31,445,63.26,206,12.43,445,3.134,476
1,16,2012,0.002304,185,34,431,75.95,186,11.77,431,3.089,452
1,17,2012,0.00225,144,32,353,74.41,144,13.33,353,3.132,370
1,18,2012,0.001671,151,31,349,65.12,151,14.56,349,3.215,359
1,19,2012,0.002321,137,31,307,65.3,141,13.71,307,3.081,325
1,20,2012,0.002615,139,32,347,67.77,141,12.99,347,3.151,365
1,21,2012,0.003012,203,33,435,66.19,203,13.32,435,3.173,463
1,22,2012,0.002181,182,32,396,70,182,12.22,396,3.093,413
1,23,2012,0.002034,148,33,367,66.59,149,13.31,367,3.161,384
1,24,2012,0.002015,133,32,345,70.49,133,14.89,345,3.21,355
1,25,2012,0.002061,135,31,309,68.92,135,12.79,309,3.133,319
1,26,2012,0.00244,139,33,330,61.12,140,14.76,330,3.222,349
1,27,2012,0.002389,138,33,330,64.8,140,14.16,330,3.213,345
1,28,2012,0.001693,175,31,420,59.23,177,14.32,420,3.212,434
1,29,2012,0.001438,100,31,301,62.28,100,13.33,301,3.179,314
1,30,2012,0.002987,160,31,361,63.58,160,12.69,361,3.169,372
1,31,2012,0.002725,144,31,317,73.4,144,13.13,317,3.245,333
2,1,2012,0.002535,128,32,322,81.58,128,12.05,322,3.076,340
2,2,2012,0.002066,148,31,311,62.46,148,14.28,311,3.244,326
2,3,2012,0.001923,138,32,329,61.99,138,12.85,329,3.17,347
2,4,2012,0.001903,167,31,393,61.12,167,14.07,393,3.086,412
2,5,2012,0.002724,193,29,389,62.47,193,13.86,389,3.207,403
2,6,2012,0.002111,130,31,319,60.39,130,13.95,319,3.247,336
2,7,2012,0.002681,137,31,326,57.61,137,12.73,326,3.082,342
2,8,2012,0.003676,173,32,383,63.61,173,13.02,383,3.212,403
2,9,2012,0.001865,195,31,388,56.91,195,14.13,388,3.156,404
2,10,2012,0.00206,167,32,365,67.17,167,12.97,365,3.091,385
2,11,2012,0.002653,180,32,416,73.41,180,14.48,416,3.072,430
2,12,2012,0.00179,171,31,376,56.65,171,13.81,376,3.158,409
2,13,2012,0.002244,151,31,331,63.38,151,13.65,331,3.119,346
2,14,2012,0.002425,140,33,301,59.53,140,13.06,301,3.171,313
2,15,2012,0.004321,170,31,354,56.83,170,12.28,354,3.094,378
2,16,2012,0.00175,160,30,404,61.23,160,15.18,404,3.212,430
2,17,2012,0.002149,172,33,364,63.3,172,12.62,364,3.106,377
2,18,2012,0.001689,179,33,417,62.1,179,13.73,417,3.094,450
2,19,2012,0.001658,230,33,484,67.15,230,14.43,484,3.047,512
2,20,2012,0.002084,185,31,404,63.99,185,13.79,404,3.191,426
2,21,2012,0.001654,126,31,336,57.2,126,14.1,336,3.198,355
2,22,2012,0.001443,138,31,301,51.93,138,15.07,301,3.172,314
2,23,2012,0.001495,149,31,364,59.09,149,15.34,364,3.193,385
2,24,2012,0.002453,165,31,348,57.41,165,14.35,348,3.173,367
2,25,2012,0.001874,194,31,447,63.3,194,14.5,447,3.173,474
2,26,2012,0.002775,167,31,398,60.25,167,14.67,398,3.052,425
2,27,2012,0.002669,147,32,330,60.6,147,15.27,330,3.21,354
2,28,2012,0.001681,148,32,378,61.01,148,14.9,378,3.133,406
2,29,2012,0.001866,164,32,379,61.17,164,14.34,379,3.245,394
3,1,2012,0.002269,176,33,379,61.17,176,13.49,379,3.09,413
3,2,2012,0.0023,131,32,347,64.81,131,14.34,347,3.152,368
3,3,2012,0.002324,202,31,439,56.33,202,15.37,439,3.121,470
3,4,2012,0.002044,269,31,522,58.93,269,13.61,522,3.161,547
3,5,2012,0.001501,166,30,340,54.95,166,16.42,340,3.236,358
3,6,2012,0.001552,168,30,381,65.45,167,14.58,382,3.176,400
3,7,2012,0.002286,154,31,336,56.49,154,14.84,336,3.192,352
3,8,2012,0.001995,154,29,326,56.75,154,15.74,326,3.09,352
3,9,2012,0.00205,155,30,330,53.09,155,15.25,330,3.212,343
3,10,2012,0.002066,189,31,394,57.99,189,14.15,394,3.094,417
3,11,2012,0.002568,154,32,374,60.68,154,14.8,374,3.149,393
3,12,2012,0.001706,177,31,355,58.5,177,13.56,355,3.134,376
3,13,2012,0.001782,166,31,359,53.24,166,15.65,359,3.17,384
3,14,2012,0.001214,173,30,391,54.23,173,16.54,391,3.203,414
3,15,2012,0.001767,152,29,325,52.44,152,15.1,325,3.133,344
3,16,2012,0.00154,170,29,358,58.85,170,14.29,358,3.154,369
3,17,2012,0.002279,213,29,412,52.43,213,14.07,412,3.25,433
3,18,2012,0.002006,148,30,335,57.01,148,14.26,335,3.095,360
3,19,2012,0.002525,150,30,335,64.88,150,14.63,335,3.234,348
3,20,2012,0.001913,154,31,324,57.48,154,15.41,324,3.155,335
3,21,2012,0.001871,130,31,285,55.14,130,14.79,285,3.211,295
3,22,2012,0.001768,146,31,314,57.19,146,14.07,314,3.125,344
3,23,2012,0.001889,111,33,299,65.51,111,14.62,299,3.237,314
3,24,2012,0.001933,166,32,374,59.64,166,14.38,374,3.137,395
3,25,2012,0.001737,176,32,400,58.06,176,13.75,400,3.204,420
3,26,2012,0.00233,179,33,333,65.54,179,13.58,333,3.051,346
3,27,2012,0.002907,127,32.5,284,57.32,127,13.54,284,3.209,298
3,28,2012,0.00183,145,31,310,57.89,145,13.81,310,3.087,330
3,29,2012,0.001616,167,28,335,56.23,167,14.14,335,3.182,358
3,30,2012,0.001956,165,27,368,60.01,165,15.43,368,3.206,389
3,31,2012,0.001456,171,27,401,54.8,171,16.99,401,3.247,426
4,1,2012,0.001676,187,28,406,55.43,187,14.75,406,3.238,434
4,2,2012,0.001356,186,29,433,58,186,15.9,433,3.284,449
4,3,2012,0.001667,148,29,330,56.57,148,15.35,330,3.165,345
4,4,2012,0.002177,156,29,342,57.18,156,14.69,342,3.28,352
4,5,2012,0.001325,163,28,393,56.9,163,15.31,393,3.176,409
4,6,2012,0.001889,170,28,382,53.65,170,14.68,382,3.245,405
4,7,2012,0.001862,163,28,342,60.46,163,14.69,342,3.207,361
4,8,2012,0.001958,208,28,390,61.82,208,12.82,390,3.061,423
4,9,2012,0.002036,188,28,393,58.62,188,14.62,393,3.207,417
4,10,2012,0.001598,156,29,329,57.39,156,14.36,329,3.166,337
4,11,2012,0.002173,137,30,323,56.52,137,15.57,323,3.251,336
4,12,2012,0.002075,146,31,332,58.16,146,14.61,332,3.206,353
4,13,2012,0.00178,159,30,323,57.8,159,15.64,323,3.247,337
4,14,2012,0.001523,170,31,378,55.24,170,15.27,378,3.238,400
4,15,2012,0.001999,187,30,417,58.08,187,15.55,417,3.242,455
4,16,2012,0.002214,124,33,299,59.76,124,14.52,299,3.114,334
4,17,2012,0.001851,139,33,326,58.65,139,14.72,326,3.203,357
4,18,2012,0.00243,163,31,339,60.12,163,15.12,339,3.204,379
4,19,2012,0.002072,135,30,311,56.34,135,14.43,311,3.245,340
