month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.002859,284,43,284,71.69,284,8.881,284,0.7973,454
1,1,2012,0.002743,223,39,223,70.9,223,8.365,223,0.8033,353
1,2,2012,0.00299,131,39,131,70.96,131,8.934,131,0.8039,212
1,3,2012,0.002344,98,38,98,67.62,98,9.899,98,0.8064,189
1,4,2012,0.002271,76,37.5,76,66.52,76,9.976,76,0.8027,134
1,5,2012,0.001941,62,40,64,59.95,64,12.99,64,0.8021,106
1,6,2012,0.002026,60,35,60,56.44,60,12.1,60,0.8052,120
1,7,2012,0.001735,94,36.5,94,54.42,94,12.46,94,0.8068,165
1,8,2012,0.002562,97,32,97,57.72,97,11.77,97,0.8048,182
1,9,2012,0.002646,132,38,132,64.15,132,9.441,132,0.8045,220
1,10,2012,0.002081,190,38,190,66.05,190,9.428,190,0.8097,324
1,11,2012,0.002735,230,39,230,66.68,230,9.242,230,0.8034,371
1,12,2012,0.003287,221,38,221,66.79,221,8.849,221,0.8027,409
1,13,2012,0.002943,265,39,265,64.56,265,8.299,265,0.804,424
1,14,2012,0.003302,269,40,269,65.1,269,9.113,269,0.8041,465
1,15,2012,0.003306,297,40,297,65.27,297,9.172,297,0.8035,499
1,16,2012,0.003084,360,40,360,68.41,360,8.737,360,0.8038,563
1,17,2012,0.002931,377,40,377,65.58,377,8.462,377,0.801,622
1,18,2012,0.003642,366,45,366,74.55,366,7.371,366,0.7965,590
1,19,2012,0.003704,426,60,426,98.63,426,6.469,426,0.7943,687
1,20,2012,0.003641,430,76,430,108.5,430,5.823,430,0.7884,728
1,21,2012,0.004838,442,84,442,114.4,442,5.623,442,0.7828,694
1,22,2012,0.004026,369,76,370,113,370,4.94,370,0.7781,619
1,23,2012,0.003829,355,55,355,88.38,355,7.238,355,0.7959,583
2,0,2012,0.002655,255,40,255,71.28,255,9.344,255,0.8047,460
2,1,2012,0.003704,177,39,177,66.43,177,9.793,177,0.804,312
2,2,2012,0.002258,139,38,139,59.78,139,9.748,139,0.8042,241
2,3,2012,0.002011,98,41,98,68.65,98,9.681,98,0.8047,163
2,4,2012,0.001557,72,38,72,64.51,72,10.36,72,0.8109,132
2,5,2012,0.002135,64,37.5,64,53.49,64,15.34,64,0.8051,118
2,6,2012,0.002496,64,35,64,56.67,64,12.06,64,0.806,108
2,7,2012,0.002016,94,34,94,57.69,94,14.19,94,0.8185,174
2,8,2012,0.002238,122,36.5,122,57.71,122,10.07,122,0.8059,219
2,9,2012,0.002485,123,38,123,61.36,123,10.4,123,0.8069,271
2,10,2012,0.002334,184,38,184,66.33,184,9.488,184,0.8071,335
2,11,2012,0.002057,189,36,189,56.22,189,11.29,189,0.807,355
2,12,2012,0.003078,241,39,241,67.21,241,9.151,241,0.8051,418
2,13,2012,0.002443,225,38,225,65.07,225,9.897,225,0.8073,428
2,14,2012,0.003018,269,39,269,67.5,269,10.19,269,0.8049,446
2,15,2012,0.002988,260,40,260,69.53,260,9.195,260,0.8039,458
2,16,2012,0.002859,311,39,311,65.07,311,9.639,311,0.8058,517
2,17,2012,0.00252,332,40,332,69.26,332,9.934,332,0.8039,589
2,18,2012,0.003132,377,41,377,70.56,377,9.125,377,0.8037,652
2,19,2012,0.003894,403,51,403,86.07,403,7.351,403,0.7988,684
2,20,2012,0.004003,438,65,438,98.01,438,7.189,438,0.7959,725
2,21,2012,0.003862,409,76,409,109.2,409,6.245,409,0.7891,672
2,22,2012,0.003794,437,63,437,96.88,437,6.317,437,0.7872,715
2,23,2012,0.003949,301,47,301,85.92,301,7.738,301,0.797,542
3,0,2012,0.002816,295,38,295,65.16,295,9.604,295,0.8038,484
3,1,2012,0.002646,198,39,198,65.68,198,9.561,198,0.8065,321
3,2,2012,0.002385,138,40,138,63.25,138,9.606,138,0.807,250
3,3,2012,0.001854,116,38,116,61.32,116,11.73,116,0.8087,186
3,4,2012,0.002776,80,38.5,80,63.59,80,12.31,80,0.8123,141
3,5,2012,0.001987,41,35,41,60.66,41,11.8,41,0.8068,98
3,6,2012,0.002324,51,32,51,67.89,51,15.09,51,0.8149,94
3,7,2012,0.002473,58,34,58,63.92,58,9.535,58,0.806,117
3,8,2012,0.002207,99,34,99,62.11,99,9.943,99,0.8087,183
3,9,2012,0.002628,152,38.5,152,57.99,152,13.16,152,0.8131,284
3,10,2012,0.00229,175,39,175,65.09,175,10.41,175,0.809,326
3,11,2012,0.00255,215,38,215,62.88,215,9.806,215,0.8066,362
3,12,2012,0.00205,206,36,206,62.85,206,9.416,206,0.8041,369
3,13,2012,0.00308,219,38,219,64.1,219,8.778,219,0.8058,397
3,14,2012,0.002492,206,37,206,59.65,206,9.197,206,0.8045,379
3,15,2012,0.002835,246,38.5,246,63.28,246,9.166,246,0.8041,450
3,16,2012,0.003086,302,37.5,302,65.81,302,10.27,302,0.8058,512
3,17,2012,0.002916,344,38.5,344,64.35,344,9.94,344,0.804,538
3,18,2012,0.00262,354,38,354,67.14,354,9.72,354,0.8039,600
3,19,2012,0.00339,349,39,349,70.34,349,8.525,349,0.803,616
3,20,2012,0.002977,438,42,438,77.35,438,8.559,438,0.8038,726
3,21,2012,0.00369,465,49,465,85.01,465,8.278,465,0.8004,706
3,22,2012,0.003476,424,44,424,82.4,424,7.901,424,0.8034,722
3,23,2012,0.002506,352,40,352,71.31,352,8.895,352,0.8046,595
4,0,2012,0.002802,252,39,252,67.11,252,9.11,252,0.8024,457
4,1,2012,0.002666,171,38,171,65.6,171,8.89,171,0.8033,311
