month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,7,2012,0.004202,1,48,1,102.9,1,8.416,1,1.686,1
1,8,2012,0.002874,1,50,1,72.34,1,5.94,1,1.61,1
1,9,2012,0.001835,1,50,1,57.81,1,31.92,1,6.214,1
1,12,2012,0.002219,1,48,1,73.22,1,13,1,1.68,1
1,13,2012,0.01204,1,54,1,130.5,1,1.771,1,0.1317,1
1,14,2012,7.177e-05,1,50,1,91.63,1,16.08,1,1.74,1
1,15,2012,0.000849,1,53,1,68.72,1,10.8,1,0.8244,2
1,16,2012,0.0003676,1,54,1,69.62,1,6.201,1,1.74,3
1,19,2012,0.01501,1,51,1,128.9,1,7.114,1,7.223,2
1,22,2012,0.009615,5,56,5,306.8,5,2.938,5,1.285,7
1,23,2012,nan,0,nan,0,nan,0,nan,0,1.306,2
1,24,2012,0.0003369,2,49,2,81.8,2,10.71,2,1.713,2
1,26,2012,nan,0,nan,0,nan,0,nan,0,3.385,1
1,27,2012,0.001431,1,47,1,62.53,1,17.64,1,1.563,2
1,28,2012,0.008585,1,50,1,140.3,1,4.601,1,1.482,1
1,29,2012,0.005906,2,55.5,2,154.5,2,3.281,2,1.075,2
2,1,2012,0.002384,1,48,1,55.02,1,11.25,1,1.675,1
2,2,2012,nan,0,nan,0,nan,0,nan,0,0.5942,1
2,6,2012,0.001647,1,48,1,80.46,1,6.193,1,1.643,1
2,8,2012,nan,0,nan,0,nan,0,nan,0,0.8909,2
2,10,2012,0.0004873,1,45,1,56.07,1,9.457,1,0.9129,2
2,11,2012,0.004741,2,78,2,110.4,2,8.074,2,2.887,2
2,14,2012,0.004741,1,53,1,113.2,1,7.152,1,1.292,1
2,16,2012,0.00365,1,45,1,59.13,1,8.175,1,1.682,1
2,19,2012,0.001642,1,45,1,73.07,1,5.597,1,1.047,4
2,20,2012,0.001438,8,49.5,8,71.98,8,4.115,8,0.662,13
2,23,2012,nan,0,nan,0,nan,0,nan,0,0.9115,1
2,24,2012,0.001322,5,44,5,55.03,5,6.912,5,1.447,5
2,27,2012,0.002405,5,49,5,76.13,5,7.563,5,1.686,3
2,29,2012,0.0574,2,47,2,64.75,2,2.911,2,nan,0
3,2,2012,0.001167,1,50,1,137.8,1,10.83,1,1.689,1
3,4,2012,0.002456,1,53,1,68.03,1,11.7,1,1.646,1
3,6,2012,0.01337,2,45,2,58.45,2,12.32,2,1.548,2
3,7,2012,0.00669,1,44,1,56.62,1,5.137,1,1.446,1
3,10,2012,nan,0,nan,0,nan,0,nan,0,2.573,1
3,20,2012,0.01161,2,47.5,2,83.89,2,2.54,2,1.663,2
3,22,2012,nan,0,nan,0,nan,0,nan,0,1.688,1
3,23,2012,nan,0,nan,0,nan,0,nan,0,1.688,1
3,24,2012,0.002493,1,49,1,99.52,1,2.72,1,1.645,1
3,25,2012,0.01424,1,51,1,182.1,1,6.759,1,1.708,1
3,27,2012,0.02719,1,48,1,60.18,1,1.323,1,3.862,2
3,28,2012,nan,0,nan,0,nan,0,nan,0,6.476,1
3,30,2012,0.0009634,1,48,1,61.08,1,4.798,1,0.3619,1
3,31,2012,0.01326,2,53,2,90.08,2,3.14,2,1.686,2
4,2,2012,nan,0,nan,0,nan,0,nan,0,1.437,1
4,4,2012,0.002282,1,47,1,56.64,1,15.59,1,1.645,1
4,10,2012,nan,0,nan,0,nan,0,nan,0,1.165,3
4,12,2012,nan,0,nan,0,nan,0,nan,0,1.326,1
4,13,2012,nan,0,nan,0,nan,0,nan,0,1.524,1
4,14,2012,0.001492,4,48,4,64.09,4,10.3,4,1.648,5
4,16,2012,nan,0,nan,0,nan,0,nan,0,1.037,7
4,18,2012,nan,0,nan,0,nan,0,nan,0,3.893,2
4,20,2012,0.002892,1,46,1,72.34,1,2.341,1,1.664,1
4,22,2012,0.07843,1,57,1,125.2,1,0.2682,1,0.8417,1
4,26,2012,0.0001385,1,51,1,167,1,8.169,1,1.651,2
5,5,2012,0.2029,1,58,1,116.7,1,0.02027,1,0.2256,1
5,7,2012,0.001348,1,47,1,61.04,1,17.8,1,1.544,2
5,8,2012,nan,0,nan,0,nan,0,nan,0,1.404,1
5,9,2012,nan,0,nan,0,nan,0,nan,0,6.288,1
5,10,2012,0.008114,1,48,1,92.73,1,1.618,1,1.661,1
5,11,2012,0.006672,2,50.5,2,328.7,2,10.01,2,1.481,4
5,13,2012,0.0008814,1,49,1,70.72,1,9.079,1,1.279,1
5,14,2012,0.00871,2,51.5,2,126.4,2,7.176,2,1.613,2
5,15,2012,0.001308,1,54,1,163.8,1,25.6,1,3.879,2
5,16,2012,0.01049,2,49,2,95.62,2,10.33,2,1.224,2
5,22,2012,nan,0,nan,0,nan,0,nan,0,1.407,1
5,27,2012,0.00995,1,52,1,104.8,1,1.059,1,1.639,1
5,29,2012,0.0007415,1,47,1,55.61,1,18.59,1,4.287,1
5,30,2012,0.001176,1,44,1,70.25,1,31.26,1,1.492,3
5,31,2012,0.00126,1,48,1,62.08,1,14.63,1,1.697,1
6,1,2012,0.004563,3,44,3,55.13,3,15.94,3,1.527,3
6,2,2012,0.003431,2,45.5,2,126.5,2,24.06,2,3.859,2
6,4,2012,0.0179,2,52,2,122.6,2,3.437,2,1.263,3
6,5,2012,0.0124,2,47,2,96.05,2,3.923,2,1.182,2
6,6,2012,0.0001587,1,41,1,68.29,1,6.758,1,1.27,1
6,7,2012,0.1278,1,48,1,853.5,1,1.547,1,0.9675,1
6,8,2012,0.02257,2,249.5,2,1220,2,1.22,2,0.9867,2
6,10,2012,0.003142,1,47,1,62.52,1,2.91,1,1.648,1
6,11,2012,0.006996,3,49,3,57.01,3,2.632,3,0.6099,5
6,12,2012,0.004183,1,52,1,65.29,1,7.313,1,0.7385,1
6,13,2012,nan,0,nan,0,nan,0,nan,0,5.235,1
6,14,2012,0.001859,1,49,1,63.31,1,10.42,1,0.8388,2
6,15,2012,0.003821,1,51,1,153.7,1,5.883,1,1.683,1
6,18,2012,0.0141,4,48,4,68.85,4,10.51,4,1.079,8
6,20,2012,0.0003301,3,43,3,51,3,45.29,3,8.558,3
6,21,2012,0.004384,2,57,2,87.22,2,11.99,2,1.606,2
6,22,2012,0.001638,1,42,1,52.28,1,15.42,1,3.507,3
6,25,2012,0.003712,2,48,2,70.39,2,21.66,2,3.902,2
6,26,2012,0.00204,2,43,2,56,2,54.97,2,1.705,3
6,27,2012,0.000464,1,51,1,59.91,1,9.936,1,0.8969,4
6,28,2012,0.04898,2,68.5,2,110.8,2,8.008,2,0.6408,2
6,29,2012,0.002677,1,51,1,113.8,1,19.63,1,6.378,2
7,1,2012,0.01024,1,48,1,140,1,3.761,1,1.566,1
7,2,2012,0.0006312,3,40,3,41.25,3,32.98,3,2.426,4
7,3,2012,0.002054,1,47,1,51.87,1,16.14,1,1.737,3
7,6,2012,nan,0,nan,0,nan,0,nan,0,1.204,1
7,7,2012,0.007045,2,55.5,2,237.8,2,4.729,2,1.528,2
7,9,2012,0.003813,3,43,3,62.62,3,24.33,3,1.609,4
7,10,2012,nan,0,nan,0,nan,0,nan,0,0.9861,1
7,11,2012,0.0007971,1,44,1,54.12,1,14.43,1,1.888,1
7,12,2012,0.003526,2,51.5,2,105.7,2,5.854,2,1.26,2
7,13,2012,0.005185,1,47,1,75.97,1,51.07,1,6.82,1
7,15,2012,0.001768,1,49,1,64.26,1,9.775,1,1.566,3
7,16,2012,0.0002638,3,45,3,60.44,3,11.97,3,1.546,6
7,17,2012,nan,0,nan,0,nan,0,nan,0,1.789,1
7,18,2012,0.003689,1,48,1,73.57,1,23.15,1,1.27,2
7,19,2012,0.0001807,1,48,1,61.15,1,6.108,1,0.8659,1
7,20,2012,nan,0,nan,0,nan,0,nan,0,0.9679,1
7,23,2012,0.0001746,2,43,2,97.38,2,23.22,2,0.9349,3
7,24,2012,0.003108,4,47,4,59.75,4,10.94,4,3.576,5
7,25,2012,nan,0,nan,0,nan,0,nan,0,2.594,2
7,26,2012,nan,0,nan,0,nan,0,nan,0,0.9261,1
7,29,2012,nan,0,nan,0,nan,0,nan,0,3.41,1
7,31,2012,nan,0,nan,0,nan,0,nan,0,2.865,2
8,1,2012,0.01463,3,47,3,76.59,3,17.27,3,2.085,4
8,3,2012,0.002104,8,48,8,77.83,8,9.083,8,1.369,14
8,4,2012,0.004916,1,50,1,72.12,1,10.17,1,1.441,1
8,5,2012,0.006277,1,56,1,109.6,1,5.964,1,1.464,1
8,6,2012,0.01031,2,47.5,2,78.02,2,31.14,2,1.867,2
8,8,2012,0.001236,1,44,1,58.13,1,15.85,1,1.621,1
8,10,2012,0.01731,3,56,3,95.11,3,2.482,3,1.406,4
8,11,2012,0.07981,1,42,1,183.6,1,0.559,1,2.259,1
8,12,2012,0.06001,1,49,1,123.8,1,1.481,1,3.66,2
8,13,2012,0.0003952,1,43,1,53.07,1,8.816,1,0.9559,2
8,16,2012,0.01416,1,45,1,101.2,1,21.69,1,2.067,1
8,17,2012,0.009604,1,41,1,48.27,1,12.67,1,1.441,1
8,20,2012,4.159e-05,1,44,1,50.21,1,27.75,1,1.775,1
8,21,2012,0.003074,1,60,1,273.7,1,3.647,1,3.327,1
8,22,2012,nan,0,nan,0,nan,0,nan,0,3.652,1
8,23,2012,0.0002444,3,47,3,86.54,3,4.698,3,1.09,4
8,29,2012,nan,0,nan,0,nan,0,nan,0,0.3589,1
8,31,2012,0.0003651,1,46,1,392.9,1,11.78,1,2.083,1
9,5,2012,0.004014,4,46.5,4,76.95,4,11.25,4,0.6639,5
9,6,2012,0.0002774,1,43,1,53.1,1,20.74,1,1.829,1
9,7,2012,0.002132,2,47.5,2,56.81,2,17.85,2,1.797,2
9,8,2012,0.003355,2,47,2,63.24,2,9.276,2,1.466,2
9,9,2012,0.000426,1,46,1,50.76,1,8.123,1,2.892,1
9,10,2012,0.0009867,2,48,2,64.77,2,8.645,2,1.192,2
9,11,2012,0.001046,1,44,1,60.35,1,5.24,1,1.842,1
9,12,2012,0.0001264,1,46,1,58.35,1,9.104,1,0.8898,3
9,13,2012,nan,0,nan,0,nan,0,nan,0,1,1
9,17,2012,nan,0,nan,0,nan,0,nan,0,1.408,2
9,18,2012,0.0007836,1,49,1,76.81,1,13.21,1,1.704,1
9,20,2012,0.00709,2,54.5,2,163,2,1.3,2,0.4674,2
9,21,2012,0.005932,1,49,1,93.69,1,6.493,1,1.706,1
9,25,2012,0.04628,11,49,11,74.35,11,1.645,11,1.062,11
9,28,2012,nan,0,nan,0,nan,0,nan,0,0.9214,1
9,29,2012,0.002934,1,49,1,64.18,1,6.581,1,4.481,1
9,30,2012,nan,0,nan,0,nan,0,nan,0,0.8466,1
10,2,2012,0.002363,1,42,1,54.52,1,38.31,1,8.09,1
10,3,2012,0.0002791,3,47,3,60.25,3,52.62,3,9.306,3
10,4,2012,9.308e-05,1,54,1,97.33,1,12.24,1,1.673,3
10,5,2012,0.001615,3,47,3,60.04,3,7.058,3,2.862,4
10,7,2012,0.0007358,1,54,1,106.4,1,6.08,1,1.695,1
10,9,2012,0.0008125,1,43,1,69.91,1,22.02,1,1.336,1
10,10,2012,nan,0,nan,0,nan,0,nan,0,0.8825,1
10,11,2012,0.000683,1,47,1,179,1,44.1,1,3.744,2
10,12,2012,0.01947,1,47,1,72.83,1,6.306,1,2.636,2
10,15,2012,5.847e-05,1,47,1,136,1,38.48,1,2.236,1
10,16,2012,0.002362,1,44,1,535.5,1,19.71,1,4.098,3
