month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.01186,177,67,286,131,180,2.836,286,0.5536,327
1,1,2012,0.01041,159,68,245,133.5,162,2.683,245,0.5472,274
1,2,2012,0.01182,136,68,212,127.5,138,2.446,212,0.5265,245
1,3,2012,0.01113,94,58,155,112.7,98,2.947,155,0.4134,178
1,4,2012,0.01122,64,67,101,116.9,65,2.027,101,0.4222,118
1,5,2012,0.00907,57,71,85,116.3,59,1.602,85,0.4514,106
1,6,2012,0.01396,68,69,99,125.6,70,1.297,99,0.4492,115
1,7,2012,0.0121,79,69,127,155.7,80,1.689,127,0.5222,141
1,8,2012,0.01192,121,71,179,148.8,121,1.435,179,0.4974,210
1,9,2012,0.01234,146,70,221,130.9,147,2.322,221,0.503,274
1,10,2012,0.01133,146,69,278,130.5,148,2.388,279,0.5319,335
1,11,2012,0.01168,181,68,297,130.2,184,2.517,297,0.5232,340
1,12,2012,0.01014,181,66,287,117.5,186,2.753,287,0.5564,324
1,13,2012,0.01087,209,67,340,124.1,210,2.933,340,0.5574,386
1,14,2012,0.01023,210,71,324,131.1,213,2.473,324,0.5533,378
1,15,2012,0.01004,208,68,322,136.4,209,2.455,322,0.5418,366
1,16,2012,0.01244,270,65,397,120,272,2.834,397,0.5485,447
1,17,2012,0.01127,282,69,431,127,283,2.202,431,0.5352,485
1,18,2012,0.008915,278,64,420,117.8,279,2.891,420,0.5452,496
1,19,2012,0.01143,309,67,474,128.3,310,2.874,474,0.5789,532
1,20,2012,0.01098,329,70,515,130.9,330,2.464,515,0.5738,582
1,21,2012,0.01156,323,69,483,142.1,328,2.35,483,0.5411,555
1,22,2012,0.009792,285,69,480,132.8,287,2.919,480,0.5546,574
1,23,2012,0.01079,288,66,440,139.2,289,3.07,440,0.5521,499
2,0,2012,0.01037,184,68,286,135.4,188,3.193,286,0.5613,327
2,1,2012,0.009149,144,63,225,126.8,146,4.137,225,0.5716,258
2,2,2012,0.01036,123,64.5,200,135.8,125,3.462,200,0.5147,224
2,3,2012,0.01092,101,70.5,140,148.1,102,2.877,140,0.4661,170
2,4,2012,0.01069,65,75.5,104,150.7,66,1.312,104,0.4827,117
2,5,2012,0.01396,61,69.5,96,145.6,62,1.783,96,0.4754,114
2,6,2012,0.01207,76,68,111,113.5,76,1.44,111,0.4961,126
2,7,2012,0.01196,77,68,123,153.9,78,1.378,123,0.443,147
2,8,2012,0.008575,103,70,144,151.2,103,1.477,144,0.4965,177
2,9,2012,0.01051,122,60,195,121.6,126,2.962,195,0.5188,237
2,10,2012,0.011,162,64,241,127.7,163,2.566,241,0.4953,272
2,11,2012,0.01149,178,70,287,137.1,181,2.927,287,0.5372,348
2,12,2012,0.0121,178,71,295,135,181,2.789,295,0.5431,328
2,13,2012,0.01165,211,67.5,336,145.1,214,3.371,336,0.5296,384
2,14,2012,0.01174,243,69,353,146,247,2.531,353,0.5644,388
2,15,2012,0.01152,239,66,339,126.3,239,2.858,339,0.5143,396
2,16,2012,0.01062,254,68,378,136.5,256,2.855,378,0.5488,435
2,17,2012,0.01258,229,70,348,139.8,231,2.752,348,0.5384,402
2,18,2012,0.01247,274,70,407,135.6,276,2.578,408,0.5452,479
2,19,2012,0.01019,290,68,439,145.4,293,2.366,439,0.5387,508
2,20,2012,0.01195,347,71,497,130.3,347,2.564,497,0.5589,569
2,21,2012,0.009871,325,72,454,139.7,325,2.926,455,0.5447,526
2,22,2012,0.01139,257,71.5,434,141,263,2.405,434,0.5217,508
2,23,2012,0.009479,209,69,323,142.7,213,2.809,323,0.5548,361
3,0,2012,0.009136,226,65,342,117.8,226,3.934,342,0.56,399
3,1,2012,0.008085,175,67,257,118.5,175,4.31,257,0.5772,295
3,2,2012,0.009659,132,71,197,116.7,132,3.093,197,0.5178,226
3,3,2012,0.01,120,65,173,101.8,120,2.886,173,0.5223,198
3,4,2012,0.009968,78,68,117,111.8,78,1.926,117,0.5097,134
3,5,2012,0.009501,67,67,108,114.4,67,2.804,108,0.5491,131
3,6,2012,0.009626,82,64,122,126.7,82,2.431,122,0.5086,146
3,7,2012,0.01149,78,64,132,117.6,78,2.12,132,0.4948,159
3,8,2012,0.01266,114,58.5,174,120,114,2.929,174,0.5789,197
3,9,2012,0.01262,144,68,207,133.1,144,2.388,207,0.5542,236
3,10,2012,0.01112,158,68,237,117.1,158,2.614,237,0.5166,280
3,11,2012,0.00897,183,63,272,109.1,183,3.577,272,0.5687,315
3,12,2012,0.00766,206,60,309,104.9,206,3.851,309,0.5916,353
3,13,2012,0.007943,199,64,329,107.9,199,3.335,329,0.5985,361
3,14,2012,0.009426,233,63,364,106.8,233,3.313,364,0.5594,445
3,15,2012,0.009174,221,63,323,125.1,221,2.935,323,0.5384,371
3,16,2012,0.009446,223,59,350,113.1,223,4.045,350,0.5617,403
3,17,2012,0.009753,266,63,403,115.8,265,3.131,404,0.5333,460
3,18,2012,0.009663,222,68,362,129.7,222,3.625,362,0.5562,435
3,19,2012,0.009137,279,66,425,114.9,279,3.558,425,0.5602,519
3,20,2012,0.008713,310,66,481,113.3,310,3.579,481,0.5626,552
3,21,2012,0.009807,317,68,471,132.5,317,3.047,471,0.5569,557
3,22,2012,0.01089,311,70,467,144.5,311,2.858,467,0.544,548
3,23,2012,0.008909,274,66,428,117.3,274,3.654,428,0.5802,484
4,0,2012,0.009887,240,66,348,124.2,240,3.221,348,0.5867,392
4,1,2012,0.00863,159,66,243,112.2,159,3.52,243,0.575,274
4,2,2012,0.0101,107,63.5,172,119.2,107,3.489,172,0.5682,193
4,3,2012,0.01022,97,64,142,113.6,97,2.915,142,0.5716,157
