month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.001812,125,23.5,128,61.6,128,7.499,128,2.352,224
1,1,2012,0.002469,92,23,93,69.28,93,8.109,93,2.332,177
1,2,2012,0.001638,85,23,87,63.42,87,7.935,87,2.321,155
1,3,2012,0.003212,61,25,63,83.49,63,5.645,63,1.911,123
1,4,2012,0.004161,40,27,42,63.88,42,3.494,42,2.821,85
1,5,2012,0.00193,31,22,33,67.57,33,8.616,33,1.752,76
1,6,2012,0.002259,37,24.5,40,65.98,40,8.618,40,2.538,86
1,7,2012,0.001951,53,24,54,56.94,54,11.32,54,2.299,134
1,8,2012,0.0009014,72,23,72,47.28,72,8.956,72,2.73,103
1,9,2012,0.001752,93,20,94,41.22,94,7.119,94,2.723,143
1,10,2012,0.002231,125,23,127,47.11,127,5.566,127,3.024,180
1,11,2012,0.00251,123,22,123,43.18,123,4.539,123,2.355,184
1,12,2012,0.002519,125,23,126,44.98,126,4.889,126,2.681,175
1,13,2012,0.002743,141,23,144,42.53,144,4.661,144,2.291,200
1,14,2012,0.003224,137,22,140,46.69,140,4.986,140,2.83,212
1,15,2012,0.004429,143,23,143,42.04,143,4.005,143,2.557,227
1,16,2012,0.003681,213,23,214,44.9,214,4.008,214,2.57,287
1,17,2012,0.004186,165,22,166,45.66,166,4.007,166,2.543,253
1,18,2012,0.00456,203,23,203,44.14,203,3.456,203,2.797,278
1,19,2012,0.006963,269,23,270,47.36,270,2.988,270,2.912,352
1,20,2012,0.006222,230,26,231,49.93,231,3.004,231,2.546,308
1,21,2012,0.006488,208,27,210,54.19,210,2.805,210,2.467,307
1,22,2012,0.003107,242,25,245,54.1,245,4.104,245,2.484,352
1,23,2012,0.001214,181,24,185,56.92,185,8.015,185,2.551,292
2,0,2012,0.001826,113,22,113,56.6,113,9.147,113,2.623,204
2,1,2012,0.001189,88,20,91,56.98,91,12.6,91,2.323,162
2,2,2012,0.00162,56,26,57,71.75,57,8.762,57,1.99,126
2,3,2012,0.002294,54,22,54,70.31,54,6.868,54,1.608,107
2,4,2012,0.002099,33,24,34,69.36,34,8.703,34,2.266,80
2,5,2012,0.001564,35,22,36,59.61,36,12.58,36,2.291,80
2,6,2012,0.001251,35,21,35,44.57,35,14.26,35,2.767,83
2,7,2012,0.001183,56,22,56,56.51,56,9.417,56,2.767,124
2,8,2012,0.002106,49,20,50,49.41,50,12.12,50,2.957,109
2,9,2012,0.001205,82,20,83,41.52,83,13.27,83,3.057,157
2,10,2012,0.002385,62,22.5,62,54.37,62,10.49,62,2.89,130
2,11,2012,0.001507,70,22,71,51.74,71,13.24,71,2.912,152
2,12,2012,0.001358,90,21,91,50.83,91,10.03,91,3.169,186
2,13,2012,0.001206,105,23,106,60.19,106,11.31,106,3.037,201
2,14,2012,0.001999,111,22,111,54.55,111,11.36,111,2.334,208
2,15,2012,0.001953,115,21.5,116,55.45,116,11.04,116,3.148,202
2,16,2012,0.001052,136,20.5,136,56.88,136,11.8,136,3.206,232
2,17,2012,0.0009788,162,20,164,50.08,164,11.57,164,3.032,270
2,18,2012,0.001079,180,20,180,51.18,180,11.07,180,3.086,308
2,19,2012,0.001422,175,22,175,58.65,175,10.02,175,3.012,287
2,20,2012,0.001683,172,24,173,58.36,173,9.563,173,2.731,322
2,21,2012,0.001968,177,24,178,70.34,178,6.884,178,2.371,321
2,22,2012,0.002302,149,23,150,68.43,150,8.191,150,2.515,314
2,23,2012,0.002244,151,22,152,63.33,152,7.11,152,2.293,304
3,0,2012,0.001684,101,23,101,61.8,101,13.1,101,2.792,200
3,1,2012,0.002492,142,32.5,142,67.26,142,8.45,142,3.201,242
3,2,2012,0.001933,86,27,86,57.14,86,13.63,86,3.212,191
3,3,2012,0.001785,69,24,69,56.12,69,12.48,69,3.43,130
