month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.005725,35,25,35,67.27,35,7.306,35,4.241,78
1,2,2012,0.000811,20,22,20,58.09,20,9.081,20,7.628,58
1,3,2012,0.003228,27,36,27,69.12,27,4.868,27,4.204,56
1,4,2012,0.006929,21,22,21,63.83,21,5.085,21,4.305,43
1,5,2012,0.004634,23,29,23,81.48,23,3.529,23,4.031,52
1,6,2012,0.004347,28,26,28,46.2,28,4.388,28,3.321,52
1,7,2012,0.0091,37,38,37,66.93,37,2.583,37,1.305,64
1,8,2012,0.0023,29,32,29,81.1,29,6.38,29,4.122,64
1,9,2012,0.003597,37,22,37,72.46,37,7,37,4.61,60
1,10,2012,0.007042,35,24,35,70.6,35,5.175,35,3.44,58
1,11,2012,0.004152,23,21,23,82.86,23,8.023,23,4.327,54
1,12,2012,0.002695,24,23,24,68.29,24,17.22,24,4.256,61
1,13,2012,0.006832,28,30,28,78.76,28,5.649,28,3.829,59
1,14,2012,0.005242,26,23,26,124.8,26,8.795,26,4.105,54
1,15,2012,0.005332,34,31,34,69.29,34,3.341,34,4.222,95
1,16,2012,0.006262,32,24,32,68.56,32,12.29,32,4.358,63
1,17,2012,0.003702,21,31,21,84.33,21,2.869,21,4.385,43
1,18,2012,0.003196,22,22,22,55.78,22,9.176,22,4.392,52
1,19,2012,0.004483,30,34.5,30,63.72,30,2.749,30,2.242,51
1,20,2012,0.002519,29,22,28,66.91,28,7.001,29,4.13,53
1,21,2012,0.008325,30,39,30,60.09,30,2.619,30,4.308,69
1,22,2012,0.01098,31,40,31,69.59,31,1.759,31,4.046,58
1,23,2012,0.006245,28,26.5,28,62.39,28,5.068,28,2.842,51
1,24,2012,0.04533,20,38,20,67.95,20,1.523,20,1.402,44
1,25,2012,0.01851,24,36,24,107.6,24,1.644,24,0.6184,60
1,26,2012,0.01427,21,39,21,68.41,21,4.262,21,2.857,45
1,27,2012,0.008038,32,27,32,78.75,32,9.005,32,3.932,66
1,28,2012,0.002704,30,25.5,30,92.11,30,4.325,30,4.02,80
1,29,2012,0.00524,26,26.5,26,63.98,26,5.091,26,0.9189,70
1,30,2012,0.05798,20,40,20,75.14,20,1.557,20,0.5639,51
1,31,2012,0.005433,32,29,32,74.09,32,5.453,32,3.815,61
2,1,2012,0.002469,20,26.5,20,68.9,20,7.873,20,3.208,52
2,2,2012,0.005318,14,25,14,55.34,14,24.39,14,0.7185,43
2,3,2012,0.006882,20,38,20,139,20,1.776,20,3.824,53
2,4,2012,0.007497,15,33,15,120,15,6.306,15,4.284,41
2,5,2012,0.00983,18,33,18,121.5,18,4.773,18,1.557,46
2,6,2012,0.01509,8,29,8,61.25,8,2.797,8,0.6046,38
2,7,2012,0.0178,19,37,19,73.98,19,2.092,19,4.149,59
2,8,2012,0.005175,26,22,26,64.18,26,8.767,26,4.355,53
