month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.006045,24,21,59,48.71,24,14.41,59,4.344,65
1,1,2012,0.002451,26,21.5,48,47.43,26,9.301,48,4.06,49
1,2,2012,0.08093,16,31.5,34,77.23,16,5.387,34,0.5976,38
1,3,2012,0.007752,17,23.5,24,54.55,17,6.162,24,2.22,24
1,4,2012,0.0171,9,28.5,18,77.85,9,13.15,18,3.773,18
1,5,2012,0.009735,8,26,15,70.93,8,14.75,15,4.377,16
1,6,2012,0.04798,12,22,18,61.56,12,3.609,18,4.643,17
1,7,2012,0.08884,15,38,31,66.33,15,2.46,31,0.5062,31
1,8,2012,0.005641,18,24.5,34,57.36,18,8.802,34,4.271,34
1,9,2012,0.008873,25,26,49,55.43,25,12.65,49,3.797,55
1,10,2012,0.007729,32,29,72,101.2,32,7.84,72,2.235,75
1,11,2012,0.002844,33,24,64,69.75,33,10.27,64,3.831,68
1,12,2012,0.007058,47,26,95,92.58,47,8.416,95,3.703,99
1,13,2012,0.008325,32,27,78,91.67,31,8.175,79,4.1,81
1,14,2012,0.005717,44,24,101,81.19,44,11.7,101,4.384,108
1,15,2012,0.004134,44,26,92,74.46,44,11.13,92,4.185,95
1,16,2012,0.004785,73,24,116,63.83,73,10.73,116,3.956,122
1,17,2012,0.005329,50,24,109,62.84,50,12.5,109,4.44,112
1,18,2012,0.004081,56,26.5,106,81.64,56,11.93,106,4.205,115
1,19,2012,0.005567,55,24,116,57.05,55,9.982,116,3.644,124
1,20,2012,0.004904,75,27,150,75.92,75,8.003,150,2.722,155
1,21,2012,0.008168,61,27,117,80.86,61,6.848,117,3.572,125
1,22,2012,0.004618,49,24,116,72.85,49,13.16,116,4.359,122
1,23,2012,0.005503,34,22,75,82.95,34,10.69,75,4.229,77
2,0,2012,0.009084,27,24,61,77.33,27,10.14,61,3.825,65
2,1,2012,0.01081,23,39,48,78.52,23,2.811,48,0.5885,56
2,2,2012,0.005659,15,31,31,62.17,15,2.808,31,2.113,32
2,3,2012,0.02661,11,47,25,62.7,11,2.127,25,0.503,26
2,4,2012,0.08568,9,29,17,81.74,9,1.754,17,0.5301,20
2,5,2012,0.05278,6,46,11,55.61,6,1.595,11,0.4043,12
2,6,2012,0.04973,8,40,14,74,8,1.84,14,0.4301,14
2,7,2012,0.004975,11,39,22,63.92,11,2.603,22,0.5034,26
2,8,2012,0.008045,18,41.5,34,76.37,18,2.571,34,0.5239,35
