month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.005376,41,61,59,101.5,41,5.208,59,0.6042,65
1,2,2012,0.007811,29,70,44,147.1,29,4.782,44,0.5826,49
1,3,2012,0.005945,40,59,53,115.3,40,4.04,53,0.5903,56
1,4,2012,0.004405,32,56,42,108.6,32,4.247,42,0.6026,46
1,5,2012,0.008519,27,58,41,114.9,27,3.324,41,0.59,46
1,6,2012,0.004146,49,56,66,111.2,49,3.803,66,0.5549,72
1,7,2012,0.006769,52,58,69,101.3,52,4.514,69,0.6061,72
1,8,2012,0.006361,40,56,53,97.49,40,3.595,53,0.603,55
1,9,2012,0.008495,32,53,40,99.24,32,3.599,40,0.5989,46
1,10,2012,0.004837,43,55.5,60,109.1,43,4.514,60,0.6028,69
1,11,2012,0.00664,50,54,67,92.56,50,5.583,67,0.6025,69
1,12,2012,0.006349,29,67,51,130.6,29,3.359,51,0.5557,55
1,13,2012,0.003968,39,60,53,107.7,39,3.868,53,0.5787,59
1,14,2012,0.002312,61,53,75,112.1,61,5.541,75,0.5975,80
1,15,2012,0.006633,59,58,81,135.9,59,3.735,81,0.5786,90
1,16,2012,0.006303,53,53,71,118.7,53,3.863,71,0.5971,77
1,17,2012,0.01122,40,52.5,58,92.88,40,5.145,58,0.6035,60
1,18,2012,0.006962,37,54,51,100.9,37,4.212,51,0.5974,56
1,19,2012,0.006919,30,57,61,108.1,30,4.177,61,0.5998,61
1,20,2012,0.005982,35,54,62,129.6,35,5.072,62,0.6067,68
1,21,2012,0.005947,41,61,73,120.4,41,4.597,73,0.5846,78
1,22,2012,0.01232,41,62,63,120.9,41,2.961,63,0.5324,72
1,23,2012,0.007188,35,62,57,147.3,35,2.072,57,0.5453,66
1,24,2012,0.008652,25,55.5,54,104,25,4.708,54,0.5916,55
1,25,2012,0.007077,42,56,70,117.4,42,4.61,70,0.6024,74
1,26,2012,0.007686,44,58.5,68,140.7,44,3.969,68,0.5947,74
1,27,2012,0.00832,33,62.5,68,123.2,33,3.064,68,0.5886,72
1,28,2012,0.007885,37,53.5,68,113.4,37,4.669,68,0.6032,72
1,29,2012,0.00878,34,58,69,117.1,34,5.38,69,0.6071,75
1,30,2012,0.0125,29,68.5,52,123.2,29,3.28,52,0.5904,56
1,31,2012,0.00577,38,54.5,60,89.86,38,5.937,60,0.6022,63
2,1,2012,0.008724,41,54,73,121,41,5.793,73,0.6021,76
2,2,2012,0.004113,34,54.5,54,99.69,34,4.849,54,0.5955,64
2,3,2012,0.006822,32,56,59,131.4,32,4.228,59,0.5418,70
2,4,2012,0.0158,18,79,45,194,18,2.344,45,0.5773,50
2,5,2012,0.008866,30,72,55,132.8,30,3.096,55,0.5613,57
