month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.0011,77,21,86,33.32,77,10.89,86,3.244,105
1,1,2012,0.0005759,56,20,63,33.04,56,15.18,63,3.239,73
1,2,2012,0.00083,46,22,57,40.32,46,11.19,57,2.302,63
1,3,2012,0.001263,26,21,33,31.37,26,17.53,33,3.231,36
1,4,2012,0.001158,18,22,27,35.69,18,17.92,27,3.206,36
1,5,2012,0.001401,29,23,39,41.4,29,15.42,39,3.21,45
1,6,2012,0.0003077,19,20,27,29.65,19,19.66,27,2.379,31
1,7,2012,0.0007809,33,22,41,36.32,33,13.1,41,2.662,50
1,8,2012,0.000534,34,20.5,42,33.24,34,14.6,42,3.228,48
1,9,2012,0.002014,57,20,66,34.53,57,9.612,66,2.997,71
1,10,2012,0.001042,55,20,63,32.88,55,9.839,63,3.165,65
1,11,2012,0.0009019,79,22,83,33.93,79,10.7,83,3.207,96
1,12,2012,0.001751,62,22,75,40.1,62,8.034,75,3.246,97
1,13,2012,0.001678,62,21,63,36.13,62,8.752,63,2.468,88
1,14,2012,0.001272,87,21,93,35.07,87,7.848,93,2.927,102
1,15,2012,0.001984,97,20,101,33.34,97,7.426,101,3.165,116
1,16,2012,0.001927,77,21,82,33.73,77,7.146,82,3.054,95
1,17,2012,0.001585,96,21,98,36.68,96,6.819,98,3.209,107
1,18,2012,0.002224,112,22,113,39.57,112,6.117,113,3.236,127
1,19,2012,0.00233,153,23,155,44.02,153,4.89,155,3.243,169
1,20,2012,0.003091,145,22,146,41.04,145,4.505,146,3.207,154
1,21,2012,0.00305,130,22,132,41.15,130,4.855,132,2.883,151
1,22,2012,0.002055,118,22,120,39.7,118,6.348,120,2.862,143
1,23,2012,0.002092,79,22,82,39.67,79,7.928,82,3.045,93
2,0,2012,0.0006806,48,22,59,39.76,48,15.28,59,3.404,67
2,1,2012,0.0008281,42,20,55,36.83,42,15.61,55,2.98,60
2,2,2012,0.0008463,36,21,50,37.71,36,15.91,50,3.239,56
2,3,2012,0.0007323,30,22,46,36.01,30,15.46,46,3.21,47
2,4,2012,0.0009968,11,19,22,34.89,11,15.77,22,2.675,24
2,5,2012,0.0009435,30,22,47,42.68,31,13.05,47,2.648,52
2,6,2012,0.0007427,37,20,48,37.86,37,19.5,48,2.769,60
2,7,2012,0.0007962,16,19.5,24,33.89,16,10.72,24,1.983,30
2,8,2012,0.0009389,51,22,62,37.8,51,12.36,62,3.193,68
2,9,2012,0.001124,46,22,57,34.47,46,12.94,57,3.26,64
2,10,2012,0.0008223,46,23,54,37.92,46,9.512,54,2.881,63
2,11,2012,0.001074,61,21,65,33.94,61,12.74,65,3.241,76
2,12,2012,0.001031,90,20.5,104,34.89,91,10.18,104,3.083,117
2,13,2012,0.0009174,73,21,86,34.52,73,11.18,86,3.406,96
