month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.007375,33,29,93,139.5,33,14.85,93,4.165,101
1,2,2012,0.007562,41,27,105,157.5,41,13.8,105,4.005,119
1,3,2012,0.007496,51,32,93,163.6,51,13.09,93,2.629,106
1,4,2012,0.004243,42,32,84,146.7,42,14.08,84,4.001,92
1,5,2012,0.003659,55,41,85,106.5,55,9.245,85,2.49,97
1,6,2012,0.005984,32,32,95,101,32,11.11,95,1.471,112
1,7,2012,0.006808,40,34,92,138.6,40,6.563,92,0.6206,115
1,8,2012,0.008086,49,34.5,94,97.91,49,16.95,94,3.199,115
1,9,2012,0.007246,29,20,59,125.3,29,15.54,59,3.939,74
1,10,2012,0.008059,36,49,77,137.9,36,12.39,77,4.607,85
1,11,2012,0.003814,33,26,89,127.2,33,9.679,89,1.885,101
1,12,2012,0.003121,41,19,81,91.43,41,12,81,1.486,100
1,13,2012,0.004322,39,31,92,90.5,39,13.76,92,3.555,110
1,14,2012,0.003343,60,27,97,100.2,60,9.426,97,1.559,112
1,15,2012,0.001701,74,31,103,93.31,74,7.043,103,1.823,116
1,16,2012,0.002973,72,33,100,82.09,72,9.395,100,3.64,115
1,17,2012,0.001908,51,29,88,63.21,51,7.864,88,1.979,99
1,18,2012,0.001937,48,34,91,112,48,7.862,91,1.335,101
1,19,2012,0.009105,46,32,108,142.7,46,6.934,108,0.9625,119
1,20,2012,0.0033,29,33,75,161.3,29,14.25,75,3.93,89
1,21,2012,0.007316,54,35,107,136.5,54,6.427,107,1.164,121
1,22,2012,0.007355,40,34,107,148.9,40,7.785,107,0.6199,129
1,23,2012,0.005976,52,39,115,156.3,52,10.05,115,1.883,122
1,24,2012,0.006034,30,27,83,118.8,30,10.36,83,3.519,91
1,25,2012,0.007502,48,30,91,128.9,48,11.87,91,2.897,104
1,26,2012,0.00536,38,15,92,91.43,38,13.45,92,3.96,97
1,27,2012,0.007256,38,38,83,149,38,6.935,83,0.7145,92
1,28,2012,0.006244,46,30,103,139.4,46,10.62,103,0.8141,124
1,29,2012,0.007179,47,29,105,127,47,12.86,105,3.453,111
1,30,2012,0.007861,41,39,83,137.6,41,8.877,83,1.114,96
1,31,2012,0.005237,31,28.5,68,76.12,31,10.93,68,2.024,82
2,1,2012,0.005437,41,27,83,132.1,41,15.23,83,4.369,97
