month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.006338,198,36,427,119.4,198,13.22,427,2.164,480
1,2,2012,0.005817,226,24,447,101.6,228,12.63,447,3.472,514
1,3,2012,0.005745,195,22,397,96.65,195,14.36,397,3.837,451
1,4,2012,0.005473,155,22,371,102.2,155,12.02,371,2.89,444
1,5,2012,0.005556,148,22,336,93.07,148,12.04,336,1.639,408
1,6,2012,0.005109,164,22,385,90.23,164,11.56,385,2.216,450
1,7,2012,0.005282,172,20,394,97.61,172,14.96,394,3.777,474
1,8,2012,0.005707,228,22,486,103.3,228,11.84,487,3.482,555
1,9,2012,0.005917,152,21,345,101.5,152,13.14,345,3.344,398
1,10,2012,0.004986,164,20,375,85.17,164,14.4,375,4.035,435
1,11,2012,0.005992,180,24,423,90.72,181,10.37,423,2.291,499
1,12,2012,0.005769,162,20,385,96.05,162,15.14,385,3.909,447
1,13,2012,0.004681,156,20,367,96.61,157,13.79,367,3.379,454
1,14,2012,0.005416,179,19,425,89.71,179,14.09,425,3.697,485
1,15,2012,0.006068,208,22,453,87.85,209,12.62,453,3.614,523
1,16,2012,0.005147,203,21,442,84.23,203,12.94,442,2.787,529
1,17,2012,0.007111,176,24,385,89.04,176,9.497,385,0.6203,475
1,18,2012,0.006203,160,20,343,91.76,160,10.76,343,3.885,372
1,19,2012,0.006138,182,20,389,105.4,182,14.43,389,3.912,458
1,20,2012,0.005935,185,22,397,99.37,185,14.53,397,3.932,446
1,21,2012,0.006942,205,22,493,101.9,205,10.84,493,2.545,577
1,22,2012,0.005688,190,20,434,87.36,190,14.16,434,3.631,491
1,23,2012,0.005618,152,21,367,84.7,152,13.03,367,3.267,425
1,24,2012,0.005129,159,21,393,97.67,159,14.44,393,3.413,465
1,25,2012,0.006245,162,22,367,106.1,162,12.81,367,3.073,448
1,26,2012,0.005333,165,20,390,99.49,165,12.48,390,3.512,447
1,27,2012,0.005859,175,22,404,82.87,177,13.73,404,3.506,463
1,28,2012,0.005028,196,20,460,87.71,196,14.79,460,3.865,508
1,29,2012,0.005618,227,20,535,95.68,228,13.86,535,3.619,625
1,30,2012,0.005144,157,22,351,89.94,157,12.79,351,3.738,398
1,31,2012,0.005707,157,20,329,100.4,157,15.32,329,3.165,398
2,1,2012,0.005476,150,25,343,108.5,150,12.58,343,2.783,387
2,2,2012,0.005339,168,22.5,346,96.74,168,13.22,346,3.277,394
2,3,2012,0.005964,149,22,359,96.97,149,14.23,359,3.087,430
2,4,2012,0.005364,187,20,454,86.45,188,13.3,454,3.657,518
2,5,2012,0.00539,179,22,417,85.92,179,11.53,417,2.733,487
2,6,2012,0.005621,157,22,372,90,158,13.52,372,2.588,448
2,7,2012,0.004808,158,20,357,77.1,158,13.9,357,3.794,412
2,8,2012,0.005361,173,22,399,98.25,173,11.82,399,3.674,450
2,9,2012,0.005741,176,21,481,85.12,176,14.79,481,3.514,552
2,10,2012,0.005241,206,27,443,102.2,206,9.124,443,3.175,517
2,11,2012,0.004899,212,20,512,88.65,214,14.66,512,3.81,593
2,12,2012,0.006251,240,21,566,102.1,240,12.9,566,3.453,633
2,13,2012,0.004965,172,20,403,98.15,172,15.11,403,3.936,465
2,14,2012,0.0051,147,20.5,350,93.89,147,13.78,350,3.395,418
2,15,2012,0.005256,165,22,384,100.6,165,13.93,384,3.414,446
2,16,2012,0.00398,150,22,378,92.49,150,15.05,378,3.772,432
2,17,2012,0.005119,163,21,398,101,163,13.18,398,3.351,464
2,18,2012,0.005202,253,21,574,80.28,253,14.02,575,4.028,630
2,19,2012,0.0037,207,21,500,93.53,207,14.17,500,3.652,606
2,20,2012,0.005079,216,21,500,84.3,217,13.85,500,3.876,552
2,21,2012,0.005058,185,20,439,95.69,185,13.21,439,3.709,500
2,22,2012,0.005916,177,20,423,100.1,177,15.84,423,3.85,484
2,23,2012,0.004829,175,24,414,108.5,175,9.943,414,2.505,470
2,24,2012,0.005498,185,23,447,88.67,185,9.721,447,1.065,538
2,25,2012,0.005515,196,20,487,85.7,196,13.08,487,3.454,571
2,26,2012,0.004386,205,20,544,89.05,205,14.56,544,3.812,616
2,27,2012,0.005155,161,20,451,86.4,161,15.12,451,3.611,526
2,28,2012,0.005721,176,26,420,78.87,176,9.425,420,2.53,485
2,29,2012,0.005615,167,25,396,114,167,10.77,396,2.211,466
3,1,2012,0.00558,181,27,434,100.7,181,12.97,434,1.142,554
3,2,2012,0.006043,189,22,435,104,189,14.89,435,3.251,509
3,3,2012,0.005557,225,22,554,95.52,225,11.72,554,3.014,637
3,4,2012,0.005753,265,23,563,90.11,265,12.04,563,3.413,635
3,5,2012,0.006798,196,21,487,99.34,196,14.68,487,3.253,563
3,6,2012,0.005505,225,21.5,530,68.68,225,14.95,530,3.934,589
3,7,2012,0.005226,151,20,406,101.1,151,13.85,406,3.61,472
3,8,2012,0.006235,140,31,332,112.3,142,6.765,332,1.327,390
3,9,2012,0.005885,155,20,383,102.1,155,13.86,383,3.612,442
3,10,2012,0.006315,194,21,490,95.93,194,13.35,490,3.967,544
3,11,2012,0.004744,253,19,523,71.6,253,13.35,523,4.042,593
3,12,2012,0.005888,214,19.5,462,73.48,214,9.68,462,2.37,558
3,13,2012,0.005111,171,22,402,96.37,171,11.02,402,3.374,451
3,14,2012,0.005882,162,23,386,105.2,162,14.91,386,3.523,426
3,15,2012,0.005696,165,20,359,100.5,167,16.47,359,4.219,405
3,16,2012,0.005185,179,20,409,78.83,179,14.59,409,3.738,469
3,17,2012,0.00491,181,20,460,87.36,183,14.22,460,3.574,529
3,18,2012,0.004954,184,21,450,73.85,184,12.55,450,3.216,503
3,19,2012,0.004731,156,19,387,80.06,157,13.85,387,4.053,456
3,20,2012,0.00608,115,20,333,86.56,115,13.2,333,3.653,377
3,21,2012,0.005228,153,20,387,99.89,153,15.46,387,3.973,436
3,22,2012,0.004758,183,20.5,392,98.12,183,13.36,392,3.487,470
3,23,2012,0.005927,159,22,387,68.86,159,14.28,387,3.385,456
3,24,2012,0.004215,218,19,487,88.06,218,13.72,487,3.339,580
3,25,2012,0.0053,210,25,515,106.3,210,10.73,515,1.405,595
3,26,2012,0.004756,195,22,425,85.65,195,10.39,425,2.485,489
3,27,2012,0.005692,156,23,387,99.62,156,11.41,387,1.444,459
3,28,2012,0.005383,167,22.5,366,91.51,168,11.15,366,2.565,420
3,29,2012,0.005388,196,23,431,101.8,196,10.56,431,1.604,497
3,30,2012,0.005451,159,20,365,69.66,159,15.13,365,4.038,420
3,31,2012,0.005202,181,20,449,83.08,182,13.93,449,3.636,521
4,1,2012,0.003989,170,21,412,87.73,170,9.703,412,1.787,482
4,2,2012,0.004924,194,22,420,87.93,194,12.37,420,3.041,487
4,3,2012,0.003512,163,20,385,87.66,163,13.95,385,3.977,428
4,4,2012,0.005067,183,20,412,94.31,183,13.58,412,3.669,462
4,5,2012,0.005444,182,24.5,398,89.11,182,11.48,398,1.486,469
4,6,2012,0.00463,201,20,471,77.77,203,14.09,471,3.998,550
4,7,2012,0.004425,183,19,455,100.2,183,14.85,455,4.093,508
4,8,2012,0.00547,203,21,427,89.57,203,12.04,427,2.974,488
4,9,2012,0.002814,163,19,366,87.11,164,14.62,366,3.922,429
