month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.005404,247,22,247,92.08,247,10.25,247,3.882,617
1,1,2012,0.006073,203,33,203,104,203,7.931,203,3.49,527
1,2,2012,0.005429,144,21,144,100.3,144,12.3,144,4.074,348
1,3,2012,0.006275,114,20,114,95.23,114,12.67,114,4.173,289
1,4,2012,0.005349,125,22,125,92.9,125,15.87,125,4.258,255
1,5,2012,0.007342,99,24,99,108.8,99,22.22,99,3.68,217
1,6,2012,0.00667,92,27,93,115.4,93,17.85,93,4.14,207
1,7,2012,0.007038,122,24.5,122,106.1,122,13.72,122,3.975,273
1,8,2012,0.00636,129,20,130,96.19,130,15.79,130,3.374,330
1,9,2012,0.005565,155,24,155,100.6,155,15.69,155,4.136,401
1,10,2012,0.006006,182,22,182,101.2,182,9.106,182,3.296,496
1,11,2012,0.00592,172,27,172,101.1,172,5.873,172,2.977,517
1,12,2012,0.004926,226,22,226,84.4,226,7.869,226,3.759,619
1,13,2012,0.00559,245,22,246,87.02,246,10.02,246,3.364,673
1,14,2012,0.005904,249,25,249,100.8,249,8.522,249,3.054,717
1,15,2012,0.005189,258,25,259,83.69,259,6.794,259,3.426,735
1,16,2012,0.005422,311,25,312,87.89,312,6.717,312,3.133,802
1,17,2012,0.00547,309,24,309,87.09,309,8.422,309,2.008,875
1,18,2012,0.004944,337,26,337,95.8,337,4.956,337,2.278,884
1,19,2012,0.005036,354,25,355,96.87,355,6.573,355,3.72,944
1,20,2012,0.006009,387,29,387,105.5,387,6.093,387,2.129,1024
1,21,2012,0.006075,394,29,395,99.07,395,6.408,395,3.166,1032
1,22,2012,0.005499,377,25,377,89.27,377,7.574,378,3.166,983
1,23,2012,0.004228,307,22.5,308,92.01,308,8.811,308,3.048,777
2,0,2012,0.005123,187,22,187,114.1,187,8.577,187,2.845,607
2,1,2012,0.00438,178,27,178,103.2,178,9.684,178,3.252,479
2,2,2012,0.005532,131,21,131,107.6,131,12.85,131,3.735,368
2,3,2012,0.006416,108,21,108,113.2,108,14.45,108,4.176,253
2,4,2012,0.005741,103,20,103,113.9,103,20.48,103,3.909,236
2,5,2012,0.00645,105,26,105,115,105,12.28,105,2.148,234
2,6,2012,0.006169,110,22,110,90.28,110,16.25,110,4.212,237
2,7,2012,0.006682,123,32,123,100.6,123,11.31,123,3.335,293
2,8,2012,0.006185,136,29,137,95.67,137,8.86,137,3.816,389
2,9,2012,0.005401,152,34,153,107.3,153,12.28,153,1.607,444
2,10,2012,0.005177,212,21,212,70.48,212,9.511,212,3.87,604
2,11,2012,0.005223,182,20,182,82.51,182,10.85,182,3.416,594
2,12,2012,0.004679,196,22,196,88,196,8.262,196,3.35,602
2,13,2012,0.005293,218,24.5,218,96.15,218,9.071,218,3.772,627
2,14,2012,0.005988,219,25,220,100.3,220,6.468,220,2.531,643
2,15,2012,0.004804,306,28.5,306,96.35,306,6.647,306,1.636,778
2,16,2012,0.004276,310,25.5,310,97.96,310,7.456,310,3.656,809
2,17,2012,0.004044,294,24,295,80.91,295,7.187,295,3.735,804
2,18,2012,0.005206,329,25,329,85.18,330,6.115,330,3.454,953
2,19,2012,0.004977,323,33,323,91.41,323,5.439,323,3.569,901
2,20,2012,0.005799,375,33,375,86.93,375,5.445,375,3.412,996
2,21,2012,0.005043,356,23.5,356,86.87,356,8.742,356,3.572,963
2,22,2012,0.005161,317,28,317,82.85,317,6.117,317,3.457,845
2,23,2012,0.004571,285,24,285,83.51,285,8.469,285,3.456,831
3,0,2012,0.005488,271,22,272,83.59,272,9.43,272,3.522,691
3,1,2012,0.00605,196,35,196,94.75,196,7.955,196,1.609,526
3,2,2012,0.00619,114,21.5,114,92.63,114,16.37,114,3.737,379
3,3,2012,0.006278,121,22,121,106.5,121,16.47,121,4.127,309
3,4,2012,0.006471,97,31,97,117.8,97,15.32,97,0.7799,233
3,5,2012,0.006056,85,31,85,119.6,85,14.89,85,3.718,219
3,6,2012,0.006063,101,20,101,105.8,101,22.63,101,3.915,254
3,7,2012,0.006213,128,20,128,100.6,128,18.45,128,4.032,321
3,8,2012,0.006321,152,22,152,102.2,152,14.71,152,3.933,411
3,9,2012,0.006196,161,24,161,96.99,161,13.57,161,3.492,462
3,10,2012,0.005186,203,26,203,98.64,203,7.853,203,2.44,529
3,11,2012,0.005429,217,22,217,85.41,217,8.595,217,3.232,586
