month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.001248,117,13,117,42.56,117,11.36,117,1.687,181
1,2,2012,0.001903,142,13,142,46.88,142,8.739,142,1.687,195
1,3,2012,0.001542,105,14,105,45.53,105,11.15,105,1.689,167
1,4,2012,0.00199,108,12,108,43.65,108,10.31,108,1.688,161
1,5,2012,0.002228,87,12,87,41.84,87,11.72,87,1.689,142
1,6,2012,0.001763,109,13,109,43.59,109,10.94,109,1.688,166
1,7,2012,0.002086,88,13.5,88,47.56,88,9.432,88,1.684,160
1,8,2012,0.001885,118,15,118,44.05,118,8.912,118,1.689,191
1,9,2012,0.00161,99,14,99,44.28,99,9.909,99,1.687,166
1,10,2012,0.0009945,89,13,89,41.26,89,10.8,89,1.689,145
1,11,2012,0.001332,109,13,109,42.77,109,10.74,109,1.687,163
1,12,2012,0.00161,85,16,85,49.86,85,12.17,85,1.69,136
1,13,2012,0.0009144,103,12,103,38.23,103,13.55,103,1.722,177
1,14,2012,0.001296,119,14,119,45.15,119,11.3,119,1.725,203
1,15,2012,0.00156,117,14,117,44.35,117,9.346,117,1.687,173
1,16,2012,0.002199,113,14,113,46.58,113,9.905,113,1.688,166
1,17,2012,0.002788,72,17,72,45.32,72,9.726,72,1.649,126
1,18,2012,0.001303,85,13,85,43.03,85,10.15,85,1.683,161
1,19,2012,0.002274,90,14,90,51.34,90,10.85,90,1.685,143
1,20,2012,0.001937,83,14,83,46.41,83,12.34,83,1.701,134
1,21,2012,0.001942,136,16,136,50.13,136,9.374,136,1.685,217
1,22,2012,0.001762,114,14.5,114,48.49,114,9.694,114,1.687,170
1,23,2012,0.001358,100,13,100,47.85,100,11.21,100,1.688,141
1,24,2012,0.001216,87,13,87,42.33,87,12.49,87,1.688,145
1,25,2012,0.001061,73,13,73,39.96,73,14.07,73,1.687,134
1,26,2012,0.001662,99,13,99,43.49,99,9.435,99,1.687,157
1,27,2012,0.001863,95,14,95,43.57,95,12.39,95,1.693,159
1,28,2012,0.001849,114,13,114,46.72,114,11.5,114,1.686,199
1,29,2012,0.001317,110,14,110,44.14,110,10.47,110,1.687,180
1,30,2012,0.001878,95,14,95,41.25,95,13.13,95,1.689,153
1,31,2012,0.001401,75,13,75,42.88,75,11.55,75,1.688,125
2,1,2012,0.001632,62,12.5,62,45.42,62,13.19,62,1.682,110
2,2,2012,0.001134,90,13.5,90,49.59,90,9.709,90,1.684,150
2,3,2012,0.0017,65,15,65,46.54,65,11.65,65,1.689,116
2,4,2012,0.001069,108,12,108,44.66,108,12.47,108,1.685,189
2,5,2012,0.001709,99,14,99,46.33,99,11.26,99,1.673,175
2,6,2012,0.001319,117,12,117,42.55,117,12.49,117,1.687,193
2,7,2012,0.001405,94,12,94,44.27,94,12.2,94,1.687,152
2,8,2012,0.002383,91,12,91,47.24,91,13.12,91,1.688,149
2,9,2012,0.001468,102,13,102,46.32,102,11.08,102,1.685,193
2,10,2012,0.0016,92,13.5,92,48.01,92,13.52,92,1.687,161
2,11,2012,0.001903,128,12,128,42.81,128,14.08,128,1.688,208
2,12,2012,0.001429,151,13,150,44.18,150,11.79,151,1.685,218
2,13,2012,0.00132,74,13,74,42.89,74,13.6,74,1.647,126
2,14,2012,0.001871,94,12,94,43.18,94,13.75,94,1.653,162
2,15,2012,0.001257,84,12,84,42.77,84,14.64,84,1.683,152
2,16,2012,0.001302,99,13,99,40.98,99,11.96,99,1.686,152
2,17,2012,0.00149,125,14,125,43.58,125,10.98,125,1.687,201
2,18,2012,0.001084,124,13,124,47.57,124,12.2,124,1.683,213
2,19,2012,0.001941,128,12.5,128,44.83,128,11.07,128,1.687,218
2,20,2012,0.001201,93,13,93,49.36,93,9.705,93,1.685,182
2,21,2012,0.001119,93,13,93,44.23,93,13.11,93,1.687,177
2,22,2012,0.0007875,87,12,87,35.95,87,13.86,87,1.688,151
2,23,2012,0.001305,98,11,98,39.7,98,13.03,98,1.685,192
2,24,2012,0.001665,105,12,105,45.75,105,12.49,105,1.682,185
2,25,2012,0.001797,87,13,87,51.63,87,10.98,87,1.685,177
2,26,2012,0.001359,127,12,127,42.45,127,12.91,127,1.683,214
2,27,2012,0.001555,73,12,73,42.08,73,12.31,73,1.686,136
2,28,2012,0.0009075,86,12,86,37.73,86,15.87,86,1.688,168
2,29,2012,0.001128,96,12,96,44.98,96,12.27,96,1.685,191
3,1,2012,0.001168,75,13,76,45.36,76,12.1,76,1.686,135
3,2,2012,0.002596,89,12,89,46.35,89,13.08,89,1.686,148
3,3,2012,0.001281,97,12,97,43.55,97,13.09,97,1.687,177
3,4,2012,0.001291,141,13,141,42.83,141,12.04,141,1.686,221
3,5,2012,0.001311,101,12,101,44.94,101,10.47,101,1.683,173
3,6,2012,0.002249,96,12,96,48.29,96,11.2,96,1.647,158
3,7,2012,0.002225,65,12,65,47.09,65,9.798,65,1.684,155
3,8,2012,0.001139,69,13,69,45.68,69,15.87,69,1.687,142
3,9,2012,0.002402,75,12,75,44.72,75,10.37,75,1.689,132
3,10,2012,0.001466,105,12.5,106,44.17,106,13.36,106,1.687,207
3,11,2012,0.001964,111,13,111,51.64,111,11.28,111,1.687,207
3,12,2012,0.001617,85,13,86,46.04,86,12.9,86,1.646,155
3,13,2012,0.0008851,66,12,66,42.03,66,15.56,66,1.684,142
3,14,2012,0.001418,80,13.5,80,46.44,80,11.31,80,1.686,144
3,15,2012,0.001656,88,14,88,52.8,88,10.92,88,1.684,158
3,16,2012,0.001977,62,13,63,49.13,63,8.509,63,1.687,127
3,17,2012,0.00172,86,14,87,51.8,87,10.22,87,1.646,183
3,18,2012,0.001836,82,14,82,56.88,82,9.337,82,1.665,152
3,19,2012,0.001781,80,14.5,80,51.08,80,10.02,80,1.645,153
3,20,2012,0.001743,84,12.5,84,49.95,84,8.16,84,1.639,137
3,21,2012,0.002743,57,13.5,58,53.58,58,11.85,58,1.679,112
3,22,2012,0.001317,70,14,70,48.48,70,10.52,70,1.605,129
3,23,2012,0.00183,59,13,59,50.57,59,11.87,59,1.643,117
3,24,2012,0.001705,81,12,81,45.24,81,11.54,81,1.642,172
3,25,2012,0.002287,108,12.5,108,51.11,108,9.833,108,1.684,186
3,26,2012,0.001137,75,12,75,38.53,75,13.03,75,1.684,151
3,27,2012,0.001623,68,12,68,45.7,68,12.6,68,1.681,137
3,28,2012,0.002302,68,12,68,46.81,68,9.875,68,1.642,119
3,29,2012,0.001254,62,12,62,46.8,62,12.38,62,1.683,119
3,30,2012,0.001549,84,12,84,43.04,84,13.97,84,1.646,150
3,31,2012,0.0009509,114,12,114,38.22,114,16.13,114,1.687,206
4,1,2012,0.001243,89,12,89,38.19,89,14.69,89,1.688,185
4,2,2012,0.001135,81,12,81,45.05,81,13.5,81,1.724,148
4,3,2012,0.001078,79,11,79,38.38,79,16.36,79,1.685,128
4,4,2012,0.001271,70,12,70,35.92,70,12.71,70,1.686,140
4,5,2012,0.000963,103,12,103,37.18,103,17.63,103,1.702,172
4,6,2012,0.0008911,118,12,118,40.92,118,13.76,118,1.684,203
4,7,2012,0.001529,95,12,95,45.08,95,13.28,95,1.684,174
4,8,2012,0.0007983,98,12,98,38.7,98,14.39,98,1.687,208
4,9,2012,0.0006618,66,11,66,33.11,66,16.89,66,1.714,131
4,10,2012,0.001426,83,12,83,39.08,83,12.61,83,1.724,140
4,11,2012,0.0008087,90,12,90,39.78,90,13.88,90,1.714,187
4,12,2012,0.001215,98,12,98,42.94,98,13.85,98,1.688,184
4,13,2012,0.001469,87,12,87,38.34,87,13.74,87,1.686,159
4,14,2012,0.001032,89,12,89,42.51,89,14.4,89,1.682,166
4,15,2012,0.001974,98,12,98,41.54,98,13.65,98,1.684,178
4,16,2012,0.001108,63,12,63,43.25,63,15.2,63,1.682,139
4,17,2012,0.001807,60,11,60,34.25,60,11.03,60,1.683,134
4,18,2012,0.00117,66,12,66,34.1,66,15.87,66,1.686,135
