month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.003205,344,42,523,84.83,344,7.85,523,0.7892,559
1,2,2012,0.002967,416,42,658,92.48,416,8.528,658,0.7861,701
1,3,2012,0.003606,307,42,499,83.39,307,8.661,499,0.7826,522
1,4,2012,0.003071,306,43.5,476,93.46,306,7.846,476,0.7778,509
1,5,2012,0.002799,278,43,451,89.43,278,9.343,451,0.7817,472
1,6,2012,0.002709,325,39.5,510,79.92,325,8.887,510,0.7854,544
1,7,2012,0.003091,351,44,553,94.23,351,8.526,553,0.7885,577
1,8,2012,0.003185,354,44,609,87.95,354,8.549,609,0.784,645
1,9,2012,0.003078,309,44,508,92.29,309,8.68,508,0.7812,552
1,10,2012,0.004439,327,78,535,110.8,327,6.431,535,0.7847,567
1,11,2012,0.002863,312,45,485,91.78,312,9.25,485,0.7925,521
1,12,2012,0.003143,305,42,468,82.6,305,8.193,468,0.7728,504
1,13,2012,0.002955,309,42,501,83.61,309,8.841,501,0.7822,568
1,14,2012,0.002983,363,44,593,91.06,363,8.183,593,0.765,673
1,15,2012,0.002829,406,43,625,87.97,405,8.593,626,0.7828,660
1,16,2012,0.003019,335,43,552,89.13,335,9.225,552,0.7783,588
1,17,2012,0.003241,257,44,426,88.98,257,8.485,426,0.7717,453
1,18,2012,0.002636,275,44,471,90.97,275,9.207,471,0.782,501
1,19,2012,0.002568,296,44,461,86.68,296,9.205,461,0.7767,539
1,20,2012,0.002301,316,47,509,92.8,315,9.551,510,0.7694,548
1,21,2012,0.003013,422,46,633,97.56,422,8.125,633,0.791,663
1,22,2012,0.002938,353,42,580,88.71,353,8.69,580,0.7941,636
1,23,2012,0.002318,343,44,530,94.99,343,7.348,530,0.7868,565
1,24,2012,0.003412,295,42,477,74.86,295,9.278,477,0.7837,528
1,25,2012,0.003044,359,43,579,85.79,359,8.289,579,0.7925,598
1,26,2012,0.003138,302,41,499,74.3,302,8.466,499,0.7747,544
1,27,2012,0.002958,301,42,519,79.35,301,9.112,519,0.7906,559
1,28,2012,0.002586,376,44,609,83.9,376,9.116,609,0.7857,638
1,29,2012,0.0027,434,42,626,75.48,434,9.203,626,0.7778,697
1,30,2012,0.002882,342,41,500,73.09,342,9.61,500,0.7852,553
1,31,2012,0.00232,296,43,459,92.71,296,9.306,459,0.7825,518
2,1,2012,0.00285,263,44,477,78.87,263,9.755,477,0.7982,539
2,2,2012,0.003793,357,43,594,95.29,357,7.757,594,0.7634,613
2,3,2012,0.00304,308,44,517,90.55,309,9.891,517,0.7727,544
2,4,2012,0.00229,343,41,585,75.79,343,9.533,585,0.7859,631
2,5,2012,0.002753,365,43,569,91.94,365,9.25,569,0.7825,602
2,6,2012,0.002903,267,42,444,94.01,267,8.732,444,0.7989,478
2,7,2012,0.003325,320,43,552,89.89,320,9.237,552,0.784,584
2,8,2012,0.002966,234,44,450,91.98,234,10.02,450,0.779,500
2,9,2012,0.002934,317,42,541,70.75,317,9.746,541,0.7887,575
2,10,2012,0.002355,297,42,464,80.64,297,9.419,464,0.7741,501
2,11,2012,0.003265,386,40,606,78.83,386,9.462,606,0.7777,642
2,12,2012,0.002747,373,42,605,81.97,373,9.559,605,0.7989,627
2,13,2012,0.00279,315,43,521,85.61,315,9.017,521,0.7847,545
2,14,2012,0.003208,271,42,459,87.03,271,9.347,459,0.7867,491
2,15,2012,0.002632,312,43,494,75.48,312,9.2,494,0.7851,522
2,16,2012,0.002363,297,41,491,77.62,297,9.769,491,0.7797,524
2,17,2012,0.003276,276,40,459,80.93,276,9.778,459,0.7875,488
2,18,2012,0.002539,362,40,628,79.33,362,9.487,628,0.7885,673
2,19,2012,0.002646,370,42,593,83.2,370,9.19,593,0.7795,637
2,20,2012,0.003172,390,44,629,88.11,390,8.268,629,0.7832,668
2,21,2012,0.002607,303,43,514,81.01,304,8.774,514,0.7795,541
2,22,2012,0.002473,350,40,584,75.99,350,9.598,584,0.7713,613
2,23,2012,0.003328,388,40,588,80.13,388,9.213,588,0.7639,628
2,24,2012,0.003243,283,42,464,87.65,283,8.992,464,0.7628,516
2,25,2012,0.002318,360,41,589,81.39,361,9.337,589,0.7927,631
2,26,2012,0.002806,386,42,620,86.46,386,8.743,620,0.7894,683
2,27,2012,0.0029,329,47,581,93.17,329,8.914,581,0.7826,609
2,28,2012,0.002765,263,42,479,90.2,263,8.789,479,0.7853,516
2,29,2012,0.002841,307,41,524,86.18,308,9.143,524,0.7818,571
3,1,2012,0.002653,289,44,486,89,291,9.468,486,0.7869,534
3,2,2012,0.002428,320,44,569,95.22,321,9.289,569,0.7894,604
3,3,2012,0.002735,386,43.5,656,85.69,386,9.538,657,0.7986,707
3,4,2012,0.002647,367,43,638,82.06,367,9.262,638,0.7914,686
3,5,2012,0.003494,317,43,537,86.96,317,8.798,537,0.7894,572
3,6,2012,0.002139,309,43,512,83.06,309,8.88,512,0.7893,555
3,7,2012,0.003348,306,41,477,75.96,306,8.997,477,0.7988,515
3,8,2012,0.002842,289,40,495,70.42,291,9.313,495,0.7996,523
3,9,2012,0.002496,277,42,496,92.09,277,9.287,496,0.7972,527
3,10,2012,0.002628,329,45,543,91.59,329,8.979,543,0.7906,589
3,11,2012,0.002788,316,47,528,100.3,317,7.831,528,0.7949,573
3,12,2012,0.003009,277,44.5,476,85.73,278,7.78,476,0.7894,522
3,13,2012,0.003157,278,50,498,99.99,279,7.708,498,0.7904,539
3,14,2012,0.003064,249,47,427,96.76,253,9.074,427,0.7873,453
3,15,2012,0.00209,273,40,427,82.81,273,8.527,427,0.7988,460
3,16,2012,0.00258,247,44,434,85.64,249,7.687,434,0.8018,481
3,17,2012,0.00306,325,48,585,99.19,326,7.549,585,0.7973,622
3,18,2012,0.002823,302,47,511,101.3,303,8.814,511,0.7871,565
3,19,2012,0.002488,294,47,513,98.77,294,9.085,513,0.7971,551
3,20,2012,0.003532,231,46,402,95.42,231,8.185,402,0.7757,442
3,21,2012,0.002456,233,47,403,95.42,234,6.108,403,0.7725,452
3,22,2012,0.00213,241,44,405,96.72,243,9.3,405,0.7935,469
3,23,2012,0.002301,223,40,407,77.15,223,9.055,407,0.798,433
3,24,2012,0.003054,341,44,567,87.2,342,8.611,567,0.7962,603
3,25,2012,0.002285,337,45,600,88.74,336,9.031,601,0.7889,641
3,26,2012,0.002732,307,42.5,538,88.98,307,9.294,538,0.8012,576
3,27,2012,0.002805,294,49,479,95.63,294,8.569,479,0.7927,506
3,28,2012,0.005347,275,80,420,135.4,274,5.317,421,0.7868,459
3,29,2012,0.00278,238,48,414,93.02,238,8.071,414,0.8027,450
3,30,2012,0.002428,293,44,482,83.88,294,10.12,482,0.8024,509
3,31,2012,0.002351,385,39,658,70.47,385,10.98,658,0.8047,684
4,1,2012,0.002744,384,42,632,76.13,383,9.657,633,0.7973,679
4,2,2012,0.002305,324,40,576,67.96,324,10.63,576,0.8023,609
4,3,2012,0.002826,301,44,498,85.07,301,9.419,498,0.8046,515
4,4,2012,0.002176,271,44,490,78.17,271,9.451,490,0.8039,510
4,5,2012,0.002337,290,44,486,74.93,290,10.57,486,0.8021,527
4,6,2012,0.00212,250,44,507,64.37,250,9.411,507,0.8027,550
4,7,2012,0.00229,320,44,541,74.29,320,9.354,541,0.7993,596
4,8,2012,0.002713,274,44,498,75.79,274,8.854,498,0.8061,558
4,9,2012,0.002592,312,38,482,74.36,312,10.21,482,0.8023,537
4,10,2012,0.002668,312,41,499,68.58,312,9.517,499,0.8038,521
4,11,2012,0.002303,288,43,471,79.05,288,9.242,471,0.8035,487
4,12,2012,0.0025,257,40,431,73.12,257,9.318,431,0.8024,446
4,13,2012,0.002708,290,42,472,79.85,290,9.129,472,0.8033,499
4,14,2012,0.002511,312,43,540,80.86,312,10.22,540,0.8028,567
4,15,2012,0.00278,364,44,595,86.93,364,8.934,595,0.8013,615
4,16,2012,0.002469,288,42,465,69.82,288,9.267,465,0.802,498
4,17,2012,0.002439,246,43,401,67.34,246,9.889,401,0.8044,439
4,18,2012,0.002117,233,41,393,68.2,233,9.868,393,0.8028,448
4,19,2012,0.00203,237,38,414,64.31,237,10.52,414,0.8079,451
4,20,2012,0.002604,190,42,342,80.19,190,11.23,342,0.8053,355
4,21,2012,0.002533,336,43,528,74.05,336,9.663,528,0.8079,550
4,22,2012,0.002178,363,42,620,69.36,363,8.908,620,0.8026,651
