month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.003474,604,76,963,101.6,604,7.848,963,0.7799,1022
1,1,2012,0.003115,427,78,725,106.9,426,8.145,726,0.7787,776
1,2,2012,0.003194,368,79,581,104.5,368,7.863,581,0.7824,615
1,3,2012,0.002271,275,79,448,103.2,275,8.408,448,0.7799,477
1,4,2012,0.003123,184,79,305,96.38,184,8.129,305,0.7714,343
1,5,2012,0.002267,152,58,247,90.07,152,9.969,247,0.7823,275
1,6,2012,0.002318,117,43,212,74.64,117,9.878,212,0.7854,237
1,7,2012,0.002582,133,38,223,66.22,133,11.29,223,0.7449,253
1,8,2012,0.002581,195,38,302,58.31,195,10.87,302,0.7645,341
1,9,2012,0.002251,232,39,392,59.23,232,10.48,392,0.8034,427
1,10,2012,0.002097,280,38,455,65.26,280,11.45,455,0.7751,507
1,11,2012,0.002501,333,40,538,62.57,333,8.694,538,0.7875,581
1,12,2012,0.002232,383,41,649,74.12,383,9.403,649,0.7735,695
1,13,2012,0.002489,417,43,646,80.94,417,8.93,646,0.79,710
1,14,2012,0.002773,456,42,746,90.27,456,9.21,746,0.7938,806
1,15,2012,0.002681,493,43,812,88.19,493,8.615,812,0.7847,882
1,16,2012,0.003147,572,43,921,90.71,572,8.419,921,0.7853,986
1,17,2012,0.003108,577,43,932,86.22,576,8.268,933,0.7833,995
1,18,2012,0.002967,626,41,1004,80.34,626,9.502,1004,0.7839,1062
1,19,2012,0.003273,678,41.5,1054,82.31,678,8.323,1054,0.7852,1123
1,20,2012,0.0033,730,42,1080,88.07,730,8.346,1080,0.7794,1159
1,21,2012,0.003445,733,43,1135,92.36,733,7.743,1135,0.7835,1238
1,22,2012,0.003101,641,45,1010,96.02,641,8.311,1010,0.7859,1074
1,23,2012,0.003643,708,45,1044,96.63,708,7.854,1044,0.7821,1118
2,0,2012,0.003257,491,49.5,842,100.5,491,8.262,842,0.7731,888
2,1,2012,0.002841,435,78,735,101.9,435,8.204,735,0.7819,790
2,2,2012,0.002812,277,79,521,104.1,277,8.621,521,0.7858,549
2,3,2012,0.002581,203,79,360,105.2,203,8.992,360,0.7736,393
2,4,2012,0.00337,146,79,279,100.4,146,8.496,279,0.7807,299
2,5,2012,0.002812,124,47,225,93.15,124,11.34,225,0.7655,242
2,6,2012,0.002525,126,48,214,93.31,126,9.867,214,0.7697,230
2,7,2012,0.00261,140,39,240,61.08,140,11.34,240,0.7871,259
2,8,2012,0.002639,171,36,307,61.8,171,11.77,307,0.7993,327
2,9,2012,0.002056,200,38,349,64.19,200,11.47,349,0.7971,385
2,10,2012,0.00315,280,37,439,69.86,280,10.44,439,0.7861,480
2,11,2012,0.002348,305,40,550,73.36,305,10.11,550,0.8015,587
2,12,2012,0.002782,384,41,615,76.35,384,9.335,615,0.7844,654
2,13,2012,0.002741,404,40,689,77.36,405,9.941,689,0.7942,740
2,14,2012,0.00305,409,42,699,90.36,409,9.368,699,0.7785,758
2,15,2012,0.002663,466,40,736,74.26,466,9.606,736,0.7884,790
2,16,2012,0.002842,537,40,855,74.94,537,9.635,855,0.7851,920
2,17,2012,0.002383,494,41,857,75.94,495,9.569,857,0.7947,902
2,18,2012,0.002768,598,40,961,78.55,598,8.982,961,0.7795,1049
2,19,2012,0.002736,630,41,1023,81.88,630,9.082,1023,0.7795,1081
2,20,2012,0.002625,637,40,1036,73.07,638,9.245,1036,0.7889,1087
2,21,2012,0.003642,699,41,1082,93.14,699,7.703,1082,0.7749,1150
2,22,2012,0.003425,671,41,1056,85.52,671,8.617,1056,0.7748,1118
2,23,2012,0.003049,565,45,951,95.28,566,8.791,951,0.7744,1014
3,0,2012,0.003577,496,77,903,104.6,498,8.201,903,0.7955,960
3,1,2012,0.003164,346,79,664,111.3,347,7.571,664,0.7926,716
3,2,2012,0.002866,302,80,568,110.5,304,7.946,568,0.7814,613
3,3,2012,0.003327,232,80,428,115,232,5.983,428,0.7801,464
3,4,2012,0.002433,160,79,314,108.2,161,8.712,314,0.7838,348
3,5,2012,0.002573,124,79,228,96.22,124,9.442,228,0.7836,249
3,6,2012,0.001755,136,48,261,94.86,136,11.02,261,0.8033,281
3,7,2012,0.001796,155,39,264,88.29,156,11.52,264,0.8021,283
3,8,2012,0.002259,170,36,292,72.05,170,10.82,292,0.803,319
3,9,2012,0.002216,207,35,337,74.64,208,10.05,337,0.7996,372
3,10,2012,0.002471,280,36,445,70.74,280,9.649,445,0.8037,481
3,11,2012,0.002155,305,38,504,76.99,305,9.744,504,0.8022,550
3,12,2012,0.002855,357,42,603,84.74,357,9.382,603,0.7982,646
