month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.03373,1,61,1,132.6,1,1.809,1,1.422,3
1,2,2012,0.009304,2,41.5,2,49.23,2,4.649,2,5.438,2
1,3,2012,6.839e-05,1,42,1,89.12,1,16.67,1,6.542,2
1,5,2012,0.0004774,1,40,1,46.92,1,9.609,1,1.496,2
1,7,2012,0.01401,1,128,1,156.2,1,4.993,1,3.723,2
1,8,2012,0.002706,1,40,1,59,1,9.351,1,3.974,1
1,9,2012,0.006238,3,42,3,139.1,3,4.178,3,3.595,4
1,10,2012,nan,0,nan,0,nan,0,nan,0,1.21,2
1,12,2012,0.0003098,1,37,1,51.01,1,14.94,1,4.092,1
1,13,2012,0.001251,2,43.5,2,81.28,2,10.77,2,0.9461,2
1,14,2012,0.005473,1,46,1,220.4,1,1.457,1,2.625,2
1,15,2012,0.004799,3,42,3,82.3,3,10.23,3,0.8596,4
1,16,2012,0.004778,2,62,2,91.6,2,8.79,2,1.744,3
1,17,2012,nan,0,nan,0,nan,0,nan,0,0.4382,1
1,19,2012,0.004956,1,42,1,71.46,1,7.819,1,1.487,1
1,20,2012,0.003606,1,41,1,67.5,1,55.87,1,3.487,2
1,21,2012,0.002211,4,44.5,4,79.08,4,12.13,4,3.971,5
1,22,2012,0.003079,2,45.5,2,213.4,2,7.148,2,1.683,4
1,23,2012,0.005552,3,50,3,239.8,3,4.579,3,1.447,3
1,24,2012,0.003177,3,39,3,50.52,3,8.631,3,4.291,3
1,25,2012,0.003705,2,43,2,82.89,2,7.611,2,1.64,3
1,26,2012,0.002212,3,41,3,64.47,3,43.89,3,6.866,4
1,27,2012,0.005017,3,44,3,68.37,3,9.363,3,1.532,5
1,28,2012,0.005272,1,41,1,77.9,1,32.51,1,4.226,1
1,29,2012,0.001971,2,61,2,68.45,2,9.54,2,5.046,2
1,31,2012,0.004835,2,63,2,75.9,2,17.26,2,4.053,3
2,2,2012,0.0009913,4,42,4,81.91,4,8.251,4,1.704,4
2,4,2012,0.01164,1,42,1,82.46,1,19.77,1,1.252,2
2,6,2012,0.0866,1,46,1,1600,1,0.7078,1,1.218,1
2,8,2012,0.001843,2,39.5,2,54.15,2,5.9,2,1.566,2
2,10,2012,nan,0,nan,0,nan,0,nan,0,1.125,1
2,11,2012,0.0009147,3,40,3,54.15,3,14.3,3,1.345,4
2,14,2012,0.01251,2,97,2,325,2,0.3304,2,0.03227,2
2,15,2012,0.003793,1,44,1,138.6,1,3.304,1,1.454,1
2,16,2012,0.002253,1,46,1,74.04,1,5.104,1,2.812,1
2,17,2012,0.003485,1,41,1,52.98,1,4.959,1,1.591,1
2,18,2012,0.0036,1,42,1,55.07,1,8.615,1,1.726,3
2,19,2012,0.000633,1,38,1,48.77,1,7.292,1,1.571,2
2,20,2012,0.002568,1,42,1,53.17,1,14.84,1,4.371,1
2,21,2012,0.002218,1,43,1,51.96,1,10.91,1,1.688,3
2,22,2012,nan,0,nan,0,nan,0,nan,0,1.309,1
2,23,2012,0.0006778,2,39,2,57.63,2,17.18,2,1.697,3
2,24,2012,0.004524,1,36,1,53.27,1,39.02,1,34.34,2
2,25,2012,6.04e-05,1,39,1,69.47,1,19.05,1,0.951,2
2,26,2012,0.01141,1,41,1,55.6,1,14.1,1,1.735,1
2,27,2012,0.0026,2,42,2,104.6,2,12.25,2,1.688,3
2,29,2012,0.002418,1,39,1,49.06,1,15.73,1,0.9539,2
3,2,2012,0.003766,1,43,1,78.09,1,4.238,1,1.674,2
3,3,2012,0.0008958,2,42,2,57.32,2,13.46,2,1.551,4
3,4,2012,0.000161,1,40,1,66.19,1,7.111,1,0.8918,2
3,5,2012,0.006691,1,42,1,54.11,1,2.206,1,1.243,2
3,7,2012,0.03923,2,46.5,2,120.1,2,5.658,2,0.9973,3
3,8,2012,0.01391,1,49,1,153.6,1,6.045,1,4.913,2
3,9,2012,0.005032,1,38,1,57.88,1,7.985,1,2.831,2
3,12,2012,0.003881,1,52,1,139.6,1,1.697,1,1.609,1
3,14,2012,0.0009286,1,40,1,62.02,1,14.91,1,1.637,1
3,15,2012,0.0001239,1,41,1,48.47,1,9.32,1,1.734,1
3,18,2012,0.001651,4,41,4,94.45,4,5.77,4,1.234,4
3,19,2012,0.002933,1,39,1,62.86,1,10.61,1,1.229,1
3,20,2012,0.004022,1,38,1,71.01,1,9.36,1,1.71,1
3,21,2012,nan,0,nan,0,nan,0,nan,0,1.729,1
3,22,2012,0.02006,1,87,1,100.1,1,0.7348,1,7.088,1
3,23,2012,0.0002269,3,41,3,47.72,3,8.712,3,1.729,3
3,24,2012,0.001406,1,36,1,71.75,1,11.38,1,1.749,1
3,25,2012,0.003449,2,69.5,2,92.78,2,27.21,2,1.297,3
3,26,2012,0.002375,1,41,1,56.65,1,12.56,1,1.162,1
3,27,2012,0.002675,1,41,1,50.9,1,14.92,1,1.556,4
4,2,2012,0.003218,2,39.5,2,63.06,2,11.05,2,1.599,2
4,5,2012,0.001302,1,37,1,49.97,1,18.53,1,1.734,1
4,14,2012,0.005112,4,43.5,4,57.58,4,8.438,4,1.681,4
4,18,2012,0.004586,1,41,1,50.84,1,9.778,1,1.752,1
4,22,2012,nan,0,nan,0,nan,0,nan,0,0.9231,1
4,26,2012,0.002288,1,87,1,90.5,1,0.9476,1,4.009,1
4,27,2012,0.002149,3,42,3,53.57,3,2.838,3,2.886,4
4,28,2012,0.004991,1,40,1,72.96,1,5.085,1,2.842,2
4,29,2012,0.001172,1,41,1,47.68,1,17.61,1,6.289,1
5,1,2012,0.002674,2,42.5,2,82.73,2,8.37,2,1.643,3
5,2,2012,0.002457,1,41,1,64.02,1,14.49,1,1.714,1
5,3,2012,nan,0,nan,0,nan,0,nan,0,0.8659,1
5,4,2012,nan,0,nan,0,nan,0,nan,0,1.718,1
5,5,2012,0.001302,1,44,1,60.73,1,4.449,1,1.686,1
5,6,2012,0.0004962,1,41,1,72.34,1,4.624,1,1.636,2
5,7,2012,0.002962,1,42,1,55.98,1,11.56,1,1.72,1
5,9,2012,nan,0,nan,0,nan,0,nan,0,2.641,1
5,10,2012,0.002593,1,41,1,58.66,1,4.84,1,1.684,1
5,11,2012,0.004052,2,44,2,107.5,2,7,2,1.003,3
5,12,2012,nan,0,nan,0,nan,0,nan,0,1.848,2
5,13,2012,0.004121,2,44.5,2,84.48,2,18.72,2,2.852,2
5,14,2012,0.01324,1,45,1,109.7,1,4.834,1,1.654,1
5,15,2012,0.00176,1,42,1,110.3,1,19.89,1,1.63,3
5,17,2012,nan,0,nan,0,nan,0,nan,0,1.206,1
5,18,2012,nan,0,nan,0,nan,0,nan,0,1.686,1
5,19,2012,0.01235,1,42,1,106.1,1,29.79,1,2.637,2
5,21,2012,0.003037,1,87,1,89.96,1,3.865,1,4.844,2
5,22,2012,nan,0,nan,0,nan,0,nan,0,1.48,2
5,23,2012,0.0003493,1,45,1,146.3,1,16.26,1,1.435,1
5,24,2012,0.0009874,2,42.5,2,78.47,2,11.29,2,1.701,2
5,26,2012,0.007031,3,41,3,78.51,3,3.275,3,1.557,4
5,27,2012,0.01108,1,42,1,62.87,1,2.852,1,1.605,1
5,28,2012,0.001126,4,44,4,112.6,4,7.767,4,2.694,4
5,29,2012,0.08989,1,42,1,63.02,1,0.05034,1,3.638,2
5,30,2012,0.00103,3,39,3,66.86,3,14.64,3,2.116,3
5,31,2012,0.003644,1,42,1,62.74,1,8.427,1,0.5443,1
6,1,2012,0.006537,2,37.5,2,48.7,2,23.64,2,1.606,2
6,2,2012,0.02703,1,67,1,267.7,1,0.2752,1,0.2416,1
6,3,2012,nan,0,nan,0,nan,0,nan,0,1.417,1
6,4,2012,0.002507,2,40,2,77.66,2,8.029,2,1.543,2
6,6,2012,0.0001532,1,37,1,66.71,1,6.996,1,1.429,1
6,7,2012,0.001125,1,37,1,41.45,1,24.03,1,4.128,1
6,11,2012,0.002501,1,36,1,42.85,1,5.506,1,0.9376,2
6,12,2012,0.00588,2,88.5,2,95.17,2,3.555,2,7.22,2
6,14,2012,nan,0,nan,0,nan,0,nan,0,0.9753,1
6,15,2012,0.002821,3,42,3,94.54,3,10.54,3,1.644,5
6,17,2012,0.04957,1,52,1,144.9,1,0.4926,1,0.3701,1
6,18,2012,0.01184,3,44,3,76.41,3,14.17,3,0.9974,3
6,20,2012,0.07563,2,36.5,2,47.68,2,23.09,2,9.709,2
6,21,2012,0.0005573,2,37.5,2,44.55,2,22.56,2,2.395,3
6,22,2012,nan,0,nan,0,nan,0,nan,0,3.891,1
6,23,2012,0.007053,2,41,2,79.43,2,5.352,2,3.207,2
6,24,2012,0.01167,1,44,1,133.7,1,4.933,1,0.9181,2
6,25,2012,0.001567,3,44,3,71.86,3,9.044,3,2.818,4
6,26,2012,0.0007264,2,36.5,2,46.29,2,71.37,2,1.923,3
6,27,2012,0.001094,1,37,1,45.86,1,22.96,1,1.37,4
6,28,2012,0.02246,4,47,4,113.7,4,2.365,4,0.9643,4
6,29,2012,nan,0,nan,0,nan,0,nan,0,0.8757,2
6,30,2012,0.003226,3,50,3,165.1,3,2.196,3,1.651,3
7,1,2012,0.0264,2,53.5,2,87.51,2,7.691,2,3.275,2
7,2,2012,0.0003924,2,34,2,35.04,2,54.49,2,2.92,3
7,3,2012,0.00266,2,38.5,2,43.34,2,16.66,2,1.784,2
7,4,2012,0.03532,1,38,1,56.61,1,2.265,1,1.262,2
7,5,2012,0.002896,1,41,1,58.39,1,12.27,1,1.462,4
7,6,2012,0.01402,2,44.5,2,103.8,2,10.01,2,1.679,2
7,8,2012,nan,0,nan,0,nan,0,nan,0,3.827,2
7,9,2012,0.004442,3,44,3,58.79,3,9.19,3,1.47,4
7,10,2012,0.01055,1,39,1,72.16,1,17.71,1,1.284,3
7,11,2012,0.001624,2,39.5,2,56.13,2,13.88,2,1.714,3
7,12,2012,nan,0,nan,0,nan,0,nan,0,0.8952,1
7,13,2012,nan,0,nan,0,nan,0,nan,0,1.507,2
7,14,2012,nan,0,nan,0,nan,0,nan,0,6.131,1
7,15,2012,0.00243,3,37,3,54.7,3,15.82,3,1.729,4
7,16,2012,0.0003618,2,37.5,2,361.6,2,12.13,2,1.099,5
7,17,2012,nan,0,nan,0,nan,0,nan,0,2.079,1
7,18,2012,0.007799,5,44,5,74.19,5,5.403,5,1.329,6
7,19,2012,0.001879,1,45,1,66.9,1,3.032,1,1.341,2
7,20,2012,0.001165,3,44,3,60.02,3,5.138,3,1.256,3
7,21,2012,0.006735,3,43,3,53.91,3,10.02,3,1.397,3
7,22,2012,0.003817,1,44,1,125.2,1,3.566,1,2.769,2
7,23,2012,0.002038,2,37.5,2,120.6,2,25.22,2,1.338,4
7,24,2012,0.006721,2,39.5,2,88.33,2,7.951,2,3.858,3
7,25,2012,0.00018,1,35,1,91.65,1,30.52,1,3.055,2
7,26,2012,0.006271,1,41,1,60.57,1,17.1,1,1.173,2
7,27,2012,0.004092,2,42,2,74.45,2,12.34,2,2.787,2
7,28,2012,nan,0,nan,0,nan,0,nan,0,1.172,1
8,1,2012,0.01202,4,40,4,86.1,4,21.99,4,2.198,5
8,3,2012,0.005556,7,42,7,72.78,7,7.393,7,1.697,15
8,5,2012,0.001508,1,40,1,101,1,32.53,1,6.328,1
8,6,2012,0.006295,2,41,2,72.66,2,35.97,2,2.164,2
8,8,2012,0.002412,1,40,1,53.36,1,16.21,1,1.581,2
8,9,2012,0.005029,1,43,1,68.78,1,1.367,1,1.2,1
8,10,2012,nan,0,nan,0,nan,0,nan,0,1.028,1
8,11,2012,0.01244,1,39,1,188.4,1,4.199,1,2.646,1
8,13,2012,0.002235,1,38,1,63.43,1,4.602,1,1.053,2
8,14,2012,0.0001872,1,43,1,88.7,1,18.27,1,1.59,1
8,15,2012,nan,0,nan,0,nan,0,nan,0,1.686,1
8,16,2012,0.005003,5,88,5,94.37,5,2.31,5,6.477,5
8,17,2012,0.008077,2,62.5,2,73.23,2,11.65,2,6.196,3
8,19,2012,0.03304,1,93,1,137.5,1,0.4668,1,2.328,1
8,20,2012,0.001189,1,40,1,49.16,1,31.1,1,2.199,1
8,22,2012,0.001479,3,43,3,67.35,3,7.004,3,1.707,6
8,23,2012,0.008846,2,68,2,113.8,2,3.035,2,1.498,7
8,24,2012,0.003742,2,41.5,2,93.54,2,10.33,2,1.607,4
8,25,2012,0.009811,2,65,2,76.62,2,5.798,2,1.719,5
8,26,2012,0.001841,2,40,2,53.46,2,10.29,2,2.207,2
8,28,2012,nan,0,nan,0,nan,0,nan,0,1.147,2
8,29,2012,0.0046,5,87,5,90.68,5,6.413,5,5.568,5
8,30,2012,0.00672,2,46,2,101.1,2,16.72,2,1.391,2
8,31,2012,0.0003815,3,40,3,67.8,3,12.7,3,1.752,3
9,1,2012,0.00281,6,44.5,6,97.19,6,7.929,6,1.559,7
9,3,2012,0.006766,2,41.5,2,99.96,2,4.021,2,1.441,2
9,4,2012,0.004301,1,44,1,66.47,1,1.595,1,1.684,1
9,5,2012,0.004428,4,39.5,4,69.25,4,16.33,4,1.259,6
9,6,2012,0.0001368,3,41,3,58.08,3,16.83,3,1.275,4
9,7,2012,0.002829,3,43,3,62.69,3,11,3,1.718,5
9,8,2012,nan,0,nan,0,nan,0,nan,0,0.857,2
9,10,2012,nan,0,nan,0,nan,0,nan,0,0.8459,2
9,11,2012,0.005785,2,40.5,2,65.31,2,6.115,2,1.674,3
9,12,2012,0.1434,2,66.5,2,171,2,2.007,2,0.9984,3
9,13,2012,0.001387,1,37,1,46.22,1,29.53,1,6.604,2
9,16,2012,0.00433,1,41,1,49.53,1,17,1,1.703,1
9,17,2012,nan,0,nan,0,nan,0,nan,0,1.497,3
9,18,2012,0.002063,2,66,2,78.46,2,7.57,2,2.113,4
9,19,2012,0.0006138,4,42,4,71.45,4,10.44,4,1.323,6
9,20,2012,0.007273,2,44,2,168.2,2,4.36,2,1.192,2
9,21,2012,0.002748,1,44,1,88.54,1,4.974,1,2.034,1
9,22,2012,0.1345,2,108.5,2,119,2,1.344,2,4.874,2
9,24,2012,0.009693,1,90,1,108.4,1,1.282,1,1.19,2
9,25,2012,0.01367,11,38,11,57.39,11,3.01,11,1.323,12
9,27,2012,0.003877,1,36,1,46.45,1,14.59,1,1.687,1
9,28,2012,nan,0,nan,0,nan,0,nan,0,1.106,1
9,29,2012,0.0004491,1,129,1,143,1,7.393,1,1.623,1
9,30,2012,0.001502,2,43,2,56.67,2,6.831,2,1.349,2
10,1,2012,nan,0,nan,0,nan,0,nan,0,0.6681,2
10,2,2012,0.001875,2,48,2,130.3,2,26.71,2,1.433,3
10,3,2012,0.002394,4,39,4,48.17,4,33.39,4,2.467,7
10,4,2012,0.001379,2,41.5,2,90.19,2,13.61,2,1.686,3
10,5,2012,0.002844,5,41,5,65.74,5,9.871,5,1.972,6
10,7,2012,0.003302,1,43,1,55.96,1,11.78,1,1.738,1
10,8,2012,0.00248,2,42,2,51.11,2,32.6,2,1.938,2
10,9,2012,0.003935,6,41.5,6,75.96,6,21.35,6,2.471,8
10,10,2012,0.007743,3,42,3,72.66,3,36.9,3,5.043,5
10,11,2012,0.00012,2,39.5,2,96.55,2,31.05,2,2.985,2
10,12,2012,0.02594,1,42,1,49.39,1,4.488,1,2.681,4
10,13,2012,0.0003858,1,42,1,67.45,1,23.94,1,2.129,2
10,14,2012,0.0184,3,41,3,52.41,3,1.102,3,0.9247,3
10,15,2012,0.008759,3,41,3,53.17,3,14.19,3,1.844,4
10,16,2012,0.002447,6,39.5,6,67.51,6,11.48,6,1.606,9
10,17,2012,0.001274,4,40.5,4,47.46,4,16.87,4,1.325,8
10,18,2012,0.001102,2,38.5,2,47.14,2,23.52,2,4.244,5
10,19,2012,0.0007857,6,39.5,6,68.12,6,11.47,6,3.075,6
10,20,2012,0.001368,3,41,3,64.84,3,15.67,3,1.43,4
10,21,2012,0.007105,2,71.5,2,128.8,2,7.897,2,1.747,3
10,22,2012,0.01154,3,39,3,44.26,3,7.2,3,1.196,5
10,23,2012,0.0005167,1,39,1,43.12,1,11.21,1,1.021,1
10,24,2012,0.004813,4,38.5,4,55.45,4,14.01,4,2.008,7
10,25,2012,0.0003562,3,44,3,63.51,3,16.13,3,1.67,5
10,26,2012,0.003705,4,37.5,4,47.51,4,11.19,4,4.188,5
10,27,2012,0.001656,3,41,3,55.29,3,8.523,3,1.608,4
