month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.01754,44,114,61,177.7,44,1.35,61,0.3744,77
1,2,2012,0.01423,35,90,63,167.2,35,2.516,63,0.4052,82
1,3,2012,0.01528,50,90,64,122.8,49,2.573,65,0.4773,75
1,4,2012,0.009986,32,99.5,58,138.8,32,2.817,58,0.4327,70
1,5,2012,0.01446,17,88,37,163.9,17,2.023,37,0.4049,44
1,6,2012,0.01421,36,95.5,58,128.1,36,2.424,58,0.5369,69
1,7,2012,0.01327,38,91,57,142.1,38,2.759,57,0.4181,68
1,8,2012,0.01356,42,93,56,123.6,42,2.519,56,0.4085,69
1,9,2012,0.006568,42,90,72,134,42,2.922,72,0.4068,81
1,10,2012,0.01187,36,87,55,113.6,36,3.96,55,0.431,68
1,11,2012,0.006563,33,102,50,165.7,33,1.895,50,0.415,64
1,12,2012,0.01319,30,98,44,139.5,30,1.618,44,0.5079,52
1,13,2012,0.0147,22,86,33,132.4,22,3.042,33,0.5341,41
1,14,2012,0.01946,32,87,54,134.4,32,2.671,54,0.501,62
1,15,2012,0.01388,39,98,64,143.3,39,2.099,64,0.4081,78
1,16,2012,0.008866,30,100,45,182.8,30,2.078,45,0.3664,59
1,17,2012,0.01363,21,97,37,160.5,21,1.403,37,0.3725,46
1,18,2012,0.01023,31,98,50,174.3,31,1.296,50,0.3791,57
1,19,2012,0.01624,36,92,48,160.4,36,1.544,48,0.3293,64
1,20,2012,0.008696,35,112,62,162.8,35,1.389,62,0.3957,78
1,21,2012,0.01505,69,88,86,121.6,69,2.132,86,0.4031,117
1,22,2012,0.01606,34,92,48,146.1,34,1.836,48,0.4003,63
1,23,2012,0.01167,32,95,58,146.8,32,2.314,58,0.4015,79
1,24,2012,0.01847,31,92.5,52,138.1,31,2.716,52,0.4303,61
1,25,2012,0.007939,30,84,51,117.9,30,2.244,51,0.4033,66
1,26,2012,0.009684,25,84,36,140.6,25,2.763,36,0.3958,46
1,27,2012,0.01151,38,83,52,139.8,38,2.495,52,0.4103,60
1,28,2012,0.01519,28,88,39,122.3,28,2.767,39,0.4884,41
1,29,2012,0.00972,20,94,33,168.4,20,2.049,33,0.4274,37
1,30,2012,0.01224,31,97.5,46,128.1,31,1.638,46,0.379,52
1,31,2012,0.01173,28,91,42,118,28,1.783,42,0.5147,47
2,1,2012,0.008821,32,93,51,134.7,32,3.268,51,0.4773,62
2,2,2012,0.01973,39,88,61,145.2,39,2.729,61,0.4565,71
2,3,2012,0.00917,42,88.5,68,138.1,42,2.83,68,0.5074,79
2,4,2012,0.009506,43,87,65,111.2,43,2.396,65,0.39,80
2,5,2012,0.002714,27,75,45,98.04,27,2.848,45,0.5196,53
2,6,2012,0.01659,32,86,41,158.9,32,1.863,41,0.5305,50
2,7,2012,0.0109,35,90.5,52,126.3,35,2.385,52,0.4498,65
