month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.01272,44,83,62,112.2,44,2.614,62,0.4047,82
1,1,2012,0.02012,37,91,53,158.6,37,1.392,53,0.4038,63
1,2,2012,0.01284,34,91,51,173.2,34,1.394,51,0.3568,55
1,3,2012,0.01169,24,100.5,42,156.6,24,1.484,42,0.4039,47
1,4,2012,0.007575,16,83,39,163.1,16,2.282,39,0.4128,46
1,5,2012,0.006777,15,82.5,30,165.1,15,1.603,30,0.3702,35
1,6,2012,0.01218,14,88.5,22,131.3,14,1.424,22,0.3103,25
1,7,2012,0.011,16,85,31,135.8,16,2.237,31,0.499,39
1,8,2012,0.007346,16,89,30,128.6,16,2.446,30,0.4517,39
1,9,2012,0.009088,26,91,49,131.5,26,2.848,49,0.4096,67
1,10,2012,0.01899,39,85,65,121.4,39,2.617,65,0.4051,75
1,11,2012,0.01422,39,80,63,137.3,39,2.84,63,0.4323,77
1,12,2012,0.008578,45,86,66,136.2,45,2.628,66,0.4095,80
1,13,2012,0.01204,57,83.5,90,127.3,57,2.625,90,0.4218,107
1,14,2012,0.01217,40,84,73,107.5,40,2.655,73,0.4007,104
1,15,2012,0.01258,49,86.5,72,120.8,49,2.78,72,0.4761,84
1,16,2012,0.0153,52,93.5,78,158.2,52,2.094,78,0.4413,86
1,17,2012,0.007952,54,88,89,108.6,54,2.716,89,0.4746,116
1,18,2012,0.01149,80,92,104,151.7,79,1.85,105,0.4015,141
1,19,2012,0.0146,82,100,115,169.4,82,2.323,115,0.4095,137
1,20,2012,0.01238,67,111.5,106,132,67,2.268,106,0.4766,127
1,21,2012,0.01296,70,112,97,158.9,70,2.625,97,0.3944,123
1,22,2012,0.01639,67,108,95,140.2,67,1.839,95,0.4002,108
1,23,2012,0.01715,64,107,89,161.2,64,1.438,89,0.3842,110
2,0,2012,0.009289,41,77,68,125,41,4.058,68,0.5278,80
2,1,2012,0.01366,31,90.5,40,171.5,31,2.658,40,0.5077,45
2,2,2012,0.008403,19,94.5,34,124.5,19,2.613,34,0.4061,41
2,3,2012,0.009727,22,97,30,137.5,22,2.468,30,0.5632,35
2,4,2012,0.01228,16,101,26,172.1,16,2.218,26,0.4104,29
2,5,2012,0.01796,13,93,19,141.9,13,1.41,19,0.5148,23
2,6,2012,0.01484,20,100,33,175.6,20,1.54,33,0.3847,38
2,7,2012,0.009048,23,91,49,116.2,23,1.696,49,0.4542,55
2,8,2012,0.008285,32,90,49,121,32,2.502,49,0.39,56
2,9,2012,0.007896,33,79,53,145.5,33,2.856,53,0.4079,70
2,10,2012,0.01018,30,88,55,124.2,30,2.848,55,0.5285,65
2,11,2012,0.009887,42,77,64,135.7,42,2.96,64,0.5325,77
2,12,2012,0.01279,47,85,68,113.6,47,2.864,68,0.4573,81
2,13,2012,0.01126,57,77,67,109.5,57,2.604,67,0.4477,81
2,14,2012,0.009331,57,77.5,78,105.7,57,3.839,78,0.537,90
2,15,2012,0.009816,68,81,101,123.1,68,2.342,101,0.4068,119
2,16,2012,0.01284,74,85,95,104.3,74,2.922,95,0.5954,107
2,17,2012,0.01243,52,83,76,147.7,52,2.402,76,0.4249,84
2,18,2012,0.01823,61,85,86,119.6,61,2.043,86,0.4591,97
2,19,2012,0.008827,71,84,111,115.5,70,2.485,112,0.4065,138
2,20,2012,0.01457,71,91,104,135.1,71,2.497,104,0.5166,128
2,21,2012,0.01628,71,109,98,166.6,71,2.454,98,0.4173,115
2,22,2012,0.01223,56,92,78,132.9,56,2.304,78,0.413,96
2,23,2012,0.009698,50,87,91,131.7,50,1.967,91,0.406,111
3,0,2012,0.0104,38,65,73,93.36,38,2.828,73,0.4427,91
3,1,2012,0.006564,29,65,49,105.5,29,3.752,49,0.3802,73
3,2,2012,0.008356,22,71,33,116,22,2.395,33,0.4032,43
3,3,2012,0.009494,11,68.5,20,143.3,11,2.893,20,0.3953,25
3,4,2012,0.01169,20,75,31,123.2,20,2.678,31,0.4086,36
3,5,2012,0.007977,16,79,25,113.8,16,1.434,25,0.3648,32
3,6,2012,0.01984,16,76,27,94.7,16,1.844,27,0.4096,30
3,7,2012,0.01061,10,59,26,111.2,10,2.892,26,0.4058,39
3,8,2012,0.01311,24,61,41,69.61,24,2.684,41,0.5689,40
3,9,2012,0.006152,32,53.5,50,84.12,32,2.914,50,0.5239,58
3,10,2012,0.00826,34,52,53,106,34,2.888,53,0.5008,66
3,11,2012,0.01707,32,64,53,117.6,32,2.87,53,0.4397,67
3,12,2012,0.01207,45,53,64,79.28,45,3.51,64,0.5375,82
3,13,2012,0.007073,52,66,75,98.94,52,2.731,75,0.4928,94
3,14,2012,0.006911,55,61,75,87.21,55,2.922,75,0.5315,84
3,15,2012,0.01331,45,58,71,91.43,45,2.983,71,0.5209,86
3,16,2012,0.01209,58,61,71,105.6,58,2.674,71,0.5039,91
3,17,2012,0.01033,49,67,88,114.5,49,2.898,88,0.4137,115
3,18,2012,0.008515,66,59,89,85.42,66,2.764,89,0.4076,113
3,19,2012,0.01518,55,58,90,90.02,55,2.907,90,0.4273,112
3,20,2012,0.006997,59,66,104,119.1,59,2.345,104,0.4103,130
3,21,2012,0.008947,74,68,107,113.3,74,2.539,107,0.4858,127
3,22,2012,0.01025,80,71,111,108.8,80,2.176,111,0.4131,136
3,23,2012,0.008098,64,65.5,100,104.4,64,2.532,100,0.4311,127
4,0,2012,0.009144,30,65.5,42,161.2,30,2.407,42,0.4689,48
4,1,2012,0.006421,22,71,37,81.01,22,2.347,37,0.5334,41
4,2,2012,0.006452,16,76,26,160.7,16,2.201,26,0.4266,28
4,3,2012,0.01325,12,65.5,20,86.3,12,1.446,20,0.4058,23
4,4,2012,0.004557,6,85,9,132.1,6,3.152,9,0.5206,12
4,5,2012,0.0113,10,50,29,164.3,10,4.805,29,0.5868,32
4,6,2012,0.01454,6,67,18,183.3,6,2.796,18,0.4092,23
4,7,2012,0.009946,15,77.5,22,160.6,15,2.491,22,0.5015,23
4,8,2012,0.01271,8,72,19,105.3,7,3.73,20,0.5242,25
4,9,2012,0.01134,29,57,44,114.9,29,2.362,44,0.4099,59
4,10,2012,0.006314,22,55,36,91.23,22,2.866,36,0.4582,47
4,11,2012,0.01015,19,63,28,111.1,19,2.865,28,0.4599,32
4,12,2012,0.01235,23,50,42,65.58,23,2.885,42,0.5107,49
4,13,2012,0.01264,35,61,54,91.33,35,2.736,54,0.5202,60
4,14,2012,0.00998,31,56,44,80.92,31,2.741,44,0.4537,53
4,15,2012,0.006299,27,54,45,109.7,27,2.907,45,0.5219,55
4,16,2012,0.009423,34,64.5,54,123,34,2.119,54,0.4113,61
4,17,2012,0.009678,32,63,53,108.7,32,2.917,53,0.5049,62
4,18,2012,0.01919,32,58,46,106.5,32,2.275,46,0.412,55
4,19,2012,0.007956,47,68,67,118.7,47,2.229,67,0.408,87
4,20,2012,0.008642,35,68.5,54,125.5,35,2.12,54,0.4143,66
4,21,2012,0.0157,39,71,64,141.6,39,1.55,64,0.4029,77
4,22,2012,0.0153,31,67,51,150.7,31,2.342,51,0.4555,56
4,23,2012,0.01074,28,61.5,44,123.6,28,2.173,44,0.4619,58
5,0,2012,0.009574,47,62,71,109.4,47,2.872,71,0.5265,82
5,1,2012,0.006469,38,62.5,68,122.3,38,3.677,68,0.4089,78
5,2,2012,0.009868,26,81,49,142.2,26,2.876,49,0.4085,55
5,3,2012,0.01246,27,70,43,143.8,27,2.514,43,0.4119,49
5,4,2012,0.009843,23,95,36,169,23,2.535,36,0.3766,43
5,5,2012,0.01036,9,97,23,170,9,0.7288,23,0.3151,29
5,6,2012,0.008477,14,66,27,73.11,14,4.593,27,0.5416,30
5,7,2012,0.0127,17,66.5,28,88.39,17,2.5,28,0.4126,34
5,8,2012,0.01044,21,65,37,87.11,21,2.296,37,0.5052,42
5,9,2012,0.007713,41,65,63,107.9,41,3.995,63,0.5671,73
5,10,2012,0.006435,48,69,68,87.33,48,4.273,68,0.5238,79
5,11,2012,0.009843,47,53.5,68,83.14,47,3.063,68,0.5321,83
5,12,2012,0.01005,35,63,69,80.6,35,3.701,69,0.5027,85
5,13,2012,0.008752,52,61,77,91.34,52,4.245,77,0.524,89
5,14,2012,0.008428,52,55,77,92.29,52,2.891,77,0.5003,95
5,15,2012,0.01169,71,58,97,83.58,71,3.13,97,0.5462,112
5,16,2012,0.00764,66,62,94,95.38,66,2.871,94,0.4853,110
5,17,2012,0.008058,49,61,82,96.62,49,2.931,82,0.5294,112
5,18,2012,0.009377,82,61.5,106,102.3,82,3.393,106,0.5402,125
5,19,2012,0.008037,81,63,114,95.7,81,3.903,114,0.5438,130
5,20,2012,0.00973,73,57.5,104,79.1,73,3.016,104,0.5342,124
5,21,2012,0.009647,69,65,104,103.3,69,2.839,104,0.5125,125
