month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,2,2012,4.697e-05,1,78,1,84.17,1,24.12,1,4.736,1
1,5,2012,0.01742,1,77,1,112.6,1,28.58,1,5.6,1
1,6,2012,0.01398,1,85,1,114.4,1,6.3,1,1.711,1
1,8,2012,0.002479,2,86.5,2,104.3,2,8.04,2,1.321,2
1,10,2012,0.0009516,1,81,1,87.34,1,14.39,1,1.689,1
1,12,2012,0.004457,1,79,1,95.42,1,12.53,1,5.59,1
1,13,2012,0.0005781,1,78,1,84.56,1,12.03,1,5.962,1
1,17,2012,0.01446,2,80,3,108.1,2,9.989,3,0.7372,3
1,18,2012,0.001842,2,76,2,86.6,2,11.61,2,4.255,2
1,19,2012,0.004959,1,76,1,103,1,9.48,1,1.698,1
1,20,2012,nan,0,77,1,nan,0,19.63,1,1.381,1
1,23,2012,0.007483,1,82,1,233.4,1,7.774,1,1.725,1
1,25,2012,nan,0,80,1,nan,0,5.289,1,1.679,1
1,28,2012,0.02077,1,101.5,2,203.7,1,1.961,2,0.6595,2
1,30,2012,0.004226,1,77,1,96.71,1,8.889,1,4.204,1
1,31,2012,0.007764,1,198,1,263.9,1,0.6865,1,0.5633,1
2,1,2012,0.04813,1,218,2,461.4,1,2.849,2,2.78,2
2,2,2012,0.005848,3,81.5,4,99.47,3,5.309,4,0.4954,4
2,4,2012,0.001353,1,84,1,123.3,1,7.574,1,3.344,1
2,7,2012,0.001042,3,80,4,83.21,3,3.686,4,0.9856,5
2,10,2012,0.003947,2,80.5,2,123.7,2,7.805,2,2.726,2
2,11,2012,0.002525,3,79,4,87.11,3,4.474,4,5.579,4
2,14,2012,nan,0,82,1,nan,0,10.34,1,0.8957,2
2,15,2012,0.005034,1,91,1,97.83,1,2.043,1,0.5045,1
2,16,2012,0.02191,2,79.5,2,116,2,2.926,2,2.648,2
2,17,2012,0.0001081,3,79.5,4,105.8,3,13.3,4,4.006,4
2,18,2012,0.01734,1,81,1,105.2,1,44.61,1,5.46,1
2,19,2012,nan,0,84,1,nan,0,4.304,1,1.702,1
2,20,2012,0.01086,3,81,3,95.31,3,4.738,3,4.038,3
2,21,2012,nan,0,79,2,nan,0,13.92,2,3.622,2
2,22,2012,0.008097,3,79.5,4,128.1,3,14.23,4,6.458,4
2,23,2012,0.001992,1,80.5,2,86.63,1,11.88,2,5.89,2
2,24,2012,nan,0,79,1,nan,0,16.88,1,1.636,1
2,25,2012,nan,0,81,3,nan,0,15.97,3,1.631,3
2,27,2012,0.003141,2,79,3,120.9,2,5.771,3,1.514,3
2,28,2012,0.002045,4,78,5,92.85,4,17.6,5,1.715,5
2,29,2012,0.005272,3,81,7,113.8,3,5.482,7,1.491,7
3,1,2012,0.02147,2,80.5,6,214.2,2,17.65,6,5.827,7
3,2,2012,nan,0,80,2,nan,0,5.424,2,3.086,2
3,3,2012,0.01158,2,77.5,2,138.6,2,12.75,2,1.639,2
3,4,2012,0.007078,2,82.5,2,99.3,2,1.144,2,1.257,2
3,5,2012,nan,0,152,1,nan,0,6.816,1,3.111,1
3,6,2012,nan,0,80,1,nan,0,5.48,1,1.939,2
3,8,2012,0.00188,4,76.5,4,92.55,4,27.57,4,1.802,4
3,9,2012,0.001951,5,78,5,97.26,5,20.25,5,1.864,5
3,10,2012,0.001704,4,75,5,91.94,4,25.75,5,1.94,5
3,11,2012,0.002658,4,79,5,95.18,4,24.71,5,2.367,5
3,12,2012,nan,0,75,7,nan,0,5.741,7,2.143,7
3,13,2012,nan,0,75,5,nan,0,5.634,5,2.185,5
3,14,2012,0.004848,1,74.5,6,94.97,1,5.862,6,2.09,6
3,15,2012,nan,0,82,1,nan,0,10.85,1,0.5669,1
3,18,2012,nan,0,77,2,nan,0,5.447,2,1.522,2
3,20,2012,0.01632,3,81,4,126.3,3,5.701,4,1.697,5
3,21,2012,0.0002931,3,81,3,157.4,3,12.16,3,1.685,3
3,23,2012,0.009869,2,86.5,2,132.3,2,8.342,2,1.454,2
3,24,2012,0.007589,2,80,2,151.6,2,9.332,2,1.444,2
3,25,2012,0.02479,2,79,3,116.4,2,12.81,3,1.588,4
3,26,2012,0.01159,2,84,4,244.2,2,2.457,4,1.348,4
3,27,2012,0.005885,1,79,3,89.32,1,8.479,3,1.52,3
3,28,2012,0.01017,2,80.5,2,135.5,2,4.704,2,3.653,2
3,29,2012,0.001952,1,80,1,89.95,1,11.08,1,1.69,1
3,31,2012,0.0001751,1,79,1,101.3,1,13.07,1,1.5,1
4,1,2012,0.006768,1,82,1,113.9,1,2.267,1,1.594,1
4,2,2012,nan,0,78,1,nan,0,22.76,1,6.949,1
4,3,2012,nan,0,79,1,nan,0,5.972,1,1.676,1
4,4,2012,0.003228,3,79,3,94.59,3,14.82,3,1.65,3
4,6,2012,nan,0,nan,0,nan,0,nan,0,0.4806,1
4,7,2012,nan,0,79,2,nan,0,5.573,2,2.135,2
4,8,2012,0.01075,1,79,5,86.86,1,5.664,5,1.715,5
4,9,2012,nan,0,79,1,nan,0,5.715,1,4.683,1
4,10,2012,0.001012,2,76.5,2,98.88,2,7.825,2,2.675,2
4,11,2012,nan,0,82,3,nan,0,10.97,3,0.945,3
4,12,2012,nan,0,83,1,nan,0,4.871,1,1.053,1
4,13,2012,nan,0,79,3,nan,0,5.768,3,1.675,3
4,14,2012,nan,0,83,1,nan,0,4.096,1,0.2351,3
4,15,2012,0.008329,1,80,1,101.2,1,9.113,1,1.651,1
4,18,2012,nan,0,82,1,nan,0,14.44,1,1.497,1
4,19,2012,0.02427,2,85.5,2,206.1,2,4.547,2,5.179,2
4,22,2012,nan,0,80,1,nan,0,14.36,1,1.446,1
4,24,2012,nan,0,77.5,2,nan,0,12.51,2,2.797,2
4,25,2012,nan,0,82,1,nan,0,19.07,1,1.605,1
4,27,2012,0.001828,1,81,2,90.23,1,10.21,2,3.141,2
4,30,2012,nan,0,83,1,nan,0,1.512,1,1.701,1
5,1,2012,0.00542,1,79,2,99.94,1,5.305,2,3.727,2
