month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,nan,0,80,1,nan,0,5.289,1,1.679,1
1,6,2012,0.004457,1,79,1,95.42,1,12.53,1,5.59,1
1,9,2012,0.007764,1,140.5,2,263.9,1,2.116,2,0.3995,2
1,10,2012,0.01738,2,102.5,2,159.1,2,3.339,2,1.397,2
1,11,2012,0.01742,3,78,3,112.6,3,24.12,3,4.736,3
1,12,2012,0.001842,2,76,2,86.6,2,11.61,2,4.255,2
1,13,2012,0.002673,1,82,1,90.23,1,8.077,1,1.273,1
1,14,2012,0.0005781,1,78,1,84.56,1,12.03,1,5.962,1
1,15,2012,0.0009516,1,81,1,87.34,1,14.39,1,1.689,1
1,17,2012,0.004226,1,77,1,96.71,1,8.889,1,4.204,1
1,19,2012,0.001957,2,85.5,2,109.8,2,10.61,2,3.821,2
1,20,2012,0.006221,2,79,2,168.2,2,8.627,2,1.711,2
1,21,2012,nan,0,90,1,nan,0,3.109,1,0.7067,1
1,22,2012,nan,0,77,1,nan,0,19.63,1,1.381,1
2,2,2012,nan,0,82,1,nan,0,10.34,1,1.671,1
2,5,2012,0.001992,1,80.5,2,86.63,1,11.88,2,5.89,2
2,6,2012,nan,0,nan,0,nan,0,nan,0,0.1207,1
2,7,2012,0.007637,3,77,3,95.31,3,7.288,3,4.964,3
2,8,2012,0.0009383,4,81,5,95.42,4,4.738,5,1.605,5
2,9,2012,0.004896,1,92.5,2,146,1,3.813,2,1.351,2
2,10,2012,0.002921,2,81.5,2,114.8,2,9.395,2,2.144,2
2,11,2012,nan,0,81,2,nan,0,5.848,2,1.668,2
2,12,2012,0.01734,1,80,5,105.2,1,5.542,5,1.439,5
2,13,2012,nan,0,75,1,nan,0,15.01,1,9.567,1
2,14,2012,0.001541,1,108,1,141.7,1,0.736,1,1.694,1
2,15,2012,0.04813,1,218,2,461.4,1,2.849,2,2.78,2
2,16,2012,0.002525,3,79,4,87.11,3,9.866,4,5.579,4
2,17,2012,0.01393,1,79.5,2,130.6,1,5.466,2,1.425,2
2,18,2012,0.0499,2,84,3,282.4,2,4.304,3,1.702,3
2,19,2012,0.004876,8,81,11,104.3,8,5.748,11,1.929,12
2,20,2012,0.003673,3,80,5,97.53,3,13.44,5,1.636,5
2,21,2012,0.007732,3,81,3,101.5,3,0.8804,3,1.717,3
2,22,2012,0.0001819,2,79,3,89.75,2,9.989,3,4.71,3
3,0,2012,nan,0,74.5,2,nan,0,5.86,2,2.013,2
3,1,2012,0.001636,1,79,1,112.3,1,15.24,1,2.062,2
3,2,2012,0.01841,2,81,2,118.7,2,12.7,2,0.1046,3
3,3,2012,nan,0,75,1,nan,0,5.811,1,1.883,1
3,4,2012,0.001934,1,76,1,91.85,1,26.12,1,2.529,1
3,5,2012,0.001554,1,79,1,99.12,1,19.92,1,1.616,1
3,6,2012,0.001671,1,74,2,90.43,1,16.3,2,2.452,2
3,7,2012,0.005408,1,78,1,97.26,1,20.25,1,2.056,1
3,8,2012,0.01122,4,79,6,101.9,4,8.919,6,1.487,7
3,9,2012,0.02615,2,77,6,121.2,2,5.652,6,1.627,6
3,10,2012,0.008791,2,80,5,226.6,2,5.634,5,2.116,4
3,11,2012,0.002129,3,75,5,91.18,3,15.1,5,2.065,5
3,12,2012,0.008656,4,78,8,92.64,4,14.32,8,3.287,8
3,13,2012,0.004131,2,79,5,91.9,2,22.01,5,1.675,5
3,14,2012,0.007613,2,80,3,94.49,2,5.809,3,2.185,5
3,15,2012,0.0002931,3,77,4,93.66,3,13.82,4,1.896,4
3,16,2012,0.005002,2,82.5,6,138.8,2,5.46,6,1.62,6
3,17,2012,0.009107,2,83,3,194.9,2,5.533,3,1.582,3
3,18,2012,0.01189,2,120,3,162.1,2,6.816,3,1.509,3
3,19,2012,0.001244,3,84,6,234.6,3,2.457,6,1.858,6
3,20,2012,0.01263,3,78.5,4,103.3,3,15.78,4,3.408,4
3,21,2012,0.003093,1,80,2,95.16,1,16.28,2,1.754,2
3,23,2012,0.002089,1,74.5,2,90.63,1,17.13,2,1.975,2
4,0,2012,nan,0,nan,0,nan,0,nan,0,0.4806,1
4,5,2012,nan,0,nan,0,nan,0,nan,0,0.1847,2
4,6,2012,0.00362,2,78,5,113.1,2,5.419,5,3.655,5
4,7,2012,nan,0,79,1,nan,0,5.773,1,2.071,1
4,8,2012,0.001318,2,79,5,98.67,2,14.82,5,1.65,5
4,9,2012,nan,0,82.5,2,nan,0,7.436,2,2.19,2
4,10,2012,nan,0,76,1,nan,0,23.49,1,0.5531,1
4,11,2012,0.0239,2,86,2,199.9,2,7.594,2,1.353,2
4,13,2012,0.01075,1,80,1,86.86,1,11.24,1,1.715,1
4,14,2012,0.001551,1,77.5,2,85.38,1,9.451,2,1.608,2
4,15,2012,nan,0,79,3,nan,0,5.561,3,1.676,3
4,16,2012,nan,0,79.5,4,nan,0,5.677,4,1.874,4
4,17,2012,nan,0,82,1,nan,0,14.44,1,1.497,1
4,18,2012,0.008329,1,80,3,101.2,1,9.113,3,1.651,3
4,19,2012,0.003228,1,83,2,132.7,1,3.384,2,1.6,2
4,20,2012,0.01143,1,79,1,91.71,1,44.55,1,4.044,1
4,21,2012,nan,0,83,1,nan,0,4.096,1,0.5378,1
4,22,2012,nan,0,80,1,nan,0,19.36,1,1.719,1
5,0,2012,0.0003088,2,80,3,144.6,2,10.18,3,1.647,3
5,4,2012,nan,0,76,2,nan,0,11.13,2,5.4,2
5,7,2012,nan,0,83,1,nan,0,17.37,1,3.152,1
5,8,2012,0.001499,2,79,7,113.3,2,5.77,7,1.718,7
5,11,2012,0.001411,2,79,3,92.46,2,22.64,3,2.594,3
5,13,2012,nan,0,86,1,nan,0,4.789,1,3.486,1
5,14,2012,0.02064,2,79,5,93.67,2,4.729,5,1.68,6
5,15,2012,0.002478,1,79,1,87.54,1,14.24,1,1.41,1
5,16,2012,0.01288,1,78,4,136.1,1,5.714,4,2.522,4
5,17,2012,0.002072,2,80,3,106.2,2,6.582,3,2.454,3
5,18,2012,0.003394,1,83,3,191.3,1,1.962,3,1.535,3
5,19,2012,nan,0,75,1,nan,0,5.793,1,2.085,1
5,21,2012,nan,0,83,1,nan,0,7.469,1,1.445,1
5,22,2012,nan,0,96,1,nan,0,0.6632,1,0.337,1
6,0,2012,nan,0,74,1,nan,0,5.74,1,1.285,1
6,2,2012,0.00431,2,86,5,170.6,2,5.399,5,1.809,5
6,3,2012,nan,0,75,1,nan,0,5.96,1,2.104,1
6,4,2012,0.01578,1,77.5,2,91.46,1,3.411,2,2.384,2
6,5,2012,0.07184,1,78.5,2,128.1,1,3.116,2,1.494,2
6,6,2012,nan,0,75,1,nan,0,5.903,1,2.565,1
6,7,2012,0.001849,6,78.5,8,111.6,6,4.647,8,1.251,8
6,8,2012,nan,0,73.5,2,nan,0,6.027,2,1.919,2
6,9,2012,0.008333,2,79,2,91.32,2,5.928,2,5.78,2
6,10,2012,0.004899,2,78.5,2,88.58,2,24.68,2,0.596,2
6,11,2012,0.001152,4,75.5,6,86.83,4,13.39,6,0.6509,6
6,12,2012,0.009111,2,76.5,4,87.53,2,5.155,4,0.926,4
6,13,2012,0.008969,4,81.5,4,162.8,4,4.608,4,1.645,4
6,14,2012,0.004752,3,77,6,98.52,3,6.216,6,1.882,6
6,15,2012,nan,0,84,1,nan,0,5.172,1,1.65,1
6,17,2012,0.001262,1,80.5,2,84.92,1,8.72,2,2.956,2
6,18,2012,0.005349,2,80.5,2,90.11,2,8.327,2,1.536,2
6,19,2012,0.02224,2,87,2,205.3,2,1.571,2,0.5558,2
6,20,2012,nan,0,79,2,nan,0,9.607,2,2.42,2
6,22,2012,0.007895,1,79,2,205,1,4.975,2,1.524,2
6,23,2012,0.0002779,1,76,1,87.49,1,4.134,1,2.583,1
7,6,2012,0.006806,1,76,1,86.76,1,10.17,1,1.216,1
7,7,2012,0.005261,1,75,3,83.97,1,23.26,3,1.279,3
7,8,2012,0.0006944,2,79,5,170.2,2,27.14,5,1.21,5
7,9,2012,0.001262,2,77.5,4,96.94,2,9.25,4,1.684,4
7,10,2012,0.01837,1,76.5,2,118.9,1,5.228,2,1.142,2
7,11,2012,0.0005679,3,76,5,91.72,3,7.193,5,0.7265,5
7,12,2012,0.0009599,4,76,5,89.06,4,11.55,5,1.228,5
7,13,2012,0.00133,2,77,5,227.7,2,5.752,5,1.179,5
7,14,2012,0.0165,4,77.5,6,99.19,4,5.726,6,1.523,6
7,15,2012,0.0132,1,79,3,120.2,1,5.576,3,0.5954,3
7,16,2012,0.01125,1,75,2,128,1,14.21,2,0.9084,2
7,17,2012,nan,0,79,1,nan,0,11.69,1,0.6895,1
7,18,2012,0.0003166,1,81,1,91.86,1,10.68,1,4.064,1
7,20,2012,0.02466,1,82,1,168.8,1,0.7908,1,1.203,1
7,21,2012,nan,0,83,1,nan,0,21.06,1,5.607,1
7,23,2012,nan,0,77,2,nan,0,5.603,2,1.54,2
8,4,2012,0.03802,1,78.5,2,87,1,18.02,2,3.742,2
8,5,2012,0.002027,2,82,4,104.6,2,9.963,4,2.261,4
8,6,2012,0.0004701,1,79,3,120.7,1,5.701,3,0.6148,3
8,7,2012,0.01792,5,78,6,133.9,5,9.72,6,1.078,7
8,8,2012,0.002761,4,78,6,86.88,4,20.64,6,1.082,6
8,9,2012,0.006484,6,79,10,100.4,6,7.177,10,1.289,10
8,10,2012,0.003819,7,79,11,101.2,7,7.258,11,1.145,11
8,11,2012,0.002353,7,78.5,8,89.82,7,5.038,8,1.449,8
8,12,2012,0.001923,2,79.5,4,94.38,2,5.4,4,1.369,4
8,13,2012,0.01296,4,81,8,101.7,4,4.309,8,1.321,8
8,14,2012,0.01076,2,78,2,105.8,2,34.99,2,3.239,2
8,15,2012,0.00722,4,79,9,107,4,5.547,9,2.489,9
8,16,2012,0.005234,3,80.5,6,102.8,3,6.388,6,1.63,7
8,17,2012,0.005859,2,79,2,128.8,2,16.3,2,1.667,2
8,18,2012,0.01211,2,80.5,6,91.84,2,13.59,6,1.427,6
8,19,2012,0.007448,2,83,3,123.6,2,15.03,3,1.547,4
8,20,2012,0.01955,1,80,3,101.8,1,19.38,3,1.489,3
8,21,2012,0.05556,1,80,1,234.3,1,1.159,1,1.323,1
8,22,2012,nan,0,82,2,nan,0,9.17,2,1.084,2
8,23,2012,0.001017,1,79.5,2,90.02,1,4.565,2,1.397,2
9,0,2012,0.001846,1,77,1,82.07,1,12.35,1,4.299,1
9,3,2012,0.003307,2,78.5,2,91.56,2,4.729,2,0.8928,2
9,4,2012,0.0005279,1,79.5,2,94.06,1,10.83,2,1.408,2
9,5,2012,0.01112,1,82,1,126.5,1,11.73,1,1.535,1
9,6,2012,0.001417,4,80,5,104.6,4,5.417,5,1.243,5
9,7,2012,nan,0,76,4,nan,0,5.797,4,1.109,4
9,8,2012,0.01207,2,80,3,144,2,16.08,3,1.226,3
9,9,2012,0.03945,5,78,9,97.92,5,5.916,9,1.227,9
9,10,2012,nan,0,78.5,2,nan,0,11.82,2,7.509,2
9,11,2012,0.001316,1,79,3,92.86,1,5.984,3,0.6079,3
9,12,2012,0.002252,4,78.5,4,91.33,4,4.454,4,1.667,4
9,13,2012,0.03152,4,80,5,95.51,4,3.099,5,1.081,5
9,14,2012,0.002795,5,81,6,96.4,5,5.476,6,2.887,6
9,15,2012,0.008075,2,77.5,4,114.3,2,3.417,4,3.285,4
9,16,2012,0.003714,7,80,10,99.2,7,8.974,10,1.259,10
9,17,2012,0.02468,6,81.5,6,115.5,6,3.59,6,1.489,8
9,18,2012,0.006188,9,81,13,101.2,9,9.98,13,1.264,12
9,19,2012,nan,0,79,4,nan,0,5.752,4,1.619,4
9,20,2012,0.0121,2,96.5,2,147.4,2,8.44,2,2.306,2
9,21,2012,0.01119,2,80,2,124.4,2,13.68,2,1.219,2
9,22,2012,0.03165,2,80,2,98.66,2,9.751,2,3.699,3
9,23,2012,0.0002247,1,80.5,2,87.6,1,12.82,2,1.522,2
10,0,2012,0.0003201,1,80,1,115.3,1,14.23,1,1.441,1
