month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.01206,23,74,45,117.6,23,1.408,45,0.5541,50
1,2,2012,0.009426,43,49,59,93.64,43,4.519,59,0.5531,65
1,3,2012,0.006722,32,50.5,54,130,32,4.376,54,0.6025,60
1,4,2012,0.0091,33,60.5,62,124.1,33,2.904,62,0.5007,70
1,5,2012,0.007807,44,54,62,89.51,44,3.34,62,0.5499,68
1,6,2012,0.01375,20,69,41,127.1,20,2.47,41,0.532,47
1,7,2012,0.005433,23,57,50,92.65,23,2.973,50,0.5768,56
1,8,2012,0.01452,31,62,57,123,31,2.906,57,0.5745,67
1,9,2012,0.01016,26,50.5,36,107.2,26,3.72,36,0.592,39
1,10,2012,0.01328,24,47,37,118.6,24,3.29,37,0.6077,40
1,11,2012,0.01162,43,70,58,123.4,43,3.632,58,0.5754,63
1,12,2012,0.007822,27,67.5,44,116.1,27,2.668,44,0.5565,46
1,13,2012,0.01203,26,59,44,92.82,26,3.864,44,0.5599,50
1,14,2012,0.01331,26,57,41,132.5,26,4.449,41,0.585,41
1,15,2012,0.01369,24,69,30,150.7,24,3.121,30,0.4529,42
1,16,2012,0.008289,31,54,54,138.6,31,3.584,54,0.5465,63
1,17,2012,0.005155,21,57,37,86.79,21,3.383,37,0.6168,44
1,18,2012,0.008016,31,64,45,136,31,4.166,45,0.5617,60
1,19,2012,0.005475,12,52,31,113.1,12,5.43,31,0.4559,37
1,20,2012,0.01162,27,65,44,118,27,2.951,44,0.5773,52
1,21,2012,0.007821,23,67.5,34,134.6,24,3.464,34,0.5422,41
1,22,2012,0.01219,27,59,57,97.55,27,4.972,57,0.5649,64
1,23,2012,0.005277,29,52.5,42,104.6,29,3.336,42,0.5842,52
1,24,2012,0.008065,19,63,30,130.9,19,3.434,30,0.5837,32
1,25,2012,0.00791,23,55,34,91.82,23,5.595,34,0.6026,43
1,26,2012,0.01114,30,63.5,48,103.7,30,3.021,48,0.5947,55
1,27,2012,0.00843,38,67,64,116.6,38,2.864,64,0.5327,79
1,28,2012,0.007551,49,56,94,104,49,5.407,94,0.5937,104
1,29,2012,0.007231,22,53,41,99.2,22,5.48,41,0.6015,44
1,30,2012,0.006086,42,55,68,106.7,42,4.839,68,0.6138,75
1,31,2012,0.007207,30,58,45,85.74,30,5.718,45,0.5962,47
2,1,2012,0.00977,28,63.5,50,112.9,28,4.195,50,0.5892,58
2,2,2012,0.01315,48,70,59,139.2,48,2.286,59,0.5364,64
2,3,2012,0.01223,39,60,64,156.9,39,3.03,64,0.5745,69
2,4,2012,0.006245,42,68.5,78,102.1,42,3.7,78,0.5845,87
2,5,2012,0.009877,52,63.5,82,102.6,52,3.858,82,0.5854,91
2,6,2012,0.01178,31,65,57,129.1,31,3.72,57,0.6112,60
2,7,2012,0.01024,38,63,64,112.6,38,3.849,64,0.5653,76
2,8,2012,0.02063,36,66,56,107.5,36,3.656,56,0.5626,60
2,9,2012,0.00578,27,38,43,103.7,27,4.969,43,0.5993,49
