month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.00181,128,25,186,54.45,128,12.31,186,2.793,208
1,1,2012,0.001642,85,23,138,48.24,85,13.34,138,3.215,143
1,2,2012,0.001327,75,26.5,108,49.35,75,13.77,108,3.214,124
1,3,2012,0.001577,54,23,84,42.93,54,15.28,84,3.176,88
1,4,2012,0.001583,51,25,81,44.59,51,14.04,81,3.347,86
1,5,2012,0.001965,46,23,65,46.11,46,13.5,65,3.169,75
1,6,2012,0.002694,65,32,97,61.78,65,11.28,97,2.855,113
1,7,2012,0.001769,89,32,119,56.22,89,13.87,119,3.214,134
1,8,2012,0.001793,78,30,123,65.12,78,12.49,123,2.749,132
1,9,2012,0.002083,107,29,145,57.29,107,11.87,145,3.214,157
1,10,2012,0.00204,130,31,194,56.55,130,9.889,194,3.246,207
1,11,2012,0.001926,134,28,210,61.16,134,11.01,210,3.078,217
1,12,2012,0.001599,132,28,186,52.27,132,11.13,186,2.928,207
1,13,2012,0.002105,151,27,227,55.27,151,13.46,227,3.076,256
1,14,2012,0.002057,158,28,228,54.8,158,11.35,228,3.088,248
1,15,2012,0.001777,162,27,245,58.23,162,10.54,245,2.977,272
1,16,2012,0.002486,199,28,282,66,199,9.569,282,3.094,306
1,17,2012,0.003089,187,28,263,58.89,188,9.615,263,2.771,294
1,18,2012,0.003426,219,30.5,294,61.29,220,6.936,294,2.812,314
1,19,2012,0.004169,229,32,293,63.21,230,5.015,293,2.996,318
1,20,2012,0.004926,261,31,346,57.19,261,4.072,346,2.886,378
1,21,2012,0.002783,249,32,316,56.78,249,6.241,316,2.81,350
1,22,2012,0.002331,217,27,285,54.03,217,9.886,285,2.612,321
1,23,2012,0.002147,154,27,220,55.66,153,7.866,221,2.637,240
2,0,2012,0.001788,147,24,234,49.67,147,12.34,234,3.048,251
2,1,2012,0.001754,103,23.5,174,45.78,103,13.85,174,3.175,191
2,2,2012,0.001457,71,24.5,122,40.93,71,14.45,122,3.134,137
2,3,2012,0.001909,60,26,109,50.18,60,12.91,109,2.971,124
2,4,2012,0.001854,55,25,86,48.41,55,13.64,86,3.32,88
2,5,2012,0.001455,54,28,90,46.52,54,15.5,90,3.295,107
2,6,2012,0.001857,91,28,132,52.95,91,11.94,132,3.21,138
2,7,2012,0.001897,80,30,132,53.23,80,12.19,132,3.223,146
2,8,2012,0.001751,135,26,209,49.06,135,13.79,209,3.219,219
2,9,2012,0.001927,137,28,211,50.74,137,13.99,211,3.217,220
2,10,2012,0.002589,145,31,230,58.51,146,10.2,230,2.865,254
2,11,2012,0.00199,164,27,256,54.72,164,12.42,256,3.134,298
2,12,2012,0.001917,191,26.5,310,48.54,191,13.48,310,3.092,331
2,13,2012,0.001991,199,28,318,54.68,199,12.78,318,3.193,340
2,14,2012,0.001996,203,28,310,56.15,203,11.52,310,2.976,334
2,15,2012,0.002317,232,28,325,61.08,232,11.06,325,3.129,350
2,16,2012,0.001992,242,27,341,51.66,242,12.11,341,3.096,374
2,17,2012,0.002079,253,29,359,55.06,253,11.57,359,3.095,408
2,18,2012,0.003467,297,28,406,55.28,297,8.618,406,2.953,444
2,19,2012,0.004175,358,30,472,57.65,358,5.7,472,2.81,520
2,20,2012,0.004315,335,31,434,59.21,335,5.179,434,2.83,478
2,21,2012,0.002959,316,28,434,56.36,316,7.078,434,2.908,465
2,22,2012,0.002423,220,26,343,56.21,220,10.33,343,2.854,376
2,23,2012,0.001766,163,25,263,53.34,163,11.68,263,2.95,286
3,0,2012,0.002092,204,32,297,54.8,204,9.094,297,3.054,326
3,1,2012,0.001822,155,32,200,53.24,155,8.13,200,3.076,227
3,2,2012,0.001911,123,33,175,51.82,123,10.73,175,3.202,191
3,3,2012,0.00172,114,33,170,50.88,114,12.26,170,3.332,180
3,4,2012,0.002155,89,34,125,56.4,89,10.5,125,3.157,132
3,5,2012,0.002096,83,34,121,51.25,83,13.85,121,3.519,129
3,6,2012,0.001334,110,34,161,49.18,110,13.34,161,3.376,175
3,7,2012,0.001928,131,36,188,52.11,131,11.17,188,3.245,205
3,8,2012,0.001998,151,32,215,60.64,152,12.34,215,3.168,229
3,9,2012,0.00214,192,34,261,52.56,192,10.7,261,3.241,276
3,10,2012,0.00231,196,33,300,57.1,196,11.6,300,3.358,322
3,11,2012,0.00218,177,32,269,54.6,178,11.95,269,2.938,298
3,12,2012,0.002516,187,33,284,58.7,187,11.3,284,3.175,316
3,13,2012,0.002492,224,34,328,59.38,224,11.44,328,3.095,348
