month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
10,26,2012,0.003879,18,66,21,98.15,18,4.248,21,0.6811,21
10,31,2012,0.004511,24,45,26,82.27,24,4.833,26,1.12,29
11,1,2012,0.004053,52,32.5,62,86.4,52,4.44,62,0.7611,62
11,2,2012,0.005249,57,67,64,99.94,57,3.844,64,0.7927,66
11,3,2012,0.007094,79,58,94,92.14,79,3.582,94,0.7683,97
11,4,2012,0.00576,65,33,72,89.29,65,4.45,72,0.6402,76
11,5,2012,0.004825,56,72,67,95.49,56,4.845,67,0.7629,69
11,6,2012,0.003459,46,36,55,87.79,46,4.951,55,0.6652,56
11,7,2012,0.006615,41,63,49,96.08,41,3.648,49,0.8298,50
11,8,2012,0.003575,59,53,67,93.68,59,3.631,67,0.7079,71
11,9,2012,0.006917,64,50,74,103.7,64,2.922,74,0.595,75
11,10,2012,0.00582,68,60,75,87.15,68,3.752,75,0.779,78
11,11,2012,0.007927,62,34,71,90.92,62,4.828,71,0.9448,71
11,12,2012,0.002927,46,37,55,78.71,46,3.504,55,0.5447,56
11,13,2012,0.006568,50,34.5,56,84.52,50,4.315,56,0.7789,64
11,14,2012,0.003989,52,58,62,83.08,52,4.903,62,0.8556,62
11,15,2012,0.005946,52,61,56,94.66,52,4.97,56,0.8589,56
11,16,2012,0.003757,41,50,47,91.04,41,5.01,47,0.7793,49
11,17,2012,0.005792,67,38,78,100.7,67,2.798,78,0.6267,78
11,18,2012,0.006993,67,60.5,76,102.9,67,4.236,76,0.7727,80
11,19,2012,0.007433,58,67,65,89.97,58,4.624,65,0.7951,67
11,20,2012,0.00369,56,59,62,81.83,56,5.029,62,0.9455,65
11,21,2012,0.005075,76,67.5,88,85.68,76,3.608,88,0.7855,89
11,22,2012,0.005352,60,68,75,91.24,60,4.662,75,0.7631,75
11,23,2012,0.007876,56,35,65,86.92,56,2.729,65,0.5428,67
11,24,2012,0.004689,52,38,61,84.34,52,4.85,61,0.8883,65
11,25,2012,0.005136,72,36.5,82,86.92,72,4.631,82,0.7889,85
11,26,2012,0.003014,59,62,73,85.87,59,4.872,73,0.7953,73
11,27,2012,0.004555,60,53.5,70,101.9,60,3.642,70,0.7754,71
