month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
10,26,2012,0.003879,18,67,18,98.15,18,3.503,18,0.6811,21
10,31,2012,0.004511,24,35,24,82.27,24,4.874,24,1.12,29
11,1,2012,0.004053,52,30.5,52,86.4,52,4.386,52,0.7611,62
11,2,2012,0.005249,57,67,57,99.94,57,3.963,57,0.7927,66
11,3,2012,0.007094,79,58,79,92.14,79,4.48,79,0.7683,97
11,4,2012,0.00576,65,35,65,89.29,65,3.712,65,0.6402,76
11,5,2012,0.004825,56,63,56,95.49,56,4.912,56,0.7629,69
11,6,2012,0.003459,46,34.5,46,87.79,46,5.27,46,0.6652,56
11,7,2012,0.006615,41,63,41,96.08,41,3.81,41,0.8298,50
11,8,2012,0.003575,59,53,59,93.68,59,4.443,59,0.7079,71
11,9,2012,0.006917,64,56.5,64,103.7,64,3.345,64,0.595,75
11,10,2012,0.00582,68,61.5,68,87.15,68,4.482,68,0.779,78
11,11,2012,0.007927,62,34,62,90.92,62,5.027,62,0.9448,71
11,12,2012,0.002927,46,34.5,46,78.71,46,4.614,46,0.5447,56
11,13,2012,0.006568,50,33.5,50,84.52,50,4.315,50,0.7789,64
11,14,2012,0.003989,52,52.5,52,83.08,52,4.903,52,0.8556,62
11,15,2012,0.005946,52,61,52,94.66,52,4.984,52,0.8589,56
11,16,2012,0.003757,41,33,41,91.04,41,5.623,41,0.7793,49
11,17,2012,0.005792,67,38,67,100.7,67,2.801,67,0.6267,78
11,18,2012,0.006993,67,62,67,102.9,67,4.673,67,0.7727,80
11,19,2012,0.007433,58,69.5,58,89.97,58,4.782,58,0.7951,67
11,20,2012,0.00369,56,67.5,56,81.83,56,5.2,56,0.9455,65
11,21,2012,0.005075,76,66,76,85.68,76,4.84,76,0.7855,89
11,22,2012,0.005352,60,62,60,91.24,60,4.833,60,0.7631,75
11,23,2012,0.007876,56,33.5,56,86.92,56,2.693,56,0.5428,67
11,24,2012,0.004689,52,36,52,84.34,52,5.332,52,0.8883,65
11,25,2012,0.005136,72,34.5,72,86.92,72,4.779,72,0.7889,85
11,26,2012,0.003014,59,55,59,85.87,59,4.906,59,0.7953,73
11,27,2012,0.004555,60,52,60,101.9,60,3.769,60,0.7754,71
