month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
10,7,2012,nan,0,71,1,nan,0,20.79,1,3.446,1
10,9,2012,nan,0,13,1,nan,0,20.05,1,4.561,1
10,10,2012,0.0002875,1,98,1,105,1,3.985,1,0.4839,1
10,11,2012,0.001058,3,13,4,24.24,3,18.4,4,3.516,4
10,12,2012,0.0006321,2,61,5,43.92,2,10.81,5,3.506,5
10,13,2012,0.0004895,1,55.5,2,41.08,1,11.67,2,3.915,2
10,14,2012,0.006732,2,27,3,146.4,2,26.4,3,2.696,3
10,15,2012,0.003266,2,16,3,43.35,2,6.794,3,1.054,4
10,16,2012,0.005705,2,37,5,128.5,2,4.374,5,2.972,5
10,18,2012,0.0002152,1,17,2,66.43,1,21.48,2,3.964,2
10,19,2012,nan,0,16,1,nan,0,12.91,1,3.488,1
10,20,2012,nan,0,14,3,nan,0,19.88,3,3.551,3
10,21,2012,0.001553,3,14.5,8,41.81,3,22.8,8,3.448,8
10,22,2012,0.01173,2,16,3,124.7,2,9.623,3,3.471,3
10,23,2012,0.005957,2,17,2,162.7,2,14.68,2,3.166,2
11,0,2012,0.0008708,22,15,53,41.59,22,13.64,53,3.483,52
11,1,2012,0.01255,16,15,39,38.75,16,12.77,39,3.053,43
11,2,2012,0.001757,7,14.5,22,29.21,7,16.64,22,3.558,23
11,3,2012,0.003571,16,14,29,75.36,16,15.57,29,3.206,30
11,4,2012,0.001548,9,16,19,82.88,9,18.42,19,3.059,20
11,5,2012,0.008379,11,18,26,77.45,11,10.36,26,3.261,26
11,6,2012,0.005409,16,74,29,102.3,16,14.79,29,1.452,30
11,7,2012,0.002923,15,71.5,40,86.88,15,12.63,40,1.308,41
11,8,2012,0.001827,26,17,60,71.12,26,19.95,60,3.524,60
11,9,2012,0.001856,23,18,68,75.73,23,18.29,68,3.268,69
11,10,2012,0.001731,34,17,85,53.8,34,15.77,85,3.416,85
11,11,2012,0.001716,34,17,75,64.85,34,15.8,75,3.036,77
11,12,2012,0.002265,30,16,62,67.02,30,12.67,62,3.427,64
11,13,2012,0.001504,33,14,75,59.56,33,18.04,75,3.452,77
11,14,2012,0.004028,42,16,90,64.58,42,16.68,90,3.494,91
11,15,2012,0.0009908,26,14,64,53.04,26,15.7,64,3.472,64
11,16,2012,0.002956,42,14,80,38.84,42,17.15,80,3.472,81
11,17,2012,0.00183,41,14,83,49.51,41,16.58,83,3.458,85
11,18,2012,0.00268,40,16,91,50.32,41,18.84,91,3.439,94
11,19,2012,0.001428,47,16,104,59.48,47,17.75,104,3.492,107
11,20,2012,0.002096,56,15,130,83.35,56,19.21,130,3.479,134
11,21,2012,0.0009035,37,14,92,46.56,37,17.94,92,3.469,97
11,22,2012,0.001608,41,16,104,40.24,41,16.85,104,3.475,103
11,23,2012,0.00304,25,15.5,70,60.03,25,16.92,70,3.436,75
12,0,2012,0.0009351,33,14,66,53.49,33,18.75,66,3.461,69
12,1,2012,0.002715,22,18,47,57.45,22,18.46,47,3.532,49
12,2,2012,0.003199,8,14.5,20,54.88,8,18.58,20,3.527,20
12,3,2012,0.01425,6,17.5,14,78.88,6,14.13,14,3.441,14
12,4,2012,0.001983,11,16,18,82.78,11,17.79,18,3.548,19
12,5,2012,0.002289,7,20.5,18,96.94,7,19.46,18,2.981,17
12,6,2012,0.0004466,14,74,44,105.1,14,13.78,44,2.001,46
12,7,2012,0.004397,19,20.5,68,74.34,19,15.58,68,3.051,67
12,8,2012,0.003231,24,33,53,102.9,24,11.26,53,2.974,53
12,9,2012,0.001351,21,16,55,60.4,21,19.57,55,3.407,60
12,10,2012,0.001795,48,17,93,48.38,48,18.24,93,3.422,94
12,11,2012,0.003489,37,15,65,77.41,37,19.59,65,3.034,63
12,12,2012,0.003393,30,17,63,46.37,30,19.67,63,3.49,63
12,13,2012,0.002097,32,15,81,71.21,32,16.69,81,3.475,82
12,14,2012,0.001611,40,16,97,58.78,40,22.34,97,3.484,96
12,15,2012,0.001839,40,16,77,46.05,40,15.72,77,3.407,81
12,16,2012,0.001813,43,14,93,40.04,43,19.8,93,3.444,96
12,17,2012,0.002342,34,16,91,43.17,34,16.61,91,3.458,90
12,18,2012,0.002986,56,15,130,48.88,56,19.67,130,3.461,130
12,19,2012,0.003225,46,16,106,60.86,46,16.01,106,3.374,108
12,20,2012,0.002254,38,16,93,50.79,38,17.45,93,3.448,96
12,21,2012,0.002183,52,16,116,55.84,52,15.67,116,3.439,117
12,22,2012,0.002041,54,14,96,42.14,54,16.71,96,3.484,98
12,23,2012,0.003116,43,15,97,46.24,43,16.47,97,3.454,97
1,0,2013,0.001743,22,16,58,66.18,22,16.93,58,3.413,58
1,1,2013,0.002789,10,15,41,66.66,10,18.84,41,3.403,42
1,2,2013,0.005653,7,14,27,52.1,7,19.63,27,3.517,27
1,3,2013,0.0007053,5,14,21,28.22,5,19.41,21,3.478,23
1,4,2013,0.006538,3,15,16,190,3,22,16,3.152,16
1,5,2013,0.007705,4,22,14,99.41,4,14.27,14,3.22,16
1,6,2013,0.0175,11,18,21,132.9,11,14.4,21,3.382,21
1,7,2013,0.007033,11,71,27,94.35,11,11.5,27,3.085,28
1,8,2013,0.005523,20,21,38,65.54,20,12.59,38,3.161,39
1,9,2013,0.00335,40,15,80,72.38,40,17.04,80,3.425,82
1,10,2013,0.00414,35,16,76,91.78,35,16.43,76,3.44,76
1,11,2013,0.00247,40,19,82,85.79,40,15.67,82,3.278,85
1,12,2013,0.003,33,17,74,79.59,33,17.12,74,3.408,76
1,13,2013,0.001095,33,15,72,57.49,33,19.53,72,3.482,73
1,14,2013,0.001647,25,16,52,58.64,25,18.97,52,3.384,55
1,15,2013,0.001819,27,15,73,50.28,27,18.47,73,3.507,73
1,16,2013,0.0013,37,14,93,45.69,37,19.27,93,3.477,95
1,17,2013,0.001056,38,16,88,94.22,38,17.21,88,3.464,90
1,18,2013,0.002947,47,16,98,58.64,47,16.06,98,3.471,100
1,19,2013,0.003281,41,16,101,75.19,41,17.49,101,3.444,103
1,20,2013,0.002337,40,15,110,70.21,40,16.77,110,3.426,110
1,21,2013,0.001134,38,15,86,45.23,38,15.86,86,3.43,88
1,22,2013,0.001883,46,16,101,49.11,46,15.54,101,3.462,100
1,23,2013,0.003152,17,15,55,39.74,17,18.66,55,3.477,57
2,0,2013,0.002083,15,16,35,57.16,15,19.34,35,3.323,36
2,1,2013,0.008999,12,16,24,101.6,12,10.18,24,2.162,24
2,2,2013,0.00197,8,21,14,72.1,8,16.38,14,3.354,14
2,3,2013,0.008556,6,24,13,60.19,6,14.82,13,3.282,13
2,4,2013,0.008184,5,60,15,87.94,5,23.22,15,2.25,16
2,5,2013,0.00492,4,22.5,12,84.72,4,10.34,12,1.46,12
2,6,2013,0.001753,5,50.5,26,127.8,5,16.53,26,3.155,26
2,7,2013,0.006894,23,60,41,95.54,23,7.199,41,1.441,41
2,8,2013,0.002377,22,26.5,54,102.6,22,20.4,54,3.35,55
2,9,2013,0.002121,22,27.5,48,50.26,22,11.93,48,2.546,47
2,10,2013,0.004124,19,31.5,40,111.3,19,7.986,40,2.475,42
2,11,2013,0.002229,35,24,61,71.66,35,15.11,61,2.95,63
2,12,2013,0.002207,29,19.5,64,67.88,29,19.66,64,3.279,64
2,13,2013,0.003587,25,23.5,52,74.97,25,17.27,52,3.178,52
2,14,2013,0.003491,20,17,49,69.84,20,19.49,49,3.37,50
2,15,2013,0.001094,14,16,35,40.36,14,16.14,35,3.479,35
2,16,2013,0.0003729,20,16,54,60.24,20,21.61,54,3.425,56
2,17,2013,0.001478,14,16,43,69.79,14,20.41,43,3.514,44
2,18,2013,0.001139,27,16,58,81.64,27,16.44,58,3.461,58
2,19,2013,0.002721,26,18,53,80.6,26,15.69,53,3.46,53
2,20,2013,0.001504,23,15,64,67.06,23,16.12,64,3.454,67
2,21,2013,0.001548,29,14,66,63.37,29,19.14,66,3.481,68
2,22,2013,0.003275,19,14,44,68.09,19,14.9,44,3.469,46
2,23,2013,0.005473,15,15,28,88.9,15,18.29,28,3.29,30
3,0,2013,0.001518,11,14,22,32.25,11,15.98,22,3.549,22
3,1,2013,0.006181,8,21,19,88.1,8,12.6,19,3.14,19
3,2,2013,0.002924,8,17,18,122.5,8,8.459,18,3.019,17
3,3,2013,0.006088,9,17.5,18,100.2,9,13.41,18,3.5,18
3,4,2013,0.0008845,2,19.5,6,34.53,2,10.51,6,3.431,6
3,5,2013,0.004379,6,17.5,10,77.62,6,17.19,10,2.954,10
3,6,2013,0.0005232,9,60,29,45.33,9,12.44,29,1.695,29
3,7,2013,0.00481,14,28,37,99.82,14,15.21,37,1.448,39
3,8,2013,0.003368,22,27,45,96.69,22,18.57,45,3.079,45
3,9,2013,0.003218,13,25,36,76.91,13,10.83,36,2.836,37
3,10,2013,0.002278,16,28,44,116.1,17,17.96,44,3.272,43
3,11,2013,0.002965,18,16.5,44,51.71,18,16.8,44,3.524,45
3,12,2013,0.002796,17,17,65,96.73,18,21,65,3.394,67
