month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
10,26,2012,0.01174,4,62.5,8,98.98,4,12.09,8,1.068,8
10,31,2012,0.001328,4,38,5,71.78,4,9.708,5,3.453,6
11,1,2012,0.02043,1,39,3,248.2,1,10.74,3,1.772,3
11,2,2012,0.00437,2,30,3,72.01,2,4.593,3,1.498,4
11,3,2012,0.00568,10,49,11,86.32,10,6.104,11,3.071,10
11,4,2012,0.006337,4,80,5,112.5,4,7.633,5,2.933,6
11,5,2012,0.007331,6,73,9,115.9,6,6.838,9,2.667,9
11,6,2012,0.02432,2,59.5,4,248.5,2,3.717,4,1.28,4
11,7,2012,0.01043,3,44.5,8,106.3,3,10.22,8,2.697,8
11,8,2012,0.001564,4,53.5,4,89.8,4,11.46,4,1.172,5
11,9,2012,0.005916,8,73,12,84.31,8,5.99,12,1.165,13
11,10,2012,0.004923,11,48,13,119.1,11,5.713,13,2.863,14
11,11,2012,0.01343,7,70,9,104.3,7,5.977,9,3.715,9
11,12,2012,0.006403,5,40,9,92.47,5,12.87,9,3.991,10
11,13,2012,0.01046,7,69,9,173.6,7,15.54,9,3.697,9
11,14,2012,0.004216,4,54.5,6,90.85,4,11.74,6,3.445,6
11,15,2012,0.001337,3,39,4,91.82,3,15.83,4,4.476,4
11,16,2012,0.008177,6,29,9,44.18,6,10.08,9,3.325,9
11,17,2012,0.003864,4,70.5,4,89.74,4,13.51,4,4.463,10
11,18,2012,0.00262,10,38.5,10,96.23,10,6.006,10,3.044,10
11,19,2012,0.005312,4,79,6,107.3,4,11.62,6,3.064,7
11,20,2012,0.002399,10,54,14,108.4,10,6.966,14,2.922,14
11,21,2012,0.007153,8,41,13,94.24,8,6.918,13,3.664,13
11,22,2012,0.01253,2,127,2,186.2,2,3.539,2,3.495,2
11,23,2012,0.003467,5,32,5,102.1,5,7.166,5,3.438,5
