month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
10,26,2012,0.003897,1,66,3,108.8,1,5.72,3,0.8086,3
10,31,2012,0.06222,2,73,3,93.64,2,6.912,3,0.817,3
11,1,2012,0.00263,5,73,5,109.7,5,11.71,5,0.6905,5
11,2,2012,0.002904,3,73,11,165.7,3,6.199,11,1.159,12
11,3,2012,0.001405,4,64.5,8,85.23,4,10.47,8,0.7918,9
11,4,2012,0.008631,7,69.5,10,244.5,7,6.583,10,0.7938,10
11,5,2012,0.0004047,3,62,9,90.78,3,7.802,9,0.8608,9
11,6,2012,0.002475,6,67,11,86.86,6,7.798,11,0.7382,12
11,7,2012,0.01572,6,65.5,10,141.4,6,7.978,10,0.7561,10
11,8,2012,0.006667,5,67,10,93.06,5,8.686,10,0.7905,10
11,9,2012,0.004786,6,65.5,14,81.71,6,4.65,14,0.7365,14
11,10,2012,0.004503,8,67,12,82.88,8,12.28,12,0.7842,13
11,11,2012,0.0006629,4,70.5,8,97.37,4,10.33,8,0.7899,8
11,12,2012,0.04122,4,74,10,170.2,4,2.577,10,0.668,10
11,13,2012,0.003317,11,68.5,16,96.8,11,6.917,16,0.6959,17
11,14,2012,0.0009522,7,70,13,94.18,7,7.162,13,0.7859,13
11,15,2012,nan,0,74,4,nan,0,5.588,4,0.771,4
11,16,2012,0.003834,4,58,7,76.74,4,13.5,7,0.8086,11
11,17,2012,0.1696,3,67,9,92.11,3,13.12,9,0.8127,9
11,18,2012,0.007919,4,65,11,98.03,4,6.466,11,0.7477,11
11,19,2012,0.002589,9,63,12,108.2,9,7.377,12,0.7822,12
11,20,2012,0.0555,3,64,8,120.1,3,6.677,8,0.7497,8
11,21,2012,0.002457,4,63,9,81.06,4,14.19,9,0.8183,9
11,22,2012,0.0005387,6,64.5,16,110.1,6,7.651,16,0.8152,16
11,23,2012,0.0146,1,71,6,89.83,1,11.89,6,0.8072,6
11,24,2012,0.0008511,10,66,16,82.92,10,10.32,16,0.8171,16
11,25,2012,0.005247,7,67,9,82.63,7,7.61,9,0.8101,9
11,26,2012,0.01003,4,68,11,101.5,4,5.605,11,0.8055,11
11,27,2012,0.001438,3,64,9,81.5,3,7.19,9,0.7788,9
11,28,2012,0.003899,6,65.5,14,106.8,6,9.194,14,0.7698,15
11,29,2012,0.01515,6,58.5,14,144,6,3.431,14,0.7956,14
11,30,2012,0.005172,8,66,11,102.6,8,5.172,11,0.7169,11
12,1,2012,0.001832,3,63,10,89.49,3,6.974,10,0.8058,11
12,2,2012,0.003187,5,63.5,12,96.43,5,12.43,12,0.8146,13
12,3,2012,0.003116,6,61.5,14,74.62,6,7.841,14,0.8222,16
12,4,2012,0.003916,4,67,11,129.9,4,6.538,11,0.7161,11
12,5,2012,0.004975,1,62,9,87.8,1,8.138,9,1.034,10
12,6,2012,0.006815,15,62.5,24,101.9,15,11.63,24,0.8225,25
12,7,2012,0.004778,8,64,14,104.6,8,10.56,14,0.7968,15
12,8,2012,0.001729,2,65,9,93.02,2,15.9,9,0.7889,9
12,9,2012,0.002152,2,61.5,8,122.6,2,6.199,8,0.7719,8
12,10,2012,0.006417,4,79,9,90.91,4,7.15,9,1.444,9
12,11,2012,0.007163,4,67,14,96.29,4,11.95,14,0.7954,14
12,12,2012,0.002335,4,64,12,83.04,4,12.91,12,0.8292,12
12,13,2012,0.01364,4,71.5,8,172.1,4,5.186,8,0.6658,8
12,14,2012,0.001805,5,64,10,109.7,5,9.286,10,0.7981,10
12,15,2012,0.008459,2,60,5,146.2,2,6.393,5,1.021,5
12,16,2012,0.007447,10,64,15,92.07,10,7.206,15,0.7898,15
12,17,2012,0.01006,4,67,13,108.5,4,18.11,13,0.8775,13
12,18,2012,nan,0,68.5,8,nan,0,6.097,8,0.8108,8
12,19,2012,0.01527,8,68,12,133.9,8,8.201,12,1.218,13
12,20,2012,0.003384,11,66,15,116.6,11,4.749,15,1.06,15
12,21,2012,0.008886,9,64,13,113.8,9,8.081,13,0.7931,14
12,22,2012,0.002492,5,64,8,110.4,5,12.17,8,0.7045,8
12,23,2012,0.002205,2,64,7,79.37,2,11.91,7,0.777,7
12,24,2012,0.00508,10,64,11,83.9,10,6.784,11,0.7593,11
12,25,2012,0.001995,1,64,9,88.98,1,16.85,9,0.7886,9
12,26,2012,0.008003,6,62.5,12,124.2,6,10.11,12,1.2,12
12,27,2012,0.003455,6,62,9,72.12,6,7.886,9,0.8085,9
12,28,2012,0.006032,2,66,7,83.11,2,11.81,7,0.81,7
12,29,2012,0.0009234,5,64,12,83.67,5,7.806,12,0.8051,12
12,30,2012,0.003333,7,61,9,179.7,7,7.735,9,0.7844,10
12,31,2012,0.006479,5,64,6,150.7,5,7.18,6,0.752,6
1,1,2013,0.002172,6,64,13,87.42,6,6.283,13,0.8086,13
1,2,2013,0.002644,5,66.5,10,171.2,5,12.88,10,0.8212,10
1,3,2013,0.0009265,3,65,6,91.84,3,11.05,6,1.212,6
1,4,2013,0.001966,5,67,11,100.4,5,11.02,11,1.032,11
1,5,2013,0.001973,7,62.5,12,144.2,7,10.98,12,0.805,13
1,6,2013,0.006302,4,82,9,126.3,4,4.892,9,0.7931,9
1,7,2013,0.004771,6,69,17,80.07,6,14.78,17,0.8127,17
1,8,2013,0.001568,7,67,17,149.6,7,4.593,17,0.7825,18
1,9,2013,0.006194,8,63.5,14,108,8,7.391,14,0.7737,14
1,10,2013,0.003085,10,65.5,14,115.7,10,5.596,14,0.8753,14
1,11,2013,0.01416,4,83,10,153.8,4,7.403,10,0.806,10
1,12,2013,0.006351,7,65,10,91.71,7,8.927,10,0.8078,10
1,13,2013,0.006194,4,64.5,12,82.06,4,11.79,12,0.8117,12
1,14,2013,0.00414,6,71,11,102.9,6,6.857,11,0.7678,11
1,15,2013,0.006904,5,60.5,12,76.87,5,9.804,12,1.055,13
1,16,2013,0.001848,7,66,10,80.95,7,12.25,10,0.8089,10
1,17,2013,0.02022,26,72,28,202.4,26,3.909,28,0.7718,29
1,18,2013,0.01617,26,68,29,119.5,26,4.548,29,0.794,29
1,19,2013,0.002704,7,66,9,88.55,7,6.277,9,0.7862,10
1,20,2013,0.02674,2,64,9,134.9,2,10.11,9,0.7935,10
1,21,2013,0.007788,6,64,10,113.8,6,8.65,10,0.8039,10
1,22,2013,0.00229,8,63.5,8,92.72,8,10.4,8,1.113,9
