month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
10,16,2012,0.002304,1,64,1,78.2,1,10.02,1,0.6921,1
10,19,2012,0.1221,1,73,1,109.1,1,0.05994,1,0.817,1
10,14,2012,nan,0,65,1,nan,0,16.49,1,0.8086,1
10,15,2012,0.003897,1,70,3,108.8,1,5.72,3,0.8158,3
11,0,2012,0.003162,6,70,15,94.1,6,6.84,15,0.7812,16
11,1,2012,0.005391,6,66.5,12,80.52,6,10.93,12,0.8015,12
11,2,2012,0.001988,5,66,9,96.34,5,6.501,9,0.7976,9
11,3,2012,nan,0,66,3,nan,0,11.59,3,0.8185,3
11,4,2012,0.001438,3,65.5,4,94.18,3,5.176,4,0.8211,4
11,5,2012,0.0003546,1,75,2,86.77,1,9.326,2,0.7384,2
11,6,2012,0.002072,1,87,3,104.5,1,6.309,3,0.8126,3
11,7,2012,0.01084,8,58,15,118.1,8,6.153,15,0.7809,15
11,8,2012,0.01038,5,63,8,86.02,5,5.399,8,0.5707,8
11,9,2012,0.007355,6,58,9,101.4,6,9.63,9,0.9908,9
11,10,2012,0.009798,4,69,13,84.29,4,6.093,13,0.7393,13
11,11,2012,0.005025,7,62,15,102,7,7.815,15,1.393,15
11,12,2012,0.002622,7,67,15,93.31,7,6.703,15,0.8093,15
11,13,2012,0.004238,8,67,19,87.8,8,9.629,19,0.7893,19
11,14,2012,0.006451,11,67,19,120.1,11,6.602,19,0.7928,19
11,15,2012,0.00289,9,66,16,76.12,9,6.756,16,0.7927,16
11,16,2012,0.007659,12,68.5,18,155.2,12,6.723,18,0.8,18
11,17,2012,0.001265,12,65.5,26,89.46,12,10.62,26,0.8096,29
11,18,2012,0.002648,9,70,17,85.58,9,8.115,17,0.7985,17
11,19,2012,0.001067,7,65,16,106.6,7,9.979,16,0.7771,17
11,20,2012,0.004662,9,64,15,94.93,9,7.61,15,0.801,16
11,21,2012,0.009116,8,66.5,16,109.4,8,9.408,16,0.7903,19
11,22,2012,0.005646,8,68,19,109.6,8,9.577,19,0.8008,19
11,23,2012,0.005319,5,67,9,94.96,5,4.897,9,0.7934,10
12,0,2012,0.006846,9,64,16,96.43,9,8.751,16,0.8045,16
12,1,2012,0.00476,7,63.5,12,102.1,7,9.989,12,0.793,12
12,2,2012,0.0149,5,67,8,93.28,5,8.059,8,0.8023,9
12,3,2012,0.01986,2,82,3,175.1,2,4.533,3,0.7161,3
12,4,2012,0.006479,3,67,4,113.8,3,4.37,4,0.6745,5
12,5,2012,0.00368,4,62,6,95.38,4,16.61,6,0.8097,6
12,6,2012,0.004275,4,57.5,12,83.77,4,13.41,12,0.8229,12
12,7,2012,0.002776,4,83,8,150.5,4,7.002,8,0.6937,8
12,8,2012,0.008523,11,70,17,123.9,11,5.35,17,1.087,17
12,9,2012,0.002116,4,86,11,83.43,4,7.594,11,0.8086,12
12,10,2012,0.002323,4,77,14,150,4,6.845,14,0.8118,14
12,11,2012,0.009884,15,62.5,22,89.43,15,17.55,22,1.075,24
12,12,2012,0.004183,6,65,13,92.81,6,13.03,13,0.8172,15
12,13,2012,0.01153,9,65,22,84.29,9,12.69,22,0.7889,21
