month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
10,26,2012,0.0005135,1,84,1,116.8,1,8.876,1,0.64,3
10,31,2012,0.02243,3,86,3,258.1,3,3.648,3,0.3219,3
11,1,2012,0.03414,2,90.5,2,380.3,2,18.92,2,0.7335,3
11,2,2012,0.001764,3,87,3,341.3,3,5.413,3,1.424,3
11,3,2012,0.02172,2,143,2,744.6,2,0.4738,2,0.7271,8
11,4,2012,0.001919,3,158,3,592.1,3,1.054,3,0.6602,6
11,5,2012,0.01929,6,100.5,6,451.3,6,1.258,6,0.503,11
11,6,2012,0.02565,2,90,2,175.5,2,16.87,2,0.8095,4
11,7,2012,0.0009547,4,91,4,126.9,4,4.443,4,1.273,8
11,8,2012,0.004556,5,106,5,196.3,5,12.33,5,3.112,9
11,9,2012,0.02529,4,72,4,121.2,4,12.93,4,5.259,6
11,10,2012,0.01183,7,143,7,424.2,7,1.267,7,0.5814,12
11,11,2012,0.008969,4,127.5,4,323.9,4,0.55,4,1.961,5
11,12,2012,0.02977,3,91,3,179.3,3,21.2,3,1.142,5
11,13,2012,0.02272,4,107.5,4,168.9,4,12.04,4,0.6233,9
11,14,2012,0.03897,2,84.5,2,580.7,2,5.604,2,0.6264,8
11,15,2012,0.01055,5,118,5,317.4,5,11.65,5,1.114,7
11,16,2012,0.05206,2,500,2,723.1,2,13.56,2,6.542,6
11,17,2012,0.02752,1,154,1,282.8,1,1.369,1,0.5262,5
11,19,2012,0.01375,3,79,3,163.4,3,5.977,3,1.943,4
11,20,2012,0.003249,3,96,3,180.2,3,7.355,3,0.7764,6
11,21,2012,0.02153,6,89.5,6,138.7,6,6.488,6,1.352,9
11,22,2012,0.0004415,1,125,1,169.6,1,2.549,1,0.5615,6
11,23,2012,0.01036,9,150,9,408.6,9,0.8933,9,0.4993,14
11,24,2012,0.03236,2,98,2,221.5,2,4.893,2,2.147,7
11,25,2012,0.002001,6,99,6,608.6,6,2.836,6,0.7525,8
11,26,2012,0.003268,5,84,5,238.9,5,2.045,5,0.3909,8
11,27,2012,0.003003,1,78,1,215.8,1,0.9478,1,0.9158,3
11,28,2012,0.005532,6,101.5,6,230.5,6,1.43,6,0.4895,8
11,29,2012,0.001051,4,72,4,189.1,4,9.362,4,1.662,6
11,30,2012,0.09675,2,102,2,334.8,2,2.036,2,0.5599,5
12,1,2012,0.0007645,2,95.5,2,200.4,2,7.51,2,2.054,2
12,2,2012,0.003601,7,99,7,147.1,7,4.665,7,2.422,10
12,3,2012,0.003797,3,155,3,452.1,3,0.9741,3,0.6209,4
12,4,2012,0.001745,1,158,1,670.7,1,0.6024,1,0.2166,6
12,5,2012,0.01031,3,175,3,198.9,3,1.574,3,0.4958,4
12,6,2012,0.01777,4,99,4,277.3,4,3.061,4,0.6504,7
12,7,2012,0.004433,7,84,7,140.4,7,2.317,7,1.345,13
12,8,2012,nan,0,nan,0,nan,0,nan,0,0.434,9
12,9,2012,0.001207,1,36,1,128,1,2.646,1,0.343,4
12,10,2012,0.0006129,3,90,3,391.4,3,7.64,3,2.624,5
12,11,2012,0.003516,7,100,7,194.2,7,11.6,7,1.778,12
12,12,2012,0.004299,7,81,7,156.6,7,6.715,7,1.436,9
12,13,2012,0.003421,5,107,5,177.6,5,3.571,5,1.869,5
12,14,2012,0.04427,3,176,3,278,3,5.115,3,0.4633,5
12,15,2012,0.01475,4,74.5,4,112.1,4,5.323,4,2.414,5
12,16,2012,0.0001443,1,97,1,138.8,1,7.443,1,0.4665,4
12,17,2012,0.007984,2,95.5,2,166.6,2,11.52,2,3.385,9
12,18,2012,0.02142,8,76.5,8,100.5,8,3.077,8,1.216,9
12,19,2012,0.04123,4,122,4,493.5,4,2.325,4,0.7775,7
12,20,2012,nan,0,nan,0,nan,0,nan,0,0.5062,2
12,21,2012,0.002152,1,171,1,215.2,1,3.925,1,2.891,6
12,22,2012,0.005605,1,46,1,104.3,1,6.711,1,1.06,3
12,23,2012,0.0009143,4,112.5,4,217.8,4,4.007,4,0.7821,5
12,24,2012,nan,0,nan,0,nan,0,nan,0,1.045,2
12,25,2012,0.002239,1,99,1,228.7,1,1.453,1,0.7063,5
12,26,2012,0.02228,3,81,3,151.6,3,12.9,3,0.6336,9
12,27,2012,0.004774,4,80.5,4,117.8,4,3.892,4,1.087,6
12,28,2012,0.04421,3,102,3,131.3,3,3.041,3,2.007,4
12,29,2012,0.005663,2,108,2,226.6,2,4.312,2,1.711,7
12,30,2012,0.02086,3,76,3,99.37,3,3.321,3,1.109,6
12,31,2012,0.02669,1,71,1,97.21,1,3.591,1,0.7711,2
1,1,2013,0.06722,2,136.5,2,468.3,2,0.8308,2,0.6461,3
1,2,2013,0.009428,9,80,9,101.5,9,3.206,9,0.7607,10
1,3,2013,0.01012,3,417,3,640.7,3,0.974,3,0.6013,3
1,4,2013,0.00052,1,81,1,142.1,1,8.766,1,1.602,6
1,5,2013,0.01136,2,71.5,2,98.24,2,3.682,2,1.422,5
1,6,2013,0.000978,3,108,3,218.3,3,2.016,3,0.5189,5
1,7,2013,0.01894,2,335,2,457.4,2,1.554,2,0.6298,7
1,8,2013,0.01871,2,81,2,103.4,2,11.02,2,1.096,3
1,9,2013,0.0278,4,91,4,213.1,4,2.072,4,0.6452,9
1,10,2013,0.02966,4,128,4,353.9,4,0.879,4,0.468,7
1,11,2013,0.04591,1,108,1,605.6,1,0.4299,1,0.6716,2
1,12,2013,0.00192,1,78,1,192.3,1,15.62,1,7.302,3
1,13,2013,nan,0,nan,0,nan,0,nan,0,0.5008,1
1,14,2013,0.01603,2,85.5,2,133.6,2,11.91,2,1.937,2
1,15,2013,0.01465,6,85,6,113.5,6,2.375,6,2.2,8
1,16,2013,0.01011,1,81,1,128,1,2.553,1,0.2642,6
1,17,2013,0.01917,4,80.5,4,142,4,3.23,4,0.7628,7
1,18,2013,0.003956,4,122,4,228.9,4,3.261,4,1.293,7
1,19,2013,0.0001186,1,91,1,179.4,1,9.036,1,0.5023,3
1,20,2013,0.02411,2,106,2,198.5,2,1.635,2,2.101,2
1,21,2013,0.015,4,95.5,4,202.4,4,4.02,4,0.5379,5
1,22,2013,0.01243,3,113,3,254.5,3,1.999,3,0.6263,5
1,23,2013,0.02332,10,93.5,10,173.6,10,1.072,10,0.6298,13
1,24,2013,0.001103,3,149,3,207.3,3,4.074,3,0.7865,9
1,25,2013,0.0002996,3,60,3,242.5,3,7.234,3,2.142,6
1,26,2013,0.008158,4,102.5,4,166.2,4,1.278,4,1.716,6
