month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.002809,162,25,445,59.57,162,14.8,445,3.252,489
1,2,2012,0.002391,170,26,475,61.24,170,14.47,475,3.251,506
1,3,2012,0.001976,192,23,448,60.48,192,14.85,448,3.252,470
1,4,2012,0.002097,142,26,375,59.38,142,15.12,375,3.25,397
1,5,2012,0.002462,129,24,397,64.6,130,15.21,397,3.251,413
1,6,2012,0.001826,148,21,384,49.97,148,16.96,384,3.251,408
1,7,2012,0.002247,176,24,467,51.83,176,15.17,467,3.25,496
1,8,2012,0.00211,154,23.5,468,53.29,154,16.17,468,3.25,506
1,9,2012,0.00188,152,23,467,56.5,152,16.77,467,3.253,493
1,10,2012,0.00268,166,26,378,63.44,166,14.94,378,3.248,407
1,11,2012,0.001677,146,24,373,55.62,146,15.9,373,3.25,395
1,12,2012,0.002156,119,23,340,53.54,119,16.34,340,3.246,398
1,13,2012,0.002043,155,24,417,54.98,155,16.46,417,3.25,448
1,14,2012,0.001767,203,24,486,55.86,203,14.97,486,3.25,521
1,15,2012,0.002126,212,26,478,58.15,212,13.9,478,3.249,516
1,16,2012,0.00203,152,25,451,61.4,152,14.99,451,3.248,477
1,17,2012,0.002559,168,23,374,50.11,168,14.96,374,3.25,397
1,18,2012,0.002155,150,21,387,52.92,150,14.76,387,3.248,417
1,19,2012,0.002253,92,19,241,51.97,92,14.98,241,3.288,255
1,20,2012,0.001413,105,23,310,62.96,105,17,310,3.254,323
1,21,2012,0.001682,170,22,422,55.18,171,15.65,422,3.219,446
1,22,2012,0.001836,162,23,444,52.72,162,15.69,444,3.254,470
1,23,2012,0.002296,134,24,372,53.02,135,14.83,372,3.253,395
1,24,2012,0.00195,140,23,385,52.77,140,15.98,385,3.252,410
1,25,2012,0.001813,132,24,364,55.94,132,15.82,364,3.252,393
1,26,2012,0.002248,127,22,335,50.93,127,15.73,335,3.253,354
1,27,2012,0.002396,136,23,395,58.11,137,15.3,395,3.29,422
1,28,2012,0.001586,158,24,420,53.39,159,16.47,420,3.251,449
1,29,2012,0.001988,158,24,423,60.63,158,15.78,423,3.252,445
1,30,2012,0.002174,117,22.5,340,55.5,117,16.4,340,3.252,360
1,31,2012,0.0009663,124,24,329,53.98,124,17.92,329,3.251,348
2,1,2012,0.001631,127,25,345,65.01,127,15.91,345,3.251,363
2,2,2012,0.002104,124,21,316,54.57,124,15.06,316,3.232,340
2,3,2012,0.001778,127,23,331,53.22,127,16.94,331,3.25,357
2,4,2012,0.001535,190,22,475,53.91,190,16.96,475,3.251,499
2,5,2012,0.001661,148,21,431,56.62,149,17.97,431,3.254,466
2,6,2012,0.002829,124,21,378,56.78,127,18.74,378,3.253,395
2,7,2012,0.001513,143,23,380,55.19,143,16.67,380,3.249,414
2,8,2012,0.001893,147,21,390,49.46,147,18.22,390,3.252,412
2,9,2012,0.001388,135,21,388,51.58,135,18.14,388,3.289,406
2,10,2012,0.001708,142,23,435,53.47,142,17.76,435,3.247,455
2,11,2012,0.002057,185,22,470,49.62,185,17.36,470,3.251,484
2,12,2012,0.00206,207,23,515,53.26,207,15.99,515,3.25,557
2,13,2012,0.003265,152,21,417,48.94,153,15.64,417,3.244,448
2,14,2012,0.001252,118,21,333,52.41,118,18.37,333,3.253,356
2,15,2012,0.001425,145,22,398,51.16,145,16.72,398,3.251,419
2,16,2012,0.001165,130,22,362,48.69,130,18.4,362,3.253,386
2,17,2012,0.001328,139,23,426,51.82,139,18.39,426,3.251,442
2,18,2012,0.001365,162,22,443,51.48,162,16.96,443,3.252,481
2,19,2012,0.001541,205,24,516,49.04,205,14.98,516,3.251,550
2,20,2012,0.001559,203,23,481,48.96,203,16.85,481,3.249,505
2,21,2012,0.001334,142,21,401,48.54,142,16.66,401,3.288,415
2,22,2012,0.001451,122,22,373,61.22,122,17.1,373,3.25,391
2,23,2012,0.001837,137,20,404,51.69,137,18.9,404,3.251,431
2,24,2012,0.001419,156,22,397,48.51,156,16.32,397,3.251,419
2,25,2012,0.002238,156,21,459,52,156,16.22,459,3.217,493
2,26,2012,0.001278,185,21,471,54.35,185,15.89,471,3.25,494
2,27,2012,0.002024,135,21,371,59.17,141,15.93,371,3.252,397
2,28,2012,0.001634,164,21,402,52.09,164,16.99,402,3.246,431
2,29,2012,0.002097,148,23,375,52.86,148,14.88,375,3.249,403
3,1,2012,0.002345,150,22,398,53.18,150,15.35,398,3.211,425
3,2,2012,0.002215,182,20,466,50.44,182,16.81,466,3.208,511
3,3,2012,0.002087,218,21,491,49.96,218,16.77,491,3.247,533
3,4,2012,0.002212,218,24,523,58.07,218,15.84,523,3.249,553
3,5,2012,0.001392,168,20.5,428,55.54,168,17.44,428,3.248,477
3,6,2012,0.002037,177,20,507,47.67,177,17.22,507,3.288,530
3,7,2012,0.001637,143,20,414,55.12,143,17.37,414,3.247,448
3,8,2012,0.001474,133,22,355,52.29,133,17.62,355,3.246,384
3,9,2012,0.002682,150,21,357,56.32,150,17.01,357,3.248,388
3,10,2012,0.002078,148,23,368,57.06,148,17.23,368,3.248,385
3,11,2012,0.001698,175,21,421,51.5,176,17.22,421,3.247,449
3,12,2012,0.00189,131,22,390,53.84,131,17.99,390,3.285,403
3,13,2012,0.001618,120,23,342,61.4,120,16.21,342,3.282,359
3,14,2012,0.00117,128,22,339,57.39,129,16.87,339,3.248,357
3,15,2012,0.001599,147,21,355,50.65,147,17.09,355,3.251,380
3,16,2012,0.00119,109,21,293,48.94,109,17.56,293,3.248,317
3,17,2012,0.001497,122,22,343,51.16,122,18.54,343,3.247,362
3,18,2012,0.001688,139,23,412,58.48,139,16.46,412,3.247,433
3,19,2012,0.001476,143,24,366,51.85,143,17.37,366,3.25,385
3,20,2012,0.001948,116,23,280,49.67,116,16.84,280,3.245,301
3,21,2012,0.001543,129,21,318,56.12,129,17.27,318,3.246,340
3,22,2012,0.002079,116,24,320,55.98,116,15.87,320,3.243,342
3,23,2012,0.001357,140,25,339,49.39,140,18.22,339,3.238,363
3,24,2012,0.001466,149,23,411,55.23,149,18.3,411,3.239,438
3,25,2012,0.001625,175,24,470,63.21,175,17,470,3.246,491
3,26,2012,0.001761,131,20,347,50.74,131,17.39,347,3.246,367
3,27,2012,0.002743,143,26.5,342,62,143,16.58,342,3.24,362
3,28,2012,0.001246,123,24,344,53.3,123,16.67,344,3.245,365
3,29,2012,0.002432,100,26,241,53.51,100,15.84,241,3.283,259
3,30,2012,0.002078,69,22,181,56.17,69,18.47,181,3.282,199
3,31,2012,0.001608,77,28,184,51.39,77,15.66,184,3.236,192
4,1,2012,0.001644,94,26,235,56.19,94,16.96,235,3.248,255
4,2,2012,0.002024,64,26,178,51.72,64,15.48,178,3.242,191
