month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.006848,49,52,61,151.1,49,23.86,61,7.632,63
1,1,2012,0.006538,39,39,54,116.5,39,23.81,54,19.6,61
1,2,2012,0.007417,32,37,51,126,32,24.25,51,20.52,55
1,3,2012,0.007034,28,35,39,120.3,28,24.62,39,20.7,42
1,4,2012,0.00717,43,34,51,121.1,43,24.48,51,20.73,52
1,5,2012,0.007168,33,37,51,123,33,24.53,51,20.7,51
1,6,2012,0.00735,33,32,46,127.2,33,24.6,46,20.71,48
1,7,2012,0.007196,32,34,47,121.3,32,24.2,47,20.49,50
1,8,2012,0.007427,41,35,53,127.9,41,24.25,53,20.62,56
1,9,2012,0.006709,38,34,56,119.8,38,24.6,56,20.4,59
1,10,2012,0.00712,40,37,57,139.2,40,23.59,57,11.16,64
1,11,2012,0.008571,40,52,51,158.4,40,23.77,51,7.193,59
1,12,2012,0.00726,34,53,64,129.5,34,23.23,64,3.945,72
1,13,2012,0.008022,48,37,70,132.5,48,23.99,70,5.08,81
1,14,2012,0.007354,39,37,61,136.8,39,23.57,61,5.077,66
1,15,2012,0.007212,41,43,66,149.3,41,22.83,66,0.6987,80
1,16,2012,0.008141,42,51,57,118.7,42,23.64,57,7.297,66
1,17,2012,0.008071,46,40.5,68,134.7,46,15.69,68,4.594,76
1,18,2012,0.006773,38,47.5,70,130.9,38,17.82,70,2.952,84
1,19,2012,0.008653,39,55,69,159.8,39,19.39,69,1.189,81
1,20,2012,0.008124,61,59,90,160.3,61,10.82,90,0.8863,109
1,21,2012,0.008031,39,52,61,143.8,39,23.45,61,7.962,72
1,22,2012,0.007598,44,42,58,130.5,44,23.37,58,6.572,71
1,23,2012,0.006771,40,41,61,142.5,40,23.91,61,14.83,73
2,0,2012,0.006628,26,41,41,120.4,26,24.05,41,18.49,45
2,1,2012,0.006921,35,41,55,119.8,35,23.99,55,19.48,64
2,2,2012,0.006964,39,39,52,117.2,39,24.32,52,20.52,60
2,3,2012,0.007262,25,37.5,40,132,25,24,40,20.52,42
2,4,2012,0.00749,29,35.5,38,130.8,29,24.14,38,20.35,41
2,5,2012,0.00611,27,34,37,115.7,27,24.59,37,20.68,39
2,6,2012,0.007529,30,42.5,38,122.1,30,24.01,38,20.35,40
2,7,2012,0.006544,29,34,43,112.4,29,24.54,43,20.51,49
2,8,2012,0.007013,35,39,47,118.4,35,23.64,47,20.39,52
2,9,2012,0.006586,27,52,37,154.2,27,23.62,37,6.383,46
2,10,2012,0.006538,38,39.5,48,127.2,38,23.13,48,5.213,62
2,11,2012,0.007998,38,38,52,154.2,38,24.12,52,20.35,60
2,12,2012,0.008603,26,53,44,161.5,26,23.86,44,1.125,51
2,13,2012,0.007308,40,35.5,60,143.1,40,24.11,60,18.4,69
2,14,2012,0.007018,43,39.5,62,131,43,24.09,62,9.156,77
2,15,2012,0.007886,48,47,66,148,48,23.6,66,6.083,83
2,16,2012,0.007342,50,40,71,126.6,50,19.6,71,2.93,85
2,17,2012,0.006906,48,36.5,66,127.6,48,23.94,66,18.36,75
2,18,2012,0.006765,48,41,64,157.5,48,23.28,64,4.051,83
2,19,2012,0.00692,49,46.5,74,132.3,49,18,74,3.173,97
2,20,2012,0.008124,56,62.5,80,149.3,56,9.081,80,0.6657,103
2,21,2012,0.007126,43,55,65,153.1,43,12.05,65,2.646,75
2,22,2012,0.007137,43,51.5,62,159.8,43,22.74,62,0.9701,86
2,23,2012,0.0074,32,55,56,147.8,32,22.28,56,4.509,72
3,0,2012,0.00743,36,44,46,129.5,36,23.45,46,16.64,51
3,1,2012,0.006714,37,46,52,132.6,37,23.96,52,20.14,56
3,2,2012,0.008206,32,42,50,148.9,32,24.23,50,20.44,53
3,3,2012,0.007638,36,40,43,128.7,36,24.05,43,20.57,48
3,4,2012,0.00718,32,37,51,150.9,32,24.09,51,20.67,55
3,5,2012,0.006904,33,35,47,116.3,33,23.84,47,20.23,51
3,6,2012,0.006847,35,40,43,129.7,34,24.04,44,20.55,47
3,7,2012,0.007113,24,47,37,126.9,24,23.56,37,20.5,35
3,8,2012,0.007243,42,44,65,146.9,42,23.27,65,17.19,74
3,9,2012,0.007224,38,37,55,129.6,38,24.14,55,20.56,61
3,10,2012,0.00706,48,44,61,122.6,48,23.19,61,18.96,68
3,11,2012,0.00729,36,46,53,130.4,36,22.73,53,4.244,57
3,12,2012,0.006695,47,38,70,122.9,47,24.05,70,18.34,79
3,13,2012,0.00909,35,53,60,152.7,35,14.53,60,7.044,65
3,14,2012,0.00646,51,35.5,64,134.1,51,23.78,64,18.68,75
3,15,2012,0.007286,42,47,60,130.4,42,23.9,60,18.57,64
3,16,2012,0.006778,56,47,75,121,56,15.3,75,4.307,85
3,17,2012,0.006826,50,47,71,132,50,22.37,71,4.217,84
3,18,2012,0.007063,51,44,76,128.2,51,23.13,76,17.11,83
3,19,2012,0.007165,38,54,63,124.5,38,23.94,63,5.795,79
3,20,2012,0.007543,40,57,65,132.4,40,14.28,65,4.603,73
3,21,2012,0.007185,34,53.5,58,149.8,34,14.44,58,2.554,77
3,22,2012,0.007108,54,48.5,70,133.4,54,22.42,70,3.566,81
3,23,2012,0.006635,40,42,57,155.3,40,22.28,57,3.087,71
4,0,2012,0.007414,37,47,56,131,37,21.56,56,3.48,65
4,1,2012,0.006358,29,39,36,122.5,29,23.91,36,14.06,42
4,2,2012,0.006871,28,47,36,140.2,28,23.81,36,20.28,39
4,3,2012,0.006499,19,37,29,131.3,19,23.77,29,20.59,30
4,4,2012,0.00677,33,36.5,38,118.4,33,24.14,38,20.59,41
4,5,2012,0.006932,24,42,34,121.2,24,23.92,34,20.52,40
4,6,2012,0.006246,19,44.5,28,125.5,19,23.45,28,18.44,32
4,7,2012,0.006447,25,43,38,127.3,25,24.16,38,20.43,46
4,8,2012,0.006789,26,38.5,36,119.7,26,23.98,36,20.36,41
4,9,2012,0.007383,20,45,37,123.7,20,23.67,37,6.124,45
4,10,2012,0.006589,35,44,47,145.5,35,23.82,47,20.41,55
4,11,2012,0.006506,32,40.5,46,121.2,32,23.23,46,18.74,49
4,12,2012,0.007999,25,44,41,155.8,25,13.3,41,2.047,53
4,13,2012,0.006578,31,42.5,44,119.7,31,23.6,44,20.35,54
4,14,2012,0.006326,31,47,51,118.6,31,23.19,51,1.961,59
4,15,2012,0.006232,33,40,49,129.6,33,23.24,49,11.86,55
4,16,2012,0.00824,30,56,38,136.2,30,14.5,38,4.244,43
4,17,2012,0.007732,37,51.5,56,148,37,17.55,56,4.002,71
4,18,2012,0.008388,41,55.5,62,151.8,41,9.371,62,2.264,76
4,19,2012,0.007526,38,57,46,131.6,38,23.04,46,13.07,58
4,20,2012,0.0078,37,80,57,156.2,37,3.891,57,0.6833,65
4,21,2012,0.008894,44,69,52,163.3,44,9.332,52,1.404,70
4,22,2012,0.006715,39,45,57,115.7,39,15.24,57,5.717,65
4,23,2012,0.006833,42,42,54,147,42,23.83,54,9.111,59
5,0,2012,0.007182,46,51,66,128.3,46,22.33,66,5.57,76
5,1,2012,0.006173,46,47.5,62,120.2,46,19.57,62,4.316,69
5,2,2012,0.006737,27,40,45,117.1,27,23.96,45,20.44,51
5,3,2012,0.00699,28,44,41,118.3,28,23.86,41,20.35,49
5,4,2012,0.007419,32,35,41,125.9,32,23.71,41,20.41,48
5,5,2012,0.006767,38,44,49,119,38,23.62,49,20.2,49
5,6,2012,0.007158,29,44,45,126,29,23.99,45,20.47,50
5,7,2012,0.007136,30,39,54,126.2,30,23.92,54,19.01,60
5,8,2012,0.007095,31,43.5,44,117.5,31,16.82,44,4.364,52
5,9,2012,0.006878,43,44,63,122,43,23.92,63,20.2,73
5,10,2012,0.006547,40,46,57,126.2,40,23.86,57,4.674,68
5,11,2012,0.006896,47,53,70,117.8,47,22.8,70,5.688,80
5,12,2012,0.006696,43,50,61,117.4,43,10.11,61,4.118,76
5,13,2012,0.006944,34,54.5,52,125.7,34,15.95,52,5.478,61
5,14,2012,0.00728,56,40,82,119.3,56,21.98,82,10.83,98
5,15,2012,0.006513,48,46,74,127.4,49,13.42,74,4.242,90
5,16,2012,0.00715,70,52,88,128.4,70,8.488,88,2.043,97
5,17,2012,0.006153,46,52.5,62,129.5,46,11.61,62,0.6136,85
5,18,2012,0.007073,43,55.5,66,127,43,10.36,66,2.227,84
5,19,2012,0.007373,48,59,69,132.5,48,13.67,69,3.503,86
5,20,2012,0.007975,51,57,89,139.4,51,4.849,89,0.6571,104
5,21,2012,0.007072,63,57,89,126.3,63,6.569,89,1.986,100
5,22,2012,0.007299,54,60,83,127.9,54,10.04,83,1.924,106
5,23,2012,0.007372,43,52,61,128.2,43,7.22,61,1.284,77
6,0,2012,0.006329,41,41,62,117.2,41,16.38,62,5.479,77
6,1,2012,0.00611,30,50.5,46,123.1,30,23.92,46,19.63,51
6,2,2012,0.007408,41,43,56,124.4,41,23.76,56,20.17,62
