month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.008517,134,81,215,122.7,134,2.742,215,0.5597,238
1,1,2012,0.008426,124,81.5,196,121.7,124,3.593,196,0.5759,216
1,2,2012,0.007719,98,80,165,126.6,98,3.911,165,0.5815,178
1,3,2012,0.007072,83,74,131,96.8,83,4.42,131,0.584,146
1,4,2012,0.009204,64,79.5,112,131.1,64,3.882,112,0.5587,132
1,5,2012,0.01035,66,80,101,115.5,66,2.911,101,0.5704,116
1,6,2012,0.008366,64,79,106,121.9,64,4.914,106,0.5866,120
1,7,2012,0.01105,73,83,111,136.1,73,3.044,111,0.5189,139
1,8,2012,0.009166,69,83,115,119.7,69,3.834,115,0.5633,135
1,9,2012,0.01014,110,82,179,127.6,110,3.264,179,0.5499,206
1,10,2012,0.01048,123,78,189,127,123,2.788,189,0.5678,206
1,11,2012,0.01185,172,77,260,121.7,172,2.661,260,0.5658,280
1,12,2012,0.01215,182,80,254,121.5,182,2.585,254,0.5631,292
1,13,2012,0.009025,143,82,234,118,143,3.509,234,0.5642,258
1,14,2012,0.007569,179,78,261,121.9,179,3.661,261,0.5761,293
1,15,2012,0.009117,200,76,299,108.7,200,3.551,299,0.5759,324
1,16,2012,0.009932,216,80,329,111.9,216,3.614,330,0.5633,364
1,17,2012,0.009323,236,82,344,122.8,236,2.612,344,0.5628,383
1,18,2012,0.008905,230,80,328,123.9,230,2.698,328,0.5631,386
1,19,2012,0.008499,240,81,358,125.5,240,3.699,358,0.5769,402
1,20,2012,0.009211,250,88,350,131.8,250,3.208,350,0.572,378
1,21,2012,0.00984,232,83,339,130.8,232,3.133,339,0.5635,389
1,22,2012,0.009905,200,86,329,151.8,200,2.354,329,0.5634,366
1,23,2012,0.01036,180,83,271,142.1,180,2.513,271,0.5608,305
2,0,2012,0.0092,184,81,249,143.8,184,2.982,249,0.5563,285
2,1,2012,0.008862,126,80.5,182,124.9,126,3.181,182,0.5629,205
2,2,2012,0.008881,88,76,145,118.5,88,5.057,145,0.573,170
2,3,2012,0.009452,86,80,114,121.2,86,5.069,114,0.5918,124
2,4,2012,0.01148,43,78,81,140.8,43,4.794,81,0.5817,92
2,5,2012,0.01125,79,81,128,120.1,79,4.907,128,0.5852,140
2,6,2012,0.0127,63,85,97,123.5,63,3.135,97,0.563,103
2,7,2012,0.01124,84,83,126,126.8,84,3.928,126,0.6004,129
2,8,2012,0.008466,102,84,142,127.6,102,3.899,142,0.571,163
2,9,2012,0.01062,124,80,189,129.5,124,3.302,189,0.5632,227
2,10,2012,0.009636,128,80,182,121.8,128,4.123,182,0.5857,199
2,11,2012,0.009874,159,78,227,113,159,4.795,227,0.5853,253
2,12,2012,0.009888,156,82,223,127.2,156,3.721,223,0.5633,243
2,13,2012,0.009159,179,79,260,124,179,4.147,260,0.5884,296
2,14,2012,0.008647,164,84,249,132.4,164,3.033,249,0.5633,274
2,15,2012,0.009366,184,83,255,137.8,184,3.662,255,0.5787,291
2,16,2012,0.009987,195,82,293,123,195,4.042,293,0.5561,350
2,17,2012,0.01052,225,81,351,121.6,226,3.003,351,0.5756,383
2,18,2012,0.009453,228,81,327,125.8,228,4.037,327,0.5744,379
2,19,2012,0.008882,246,82,347,129.6,246,3.974,347,0.5645,387
2,20,2012,0.009339,252,83,366,134.2,252,3.56,366,0.5829,414
2,21,2012,0.009635,256,87,384,144.8,258,2.753,384,0.5524,429
2,22,2012,0.008645,242,81,358,124.3,242,3.813,358,0.5671,407
2,23,2012,0.009872,215,80,311,132.9,215,4.08,311,0.5741,344
3,0,2012,0.009271,191,81.5,278,114.4,190,3.575,279,0.5801,314
3,1,2012,0.009098,151,82,203,124.3,151,2.737,203,0.5512,220
3,2,2012,0.009065,102,82,154,128.6,102,3.59,154,0.5588,173
3,3,2012,0.009554,68,79,112,131,68,3.372,112,0.5872,123
3,4,2012,0.0131,73,83,117,135.1,73,2.187,117,0.5634,127
3,5,2012,0.01401,53,81,89,127.6,53,4.887,89,0.6117,98
3,6,2012,0.01178,66,85.5,114,133.8,66,3.468,114,0.5809,129
3,7,2012,0.01165,93,80,129,124,93,3.907,129,0.5585,147
3,8,2012,0.007956,71,80,113,131.6,71,2.889,113,0.5848,127
3,9,2012,0.008694,129,81,191,126.5,129,4.064,191,0.5738,211
3,10,2012,0.009899,136,82,198,128.5,136,3.63,198,0.5885,227
3,11,2012,0.00892,152,77.5,216,119.9,152,5.008,216,0.5824,242
3,12,2012,0.01326,162,82,244,131,162,3.115,244,0.5675,269
3,13,2012,0.01131,161,83,233,125.1,162,2.371,233,0.5737,255
3,14,2012,0.008913,169,84,244,122.4,169,3.708,244,0.5631,282
3,15,2012,0.009628,193,80,281,131,193,3.719,281,0.5689,318
3,16,2012,0.009499,202,79,299,121.2,202,3.207,299,0.5885,341
3,17,2012,0.01048,259,84.5,362,132.7,259,2.942,362,0.5778,417
3,18,2012,0.01072,248,86,358,139.7,248,2.382,358,0.5806,405
3,19,2012,0.008503,271,82,379,122,271,3.905,379,0.5694,428
3,20,2012,0.01023,271,88,399,126.3,272,2.829,399,0.5624,443
3,21,2012,0.0109,247,88,365,149.2,247,2.569,365,0.5472,415
3,22,2012,0.009097,238,84,360,135,238,3.251,360,0.5726,396
3,23,2012,0.0102,196,84,309,129.5,196,2.967,309,0.5752,347
4,0,2012,0.0106,154,80,221,133.6,154,3.08,221,0.5514,258
4,1,2012,0.009318,113,78,183,121.7,113,4.495,183,0.5851,208
4,2,2012,0.009106,112,80,156,116.9,112,3.355,156,0.5697,181
4,3,2012,0.01466,62,82,103,149.4,62,3.733,103,0.5626,139
4,4,2012,0.006164,63,82,106,137.9,63,2.622,106,0.5611,127
4,5,2012,0.009806,68,80,107,139.8,68,4.125,107,0.5743,112
4,6,2012,0.009635,71,77,108,141.6,71,5.183,108,0.5832,119
4,7,2012,0.009721,74,80.5,110,119.6,74,5.283,110,0.6027,117
4,8,2012,0.007365,106,80,153,121.2,106,3.684,153,0.5685,177
4,9,2012,0.01326,129,83,181,131.1,129,2.942,181,0.5807,197
4,10,2012,0.008224,113,79,172,120.7,113,4.147,172,0.5957,191
4,11,2012,0.01094,137,79.5,210,127.8,137,4.11,210,0.5837,230
4,12,2012,0.01103,153,77,223,128.1,153,3.321,223,0.5737,247
4,13,2012,0.008968,157,79,249,127.5,157,3.549,249,0.5817,271
4,14,2012,0.01022,162,80,227,118.4,162,4.008,227,0.5654,249
4,15,2012,0.009551,193,81,279,128.4,193,3.878,279,0.5631,310
4,16,2012,0.01005,223,83,319,121.7,223,2.987,319,0.5618,356
4,17,2012,0.009395,198,82,291,120.4,198,3.514,291,0.5627,339
4,18,2012,0.00922,251,80,348,131.1,251,3.851,348,0.5849,378
4,19,2012,0.01022,229,82.5,354,142.5,228,3.422,355,0.5614,404
4,20,2012,0.008735,291,81,410,121.5,291,3.753,410,0.5718,454
4,21,2012,0.009207,264,80,374,121.8,264,3.958,374,0.569,421
4,22,2012,0.009655,253,81,344,131.7,253,3.416,344,0.5656,376
4,23,2012,0.009558,193,80,303,124.2,193,3.44,303,0.5651,327
5,0,2012,0.009371,117,80,184,127.7,117,3.821,184,0.5684,219
5,1,2012,0.008214,72,77,116,124,72,4.624,116,0.599,140
5,2,2012,0.01056,57,79,82,125.2,57,3.69,82,0.5855,94
5,3,2012,0.007378,51,78,74,121.4,51,4.838,74,0.5832,89
5,4,2012,0.008259,42,80.5,58,108.3,42,3.962,58,0.5615,76
5,5,2012,0.01113,66,78,82,128.9,66,3.858,82,0.5628,93
5,6,2012,0.01094,72,80,95,130.7,72,4.985,95,0.586,103
5,7,2012,0.01158,78,84,114,139.9,78,3.323,114,0.5681,125
5,8,2012,0.009582,51,77,93,119.2,51,4.499,93,0.5858,109
5,9,2012,0.009487,93,77,125,123,93,4.961,125,0.5832,143
5,10,2012,0.008896,129,81,184,121.2,129,3.636,184,0.5914,208
5,11,2012,0.009309,99,78,152,112.2,99,4.89,152,0.5737,178
5,12,2012,0.009123,134,81,208,134.3,134,3.827,208,0.5872,226
5,13,2012,0.007896,106,80,161,121.8,106,3.858,161,0.5726,191
5,14,2012,0.01035,113,80,193,132.7,113,4.16,193,0.604,206
5,15,2012,0.007966,146,69,220,118.5,147,5.013,220,0.5841,255
5,16,2012,0.01013,191,77,286,119,192,4.432,286,0.5891,314
5,17,2012,0.008602,161,78,245,118.3,161,3.986,245,0.5809,277
5,18,2012,0.009161,186,78,285,115.7,186,3.942,285,0.5865,318
5,19,2012,0.008496,181,76,294,112.1,181,4.859,294,0.5848,342
5,20,2012,0.008032,211,76.5,342,128.3,211,4.662,342,0.583,393
5,21,2012,0.008876,243,76,353,119.5,242,3.949,354,0.5856,408
