month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.002483,16,71,27,99.22,16,9.649,27,0.7554,33
1,2,2012,0.001864,15,45.5,34,118.1,15,5.864,34,0.7645,36
1,3,2012,0.003921,7,50,19,112.9,7,7.423,19,0.7644,21
1,4,2012,0.002453,16,80,29,108.6,16,7.048,29,0.5379,35
1,5,2012,0.001293,13,74,25,106.4,13,8.669,25,0.7224,35
1,6,2012,0.00559,12,75,24,121.2,12,5.221,24,0.7824,23
1,7,2012,0.003645,13,45,30,107.6,13,8.398,30,0.7962,32
1,8,2012,0.002963,18,74,38,103.6,18,7.946,38,0.7239,43
1,9,2012,0.004676,12,77,17,110.3,12,10.9,17,0.793,22
1,10,2012,0.001967,10,59,18,118.6,10,8.626,18,0.819,18
1,11,2012,0.005987,8,78,26,116.1,8,5.916,26,0.7867,29
1,12,2012,0.007143,18,88,43,125.9,18,4.439,43,0.565,40
1,13,2012,0.002995,9,56,24,105.1,9,8.942,24,0.7677,26
1,14,2012,0.003255,15,76,39,111.4,15,5.239,39,0.7628,38
1,15,2012,0.002519,30,78,53,118.3,30,7.501,53,0.7622,55
1,16,2012,0.001208,9,45,17,115,9,8.946,17,0.8124,22
1,17,2012,0.004673,6,74,17,115.6,6,10.54,17,0.8103,17
1,18,2012,0.004204,12,74,19,121.3,12,5.594,19,0.764,21
1,19,2012,0.002269,17,48,29,89.49,17,9.578,29,0.7642,32
1,20,2012,0.003176,25,84,32,102.6,25,8.61,32,0.7898,35
1,21,2012,0.002578,22,85.5,34,119.9,22,4.104,34,0.7142,37
1,22,2012,0.003593,8,86.5,18,109.3,8,8.462,18,0.8063,19
1,23,2012,0.002151,15,79,35,119.1,15,10.64,35,0.7643,41
1,24,2012,0.003454,15,64,24,105.1,15,6.57,24,0.7822,26
1,25,2012,0.001709,10,43,19,93.46,10,9.385,19,0.7646,21
1,26,2012,0.003042,3,48,15,115.2,3,14.51,15,0.807,14
1,27,2012,0.008948,15,81,28,117.3,15,5.606,28,0.7065,29
1,28,2012,0.002751,7,48,13,112.7,7,10.35,13,0.7995,15
1,29,2012,0.003174,16,82,35,109.1,16,6.871,35,0.6823,42
1,30,2012,0.003388,14,71,25,96.54,14,9.175,25,0.7986,27
1,31,2012,0.001681,8,70,31,208.5,8,15.41,31,1.045,33
2,1,2012,0.01089,6,90,19,128.1,6,4.514,19,0.7939,17
2,2,2012,0.01007,8,95,25,116.7,8,4.407,25,0.5335,28
2,3,2012,0.006436,6,62,12,107.7,6,9.923,12,0.737,14
2,4,2012,0.005549,10,85,19,132.6,10,7.964,19,0.8229,20
2,5,2012,0.0009505,5,85.5,18,125.4,5,9.998,18,0.7621,20
2,6,2012,0.0002171,6,82,15,94.29,6,10.79,15,0.8065,15
2,7,2012,0.005356,7,48,15,117.5,7,9.68,15,0.8252,16
2,8,2012,0.004702,13,71,28,111.9,13,9.556,28,0.7997,28
2,9,2012,0.003695,18,47.5,40,137.1,18,8.02,40,0.7429,40
2,10,2012,0.004564,12,73.5,24,118.2,12,5.856,24,0.7828,23
2,11,2012,0.003315,13,45,25,125.2,13,8.625,25,0.7499,27
2,12,2012,0.00455,16,84.5,32,121,16,5.118,32,0.5814,33
