month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.008862,42,97,42,162.6,42,21.32,42,13.75,70
1,2,2012,0.008308,54,98.5,54,161.7,54,21.43,54,14.09,74
1,3,2012,0.009134,43,97,43,159.8,43,21.05,43,13.89,61
1,4,2012,0.008783,35,98,35,159.8,35,21.81,35,14.55,55
1,5,2012,0.00891,42,97,42,159.4,42,21.22,42,13.23,65
1,6,2012,0.00776,40,97,40,160.1,40,21.51,40,14.43,59
1,7,2012,0.00911,36,99,36,151.7,36,21.33,36,12.9,58
1,8,2012,0.00613,39,99,39,158,39,21.46,39,10.77,72
1,9,2012,0.008894,32,97.5,32,161.5,32,21.18,32,14.37,51
1,10,2012,0.008232,46,99,46,160.6,46,21.37,46,14.12,73
1,11,2012,0.009019,35,98,35,160.7,35,22.08,35,14.33,64
1,12,2012,0.008204,34,101,34,162.2,34,21.54,34,14.06,56
1,13,2012,0.008728,47,98,47,154.6,47,21.68,47,11.52,77
1,14,2012,0.009145,33,102,33,161.8,33,21.06,33,11.29,61
1,15,2012,0.007336,31,98,31,162.5,31,21.28,31,13.99,52
1,16,2012,0.008851,37,98,37,161.7,37,20.99,37,3.994,55
1,17,2012,0.007305,42,98,42,158.8,42,21.02,42,11.57,75
1,18,2012,0.006926,54,97,54,159.2,54,20.85,54,14.35,88
1,19,2012,0.007976,49,94,49,154.9,49,20.76,49,11.58,82
1,20,2012,0.008655,41,99,41,159.5,41,21.99,41,14.69,59
1,21,2012,0.006698,31,95,31,152.6,31,22.04,31,13.15,54
1,22,2012,0.008084,48,97,48,160.6,48,21.73,48,14.77,65
1,23,2012,0.007591,43,98,43,161.9,43,21.26,43,11.02,70
1,24,2012,0.009452,33,98,33,155.9,33,20.71,33,14.52,46
1,25,2012,0.006387,40,97.5,40,160.6,40,21.25,40,13.53,50
1,26,2012,0.006522,37,91,37,130.2,37,17.94,37,14.54,49
