month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.001749,31,18,43,50.15,31,11.42,43,1.729,45
1,2,2012,0.00197,30,18,42,40.25,30,12.38,42,1.739,44
1,3,2012,0.002915,36,18,50,38.57,36,11.22,50,1.719,50
1,4,2012,0.0007792,21,18,38,40.7,21,14.52,38,1.707,39
1,5,2012,0.005113,27,17,38,47.97,27,13.53,38,1.707,40
1,6,2012,0.001343,23,18,34,41.1,23,10.81,34,1.707,34
1,7,2012,0.00141,40,18,53,43.77,40,12.16,53,1.73,54
1,8,2012,0.001212,35,17.5,50,37.9,35,10.85,50,1.695,53
1,9,2012,0.002671,26,18,42,45.14,26,13.62,42,1.736,43
1,10,2012,0.0015,23,17,33,38.42,23,16.29,33,1.572,34
1,11,2012,0.001464,43,18,53,49.96,43,10.53,53,1.691,56
1,12,2012,0.001742,31,18,45,40.27,31,13.29,45,1.73,46
1,13,2012,0.001875,20,18,37,34.5,20,12.5,37,1.743,39
1,14,2012,0.00146,35,18,52,54.58,35,12.32,52,1.695,53
1,15,2012,0.002054,45,18,65,46.54,45,10.84,65,1.723,68
1,16,2012,0.002804,34,18,51,40.09,34,10.17,51,1.712,52
1,17,2012,0.002284,25,18.5,36,49.18,25,12.76,36,1.732,36
1,18,2012,0.0009324,25,16,35,39.02,25,13.16,35,1.744,35
1,19,2012,0.003127,27,18,33,40.37,27,10.05,33,1.528,33
1,20,2012,0.001398,25,19,36,45.67,25,9.118,36,1.738,36
1,21,2012,0.004065,33,19,54,54.17,32,9.244,55,1.701,55
1,22,2012,0.002254,44,18,60,45.07,44,9.96,60,1.729,60
1,23,2012,0.001399,39,17,52,38.3,39,14.85,52,1.732,52
1,24,2012,0.001303,23,18,33,42.61,23,14.7,33,1.741,34
1,25,2012,0.001267,21,17,37,34.85,21,13.38,37,1.736,39
1,26,2012,0.001896,19,16.5,32,35.86,19,14.29,32,1.711,33
1,27,2012,0.002185,23,17,30,38.02,23,10.99,30,1.742,30
1,28,2012,0.00202,27,17.5,40,44.99,27,12.71,40,1.708,42
1,29,2012,0.002061,33,17,51,44.87,33,12.28,51,1.677,52
1,30,2012,0.001481,25,17,34,40.6,25,14.05,34,1.75,34
1,31,2012,0.00177,19,17,30,37.08,19,14.94,30,1.735,31
2,1,2012,0.001467,23,16,34,49.51,23,13.42,34,1.737,35
2,2,2012,0.002069,19,17,30,37.93,19,12.42,30,1.72,31
2,3,2012,0.001402,17,17,22,43.88,17,14.31,22,1.735,24
2,4,2012,0.002152,20,16,28,48.09,20,12.39,28,1.743,31
2,5,2012,0.002569,26,16,37,53.02,26,16.12,37,1.734,38
2,6,2012,0.001376,19,17,35,39.67,19,12.16,35,1.746,35
2,7,2012,0.001198,26,16,42,40.67,26,14.69,42,1.743,43
2,8,2012,0.001831,30,17,43,47.86,30,11.29,43,1.736,45
2,9,2012,0.001662,20,17,32,42.68,20,12.46,32,1.716,32
2,10,2012,0.0006354,20,16,30,39.24,20,17.36,30,1.741,31
2,11,2012,0.001304,33,17,47,38.37,33,11.71,47,1.665,48
2,12,2012,0.001342,34,16,45,43.72,34,13.51,45,1.705,47
2,13,2012,0.001034,23,18,36,34.9,23,14.34,36,1.727,36
2,14,2012,0.001439,18,18,28,41.27,18,14.06,28,1.719,28
2,15,2012,0.001025,15,17,24,57.75,15,17.29,24,1.712,26
