month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.00119,39,18,55,40.85,39,14.3,55,1.713,56
1,1,2012,0.001362,18,18,37,41.11,18,15.06,37,1.714,37
1,2,2012,0.001137,19,17.5,34,42.63,19,17.79,34,1.739,36
1,3,2012,0.002192,13,17,19,52.62,13,14.73,19,1.504,21
1,4,2012,0.001933,11,18,13,47.01,11,10.68,13,1.72,13
1,5,2012,0.0009074,3,16,11,36.61,3,17.22,11,1.721,11
1,6,2012,0.002072,5,18,9,35.92,5,14.65,9,1.731,9
1,7,2012,0.0001283,1,16,8,35.94,1,19.19,8,1.75,9
1,8,2012,0.0006885,10,18,16,58.14,10,13.07,16,1.745,16
1,9,2012,0.000758,18,16,36,43.29,17,15.23,37,1.751,37
1,10,2012,0.001251,22,16,39,40.19,22,18.04,39,1.733,39
1,11,2012,0.001669,32,17,56,42.45,32,13.56,56,1.73,57
1,12,2012,0.001467,41,17,56,41.62,41,13.45,56,1.737,60
1,13,2012,0.001617,35,17,58,36.62,35,15.72,58,1.734,60
1,14,2012,0.001417,45,18,73,39.09,45,13.37,73,1.731,73
1,15,2012,0.001174,45,17,69,44.41,45,13.22,69,1.714,69
1,16,2012,0.002226,74,18,88,42.5,74,10.59,88,1.731,90
1,17,2012,0.002281,63,18,91,38.87,63,10.84,91,1.705,94
1,18,2012,0.001907,66,18,89,38.91,66,12.35,89,1.699,90
1,19,2012,0.002089,73,18,95,48.41,73,9.037,95,1.72,99
1,20,2012,0.00276,76,19,98,52.86,76,7.954,98,1.711,97
1,21,2012,0.002199,78,18,105,44.36,78,10.39,105,1.688,110
1,22,2012,0.003095,70,18,90,46.36,70,7.056,90,1.699,91
1,23,2012,0.003032,51,18,74,44.85,51,11.8,74,1.727,78
2,0,2012,0.001469,27,18,46,45.46,27,11.99,46,1.719,47
2,1,2012,0.001976,18,18,29,53.3,18,16.36,29,1.744,30
2,2,2012,0.0006068,9,16,17,42.25,9,18.1,17,1.764,17
2,3,2012,0.001023,13,14.5,20,30.71,13,18.12,20,1.754,20
2,4,2012,nan,0,16,3,nan,0,18.59,3,1.749,4
2,5,2012,0.0008769,7,17,9,56.67,7,11.71,9,1.73,9
2,6,2012,0.009942,3,17.5,4,88.17,3,20.15,4,3.999,4
2,7,2012,0.001303,4,16,15,29.94,4,20.48,15,1.764,15
2,8,2012,0.0005358,14,15,24,35.87,14,20.16,24,2.921,25
2,9,2012,0.001571,21,17,33,47.92,21,14.12,33,1.737,33
2,10,2012,0.001339,17,16,31,35.01,17,19.15,31,1.763,32
2,11,2012,0.001329,20,16.5,32,40.88,20,16.27,32,1.714,35
2,12,2012,0.001367,39,17,61,37.47,39,14.01,61,1.705,64
2,13,2012,0.00153,26,16,45,45.99,26,15.58,45,1.732,46
2,14,2012,0.00169,44,16,68,42.78,44,14.61,68,1.702,69
2,15,2012,0.001033,36,17,57,40.88,36,13.3,57,1.735,57
2,16,2012,0.001166,43,17,58,40.68,43,15,58,1.734,58
2,17,2012,0.001214,43,18,65,40.76,43,15.93,65,1.723,71
2,18,2012,0.001373,51,17,76,48.61,51,13.82,76,1.727,76
2,19,2012,0.001381,48,17,76,42.82,48,14.51,76,1.734,81
2,20,2012,0.002149,63,17,93,46.11,63,12.1,93,1.712,97
2,21,2012,0.001258,44,17,73,46.17,44,12.41,73,1.658,75
2,22,2012,0.001644,63,18,88,53.29,63,9.93,88,1.603,88
2,23,2012,0.001461,29,17,55,42.5,29,15.45,55,1.716,56
3,0,2012,0.001061,37,17,57,45.03,37,13.51,57,1.698,58
3,1,2012,0.0009467,27,17,38,37.86,27,17.28,38,1.728,38
3,2,2012,0.001091,12,16,23,37.57,12,18.25,23,1.719,23
3,3,2012,0.001041,12,16,13,35.94,12,20.45,13,1.75,13
3,4,2012,0.0005445,4,16,9,37.23,4,20.26,9,1.737,9
3,5,2012,0.001313,5,16,9,29.55,5,19.05,9,1.737,9
3,6,2012,0.001286,7,16,11,37.55,7,18.98,11,1.697,11
3,7,2012,0.001482,3,16,13,32.04,3,18.75,13,1.441,13
3,8,2012,0.0007557,6,15.5,18,32.97,6,18.7,18,1.743,18
3,9,2012,0.002009,10,17,21,46.83,10,19.99,21,1.74,21
3,10,2012,0.001503,18,17,33,37.88,18,15.9,33,1.737,33
3,11,2012,0.00104,24,17,43,50.85,24,16.95,43,1.747,46
3,12,2012,0.002275,32,17.5,64,45.35,32,15.24,64,1.698,65
3,13,2012,0.001382,39,16,51,44.86,39,15.17,51,1.752,51
3,14,2012,0.002462,29,16,50,40,29,15.45,50,1.685,52
3,15,2012,0.00255,40,17,64,37.67,40,17.29,64,1.713,62
3,16,2012,0.0009464,40,16,59,43.28,40,16.56,59,1.689,59
3,17,2012,0.001126,46,16.5,72,36.86,46,14.67,72,1.734,73
3,18,2012,0.001616,58,17,78,42.88,58,12.47,78,1.7,78
3,19,2012,0.001323,57,17,87,42.28,57,14.1,87,1.724,90
3,20,2012,0.001669,52,18,82,39.69,52,13.27,82,1.721,85
3,21,2012,0.001433,82,17,100,40.71,82,13.08,100,1.716,102
3,22,2012,0.002156,48,18,81,46.59,48,12.67,81,1.719,82
3,23,2012,0.001224,59,17,92,40.33,59,15,92,1.716,92
4,0,2012,0.0005753,31,17,46,46.24,31,15.31,46,1.717,49
4,1,2012,0.001462,14,16.5,20,43.52,14,15.32,20,1.701,19
4,2,2012,0.0005641,13,16,21,45.61,13,17.02,21,1.711,21
4,3,2012,0.0008399,4,16,9,46.97,4,20.78,9,1.909,10
4,4,2012,0.003069,3,16,4,28.6,3,14.59,4,1.727,4
4,5,2012,0.001721,3,16,9,38.35,3,13.56,9,1.71,9
4,6,2012,0.002466,6,16,10,58.42,6,14.35,10,2.002,10
4,7,2012,0.003818,7,17,11,43.29,7,20.05,11,1.749,11
4,8,2012,0.001748,11,16,18,33.01,11,19.83,18,1.758,19
4,9,2012,0.0009773,15,17.5,28,40.21,15,18.57,28,1.752,28
4,10,2012,0.001911,24,17.5,48,39.46,24,15.3,48,1.729,49
4,11,2012,0.00158,28,18,43,41.07,28,16.46,43,1.71,43
4,12,2012,0.001653,22,17,40,38.99,22,14.51,40,1.743,40
4,13,2012,0.002803,27,18,41,40.39,27,16.26,41,1.731,41
4,14,2012,0.00184,30,17,49,41.73,30,17.14,49,1.723,51
4,15,2012,0.001266,19,18,43,39.78,19,16.47,43,1.722,44
4,16,2012,0.0007661,37,18,58,38.33,37,15.42,58,1.74,60
4,17,2012,0.001861,41,18,59,42.93,41,14.96,59,1.736,62
4,18,2012,0.001408,38,17,57,41.14,38,14.36,57,1.726,57
4,19,2012,0.001841,45,17,67,38.57,45,13,67,1.702,67
4,20,2012,0.001104,49,18,67,48.88,49,15.31,67,1.682,69
4,21,2012,0.001515,57,18,79,40.34,57,11.44,79,1.671,81
4,22,2012,0.001372,58,18,75,38.92,58,13.26,75,1.694,76
4,23,2012,0.001111,37,17,55,40.41,37,13.84,55,1.722,54
5,0,2012,0.00215,37,18,48,45.98,37,15.32,48,1.729,49
5,1,2012,0.001785,28,18,39,46.28,28,12.13,39,1.722,39
5,2,2012,0.001235,12,17,24,39.09,12,18.21,24,1.731,24
5,3,2012,0.0009501,10,17.5,20,54.44,10,17.16,20,1.699,20
5,4,2012,0.001649,5,18,13,60.09,5,6.776,13,1.758,13
5,5,2012,0.005431,6,16.5,8,55.89,6,16.74,8,1.673,9
5,6,2012,0.0005531,4,18,13,33.12,4,18.38,13,1.737,13
5,7,2012,0.0005495,4,18,7,58.31,4,16.53,7,1.565,7
5,8,2012,0.001458,11,17.5,16,33.69,11,19.58,16,3.184,17
5,9,2012,0.0009314,14,17,34,37.37,14,19.33,34,1.741,34
5,10,2012,0.001314,28,17,41,35.26,28,17.87,41,1.728,43
5,11,2012,0.001187,32,17.5,48,37.16,32,17.82,48,1.739,49
5,12,2012,0.001395,37,18,68,41.81,37,14.98,68,1.654,69
5,13,2012,0.001241,38,18,54,41.11,38,14.43,54,1.725,55
5,14,2012,0.00196,30,18,49,42.83,30,17.71,49,1.733,50
5,15,2012,0.00171,22,18,37,40.36,22,14.77,37,1.726,38
5,16,2012,0.0009333,36,18,60,39.76,36,14.79,60,1.711,65
5,17,2012,0.002042,33,18,65,52.3,33,13.69,65,1.692,67
5,18,2012,0.002131,42,18,64,44.4,42,13.63,64,1.719,64
5,19,2012,0.001108,40,18,61,44.98,40,16.57,61,1.73,63
5,20,2012,0.001293,61,18,85,50.73,61,13.2,85,1.661,85
5,21,2012,0.001598,61,18,85,45.82,61,14.27,85,1.727,87
5,22,2012,0.001349,41,18,65,51.83,41,13.52,65,1.695,69
5,23,2012,0.001695,35,18,74,41.12,35,13.91,74,1.735,76
6,0,2012,0.002281,26,18.5,44,69.8,26,11.74,44,1.719,45
6,1,2012,0.001308,27,18,39,49.16,27,13.62,39,1.733,40
6,2,2012,0.0009562,11,16.5,24,41.39,11,18.29,24,1.716,23
6,3,2012,0.00251,8,17,11,31.98,8,17.63,11,1.757,12
6,4,2012,0.004208,5,18,8,84.36,5,12.55,8,1.756,7
6,5,2012,0.0005681,4,17,6,31.21,4,18.18,6,1.743,7
6,6,2012,0.002165,5,17,9,28.47,5,17.09,9,3.412,10
6,7,2012,0.0008887,15,17,18,38.73,15,19.54,18,1.67,19
6,8,2012,0.001249,12,17,23,35.26,12,17.32,23,1.761,23
