month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.008981,139,34,161,102.8,138,2.315,162,0.3493,191
1,2,2012,0.007819,123,27.5,140,82.14,123,2.444,140,0.4244,162
1,3,2012,0.006598,123,28,150,94.49,123,2.537,150,0.5089,173
1,4,2012,0.006409,94,29.5,114,85.97,94,2.603,114,0.4637,136
1,5,2012,0.00557,96,27,127,81.02,96,4.35,127,0.5207,155
1,6,2012,0.007145,97,31.5,116,90.26,97,2.711,116,0.4562,132
1,7,2012,0.01018,124,30,144,91.58,124,2.411,144,0.3574,159
1,8,2012,0.006385,143,31,165,72.75,143,2.78,165,0.5003,193
1,9,2012,0.006325,93,31,115,74.35,93,2.533,115,0.4419,129
1,10,2012,0.004247,100,27,124,76.14,100,4.116,124,0.5218,146
1,11,2012,0.00583,107,26,122,75.39,107,2.525,122,0.5004,138
1,12,2012,0.004739,105,27,130,83.84,105,2.777,130,0.5135,139
1,13,2012,0.006996,105,27.5,130,82.03,105,2.715,130,0.4674,156
1,14,2012,0.005193,111,32,127,91.61,111,2.496,127,0.3641,168
1,15,2012,0.007739,130,30.5,148,77.16,130,2.554,148,0.3679,174
1,16,2012,0.007192,146,28,166,78.98,146,2.546,166,0.4357,203
1,17,2012,0.005348,79,26,102,73.98,79,2.532,102,0.468,120
1,18,2012,0.007361,90,27,109,73.96,90,2.711,109,0.408,139
1,19,2012,0.00453,101,26,125,75.25,101,3.849,125,0.535,137
1,20,2012,0.00602,91,28,130,79.78,91,3.236,130,0.5117,143
1,21,2012,0.007539,101,27,131,79.43,101,2.73,131,0.5041,154
1,22,2012,0.005943,132,27,162,81.37,132,2.822,162,0.3915,204
1,23,2012,0.01379,128,74,136,92.94,128,1.059,136,0.3958,162
1,24,2012,0.007985,118,41,134,93.92,118,2.54,134,0.4672,148
1,25,2012,0.006321,112,39,140,88.93,112,2.812,140,0.5282,158
1,26,2012,0.006025,100,38,124,76.37,100,2.512,124,0.5105,149
1,27,2012,0.005582,90,36,106,83.05,90,2.52,106,0.4618,119
1,28,2012,0.007168,93,38,111,70.69,93,3.339,111,0.5461,122
1,29,2012,0.006471,124,38.5,138,73.44,124,2.478,138,0.5223,156
1,30,2012,0.007061,98,38,116,74.18,98,2.487,116,0.4749,142
1,31,2012,0.007105,84,37,103,74.96,84,3.044,103,0.5558,116
2,1,2012,0.006412,84,38,109,83.69,84,4.317,109,0.5506,123
2,2,2012,0.006118,88,38,102,86.62,88,2.518,102,0.4835,114
2,3,2012,0.006069,105,39,121,77.62,105,2.492,121,0.5181,140
2,4,2012,0.006324,87,38,102,84.26,87,2.467,102,0.4427,122
2,5,2012,0.006908,142,38,162,72.84,143,2.492,162,0.5303,184
2,6,2012,0.008392,83,39,94,81.91,83,2.411,94,0.357,115
2,7,2012,0.00737,83,39,111,91.01,83,2.535,111,0.3661,135
2,8,2012,0.00546,97,40,117,83.87,97,2.787,117,0.5341,132
2,9,2012,0.004938,112,39,144,86.41,112,2.8,144,0.5259,164
2,10,2012,0.00657,110,37,151,81.45,110,2.512,151,0.5222,168
