month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.007264,26,54,49,111.3,26,5.212,49,0.6231,51
1,1,2012,0.005395,23,51,46,94.75,23,5.667,46,0.6022,50
1,2,2012,0.003931,20,51,38,130.1,20,4.335,38,0.6023,42
1,3,2012,0.002469,16,58,21,123.9,16,3.561,21,0.6143,24
1,4,2012,0.002308,11,58,23,108,11,4.131,23,0.5913,24
1,5,2012,0.005135,13,58,21,173.9,13,5.045,21,0.6023,25
1,6,2012,0.00577,22,54,35,96.19,22,5.765,35,0.6025,38
1,7,2012,0.01003,30,56.5,34,124.8,30,3.475,34,0.5939,38
1,8,2012,0.007843,29,59,49,114.7,29,5.321,49,0.5906,53
1,9,2012,0.006499,41,54,59,105.4,41,5.479,59,0.6071,63
1,10,2012,0.009579,37,62,69,144,37,4.769,69,0.6179,77
1,11,2012,0.005991,44,56,68,107.1,44,4.03,68,0.6075,76
1,12,2012,0.007986,64,56.5,102,111.6,64,5.191,102,0.5944,111
1,13,2012,0.01027,79,57.5,114,116.1,79,4.137,114,0.6053,119
1,14,2012,0.007573,62,59,97,121.8,62,4.545,97,0.5749,108
1,15,2012,0.008003,61,60,102,118.8,61,3.824,102,0.5628,114
1,16,2012,0.005947,79,59,125,99.36,79,4.863,125,0.601,134
1,17,2012,0.007546,79,56,115,111.6,79,3.863,115,0.5694,124
1,18,2012,0.005894,101,59,135,115.8,101,3.169,135,0.5787,143
1,19,2012,0.004969,110,59,142,116.1,110,4.845,142,0.603,153
1,20,2012,0.006075,99,68,137,115.4,99,3.468,137,0.5739,144
1,21,2012,0.008279,70,54,105,103,70,4.924,105,0.5869,110
1,22,2012,0.007164,60,58,99,110.8,60,4.027,99,0.6062,106
1,23,2012,0.009749,41,57.5,74,123.2,41,4.247,74,0.5479,81
2,0,2012,0.006735,23,59.5,42,77.98,23,3.555,42,0.5234,44
2,1,2012,0.01042,27,59,47,174.1,27,2.504,47,0.5516,55
2,2,2012,0.005089,26,52,41,130.9,26,4.807,41,0.6025,46
2,3,2012,0.006008,18,56,29,98.74,18,5.049,29,0.587,34
2,4,2012,0.006681,15,50,33,98.25,15,5.902,33,0.5935,35
2,5,2012,0.0068,17,57.5,22,79.56,17,4.201,22,0.5716,26
