month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.006069,70,55,99,103.8,70,3.097,99,0.5319,126
1,1,2012,0.008297,65,57.5,88,102.9,65,4.815,88,0.5386,103
1,2,2012,0.007394,38,53,53,84.37,38,3.185,53,0.5431,63
1,3,2012,0.006526,41,63,49,112.5,41,2.359,49,0.4824,53
1,4,2012,0.007134,32,52,43,84.54,32,4.105,43,0.7474,47
1,5,2012,0.007014,38,51.5,44,104.6,38,2.604,44,0.4854,56
1,6,2012,0.005839,28,50,37,72.72,28,4.794,37,0.483,51
1,7,2012,0.007873,28,59,35,87.09,28,3.988,35,0.6091,44
1,8,2012,0.00533,33,50,46,77.42,33,4.804,46,0.7596,51
1,9,2012,0.003307,38,50,53,74.66,38,4.995,53,0.7997,60
1,10,2012,0.005155,62,46,82,77.5,62,4.788,82,0.5177,111
1,11,2012,0.008714,50,53,81,85.56,50,4.534,81,0.4836,106
1,12,2012,0.006077,65,55,91,90.41,65,4.394,91,0.5481,105
1,13,2012,0.00467,72,52,108,87.81,72,3.401,108,0.5462,132
1,14,2012,0.005866,95,52,133,88.27,95,2.726,133,0.5542,156
1,15,2012,0.005505,91,48,111,85.11,91,4.294,111,0.5309,138
1,16,2012,0.004219,90,51,123,78,90,4.412,123,0.6641,154
1,17,2012,0.006228,84,53,113,88.47,84,3.414,113,0.5474,128
1,18,2012,0.005183,110,48,150,84.47,110,4.258,150,0.5907,180
1,19,2012,0.005466,95,53,143,80.45,95,4.557,143,0.7523,176
1,20,2012,0.005697,102,52,155,79.49,102,4.069,155,0.674,181
1,21,2012,0.006523,147,54,187,94.97,147,3.289,187,0.7195,218
1,22,2012,0.00608,122,55,155,95.02,122,2.822,155,0.5778,175
1,23,2012,0.005757,95,53,136,94.68,95,4.43,136,0.5424,161
