month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.01317,24,54,38,126.7,24,2.854,38,0.4114,52
1,2,2012,0.00763,34,58,41,135.5,34,2.907,41,0.3424,66
1,3,2012,0.01081,26,51.5,34,85.59,26,2.69,34,0.3622,49
1,4,2012,0.01177,28,52.5,36,76.68,28,3.518,36,0.5052,46
1,5,2012,0.01678,17,69,25,111.3,17,2.868,25,0.4775,31
1,6,2012,0.009731,30,57.5,50,72.26,30,3.634,50,0.4768,67
1,7,2012,0.00823,26,55,36,78.54,26,4.73,36,0.5988,48
1,8,2012,0.007327,20,52.5,30,86.36,20,2.782,30,0.4121,41
1,9,2012,0.01205,34,44,46,85.47,34,3.107,46,0.4118,60
1,10,2012,0.007067,27,43,41,82.72,27,4.367,41,0.4889,59
1,11,2012,0.01268,37,49.5,52,144.4,37,2.067,52,0.4911,61
1,12,2012,0.006073,29,45.5,50,147.5,29,2.707,50,0.4893,70
1,13,2012,0.01277,21,56,31,126.1,21,2.068,31,0.4051,36
1,14,2012,0.0144,22,66,39,88,22,2.63,39,0.4072,51
1,15,2012,0.01757,27,60,43,153.7,27,1.379,43,0.3755,57
1,16,2012,0.01454,46,54,65,87.6,46,2.865,65,0.4089,78
1,17,2012,0.01821,11,52,21,92.24,11,2.555,21,0.3911,28
1,18,2012,0.009758,34,54,41,121,34,1.871,41,0.4467,46
1,19,2012,0.01208,21,48.5,24,117.7,21,2.596,24,0.5364,32
1,20,2012,0.009919,30,52,43,128.2,30,2.715,43,0.4066,53
1,21,2012,0.02578,30,59.5,44,132.2,30,1.454,44,0.3968,60
1,22,2012,0.008886,36,67.5,44,114.9,36,2.565,44,0.4032,61
1,23,2012,0.01504,23,54,39,95.32,23,2.47,39,0.4141,49
1,24,2012,0.01327,17,64,29,97.57,17,1.447,29,0.4411,37
1,25,2012,0.005299,29,38,44,79.95,29,2.952,44,0.5266,51
1,26,2012,0.01001,28,51.5,44,84.33,28,4.133,44,0.5827,50
1,27,2012,0.01629,14,52,19,99.01,14,1.699,19,0.5168,23
1,28,2012,0.01113,12,49,21,99.52,12,3.152,21,0.4249,30
1,29,2012,0.00702,16,46,24,89.08,16,2.352,24,0.4118,30
1,30,2012,0.01326,22,53,29,110.4,22,2.539,29,0.4112,43
1,31,2012,0.02107,33,35,43,73.75,33,2.953,43,0.5479,47
2,1,2012,0.007196,20,55,35,93.26,20,2.855,35,0.4147,35
2,2,2012,0.006519,19,54,32,88.65,19,3.913,32,0.5488,32
2,3,2012,0.01154,25,51,35,98.11,25,2.933,35,0.4089,42
2,4,2012,0.0155,18,65,29,76.34,18,2.193,29,0.3351,37
2,5,2012,0.01225,34,53,49,83.61,34,2.763,49,0.5121,52
2,6,2012,0.01203,20,53,37,82.48,20,2.811,37,0.5433,43
2,7,2012,0.00858,23,55,36,93.61,23,2.865,36,0.468,42
2,8,2012,0.004183,31,35,47,84.17,31,2.839,47,0.5409,62
2,9,2012,0.01412,29,61.5,40,143.9,29,1.436,40,0.4123,51
2,10,2012,0.01024,35,50.5,50,79.82,35,2.921,50,0.437,61
2,11,2012,0.008109,26,57.5,40,89.96,26,2.828,40,0.4884,46
2,12,2012,0.008099,43,55,58,79.49,43,4.05,58,0.523,71
2,13,2012,0.006734,18,55,29,88.84,18,2.95,29,0.4151,36
2,14,2012,0.01293,12,59,17,80.47,12,2.502,17,0.4471,26
