month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.001022,326,20,668,49.57,326,16.6,668,3.208,713
1,1,2012,0.0006505,239,19,496,44.36,240,19.93,496,3.253,525
1,2,2012,0.0009783,179,17,450,48.95,179,19.91,450,3.283,464
1,3,2012,0.0007082,146,18,372,44.59,146,21.29,372,3.281,393
1,4,2012,0.0009003,85,15,257,41.66,85,23.22,257,4.223,264
1,5,2012,0.0003542,89,16,254,27.05,89,24.04,254,4.265,261
1,6,2012,0.0003276,124,15,255,28.2,124,23.1,255,4.106,262
1,7,2012,0.0004307,146,16.5,314,34.36,146,22.49,314,3.294,323
1,8,2012,0.001164,133,20,311,40.76,134,17.93,311,3.202,331
1,9,2012,0.001406,147,21,339,48.26,147,16.64,339,3.192,354
1,10,2012,0.001615,204,21,439,52.57,204,16.36,439,3.061,456
1,11,2012,0.001684,253,21,519,47.21,253,15.88,519,3.198,544
1,12,2012,0.001299,254,21,534,51.03,254,15.36,534,3.162,577
1,13,2012,0.001939,261,21,571,51.08,262,15.15,571,3.058,626
1,14,2012,0.001765,246,21,544,54.14,246,14.73,544,3.068,594
1,15,2012,0.002166,296,21,617,51.53,296,15.24,617,3.09,661
1,16,2012,0.001613,307,20,671,52.35,307,15.78,671,3.155,718
1,17,2012,0.00161,330,22,685,56.5,330,15.31,685,3.113,734
1,18,2012,0.001729,374,21,777,53.9,374,14.64,777,3.044,826
1,19,2012,0.001448,419,20,891,50.56,419,14.38,891,3.109,943
1,20,2012,0.001235,468,19,967,46.17,467,16.04,968,3.228,1023
1,21,2012,0.00116,480,20,956,50.77,479,15.12,957,3.142,1010
1,22,2012,0.001226,496,20,951,49.64,496,15.36,951,3.214,1010
1,23,2012,0.001038,418,20,825,48.36,418,16.09,825,3.215,867
2,0,2012,0.001642,337,21,670,49.73,337,13.27,670,3.013,711
2,1,2012,0.00111,239,20.5,506,48.87,240,15.68,506,3.093,524
2,2,2012,0.001405,149,20,337,47.97,149,15.96,337,3.012,367
2,3,2012,0.001196,92,21,227,48.78,92,18.21,227,3.213,233
2,4,2012,0.001191,60,22,166,46.03,60,19.53,166,3.174,179
2,5,2012,0.001017,66,21,158,47.98,66,18.23,158,3.168,152
2,6,2012,0.001071,67,20,181,34.16,67,20.08,181,3.214,189
2,7,2012,0.001671,117,20,254,49.31,117,17,254,3.01,262
2,8,2012,0.0009432,150,20,316,39.74,152,17.31,316,3.17,331
2,9,2012,0.001301,187,20,421,46.69,187,17.08,421,3.204,444
2,10,2012,0.0009277,209,21,490,49.69,210,16.83,490,3.176,519
2,11,2012,0.001208,248,19,565,47.14,248,17.47,565,3.209,603
2,12,2012,0.0009228,251,20,540,47.94,253,16.62,540,3.089,571
2,13,2012,0.001337,245,20,513,50.1,247,15.97,513,3.051,544
2,14,2012,0.001482,312,20,609,49.86,312,15.93,609,3.174,641
2,15,2012,0.001472,336,20,686,51.04,336,15.3,686,3.128,719
2,16,2012,0.001527,345,19,754,48.32,346,16.22,754,3.207,780
2,17,2012,0.001691,348,20,778,50.55,348,16.01,778,3.187,816
2,18,2012,0.001412,388,20,803,50.64,389,15.18,803,3.123,864
2,19,2012,0.001434,440,20,956,51.03,440,15.78,956,3.116,1039
2,20,2012,0.001408,437,20,923,50.43,437,15.29,923,3.129,987
2,21,2012,0.001438,490,21,1020,51.94,491,14.4,1020,3.143,1089
2,22,2012,0.001519,432,20,889,51.3,432,14.18,889,3.075,943
2,23,2012,0.001558,389,20,778,49,389,14.4,778,3.009,818
3,0,2012,0.001461,293,21,600,49.49,293,15.67,600,3.209,638
3,1,2012,0.001492,224,20,541,49.79,224,15.93,541,3.211,569
3,2,2012,0.001143,141,19,331,47.58,141,17.64,331,3.213,356
3,3,2012,0.001191,94,22,233,53.15,94,16,233,3.25,237
3,4,2012,0.001104,68,22,174,47.71,68,16.86,174,3.252,168
3,5,2012,0.002283,60,21,152,52.25,60,15.97,152,3.236,176
3,6,2012,0.001158,80,20,191,43.09,80,15.14,191,3.208,203
3,7,2012,0.001133,100,19,232,42.77,102,19.33,232,3.249,242
3,8,2012,0.001265,148,20,302,43.24,148,16.46,302,3.014,314
3,9,2012,0.001703,155,20,369,49.21,155,17.57,369,3.239,402
3,10,2012,0.001416,201,20,419,45.19,202,16.8,419,3.172,455
3,11,2012,0.001113,241,21,503,48.92,241,15.6,503,3.03,530
3,12,2012,0.001373,223,20,523,48.33,223,17.58,523,3.242,552
3,13,2012,0.001228,272,19,598,47.68,273,16.73,598,3.173,637
3,14,2012,0.00143,292,20,576,49.81,294,15.8,576,3.17,613
3,15,2012,0.001458,301,20,645,50.7,302,15.94,645,3.21,672
3,16,2012,0.001278,310,20,672,50.04,310,16.16,672,3.17,719
3,17,2012,0.001242,377,20,833,51.81,377,16.58,833,3.204,884
3,18,2012,0.00149,382,20,781,50.77,382,16.22,781,3.175,836
3,19,2012,0.00187,390,21,894,56.18,391,15.63,894,3.133,939
3,20,2012,0.001914,458,19,948,53.64,459,15.67,948,3.162,1007
3,21,2012,0.001592,414,20,870,52.13,416,14.72,870,3.122,942
3,22,2012,0.001449,400,20,855,48.67,400,16.09,855,3.207,903
3,23,2012,0.001485,383,20,783,50.14,385,15.51,783,3.106,844
4,0,2012,0.001601,259,19,598,50.5,259,16.88,599,3.164,642
4,1,2012,0.001149,217,20,409,47.37,217,15.44,409,3.008,435
4,2,2012,0.001267,118,20,275,47.54,118,15.79,275,3.044,299
4,3,2012,0.00107,95,21,187,50.16,95,18.75,187,2.97,199
4,4,2012,0.001116,75,21,166,50.85,75,17.37,166,2.973,181
4,5,2012,0.00171,62,21,131,54.33,62,17.73,131,3.25,135
4,6,2012,0.001521,56,21,106,45.65,56,15.69,106,3.073,120
4,7,2012,0.001488,95,19,216,44.73,95,19.84,216,3.236,232
4,8,2012,0.0008477,142,20,296,42.06,142,16.99,296,3.211,297
4,9,2012,0.001041,204,19,438,45.58,204,16.47,438,3.213,425
4,10,2012,0.001256,223,19,453,46.29,223,16.85,453,3.244,474
4,11,2012,0.001283,257,19,481,43.31,257,17.53,481,3.214,499
4,12,2012,0.001438,277,19,520,47.48,277,16.31,520,3.164,547
4,13,2012,0.001453,263,19,487,43.85,263,15.66,487,3.202,514
4,14,2012,0.001625,289,20,555,47.66,289,15.69,555,3.149,582
4,15,2012,0.001515,287,20,596,45.81,287,16.78,596,3.166,647
4,16,2012,0.001624,344,19,677,46.15,345,16.87,677,3.171,714
4,17,2012,0.001249,304,19,668,46.46,304,16.2,668,3.235,713
4,18,2012,0.001179,351,19,709,48.63,351,16.49,709,3.201,760
4,19,2012,0.001528,451,20,882,50.44,451,15.72,882,3.198,932
4,20,2012,0.001482,465,20,897,47.86,465,14.65,897,3.119,945
4,21,2012,0.001472,400,20,839,53.98,401,15.07,839,3.165,906
4,22,2012,0.001415,423,20,808,53.02,424,14.88,808,3.006,890
4,23,2012,0.001428,353,19,733,49.94,352,15.52,734,3.122,813
5,0,2012,0.001555,277,20,570,48.97,277,16.29,570,3.144,606
5,1,2012,0.001459,203,20,416,52.39,203,16.36,416,3.131,444
5,2,2012,0.001362,127,20,287,47.82,127,17.6,287,3.051,311
5,3,2012,0.001492,93,21,200,51,93,17.56,200,3.169,218
5,4,2012,0.001155,71,21,141,48.06,71,15.68,141,3.018,147
5,5,2012,0.001796,57,23,114,55.88,57,17.08,114,3.007,119
5,6,2012,0.001769,75,20,155,43.26,75,16.86,155,2.978,174
5,7,2012,0.001017,113,19,230,42.6,113,18.09,230,3.144,243
5,8,2012,0.00129,147,20,309,43.5,147,17.31,309,3.088,326
5,9,2012,0.001628,188,19,378,46.16,188,16.35,378,2.967,408
5,10,2012,0.001243,254,19,485,44.32,254,17.8,485,3.125,521
5,11,2012,0.001169,286,19,591,43.4,286,16.62,591,3.212,589
5,12,2012,0.00104,251,19,529,47.44,251,16.44,529,3.131,563
5,13,2012,0.002236,265,19,544,49.21,266,15.48,544,3.126,584
5,14,2012,0.00127,270,19,548,46.16,270,16.34,548,3.241,578
5,15,2012,0.001146,323,19,634,45.22,323,16.62,634,3.244,662
5,16,2012,0.001345,339,19,662,45.06,339,17.23,662,3.168,710
5,17,2012,0.001412,336,20,747,47.43,336,15.88,747,3.167,776
5,18,2012,0.00136,394,19,801,47.17,394,16.3,801,3.049,861
5,19,2012,0.001598,436,19,897,46.01,436,16.54,897,3.125,954
5,20,2012,0.001646,446,19,887,48.37,447,15.54,887,3.128,953
5,21,2012,0.001832,462,20,908,50.29,462,15.23,908,3.104,988
5,22,2012,0.00165,394,20,847,49.79,394,15.53,847,3.046,891
5,23,2012,0.001671,384,19,778,51.23,384,15.22,778,3.157,824
6,0,2012,0.001488,290,19,604,50.18,290,17.05,604,2.991,662
6,1,2012,0.0015,206,19,459,51.33,206,17.81,459,3.241,473
6,2,2012,0.001861,134,21,320,49.88,134,15.79,320,3.208,338
6,3,2012,0.001888,93,21,184,62.45,93,13.99,184,2.988,204
6,4,2012,0.0009837,74,20,152,43.99,75,18.45,152,3.243,161
6,5,2012,0.0004469,50,21.5,122,44.89,50,18.02,122,3.028,133
6,6,2012,0.001118,78,19,163,39.77,78,19.46,163,3.25,171
6,7,2012,0.001328,119,18.5,226,39.36,119,18.29,226,3.201,238
6,8,2012,0.0006815,127,18,280,45.79,127,20.79,280,3.201,299
6,9,2012,0.001482,187,19,356,43.22,188,15.75,356,3.209,374
6,10,2012,0.00137,222,19,451,47.55,222,17,451,3.181,476
6,11,2012,0.001392,252,20,499,47.9,252,16.84,499,3.053,530
6,12,2012,0.001371,249,19,521,47.31,248,16.52,522,3.203,548
6,13,2012,0.001529,265,19,533,45.58,265,16.05,533,3.01,565
6,14,2012,0.00192,244,20,538,47.81,245,16.36,538,3.204,593
6,15,2012,0.001605,306,19,614,50.61,306,16.26,614,3.158,653
6,16,2012,0.001396,291,20,607,46.18,291,15.8,607,3.083,631
6,17,2012,0.001684,321,19,671,47.39,322,16.02,671,3.166,707
6,18,2012,0.001497,329,19,760,48.52,329,15.29,760,3.155,798
6,19,2012,0.001163,385,19,783,44.38,386,16.3,783,3.166,834
6,20,2012,0.001641,387,19,762,46.7,387,16.06,762,3.125,811
6,21,2012,0.001719,405,20,851,52.11,405,15.05,851,3.01,904
6,22,2012,0.001774,410,21,825,55.01,410,15.32,825,3.081,873
6,23,2012,0.001521,389,19,783,47.38,389,15.98,783,3.048,841
7,0,2012,0.002247,287,20,644,54.77,287,16.84,644,3.112,688
7,1,2012,0.001288,237,19,474,48.51,237,16.42,474,3.169,491
7,2,2012,0.001345,147,19,329,53.04,147,18.34,329,3.047,356
7,3,2012,0.001108,101,20,239,46.75,101,18.16,239,3.197,252
7,4,2012,0.001242,76,19,170,46.65,76,19.1,170,3.25,182
7,5,2012,0.000942,60,22,122,54.72,60,18.42,122,3.244,131
7,6,2012,0.001504,77,19,175,37.37,77,18.18,175,3.246,182
7,7,2012,0.001246,99,19,221,41.11,99,16.57,221,3.21,234
7,8,2012,0.00158,141,19,307,43.2,141,16.11,307,3.004,327
7,9,2012,0.001341,188,19,418,39.68,188,18.12,418,3.031,446
7,10,2012,0.00127,218,18,466,41.52,218,17.52,466,3.161,498
7,11,2012,0.001614,262,19,552,46.67,263,17.39,552,3.096,579
7,12,2012,0.001353,321,19,635,44.97,321,16.49,635,3.047,675
7,13,2012,0.001739,307,19,657,45.18,307,17.68,657,3.048,699
7,14,2012,0.001721,301,19,625,49.44,301,16.94,625,3.08,670
7,15,2012,0.001678,357,19,721,46.49,357,16.28,721,3.043,774
7,16,2012,0.002065,368,19,718,46.53,368,16.71,718,3.057,759
7,17,2012,0.001641,362,19,739,47.93,362,16.92,739,3.05,783
7,18,2012,0.001348,397,19,814,46.72,397,17.12,814,3.152,874
7,19,2012,0.0015,437,19,851,43.23,437,15.88,851,3.132,896
7,20,2012,0.001551,473,19,951,48.06,473,15.51,951,3.165,1010
7,21,2012,0.001882,504,20,1012,48.33,504,15.19,1012,3.121,1062
7,22,2012,0.001767,491,20,1026,55.14,491,15.8,1026,3.084,1102
7,23,2012,0.00169,426,19,831,47.25,426,16.05,831,3.067,880
8,0,2012,0.001894,344,19,698,47.03,344,15.71,698,3.173,741
8,1,2012,0.001875,249,19,513,46.53,249,16.33,513,3.21,531
8,2,2012,0.002004,208,19,362,47.69,208,17.78,362,3.121,389
8,3,2012,0.001761,144,19,291,41.43,144,16.38,291,3.207,297
8,4,2012,0.0009954,93,19,189,46.99,93,17.19,189,3.249,207
8,5,2012,0.001598,89,19,181,39.06,89,19.71,181,3.09,193
8,6,2012,0.0009274,85,19,189,38.65,85,19.18,189,3.25,194
8,7,2012,0.001885,144,19,291,41.14,144,17.05,291,3.207,295
8,8,2012,0.001523,166,19,319,43.33,167,18.36,319,3.102,322
8,9,2012,0.00143,228,18,471,39.93,228,17.92,471,3.173,488
8,10,2012,0.001943,244,18,523,45.79,244,17.66,523,3.082,536
8,11,2012,0.001395,329,19,610,43.06,330,17.54,610,3.241,636
8,12,2012,0.001463,298,18,594,42.19,298,18.2,594,3.247,629
8,13,2012,0.002311,319,18,701,48.58,319,15.86,701,3.169,727
8,14,2012,0.001595,430,18,779,43.75,430,16.76,779,3.239,812
8,15,2012,0.001655,388,18,726,44.34,388,17.38,726,3.213,757
8,16,2012,0.001692,421,19,820,45.75,421,18.3,820,3.108,859
8,17,2012,0.00176,463,19,846,43.86,463,17.95,846,3.246,888
8,18,2012,0.001855,469,19,911,44.15,469,17.53,911,3.207,962
8,19,2012,0.00171,467,18,921,44.71,467,17.46,921,3.249,966
8,20,2012,0.001435,603,19,1012,47.45,603,16.67,1012,3.183,1070
8,21,2012,0.001721,542,20,1003,48.18,542,15.58,1003,3.103,1060
8,22,2012,0.002088,520,20,1011,50.23,520,15.18,1011,3.173,1064
8,23,2012,0.001467,478,19,895,45.81,478,16.03,895,3.239,942
9,0,2012,0.001819,351,19,704,45.26,351,17,704,3.269,744
9,1,2012,0.00154,244,19,500,45.29,244,17.77,500,3.253,525
9,2,2012,0.001247,188,19,319,42.28,188,17.58,319,3.25,338
9,3,2012,0.001268,115,19,226,43.81,115,18.08,226,3.251,235
9,4,2012,0.001795,94,19,168,37.51,94,18.21,168,3.252,176
9,5,2012,0.001644,77,19,158,37.34,77,20.78,158,3.294,163
9,6,2012,0.001498,101,18,197,42.64,101,18.77,197,3.2,203
9,7,2012,0.00142,132,20,255,41.81,132,18.78,255,3.268,260
9,8,2012,0.001749,224,18,385,42.41,224,18.35,385,3.285,393
9,9,2012,0.001833,256,18,482,45.3,256,18.29,482,3.252,503
9,10,2012,0.002109,295,19,540,42.16,296,17.6,540,3.245,566
9,11,2012,0.002198,300,19,598,44.71,300,17.15,598,3.288,625
9,12,2012,0.001704,379,19,687,42.41,379,16.86,687,3.25,728
9,13,2012,0.00191,335,19,670,46.9,335,17.68,670,3.253,715
9,14,2012,0.001435,450,19,739,44.77,450,16.83,739,3.287,769
9,15,2012,0.001983,425,19,773,43.46,425,16.35,773,3.251,808
9,16,2012,0.001684,441,19,884,46.48,442,17.86,884,3.252,916
9,17,2012,0.002036,471,19,921,44.39,471,16.83,921,3.252,963
9,18,2012,0.002358,419,19,868,52.37,419,16.51,868,3.249,917
9,19,2012,0.0019,488,19,966,45.21,488,17.07,966,3.245,1025
9,20,2012,0.001658,687,19,1091,47.47,687,15.42,1091,3.241,1141
9,21,2012,0.002475,581,28,1103,63.37,581,12.39,1103,3.166,1150
9,22,2012,0.002206,490,26,1008,63.46,490,13.63,1008,3.173,1054
