month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.002023,239,30,360,56.79,239,9.38,360,0.7168,400
1,2,2012,0.002796,227,31,323,56.28,227,9.488,323,0.7549,356
1,3,2012,0.00164,164,24,283,48.76,164,10.88,283,0.6917,311
1,4,2012,0.002564,194,26,287,61,194,10.25,287,0.6345,313
1,5,2012,0.001557,132,28.5,236,62.86,132,11.27,236,0.7181,255
1,6,2012,0.002362,147,29,241,51.68,147,10.9,241,0.6769,279
1,7,2012,0.0022,193,25,295,55.03,193,9.558,295,0.6217,315
1,8,2012,0.002381,218,27,365,50.79,218,10.18,365,0.6725,403
1,9,2012,0.002318,144,25,249,53.21,144,10.36,249,0.6278,278
1,10,2012,0.002692,183,32,288,67.3,183,8.805,288,0.6206,310
1,11,2012,0.002016,169,28,289,54.05,169,11.17,289,0.7632,330
1,12,2012,0.002596,185,25,267,52.57,185,10.37,267,0.6144,297
1,13,2012,0.002339,177,27,268,54.2,177,11.6,268,0.6334,306
1,14,2012,0.001668,232,26,344,52.68,232,11.74,344,0.6212,386
1,15,2012,0.002659,224,27,327,55.25,224,10.7,327,0.7385,360
1,16,2012,0.002261,225,26,348,58.94,225,10.9,348,0.6951,374
1,17,2012,0.002309,212,30,306,57.5,212,10.75,306,0.6198,341
1,18,2012,0.002403,176,28,271,57.94,176,10.87,271,0.7017,305
1,19,2012,0.001822,169,30,272,52.74,170,11.27,272,0.7228,298
1,20,2012,0.002036,148,25,234,52.76,148,11.25,234,0.6418,257
1,21,2012,0.002203,221,29,356,58.88,221,9.655,356,0.6656,385
1,22,2012,0.002306,225,28,336,57.23,225,11.38,336,0.7636,369
1,23,2012,0.002644,177,28,318,51.37,177,10.96,318,0.7645,356
1,24,2012,0.00233,179,27,292,53.06,179,11.68,292,0.7526,325
1,25,2012,0.002249,197,26,309,54.37,197,11.14,309,0.7228,332
1,26,2012,0.002736,183,26,300,49.25,185,11.57,300,0.684,337
