month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.001248,117,13,170,42.56,117,12.32,170,1.687,181
1,2,2012,0.001903,142,13,187,46.88,142,9.962,187,1.687,195
1,3,2012,0.001542,105,14,163,45.53,105,12.25,163,1.689,167
1,4,2012,0.00199,108,12,157,43.65,108,12.17,157,1.688,161
1,5,2012,0.002228,87,13,138,41.84,87,13.44,138,1.689,142
1,6,2012,0.001763,109,13,162,43.59,109,11.49,162,1.688,166
1,7,2012,0.002086,88,13,157,47.56,88,13.19,157,1.684,160
1,8,2012,0.001885,118,14,184,44.05,118,11.33,184,1.689,191
1,9,2012,0.00161,99,14,156,44.28,99,11.54,156,1.687,166
1,10,2012,0.0009945,89,12,143,41.26,89,13.16,143,1.689,145
1,11,2012,0.001332,109,13,157,42.77,109,12.19,157,1.687,163
1,12,2012,0.00161,85,15,130,49.86,85,13.02,130,1.69,136
1,13,2012,0.0009144,103,12,174,38.23,103,13.58,174,1.722,177
1,14,2012,0.001296,119,14,199,45.15,119,13.44,199,1.725,203
1,15,2012,0.00156,117,14,164,44.35,117,11.19,164,1.687,173
1,16,2012,0.002199,113,13,161,46.58,113,12.71,161,1.688,166
1,17,2012,0.002788,72,15,119,45.32,72,13.45,119,1.649,126
1,18,2012,0.001303,85,13,147,43.03,85,14.06,147,1.683,161
1,19,2012,0.002274,90,14,138,51.34,90,12.97,138,1.685,143
1,20,2012,0.001937,83,14,130,46.41,83,13.04,130,1.701,134
1,21,2012,0.001942,136,16,205,50.13,136,10.09,205,1.685,217
1,22,2012,0.001762,114,14,166,48.49,114,11.04,166,1.687,170
1,23,2012,0.001358,100,13,139,47.85,100,12.08,139,1.688,141
1,24,2012,0.001216,87,12,139,42.33,87,14.01,139,1.688,145
1,25,2012,0.001061,73,12,128,39.96,73,14.01,128,1.687,134
1,26,2012,0.001662,99,13,149,43.49,99,11.11,149,1.687,157
1,27,2012,0.001863,95,12,158,43.57,95,14.63,158,1.693,159
1,28,2012,0.001849,114,12,190,46.72,114,12.72,190,1.686,199
1,29,2012,0.001317,110,13,172,44.14,110,12.62,172,1.687,180
1,30,2012,0.001878,95,13,145,41.25,95,13.97,145,1.689,154
