month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.007485,34,55.5,52,133.2,34,2.363,52,0.3988,72
1,1,2012,0.009478,18,57.5,28,111.6,18,2.572,28,0.4888,36
1,2,2012,0.008235,17,59,31,133.6,17,2.383,31,0.3913,51
1,3,2012,0.008971,20,72.5,32,156.4,20,2.789,32,0.4976,35
1,4,2012,0.008227,12,60,15,101.3,12,3.354,15,0.4967,17
1,5,2012,0.005795,11,56,22,66.32,11,2.907,22,0.4715,28
1,6,2012,0.007658,9,45.5,18,80.52,9,8.95,18,0.5889,21
1,7,2012,0.01368,16,50,23,89.89,16,2.937,23,0.4205,28
1,8,2012,0.006103,28,57.5,42,100.3,28,2.593,42,0.4985,47
1,9,2012,0.01273,24,59,45,100.6,24,2.902,45,0.4309,51
1,10,2012,0.007443,50,55,73,91.91,50,2.9,73,0.4548,82
1,11,2012,0.01254,38,57,71,136,38,2.941,71,0.5124,83
1,12,2012,0.01158,48,52.5,80,86.17,48,2.802,80,0.4329,90
1,13,2012,0.008415,59,55,79,82.83,59,2.972,79,0.5119,89
1,14,2012,0.009626,63,54,81,98.22,63,2.903,81,0.457,100
1,15,2012,0.00738,54,57.5,82,96.46,54,2.895,82,0.4707,100
1,16,2012,0.01296,65,59,91,116.5,65,2.604,91,0.4053,112
1,17,2012,0.009606,63,58,84,98.03,63,2.748,84,0.4451,103
1,18,2012,0.006369,53,57,83,95.48,53,2.907,83,0.4101,103
1,19,2012,0.008695,88,64.5,114,92.89,87,1.976,115,0.4323,132
1,20,2012,0.009388,120,62,141,96.11,120,2.273,141,0.4117,167
1,21,2012,0.01332,93,61,117,94.98,93,2.313,117,0.4266,141
1,22,2012,0.01727,84,63,103,112.3,84,2.054,103,0.4108,128
1,23,2012,0.02011,47,60,69,96.03,47,2.32,69,0.43,83
2,0,2012,0.01493,41,60,59,103.6,41,2.656,59,0.4193,72
2,1,2012,0.008587,29,56.5,40,130.5,29,3.612,40,0.4108,51
2,2,2012,0.008892,13,61,17,103.2,13,4.451,17,0.4629,25
2,3,2012,0.01732,13,48,20,68.56,13,2.955,20,0.475,27
2,4,2012,0.006314,10,60,16,155.9,10,2.857,16,0.4883,18
2,5,2012,0.007133,9,78,13,92.43,9,2.921,13,0.5284,18
2,6,2012,0.005581,16,59,27,112.7,16,2.627,27,0.4056,36
2,7,2012,0.01081,17,62,29,83.37,17,2.96,29,0.4129,37
2,8,2012,0.006117,25,52.5,36,111.4,25,2.857,36,0.4561,50
