month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.006915,112,61,148,92.02,112,4.942,148,0.8007,160
1,1,2012,0.007453,77,63,102,100.6,77,5.055,102,0.7901,111
1,2,2012,0.006641,59,60,80,90.89,59,4.81,80,0.9109,87
1,3,2012,0.007882,30,58,44,80.69,30,4.296,44,0.8248,50
1,4,2012,0.006909,25,60,35,88.51,25,5.349,35,0.7884,37
1,5,2012,0.006384,19,59,24,82.86,19,6.574,24,0.804,26
1,6,2012,0.005605,15,58,27,66.62,15,4.658,27,0.7549,29
1,7,2012,0.006086,39,59.5,52,81.49,39,5.433,52,0.7703,54
1,8,2012,0.003857,53,41,69,73.81,53,7.087,69,1.166,71
1,9,2012,0.004692,82,42,116,76.86,82,5.32,116,0.9553,118
1,10,2012,0.006148,72,58,103,106.3,72,3.335,103,0.6338,107
1,11,2012,0.005585,87,54.5,108,82.29,87,5.577,108,0.9377,118
1,12,2012,0.007134,107,60.5,130,92.09,107,4.004,130,0.8014,137
1,13,2012,0.006099,107,56.5,142,89.5,107,4.767,142,0.874,146
1,14,2012,0.007153,101,55,153,101.9,101,3.71,153,0.799,159
1,15,2012,0.005684,113,61,151,85.2,113,5.411,151,0.7895,163
1,16,2012,0.005954,113,58,158,77.72,113,5.319,158,0.966,169
1,17,2012,0.007108,125,61,164,86.12,125,4.721,164,0.7806,178
1,18,2012,0.006582,160,59,197,84.27,160,5.122,197,0.7988,217
1,19,2012,0.006959,135,63,171,93.76,135,5.051,171,0.907,185
1,20,2012,0.006573,196,69,237,99.93,196,4.578,237,0.8526,250
1,21,2012,0.007344,205,73,230,105.7,205,3.15,230,0.7932,237
1,22,2012,0.007052,157,63,175,90.3,157,3.007,175,0.7915,184
1,23,2012,0.006756,113,59,147,107.3,113,3.409,147,0.7918,162
2,0,2012,0.00621,80,61,104,85.12,80,5.268,104,0.8016,119
2,1,2012,0.005015,63,57,81,81.99,63,4.795,81,0.7881,92
2,2,2012,0.007446,43,48,58,88.72,43,5.585,58,0.8592,63
2,3,2012,0.005286,28,53,39,87.72,28,5.554,39,0.7954,40
2,4,2012,0.006112,17,57,23,74.26,17,5.448,23,1.124,23
2,5,2012,0.006425,25,65,35,99.04,25,5.608,35,0.9422,40
2,6,2012,0.004591,22,37.5,30,78.79,22,8.742,30,0.8059,33
2,7,2012,0.004747,38,59,47,75.55,38,5.463,47,1.046,49
2,8,2012,0.00482,50,55,72,82.07,50,5.637,72,0.7301,85
2,9,2012,0.005914,44,55,68,87.87,44,6.493,68,0.9993,71
2,10,2012,0.005759,82,52.5,116,89.07,82,5.499,116,0.7897,130
2,11,2012,0.006993,78,56.5,112,84.98,78,5.253,112,0.9512,117
2,12,2012,0.007145,90,58,120,85.8,90,4.695,120,0.79,124
