month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.003107,5,38,10,69.35,5,11.72,10,3.071,13
1,2,2012,0.001744,25,39,29,56.95,25,10.28,29,2.775,31
1,3,2012,0.0007021,9,46,11,61.37,9,7.395,11,2.896,13
1,4,2012,0.002711,6,39,12,93.58,6,6.092,12,1.717,16
1,5,2012,0.003894,8,39.5,14,90.9,8,7.824,14,2.677,15
1,6,2012,0.00304,14,40,20,57.48,14,9.859,20,2.594,24
1,7,2012,0.001491,15,37.5,20,58.84,15,10.42,20,2.25,24
1,8,2012,0.0023,24,46,27,69.38,24,13.53,27,3.254,31
1,9,2012,0.003282,12,42,17,71.72,12,8.597,17,0.8731,16
1,10,2012,0.001426,14,38,25,49.82,14,11.01,25,3.019,22
1,11,2012,0.001939,11,39,17,48.68,11,16.45,17,3.17,21
1,12,2012,0.001898,4,39.5,4,50.32,4,26.05,4,2.789,4
1,13,2012,0.002205,14,40,16,60.55,14,8.344,16,2.23,20
1,14,2012,0.002408,12,39.5,14,56.83,12,9.946,14,2.728,20
1,15,2012,0.00148,12,38.5,14,57.65,12,11.9,14,3.119,15
1,16,2012,0.003924,14,39,16,53.83,14,13.58,16,3.094,18
1,17,2012,0.002167,12,40,18,64.6,12,9.435,18,2.733,19
1,18,2012,0.003664,14,38,17,54.7,14,10.52,17,3.014,18
1,19,2012,0.004025,12,35,21,76,12,12.55,21,3.372,22
1,20,2012,0.0006033,5,40.5,8,61.37,5,9.421,8,3.375,9
1,21,2012,0.002004,10,42,15,65.53,10,4.724,15,0.8247,21
1,22,2012,0.002776,10,42,15,94.51,10,8.051,15,2.808,16
1,23,2012,0.002249,13,39,15,60.87,13,10.87,15,3.016,19
1,24,2012,0.002831,10,38,15,50.82,10,9.036,15,3.174,18
1,25,2012,0.0009017,13,36.5,14,46.28,13,16.03,14,3.397,14
1,26,2012,0.002615,4,32,5,45.93,4,14.53,5,3.291,5
1,27,2012,0.005863,20,39,25,62.37,20,8.666,25,2.573,31
1,28,2012,0.001629,9,40.5,14,55.76,9,14.78,14,2.812,14
1,29,2012,0.01824,10,42,11,68.99,10,1.526,11,1.443,14
1,30,2012,0.002586,11,34,15,65.78,11,8.867,15,3.315,16
1,31,2012,0.003802,7,40,13,54.41,7,11.41,13,3.661,15
2,1,2012,0.004945,8,36,11,44.6,8,15.21,11,3.33,13
2,2,2012,0.003608,6,41,10,84.53,6,6.895,10,1.522,13
2,3,2012,0.0003668,7,39,7,54.2,7,12.45,7,2.612,8
2,4,2012,0.00176,8,43,16,68.82,8,9.264,16,2.769,16
2,5,2012,0.001389,19,38,20,52.78,19,12.03,20,3.33,21
2,6,2012,0.002068,15,43,21,73.45,15,10.81,21,2.811,17
2,7,2012,0.001569,13,38,17,55.65,13,10.87,17,3.033,18
2,8,2012,0.002746,15,40,23,80.03,15,8.586,23,3.076,21
2,9,2012,0.001085,12,33,18,51.76,12,14.53,18,2.607,19
2,10,2012,0.001749,9,38,17,66.41,9,11.78,17,3.317,16
2,11,2012,0.001672,21,40,24,58.55,21,12.88,24,2.895,25
2,12,2012,0.004715,19,42,25,75.24,19,6.075,25,2.933,26
