month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.003803,101,40,153,67.6,101,11.09,153,0.8166,159
1,1,2012,0.002293,53,38,83,73.06,53,10.33,83,0.8086,89
1,2,2012,0.002804,52,39,84,68.51,52,12.24,84,0.813,86
1,3,2012,0.001745,36,40,46,66.73,36,10.77,46,0.8143,48
1,4,2012,0.001921,19,38,40,61.47,19,9.331,40,0.803,46
1,5,2012,0.002087,28,40,33,58.91,28,16.09,33,0.8061,34
1,6,2012,0.002328,18,38,27,62.19,18,14.09,27,0.8006,30
1,7,2012,0.002702,29,37,46,60.23,29,10.68,46,0.807,51
1,8,2012,0.00485,42,38,65,66.62,42,10.71,65,0.817,67
1,9,2012,0.001876,61,37,102,61.27,61,11.62,102,0.816,108
1,10,2012,0.002677,65,36,114,63.29,65,11.65,114,0.8131,120
1,11,2012,0.003082,81,38,127,61.95,81,10.48,127,0.812,130
1,12,2012,0.003168,99,37,165,62.43,99,10.02,165,0.8178,171
1,13,2012,0.002958,105,37,168,60.3,105,10.23,168,0.8112,175
1,14,2012,0.003492,105,38,165,69.82,105,10.07,165,0.8059,173
1,15,2012,0.002284,97,39,151,65.37,97,10.9,151,0.8136,156
1,16,2012,0.003373,105,42,177,76.95,105,10.59,177,0.8035,192
1,17,2012,0.002925,130,39,217,78.78,130,9.545,217,0.8101,224
1,18,2012,0.003596,147,49,239,80.91,147,8.721,239,0.8037,249
1,19,2012,0.004432,155,58.5,266,99.81,155,7.804,266,0.8075,278
1,20,2012,0.00338,168,79,264,105.6,168,7.376,264,0.799,279
1,21,2012,0.005767,160,86,247,121.1,160,6.326,247,0.7939,256
1,22,2012,0.0037,118,77,202,105.1,118,7.23,202,0.8025,214
1,23,2012,0.003161,111,62,170,94.63,111,7.799,170,0.8055,180
2,0,2012,0.003594,73,38,119,74.55,73,9.992,119,0.813,121
2,1,2012,0.002936,65,37,93,57.46,65,11.52,93,0.8136,96
2,2,2012,0.002869,37,38,55,57.91,37,9.478,55,0.8225,60
2,3,2012,0.001374,27,38,39,59.12,27,11.1,39,0.8179,43
2,4,2012,0.002121,18,38,33,75.74,18,15.31,33,0.8114,33
2,5,2012,0.003215,18,36,31,64.64,18,10.69,31,0.8248,33
2,6,2012,0.003211,20,38,32,59.8,20,9.935,32,0.8126,34
2,7,2012,0.003398,18,38,45,59.33,18,11.48,45,0.8214,46
2,8,2012,0.002183,45,38,89,57.68,45,11.02,89,0.8133,82
2,9,2012,0.001473,48,37,90,61.93,48,10.89,90,0.8134,96
2,10,2012,0.001998,67,38,117,57.24,67,10.84,117,0.819,117
2,11,2012,0.002602,101,38,144,70.26,101,11.12,144,0.8131,148
2,12,2012,0.001923,91,38,135,62.48,91,9.79,135,0.8179,143
2,13,2012,0.003351,76,38,130,65.91,76,10.83,130,0.8143,143
2,14,2012,0.002937,83,38,125,65.14,83,11.66,125,0.8147,125
2,15,2012,0.003635,93,38,161,75.36,93,11.99,161,0.8163,169
2,16,2012,0.002462,109,40,178,70.25,109,10.83,178,0.815,185
2,17,2012,0.002438,110,41,178,70.35,110,10.17,178,0.8163,188
2,18,2012,0.002345,149,42,221,70.04,149,10.51,221,0.8128,227
2,19,2012,0.0033,137,51,221,96.2,137,9.048,221,0.8104,228
2,20,2012,0.003776,151,62,243,102.1,151,7.427,243,0.8058,248
2,21,2012,0.004122,163,74,241,103.1,163,7.626,241,0.8085,249
2,22,2012,0.004525,132,64,197,94.41,132,7.378,197,0.8087,206
2,23,2012,0.002175,92,47.5,150,74.43,92,10.11,150,0.8133,154
3,0,2012,0.002533,99,38,136,82.79,99,9.62,136,0.8115,145
3,1,2012,0.003015,67,35.5,94,67.02,67,10.78,94,0.8144,101
3,2,2012,0.003601,39,38,63,62.06,39,10.08,63,0.8097,66
3,3,2012,0.003085,32,41,59,67.14,32,9.614,59,0.812,63
3,4,2012,0.00505,20,35.5,34,95.05,20,7.771,34,0.8163,35
3,5,2012,0.003312,21,34,30,56.15,21,11.28,30,0.8205,32
3,6,2012,0.004333,20,45,32,69.62,20,10.75,32,0.8065,36
3,7,2012,0.00252,36,37,56,70.32,36,10.33,56,0.8172,55
3,8,2012,0.002683,43,36,61,64.34,43,11.56,61,0.8278,59
3,9,2012,0.00268,44,38,88,73.19,44,11.22,88,0.8127,92
3,10,2012,0.002672,60,38,99,62.21,60,13.03,99,0.8174,105
3,11,2012,0.002116,56,37,102,67.41,56,12.32,102,0.8181,110
3,12,2012,0.002233,78,36,127,64.15,78,13.08,127,0.8151,127
3,13,2012,0.002851,80,38.5,124,63.69,80,11.19,124,0.8149,127
3,14,2012,0.004071,89,38,129,70.89,89,10.13,129,0.818,129
3,15,2012,0.002072,90,37,147,61.27,90,10.17,147,0.8142,153
3,16,2012,0.00291,93,38,162,65.36,93,11.39,162,0.8179,166
3,17,2012,0.003582,115,38,183,68.28,115,9.514,183,0.8157,187
3,18,2012,0.002779,107,37,155,62.34,107,10.16,155,0.8153,166
3,19,2012,0.002995,127,38,229,65.18,127,10.65,229,0.8137,240
3,20,2012,0.002746,123,41,206,79.98,123,9.578,206,0.8116,213
3,21,2012,0.004381,152,50,229,81.74,152,9.508,229,0.8134,237
3,22,2012,0.003132,134,45,209,77.59,134,8.972,209,0.816,216
3,23,2012,0.00281,92,40,145,73.93,92,10.07,145,0.8108,154
4,0,2012,0.003979,35,37,57,60.06,35,9.73,57,0.8174,57
4,1,2012,0.002238,34,38,54,73.86,34,9.486,54,0.817,55
4,2,2012,0.002212,16,35.5,36,49.81,16,10.05,36,0.824,35
4,3,2012,0.002646,25,38,31,67.34,25,13.98,31,0.7883,31
4,4,2012,0.001323,16,33,19,56.81,16,13.8,19,0.9939,20
4,5,2012,0.001926,10,36,17,51.97,10,11.95,17,1.267,17
4,6,2012,0.006162,8,40,16,58.87,8,12.81,16,1.005,16
4,7,2012,0.001743,10,35,17,63.4,10,11.76,17,1.325,17
4,8,2012,0.002144,16,35,31,52.05,16,11.11,31,0.8184,32
4,9,2012,0.00227,35,38,59,62.46,35,11.55,59,0.8186,60
4,10,2012,0.002524,33,36.5,48,73.46,33,9.913,48,0.8015,48
4,11,2012,0.001735,25,38,46,71.62,25,11.9,46,0.8109,47
4,12,2012,0.003705,36,37,61,67.6,36,10.99,61,0.8169,62
4,13,2012,0.002414,48,37,82,68.7,48,11.99,82,0.8091,84
4,14,2012,0.002415,47,38,85,62.9,47,12.22,85,0.8159,88
4,15,2012,0.003152,45,36,83,54.9,45,10.82,83,0.8238,83
4,16,2012,0.004207,48,39,89,69.8,48,8.92,89,0.8043,90
4,17,2012,0.003444,56,39,93,65.81,56,8.502,93,0.8042,96
4,18,2012,0.002835,62,38,116,66.49,62,10.81,116,0.8091,120
4,19,2012,0.002068,55,41,103,72.61,55,9.798,103,0.81,116
4,20,2012,0.003706,65,44,125,74.49,65,9.251,125,0.8123,130
4,21,2012,0.00377,72,56.5,118,84.79,72,7.149,118,0.8086,125
4,22,2012,0.004768,65,52,113,79.54,65,7.817,113,0.8103,115
4,23,2012,0.00382,63,40,99,66.04,63,10.17,99,0.8142,101
5,0,2012,0.003311,101,47,171,78.2,101,8.982,171,0.8075,172
5,1,2012,0.002914,83,44,145,76.33,83,10.05,145,0.809,149
5,2,2012,0.002735,46,42,89,75.13,46,8.151,89,0.816,90
5,3,2012,0.002077,46,42,73,77.6,46,9.817,73,0.8,78
5,4,2012,0.003539,32,52,46,89.41,32,8.76,46,0.8119,44
5,5,2012,0.004209,11,48,29,75.64,11,10.42,29,0.8118,30
5,6,2012,0.002501,19,39,43,88.11,19,12.05,43,0.8054,43
5,7,2012,0.003602,26,42.5,56,61.03,26,10.23,56,0.8106,58
5,8,2012,0.0029,41,42,63,63.73,41,8.941,63,0.8111,65
5,9,2012,0.003087,52,39,85,93.72,52,9.888,85,0.8107,91
5,10,2012,0.00231,60,41,110,66.64,60,12.04,110,0.813,113
5,11,2012,0.00398,75,41,138,77.86,75,10.8,138,0.8107,145
5,12,2012,0.003253,62,41,129,68.55,62,9.399,129,0.8137,134
5,13,2012,0.002196,103,44,161,77.27,103,11.65,161,0.8049,164
5,14,2012,0.002422,84,42,155,72.73,84,10.7,155,0.81,164
5,15,2012,0.002952,121,42,195,72.11,121,9.246,195,0.8102,200
5,16,2012,0.002453,104,40,180,74.5,104,10.55,180,0.8075,187
5,17,2012,0.00288,125,41,230,81.84,125,10.33,230,0.8064,240
5,18,2012,0.002645,137,43,211,71.7,137,10.39,211,0.8097,217
5,19,2012,0.002958,132,43,234,81.27,132,9.943,234,0.8067,242
5,20,2012,0.003561,138,48,225,83.42,138,9.141,225,0.8027,236
5,21,2012,0.003195,167,57,265,85.55,167,8.274,265,0.8068,276
5,22,2012,0.003478,139,58,240,87.81,139,9.068,240,0.8035,244
5,23,2012,0.002535,133,46,211,78.83,133,9.824,211,0.8047,225
6,0,2012,0.003252,70,39.5,114,66.87,70,10.1,114,0.8109,121
6,1,2012,0.003647,52,38,89,71.17,52,8.944,89,0.805,93
6,2,2012,0.00605,36,36,64,100.2,36,10.01,64,0.8016,70
6,3,2012,0.002831,27,37,44,64.11,27,13.48,44,0.8131,44
6,4,2012,0.003508,21,41,43,69.61,21,10.36,43,0.84,43
6,5,2012,0.001342,15,40.5,24,85.9,15,10.22,24,0.7815,26
6,6,2012,0.001417,29,43,44,74.46,29,8.249,44,0.808,45
6,7,2012,0.002084,20,38,37,56.76,20,11.11,37,0.8027,39
6,8,2012,0.002071,33,37,55,52.74,33,14.82,55,1.175,56
6,9,2012,0.003579,39,38,70,77.94,39,10.38,70,0.8114,76
6,10,2012,0.003425,52,38,100,72.17,52,9.96,100,0.8162,102
6,11,2012,0.003114,57,38,99,65.3,57,10.77,99,0.8132,107
6,12,2012,0.003117,71,38,133,67.86,71,10.86,133,0.8172,137
6,13,2012,0.003893,68,40,122,71.21,68,9.763,122,0.81,129
6,14,2012,0.002193,82,38,127,62.61,82,10.37,127,0.8134,130
6,15,2012,0.002286,75,38,137,61.85,75,10.08,137,0.8123,143
6,16,2012,0.003103,82,38,147,64.78,82,10.87,147,0.8138,154
6,17,2012,0.002182,94,37,171,64.3,94,11.92,171,0.8145,183
6,18,2012,0.002467,102,38,170,68.25,102,11.57,170,0.813,179
6,19,2012,0.003337,92,39,172,65.74,92,10.23,172,0.8072,177
6,20,2012,0.003684,116,44.5,182,78.55,116,9.252,182,0.8087,187
6,21,2012,0.003095,120,63,185,104.2,120,8.235,185,0.8061,192
6,22,2012,0.003892,94,62,169,104.7,94,9.347,169,0.8085,178
6,23,2012,0.003583,87,50,142,88.74,87,9.449,142,0.8057,150
7,0,2012,0.00255,71,43,125,71.14,71,9.045,125,0.7999,134
7,1,2012,0.001708,32,41,68,73.06,32,9.93,68,0.8132,72
7,2,2012,0.002299,26,38,57,77.19,26,9.17,57,0.8161,61
7,3,2012,0.004083,16,47,43,134.2,16,9.63,43,0.8105,45
7,4,2012,0.002652,16,47,36,95.83,16,9.588,36,0.8127,38
7,5,2012,0.002662,17,44,28,61.28,17,12.09,28,0.8212,29
7,6,2012,0.003003,13,39.5,24,68.69,13,16.61,24,0.801,25
7,7,2012,0.003467,14,40,28,73.05,14,12.54,28,0.8192,28
7,8,2012,0.001532,18,38,41,81.66,18,9.82,41,0.8056,42
7,9,2012,0.002766,30,37.5,52,56.56,30,10.9,52,0.8043,55
7,10,2012,0.002073,30,38.5,62,63.66,30,12.39,62,0.8206,66
7,11,2012,0.002557,65,38,108,61.27,65,11.49,108,0.8157,116
7,12,2012,0.002588,54,38,93,69.19,54,11.49,93,0.8175,100
7,13,2012,0.002687,66,39,113,67.19,66,9.478,113,0.814,119
7,14,2012,0.002504,71,41,103,71.82,71,10.7,103,0.8105,106
7,15,2012,0.00299,73,42,110,73.92,73,9.951,110,0.8045,117
7,16,2012,0.002675,68,39,121,75.09,68,10.33,121,0.8133,126
7,17,2012,0.002934,67,42,124,71.52,67,11.08,124,0.8043,124
7,18,2012,0.001942,83,42,160,67.49,83,9.557,160,0.8097,164
7,19,2012,0.001903,72,40,145,65.46,72,11.49,145,0.812,151
7,20,2012,0.004057,76,42,155,84.94,76,9.26,155,0.8023,165
7,21,2012,0.002755,72,48,123,77.62,72,8.17,123,0.8087,129
7,22,2012,0.003143,76,47.5,142,76.66,76,8.573,142,0.8055,146
7,23,2012,0.003598,85,44,144,73.19,85,9.619,144,0.8029,150
8,0,2012,0.004105,15,39,27,72.22,15,10.61,27,1.04,30
8,1,2012,0.001029,13,47,23,64.87,13,8.134,23,0.793,34
8,2,2012,0.002843,8,48,13,72.64,8,12.12,13,0.8252,17
8,3,2012,0.00156,10,44,13,65.37,10,14.43,13,0.8128,15
8,4,2012,0.01275,2,46,8,68.96,2,10.95,8,0.8186,8
8,5,2012,0.0489,3,50,4,170.3,3,4.075,4,0.8033,7
8,6,2012,0.002322,4,51,9,60.11,4,9.287,9,0.8223,9
8,7,2012,0.002939,4,43,7,50.81,4,10.02,7,0.822,7
8,8,2012,0.003103,9,44,13,83.43,9,9.18,13,0.8163,15
8,9,2012,0.001012,10,38,17,63.04,10,8.427,17,0.8044,19
8,10,2012,0.0028,13,38,26,59.53,13,9.504,26,0.834,27
8,11,2012,0.002344,14,48.5,26,72.53,14,9.642,26,0.8663,37
8,12,2012,0.002691,20,41,41,83.22,20,9.614,41,0.8204,45
8,13,2012,0.002329,17,41,33,69.42,17,9.637,33,0.8248,37
8,14,2012,0.00343,24,41,38,68.3,24,8.186,38,0.7601,45
8,15,2012,0.002458,21,43,39,67.92,21,9.068,39,0.8127,47
8,16,2012,0.002687,21,40,32,62.08,21,9.436,32,0.8507,33
8,17,2012,0.005095,21,42,36,80.01,21,7.677,36,0.8109,43
8,18,2012,0.003105,12,53,24,76.65,12,6.046,24,0.8081,26
8,19,2012,0.00181,14,38,29,75.12,14,10.67,29,0.8028,33
8,20,2012,0.004665,23,44,39,82.08,23,9.955,39,0.7998,48
8,21,2012,0.002382,26,40,42,89.99,26,8.979,42,0.823,54
8,22,2012,0.003431,18,41,25,80.54,18,9.383,25,0.8044,33
8,23,2012,0.00383,10,46,19,63.39,10,6.99,19,0.7983,22
9,0,2012,0.002402,15,45,25,79.11,15,9.193,25,0.8002,27
9,1,2012,0.007377,8,40.5,14,103.7,8,9.614,14,0.7598,23
9,2,2012,0.004018,16,45.5,18,74.5,16,5.254,18,0.7609,23
9,3,2012,0.0057,4,49,8,90.56,4,9.276,8,0.8139,9
9,4,2012,0.003852,5,41,5,90.56,5,9.102,5,0.8113,5
9,5,2012,0.002484,6,39,10,70.95,6,9.313,10,1.21,12
9,6,2012,0.006838,4,40,7,53.45,4,8.069,7,0.8186,7
9,7,2012,0.002974,9,43,13,65.6,9,8.31,13,0.8119,16
9,8,2012,0.003335,10,40,13,89.02,10,9.241,13,0.8102,15
9,9,2012,0.003792,15,42,19,73.27,15,8.991,19,0.8042,23
9,10,2012,0.001421,12,43,28,64.91,12,9.193,28,0.8202,31
9,11,2012,0.002488,11,44,24,77.78,11,8.98,24,0.8101,26
9,12,2012,0.005061,12,41.5,30,72.72,12,9.386,30,0.8014,34
9,13,2012,0.007553,18,51,28,82.85,18,7.814,28,0.7581,33
9,14,2012,0.00557,13,42,18,78.89,13,7.895,18,0.7626,23
9,15,2012,0.003741,20,40,35,71.78,20,8.705,35,0.8071,37
9,16,2012,0.003822,22,50.5,32,90.18,22,8.03,32,0.7827,37
9,17,2012,0.002725,22,46.5,28,103.2,22,7.004,28,0.7011,34
9,18,2012,0.00282,18,63,27,104.9,18,6.988,27,0.7703,32
9,19,2012,0.006166,21,65,37,93.97,21,8.155,37,0.7278,43
9,20,2012,0.003953,24,83,39,118.6,24,4.442,39,0.7781,47
9,21,2012,0.005168,23,85,34,118.9,23,4.803,34,0.775,44
9,22,2012,0.00377,26,74,45,123,26,7.199,45,0.8022,52
9,23,2012,0.004199,12,49,26,84.67,12,7.684,26,0.7966,34
10,0,2012,0.003545,22,46,31,72.67,22,10.47,31,0.8189,36
10,1,2012,0.002487,11,54,18,85.01,11,5.67,18,0.8025,23
10,2,2012,0.005116,17,41,31,76.91,17,10.65,31,0.8223,31
10,3,2012,0.0006273,7,48,13,98.19,7,7.856,13,0.8175,14
10,4,2012,0.008605,5,53,8,91.72,5,3.514,8,0.8061,9
10,5,2012,0.04838,2,45.5,6,61.28,2,8.974,6,0.783,7
10,6,2012,0.008324,3,42.5,10,65.12,3,9.096,10,0.899,11
10,7,2012,0.002034,5,43,8,115,5,11.1,8,1.344,8
10,8,2012,0.003038,13,44,19,55.32,13,11.56,19,1.259,20
10,9,2012,0.004813,7,46,11,60.76,7,12.76,11,0.8272,13
10,10,2012,0.005782,12,50,23,73.07,12,9.007,23,0.8226,26
10,11,2012,0.005052,25,47,36,64.06,25,8.158,36,0.8274,38
10,12,2012,0.004361,23,40,35,70.25,23,9.487,35,0.8282,38
10,13,2012,0.004134,11,48.5,22,82.94,11,9.52,22,0.8154,27
10,14,2012,0.001859,25,54.5,40,72.73,25,8.607,40,0.8148,39
10,15,2012,0.004783,27,57,37,74.57,27,11.02,37,0.7608,42
10,16,2012,0.003389,16,46.5,30,90.62,16,9.11,30,0.8052,34
10,17,2012,0.00499,20,56.5,36,98.65,20,7.599,36,0.7808,41
10,18,2012,0.009072,15,51,39,93.49,14,9.712,40,0.7837,43
10,19,2012,0.006441,24,51,46,94.81,24,9.454,46,0.8035,51
10,20,2012,0.002479,24,62,34,97.2,24,8.652,34,0.7689,38
10,21,2012,0.002818,19,57.5,36,76.69,19,8.31,36,0.8036,45
10,22,2012,0.003274,22,62.5,40,87.07,22,8.579,40,0.8151,47
10,23,2012,0.002741,23,51,42,93.03,23,9.622,42,0.8081,46
11,0,2012,0.00508,23,51,32,77.77,23,8.908,32,0.8136,34
11,1,2012,0.006313,8,62,20,83.89,8,11.72,20,0.8044,24
11,2,2012,0.00181,9,53,17,107.7,9,11.39,17,0.8221,20
11,3,2012,0.001567,10,51,15,71.8,10,10.74,15,0.797,17
11,4,2012,0.003093,7,44,15,86.42,7,11.12,15,0.8222,14
11,5,2012,0.003218,8,48,13,120.4,8,11.66,13,0.8187,16
11,6,2012,0.002571,1,42,3,178.2,1,9.642,3,0.7691,4
11,7,2012,0.02569,3,53,6,98.96,3,11.49,6,0.8211,10
11,8,2012,0.00563,7,45,13,74.4,7,18.64,13,1.197,16
11,9,2012,0.004092,11,52,16,86.83,11,6.336,16,0.7233,21
11,10,2012,0.003852,25,44.5,38,108.5,25,7.779,38,0.8146,41
11,11,2012,0.003387,12,47,21,69.43,12,7.926,21,0.8156,26
11,12,2012,0.007982,28,42,35,71.2,28,10.1,35,1.147,36
11,13,2012,0.004927,16,50.5,26,67.73,16,9.483,26,0.8064,28
11,14,2012,0.003254,17,50.5,34,60.35,17,7.87,34,0.9667,36
11,15,2012,0.007127,15,50,27,73.42,15,7.193,27,0.8037,30
11,16,2012,0.002966,18,44,29,73.65,18,11.46,29,0.8017,34
11,17,2012,0.003737,15,55,28,82.69,15,10.04,28,0.8302,29
11,18,2012,0.00318,19,44,35,71.77,19,10.2,35,0.8229,37
11,19,2012,0.001612,19,50,31,69.34,19,9.4,31,0.7909,32
11,20,2012,0.004122,22,44,27,70.63,22,7.804,27,0.8087,34
11,21,2012,0.007634,30,55,47,87.98,30,9.864,47,0.8049,51
11,22,2012,0.005673,15,47,29,100.1,15,9.086,29,0.8212,31
11,23,2012,0.002046,19,50,33,72.53,19,9.611,33,0.8229,34
12,0,2012,0.006131,13,45,24,71.13,13,11.14,24,0.8046,26
12,1,2012,0.001672,6,59.5,8,102.3,6,11.43,8,0.7899,10
12,2,2012,0.005365,7,52.5,14,84.58,7,11.61,14,0.8164,14
12,3,2012,0.001283,10,55,17,70.01,10,14.14,17,0.8232,17
12,4,2012,0.0004259,2,58,5,126.3,2,12.06,5,0.756,6
12,5,2012,0.001225,3,37,11,58.15,3,10.91,11,0.8725,11
12,6,2012,0.001241,4,74,11,116,4,16.19,11,0.7921,12
12,7,2012,0.001837,6,47.5,14,144,6,14.97,14,0.8225,15
12,8,2012,0.00757,11,43,15,83.58,11,7.851,15,0.7991,15
12,9,2012,0.005114,13,48,25,84.01,13,10.79,25,0.8131,26
12,10,2012,0.002332,15,45,30,63.46,15,9.418,30,0.8109,34
12,11,2012,0.003668,22,51.5,36,78.23,22,10.43,36,0.9584,37
12,12,2012,0.003199,11,44,29,129.5,11,10.36,29,0.8136,30
12,13,2012,0.005629,14,55.5,36,83.74,14,8.465,36,0.7242,39
12,14,2012,0.004185,22,55,32,81.51,22,9.102,32,0.8079,33
12,15,2012,0.004752,16,49,30,62.37,16,11,30,0.8218,33
12,16,2012,0.004668,19,47.5,34,74.58,19,10.41,34,0.8238,34
12,17,2012,0.004625,15,56,35,98.98,15,9.782,35,0.7811,35
12,18,2012,0.001943,17,56,30,92.75,17,8.741,30,0.8038,32
12,19,2012,0.001144,16,56,27,94.51,16,9.563,27,0.8024,29
12,20,2012,0.00275,25,53,39,70.95,25,12.92,39,0.8042,43
