month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.007129,68,58,117,149.6,68,18.13,117,6.148,127
1,2,2012,0.004143,47,48,97,150.3,47,16.41,97,4.176,113
1,3,2012,0.006706,63,55,115,150.1,63,18.15,115,4.565,126
1,4,2012,0.006555,66,57,111,161.6,66,14.65,111,3.852,128
1,5,2012,0.00684,74,61,125,155.4,74,18.85,125,5.651,140
1,6,2012,0.005516,63,83,125,151.7,63,15.52,125,4.255,140
1,7,2012,0.008916,45,73,104,157.5,45,18.9,104,4.446,121
1,8,2012,0.009412,57,53,108,155,57,15.12,108,3.104,136
1,9,2012,0.009408,54,85,91,151.4,54,21.4,91,4.275,120
1,10,2012,0.008888,45,83,96,160.9,45,20.11,96,4.49,112
1,11,2012,0.004778,63,81.5,104,153,63,19.92,104,3.85,118
1,12,2012,0.00862,49,82,85,157.8,49,15.13,85,3.533,99
1,13,2012,0.005992,56,53,95,140.6,56,18.48,95,3.851,108
1,14,2012,0.007448,54,81,101,147.6,54,18.82,101,4.113,120
1,15,2012,0.008773,53,82,97,160.9,53,14.85,97,4.031,104
1,16,2012,0.006232,74,53,133,161.1,74,14.4,133,3.811,151
1,17,2012,0.009144,64,63,107,161.7,65,15.09,107,3.66,128
1,18,2012,0.008204,52,58,109,149.2,52,15.1,109,4.333,122
1,19,2012,0.009135,45,79,103,142.5,45,18.77,103,4.451,116
1,20,2012,0.008271,66,65,106,148.1,66,16.45,106,9.306,113
1,21,2012,0.007229,70,57,122,141.4,70,20.84,122,5.55,140
1,22,2012,0.008893,74,59,113,152.5,74,20.18,113,4.045,127
1,23,2012,0.008795,60,54,124,162.2,60,15.04,124,3.715,132
1,24,2012,0.007488,74,60,121,141.6,74,8.94,121,4.062,131
1,25,2012,0.007168,61,81,108,161.5,61,16.38,108,4.174,120
1,26,2012,0.007321,54,52,211,142.9,54,2.809,211,0.6129,218
1,27,2012,0.008395,58,67,117,152.9,58,19.71,117,4.128,145
1,28,2012,0.006122,86,59,155,141.9,86,12.27,155,3.302,180
1,29,2012,0.005603,54,48,111,134.5,54,16.82,111,4.431,122
1,30,2012,0.007184,45,79,87,153.2,45,14.53,87,3.133,101
1,31,2012,0.007336,38,60,81,143.6,38,15.16,81,4.377,87
2,1,2012,0.007101,66,72,120,154.3,66,14.45,120,3.837,138
2,2,2012,0.005395,73,48,136,100.1,73,18.28,136,7.084,157
2,3,2012,0.007667,83,54,145,145.3,83,16.66,145,3.856,163
2,4,2012,0.006249,60,57,137,139,60,13.35,137,3.646,159
2,5,2012,0.006117,73,50,124,143.2,73,14.14,124,2.902,147
2,6,2012,0.007327,66,57,137,137.6,66,15.06,137,2.437,164
2,7,2012,0.005061,77,42,184,144,77,14.1,184,4.417,201
2,8,2012,0.005679,65,47,126,136.9,65,16.43,126,4.096,141
2,9,2012,0.004037,38,21,101,54.52,38,14.03,101,3.978,119
2,10,2012,0.007219,83,46,138,121.8,83,12.88,138,3.699,165
2,11,2012,0.008688,92,57,173,151.3,92,9.236,173,3.676,192
2,12,2012,0.007751,83,53,173,161.1,83,13.96,173,3.454,196
2,13,2012,0.007496,77,78,132,155.9,77,13.94,132,3.694,155
2,14,2012,0.00645,56,68,130,159,56,10.24,130,1.97,161
2,15,2012,0.006927,86,52,161,146.6,86,18.55,161,4.352,179
2,16,2012,0.005299,67,45.5,152,135.9,68,19.49,152,4.215,168
2,17,2012,0.00542,87,52,191,131.5,87,10.3,191,1.488,227
2,18,2012,0.0076,77,51,163,150.4,77,16.89,163,3.972,186
2,19,2012,0.006603,87,68,185,149.4,87,8.715,185,2.652,204
2,20,2012,0.007168,74,56,169,148.5,74,15.13,169,4.13,197
2,21,2012,0.009724,77,52.5,172,163.1,77,15.01,172,3.772,201
2,22,2012,0.007186,78,52,163,150.9,78,15.74,163,4.018,177
2,23,2012,0.006757,64,51,175,136.6,64,15.12,175,3.797,208
2,24,2012,0.007617,72,54,163,148.5,73,9.298,163,1.809,180
2,25,2012,0.006968,70,48,157,157.7,70,4.607,157,0.618,187
2,26,2012,0.008126,92,55,189,144.8,92,14.09,189,0.8512,246
2,27,2012,0.006162,57,54,114,161.1,57,12.22,114,1.914,143
2,28,2012,0.01954,71,73,119,161.5,71,5.947,119,1.035,145
2,29,2012,0.007468,39,48.5,86,148,39,19.89,86,4.576,103
3,1,2012,0.006868,78,57,155,156.5,78,11.43,155,3.433,178
3,2,2012,0.006026,80,51.5,162,146.6,80,13.91,162,3.549,198
3,3,2012,0.005452,75,52,179,152.7,75,15.13,179,4.137,203
3,4,2012,0.00924,79,46.5,184,150.3,80,14.91,184,3.481,214
3,5,2012,0.008838,99,55,197,147.9,100,7.632,197,2.69,212
3,6,2012,0.006704,64,47,129,102,64,13.04,129,3.144,163
3,7,2012,0.005548,63,64,113,147.5,63,12.75,113,3.293,123
3,8,2012,0.008029,87,52.5,160,143.2,87,15.08,160,3.852,178
3,9,2012,0.008678,73,60,169,149,74,12.41,169,1.502,200
3,10,2012,0.007231,78,54,161,150,78,11.74,161,3.133,172
3,11,2012,0.009197,76,48.5,146,161.1,76,14.97,146,3.794,164
3,12,2012,0.007909,72,51,148,142,72,8.146,148,2.97,169
3,13,2012,0.007181,67,60,131,150.3,67,18.08,131,3.474,160
3,14,2012,0.009333,66,58.5,146,147.3,66,8.868,146,0.6542,188
3,15,2012,0.00572,58,47,116,132.2,58,8.956,116,3.73,127
3,16,2012,0.008716,65,54,134,160.9,65,19.41,134,3.656,166
3,17,2012,0.004325,110,50.5,174,105.1,110,6.431,174,1.608,206
3,18,2012,0.008214,94,54,186,135.6,94,9.012,186,3.126,211
3,19,2012,0.006929,89,57,166,160.1,89,15.4,166,3.893,188
3,20,2012,0.005037,67,49,158,141.7,67,14.85,158,4.412,171
3,21,2012,0.005333,92,55,151,142.7,92,12.7,151,4.213,159
3,22,2012,0.007014,82,52,189,140,82,8.756,189,3.318,209
3,23,2012,0.006136,71,47,139,149.2,71,9.714,139,2.362,165
3,24,2012,0.007585,70,55,139,150,70,16.78,139,3.645,154
3,25,2012,0.006991,110,54.5,210,149.3,110,8.746,210,2.523,229
3,26,2012,0.005155,73,47,145,130.6,73,6.244,145,0.6849,181
