month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
10,8,2012,0.0004685,1,52,2,86.35,1,4.526,2,0.8503,2
10,9,2012,0.002941,2,22.5,2,104.5,2,2.558,2,0.5674,2
10,10,2012,0.09072,2,84,2,150.3,2,5.058,2,1.683,2
10,11,2012,0.03584,2,49.5,2,115.6,2,2.177,2,0.2842,2
10,12,2012,0.009182,5,73,5,126.7,5,2.263,5,0.6811,5
10,13,2012,0.003567,6,48.5,6,91.95,6,6.992,6,1.204,6
10,14,2012,0.0007126,4,57,6,116.1,4,4.275,6,0.4257,7
10,15,2012,0.01107,1,67,1,124.2,1,4.804,1,0.5957,1
10,16,2012,0.002326,4,56.5,4,68.93,4,7.228,4,1.217,5
10,17,2012,0.01749,2,71,2,101.1,2,3.161,2,0.3918,2
10,18,2012,0.0005417,1,82,1,87.75,1,4.198,1,1.195,1
10,19,2012,0.009959,3,74,4,80.57,3,5.483,4,1.155,4
10,20,2012,0.008595,3,28,3,81.14,3,11.19,3,0.9668,3
10,21,2012,0.005724,2,64,3,186.9,2,2.721,3,0.7843,3
10,22,2012,0.003271,3,27,3,50.54,3,8.541,3,1.171,4
10,23,2012,0.0004168,1,27,1,49.38,1,2.778,1,0.4004,1
11,0,2012,0.005338,56,56,69,94.96,56,3.506,69,0.7001,70
11,1,2012,0.004843,23,31,31,80.52,23,4.551,31,0.789,31
11,2,2012,0.005488,31,30,40,90.81,31,4.537,40,0.5495,41
11,3,2012,0.00687,19,54,23,85.07,19,3.948,23,0.7744,23
11,4,2012,0.004071,24,71.5,30,85.97,24,5.25,30,0.7885,31
11,5,2012,0.003113,46,33,48,46.4,46,9.186,48,1.053,50
11,6,2012,0.003185,47,64.5,52,87.99,47,5.719,52,0.8653,52
11,7,2012,0.005453,43,76,53,128.3,43,2.757,53,0.748,54
11,8,2012,0.003314,40,74,52,93.32,40,3.473,52,0.7796,53
