month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
10,26,2012,0.004413,1,85,1,260.1,1,1.264,1,0.6554,1
10,31,2012,nan,0,70,1,nan,0,2.507,1,0.4168,1
11,1,2012,0.01188,4,29.5,4,117,4,3.705,4,0.5064,4
11,2,2012,0.02315,3,68,3,85.83,3,1.011,3,0.5938,3
11,3,2012,0.003777,2,62,2,200.9,2,2.982,2,0.4396,2
11,4,2012,nan,0,45,1,nan,0,10.27,1,0.6032,1
11,5,2012,0.03314,1,88,1,100,1,0.7566,1,0.5222,1
11,7,2012,0.01364,5,90,7,136.5,5,2.826,7,0.3148,8
11,8,2012,nan,0,33,1,nan,0,8.565,1,0.535,1
11,9,2012,0.002063,4,35,7,56.89,4,12.48,7,0.7108,8
11,11,2012,0.01594,3,41,5,89.78,3,9.758,5,0.5446,5
11,12,2012,0.002296,1,89,1,335.4,1,0.9469,1,0.8143,1
11,13,2012,0.01291,5,67,5,127.6,5,2.841,5,0.4471,6
11,14,2012,0.002644,2,67,3,169.8,2,1.54,3,0.6148,3
11,15,2012,0.00824,3,58,3,108.9,3,4.507,3,0.5765,3
11,16,2012,0.0123,2,70.5,4,140,2,7.831,4,1.035,4
11,19,2012,0.01324,2,178,2,253.7,2,4.435,2,0.4638,2
11,20,2012,0.01813,3,50,3,85.5,3,5.75,3,0.3941,3
11,21,2012,0.01952,3,76,3,234.3,3,1.276,3,0.6942,3
11,22,2012,0.009196,1,235,2,115.6,1,2.961,2,0.5834,2
11,23,2012,nan,0,48,1,nan,0,5.675,1,0.6531,1
11,24,2012,0.00983,3,84,4,117.9,3,1.95,4,0.2084,6
11,25,2012,0.02092,5,35,5,125.4,5,1.523,5,0.9371,5
11,26,2012,0.00303,7,66,8,159.4,7,5.112,8,0.5169,8
11,27,2012,0.004389,5,84,5,116.9,5,7.257,5,0.273,6
11,28,2012,0.005493,2,40,3,32.85,2,6.506,3,0.5277,3
11,29,2012,0.0149,2,84.5,2,230.4,2,2.334,2,0.3205,3
11,30,2012,0.008583,9,64.5,10,81.35,9,3.643,10,0.3999,10
12,1,2012,0.08203,2,74.5,2,236.2,2,0.7335,2,0.3397,2
12,2,2012,0.006579,2,62,2,73.18,2,6.106,2,0.5858,2
