month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
10,9,2012,0.1583,1,82,1,88.27,1,0.305,1,1.268,1
10,10,2012,nan,0,49,1,nan,0,9.237,1,0.9152,1
10,11,2012,nan,0,49,1,nan,0,9.372,1,0.9165,1
10,13,2012,0.001314,4,55,5,107,4,9.708,5,2.204,6
10,14,2012,0.01123,1,54,2,106.4,1,16.57,2,1.17,2
10,18,2012,0.04353,2,34,2,71.78,2,16.97,2,2.479,2
10,21,2012,nan,0,100,1,nan,0,13.33,1,3.738,1
11,0,2012,0.002815,5,41,7,119.1,5,8.695,7,3.078,8
11,1,2012,0.09695,4,46,6,174.8,4,8.71,6,3.024,7
11,2,2012,0.01323,2,28,3,100.4,2,7.651,3,5.456,3
11,3,2012,0.00235,1,59.5,2,107.4,1,18.27,2,3.066,4
11,4,2012,0.001777,3,77,4,81.88,3,15.35,4,2.537,4
11,5,2012,0.01331,7,54,7,138.6,7,4.861,7,2.358,7
11,6,2012,0.002317,4,61,6,93.52,4,6.53,6,3.344,6
11,7,2012,0.004657,8,62,10,118.2,8,8.095,10,3.062,11
11,8,2012,0.005252,10,71,17,94.63,10,5.427,17,2.331,18
11,9,2012,0.01046,9,52,13,84.04,9,6.406,13,1.531,14
11,10,2012,0.002239,5,44.5,12,91.43,5,10.86,12,3.582,13
11,11,2012,0.002375,10,44,15,90.2,10,18.18,15,3.769,15
11,12,2012,0.006718,7,75,13,106.1,7,6.168,13,1.162,13
11,13,2012,0.006526,9,78,12,93.59,9,5.389,12,0.9936,12
11,14,2012,0.002784,15,71,16,110.2,15,8.573,16,2.342,16
11,15,2012,0.003684,6,40.5,8,61.31,6,15.3,8,3.572,11
11,16,2012,0.006312,11,48,17,97.02,11,5.977,17,1.98,17
11,17,2012,0.005922,6,71,9,128,6,8.236,9,3.752,9
11,18,2012,0.01172,9,74.5,16,110,9,4.794,16,2.838,18
11,19,2012,0.002175,5,37,8,52.94,5,7.071,8,3.645,8
11,20,2012,0.004787,7,70,11,121.4,7,10.08,11,4.167,11
11,21,2012,0.002015,7,43,10,99.16,7,5.875,10,3.414,11
11,22,2012,0.004256,11,48.5,12,82.08,11,10.01,12,2.738,12
11,23,2012,0.004739,1,34.5,2,39.11,1,4.404,2,4.13,2
12,0,2012,0.001177,4,34.5,4,81.45,4,20.13,4,3.66,4
12,1,2012,0.003337,5,34,5,46.98,5,12.79,5,3.602,5
12,2,2012,0.001889,4,28,7,96.88,4,5.397,7,3.694,8
12,3,2012,0.001688,4,31,4,66.74,4,14.6,4,3.666,3
12,4,2012,0.01606,3,46,5,66.49,3,1.821,5,1.89,5
12,5,2012,0.0008796,1,46.5,2,50.18,1,21.72,2,3.586,2
12,6,2012,0.006064,4,95.5,8,113.9,4,5.036,8,1.584,8
12,7,2012,0.01067,4,80,7,163.1,4,3.336,7,0.71,9
12,8,2012,0.002156,7,87,10,103.4,7,4.434,10,2.271,10
12,9,2012,0.001561,15,54,23,89.86,15,6.411,23,3.384,24
12,10,2012,0.0005184,4,47,7,114.9,4,9.02,7,3.511,7
