month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
10,9,2012,0.0005135,1,84,1,116.8,1,8.876,1,4.954,1
10,10,2012,nan,0,84,1,nan,0,5.646,1,0.5665,1
10,12,2012,nan,0,72,1,nan,0,6.48,1,0.64,1
10,13,2012,0.02243,1,84,1,240.9,1,5.243,1,1.812,1
10,14,2012,0.04464,1,160,1,258.1,1,0.2131,1,0.1973,1
10,21,2012,0.01418,1,86,1,476.2,1,3.648,1,0.3219,1
11,0,2012,0.03649,5,160,5,482.2,5,1.222,5,0.505,5
11,1,2012,0.005435,4,83,5,181.7,4,5.026,5,1.663,5
11,2,2012,0.007553,2,169,3,270.6,2,0.9793,3,0.5973,3
11,3,2012,0.001216,1,91.5,2,521.9,1,5.534,2,1.233,2
11,4,2012,nan,0,116,3,nan,0,2.621,3,0.5238,3
11,5,2012,0.0005362,3,104,3,380.7,3,3.928,3,1.044,4
11,6,2012,0.009534,5,103,11,149.2,5,4.389,11,0.4496,11
11,7,2012,0.02643,5,98.5,6,268.4,5,12.12,6,1.018,6
11,8,2012,0.03273,4,105,9,328.5,4,1.28,9,0.5628,9
11,9,2012,0.01361,6,96,7,180.1,6,4.731,7,0.7764,8
11,10,2012,0.02976,6,86.5,10,169.5,6,5.357,10,0.7142,15
11,11,2012,0.03222,3,103.5,10,293.3,3,4.393,10,0.4885,11
11,12,2012,0.008318,6,85,13,143.2,6,6.718,13,0.69,15
11,13,2012,0.01536,6,109.5,10,657.6,6,2.561,10,0.5445,10
11,14,2012,0.1034,3,158,5,684.4,3,0.5539,5,0.3926,5
11,15,2012,0.01051,4,93.5,10,450.9,4,8.805,10,2.608,10
11,16,2012,0.01467,6,125,9,333.3,6,1.369,9,0.5992,9
11,17,2012,0.01131,8,110,11,288.5,8,4.164,11,1.263,13
11,18,2012,0.008757,9,96,11,159,9,8.837,11,2.147,13
11,19,2012,0.001172,3,105,6,130.8,3,3.3,6,1.953,8
11,20,2012,0.001945,8,96,10,288.3,8,1.92,10,2.443,11
11,21,2012,0.001402,6,115,9,239.6,6,4.548,9,0.7224,12
11,22,2012,0.007624,1,81.5,2,424.2,1,11.5,2,2.273,4
11,23,2012,0.0003156,3,94,7,341.3,3,4.297,7,2.829,7
