month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.008221,79,55,122,108.3,79,2.704,122,0.4272,139
1,1,2012,0.01238,60,47,94,99.73,60,2.879,94,0.4416,112
1,2,2012,0.0118,43,55,69,109.5,43,2.609,69,0.4833,82
1,3,2012,0.01451,26,62,45,147.4,26,2.853,45,0.4642,54
1,4,2012,0.01389,27,60,44,120.5,27,1.962,44,0.4387,48
1,5,2012,0.01212,20,46.5,38,121.6,20,3.144,38,0.549,45
1,6,2012,0.02052,19,55.5,40,151.4,19,2.851,40,0.3931,53
1,7,2012,0.008929,43,58,78,105.1,43,2.891,78,0.4893,90
1,8,2012,0.008204,57,53,91,76.78,57,3.746,91,0.5387,109
1,9,2012,0.01331,54,54.5,104,94.62,54,3.538,104,0.5851,119
1,10,2012,0.01049,71,57.5,116,104,71,2.547,116,0.4838,140
1,11,2012,0.01195,87,57,140,117,88,2.439,140,0.4829,158
1,12,2012,0.01357,68,53.5,106,96.67,68,2.931,106,0.4652,138
1,13,2012,0.006488,102,54,165,115.9,102,2.453,165,0.4595,193
1,14,2012,0.01107,87,57,142,118,88,2.48,142,0.4446,197
1,15,2012,0.01245,82,57,133,104.2,82,2.733,133,0.4467,176
1,16,2012,0.01233,145,59,195,109.4,145,1.886,195,0.4481,232
1,17,2012,0.01034,137,57,195,107.7,137,2.339,195,0.4443,235
1,18,2012,0.01255,122,63,180,100.2,122,2.746,180,0.4648,218
1,19,2012,0.01124,138,80,211,130.9,138,2.715,211,0.4973,262
1,20,2012,0.01195,115,90.5,178,133.4,115,1.728,178,0.4349,222
1,21,2012,0.01404,134,90,194,149.2,133,2.031,195,0.4556,228
1,22,2012,0.01258,120,74,184,136.7,120,2.736,184,0.5215,223
1,23,2012,0.01184,89,61,132,112.6,89,2.712,132,0.4719,170
2,0,2012,0.007529,77,54,117,107.8,77,3.8,117,0.5398,130
2,1,2012,0.009274,67,53,105,92.36,67,2.903,105,0.5322,122
2,2,2012,0.01278,34,54,59,109.4,34,2.456,59,0.4727,67
2,3,2012,0.01075,41,48,71,69.32,41,3.11,71,0.4895,83
2,4,2012,0.01134,29,54,50,117.8,29,5.317,50,0.6066,62
2,5,2012,0.01021,46,61,70,99.37,46,2.953,70,0.4677,86
2,6,2012,0.01136,36,51,62,118.3,36,2.852,62,0.473,76
2,7,2012,0.009688,42,54,66,117.8,42,2.873,66,0.4565,82
2,8,2012,0.008705,55,54,89,92.11,55,2.758,89,0.4291,115
2,9,2012,0.009124,56,52,81,100.2,56,2.783,81,0.4277,100
2,10,2012,0.008633,77,54,113,105.1,77,2.908,113,0.5338,130
2,11,2012,0.01088,73,54,125,107.4,73,3.331,125,0.5581,144
2,12,2012,0.008216,69,44,118,99.58,71,2.754,118,0.5228,149
2,13,2012,0.00727,71,54,117,113.9,71,2.767,117,0.4682,133
2,14,2012,0.008083,69,52.5,134,94.63,69,3.577,134,0.5443,164
2,15,2012,0.01338,92,55.5,148,109.6,92,2.73,148,0.5239,175
2,16,2012,0.008171,95,53.5,152,102.7,95,2.752,152,0.4821,197
2,17,2012,0.0106,97,55,150,118.9,97,2.41,150,0.431,190
2,18,2012,0.007309,131,48,201,101.5,131,4.593,201,0.5644,244
