month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.001252,377,16,591,43.41,377,15.24,591,2.895,614
1,1,2012,0.001178,267,17,439,43.77,267,14.74,439,2.892,461
1,2,2012,0.001045,201,22,325,40.72,202,15.7,325,2.853,348
1,3,2012,0.0008743,156,25,271,38.22,156,15.24,271,2.853,295
1,4,2012,0.0007963,107,18,194,39.85,107,15.49,194,2.852,207
1,5,2012,0.001235,118,23,194,41.18,118,18.09,194,2.892,206
1,6,2012,0.000925,108,25,181,41.49,108,16.21,181,2.893,202
1,7,2012,0.0008291,128,25,221,41.77,128,17.18,221,2.936,233
1,8,2012,0.0007955,188,26,282,44.31,188,19.33,282,2.915,294
1,9,2012,0.00121,248,24,387,40.71,248,15.37,387,2.923,425
1,10,2012,0.001365,289,24,436,44.3,289,16.58,436,2.972,444
1,11,2012,0.0009058,324,17,501,39.98,324,17.02,501,2.968,540
1,12,2012,0.001132,333,23,531,41.96,333,16.07,531,2.933,558
1,13,2012,0.001218,346,22.5,542,43.99,346,16.08,542,2.893,577
1,14,2012,0.001002,364,18,585,40.59,364,16.35,585,2.975,608
1,15,2012,0.001012,409,18,636,41.69,409,15.53,636,2.906,673
1,16,2012,0.0008269,447,18,689,41.5,448,15.74,689,2.897,727
1,17,2012,0.001145,477,25,770,44.3,477,14.75,770,2.896,819
1,18,2012,0.001084,523,24,849,44.41,523,15.66,849,2.915,907
1,19,2012,0.001306,553,24,870,43.77,553,14.93,870,2.933,918
1,20,2012,0.001157,601,24,942,46.69,601,15.02,942,2.859,1010
1,21,2012,0.001261,606,24,954,46.18,606,13.74,954,2.893,1016
1,22,2012,0.00124,530,18,802,46.09,530,15.67,802,2.893,851
1,23,2012,0.001269,452,23,724,43.31,452,15.4,724,2.893,767
2,0,2012,0.0006867,333,13,569,36.4,333,18.07,569,2.893,609
2,1,2012,0.0007221,247,12,419,33.37,247,16.94,419,2.854,436
2,2,2012,0.000596,208,12,361,33.32,208,19.29,361,2.97,376
2,3,2012,0.0004818,166,12,258,34.39,166,18.36,258,2.853,278
2,4,2012,0.0005731,126,12,220,31.63,126,15.94,220,2.812,242
2,5,2012,0.0007094,106,13,190,29.99,106,18.83,190,2.814,208
2,6,2012,0.0006225,139,12,237,32,139,17.78,237,2.893,243
2,7,2012,0.0005653,131,12,226,29.51,132,19.68,226,2.973,237
2,8,2012,0.0007799,178,12,290,33.63,179,17.98,290,2.935,310
2,9,2012,0.0006998,235,12,367,32.01,236,18.28,367,2.956,374
2,10,2012,0.0007125,230,12,392,32.92,230,18.78,392,2.935,416
2,11,2012,0.0006193,276,12,485,33.86,276,17.63,485,2.898,517
2,12,2012,0.0007838,339,12,544,34.79,340,17.49,544,2.892,569
2,13,2012,0.0006609,336,12,551,32.29,336,19.19,551,2.886,591
2,14,2012,0.0006934,407,12,652,32.82,407,18,652,2.896,673
2,15,2012,0.0007247,384,12,606,32.84,384,17.88,606,2.896,630
2,16,2012,0.0008358,421,12,658,34.18,423,17.76,658,2.865,704
2,17,2012,0.0008044,464,12,773,36.93,466,17.76,773,2.886,814
2,18,2012,0.0008773,495,12,784,34.43,495,17.63,784,2.893,812
2,19,2012,0.0009073,517,12,834,37.01,517,16.96,834,2.892,870
2,20,2012,0.000773,581,12,930,39.07,581,16.11,930,2.899,978
2,21,2012,0.0006541,539,12,886,37.24,539,16.73,886,2.893,942
2,22,2012,0.0007499,521,12,822,36.73,521,16.99,822,2.857,867
2,23,2012,0.0008382,418,12,702,35.21,418,17.02,702,2.897,723
3,0,2012,0.0009008,364,12,606,34,364,17.52,606,2.853,660
3,1,2012,0.001013,315,12,447,34.17,315,16.86,447,2.854,486
3,2,2012,0.0007035,209,12,323,33.14,209,18.32,323,2.892,352
3,3,2012,0.0005767,200,11,279,30.85,200,19.34,279,2.894,295
3,4,2012,0.0005877,153,12,245,34.28,153,18.23,245,2.889,253
3,5,2012,0.0008865,97,12,173,33.45,97,17.75,173,2.852,183
3,6,2012,0.0009092,108,12,192,34.66,108,15.64,192,2.887,208
3,7,2012,0.0007753,141,12,225,30.88,141,19.46,225,2.894,240
3,8,2012,0.000506,176,12,298,30.47,176,17.84,298,2.892,317
3,9,2012,0.0006713,253,12,368,30.38,253,19.21,368,2.93,402
3,10,2012,0.0007593,293,11.5,454,30.62,292,19.06,455,2.933,478
3,11,2012,0.0006331,288,12,513,31.39,287,20.64,514,2.951,541
3,12,2012,0.0006503,355,12,547,30.27,355,19.91,547,2.928,575
3,13,2012,0.0007311,349,12,533,33.29,349,17.86,533,2.893,551
3,14,2012,0.0006185,397,12,648,30.66,397,19.38,648,2.928,689
3,15,2012,0.0007238,430,12,660,30.91,430,18.45,660,2.887,712
3,16,2012,0.0007909,427,12,679,32.61,427,17.77,679,2.934,731
3,17,2012,0.0007134,538,11,823,32.15,538,18.17,823,2.93,861
3,18,2012,0.000798,590,12,883,31.75,591,16.45,883,2.872,945
3,19,2012,0.0008343,552,12,862,33.25,552,17.4,862,2.932,909
3,20,2012,0.0007695,559,12,897,34.68,559,17.86,897,2.892,943
3,21,2012,0.0008439,567,12,913,34.62,567,17.11,913,2.886,978
3,22,2012,0.001,546,12,862,34.99,546,16.27,862,2.886,918
3,23,2012,0.000832,505,12,818,31.97,505,18.07,818,2.93,849
4,0,2012,0.0007588,323,12,528,31.77,325,17.11,528,2.891,570
4,1,2012,0.0008933,281,12,426,34.35,281,17.09,426,2.888,444
4,2,2012,0.0006653,195,11,292,29.84,195,19.27,292,2.931,299
4,3,2012,0.000996,161,12,232,29.06,161,19.06,232,2.929,238
4,4,2012,0.0007016,122,12,199,30.02,122,18.87,199,2.891,209
4,5,2012,0.000476,98,12,175,32.25,98,18.69,175,2.896,178
4,6,2012,0.0005132,96,12,162,27.05,96,21.21,162,2.922,170
4,7,2012,0.0005872,140,11,228,29.46,140,19.34,228,2.916,240
4,8,2012,0.0006996,210,11,318,29.72,210,18.13,318,2.913,332
4,9,2012,0.000681,212,12,318,32.25,212,19.23,318,2.843,339
4,10,2012,0.0009566,258,12,405,35.28,258,19.17,405,2.888,425
4,11,2012,0.0007645,237,11,409,30.84,237,20.59,409,2.952,427
4,12,2012,0.0008058,309,12,464,30.93,309,19.02,464,2.921,494
4,13,2012,0.0007667,345,12,528,30.75,345,18.63,528,2.928,557
4,14,2012,0.000676,341,12,534,33.17,341,19,534,2.922,566
4,15,2012,0.0007054,331,12,562,31.06,331,16.36,562,2.946,589
