year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,0,93.0,69,4.986,69,45.0,69,0.006201,69,0.764,104
2012,1,1,74.2,56,4.534,56,42.0,56,0.006439,56,0.624,78
2012,1,2,90.5,47,5.042,47,43.0,47,0.005488,47,0.487,92
2012,1,3,74.1,27,4.833,27,41.0,27,0.005596,27,0.764,45
2012,1,4,107.8,21,3.036,21,50.0,21,0.006492,21,0.726,36
2012,1,5,97.4,23,3.645,23,43.0,23,0.004810,23,0.684,33
2012,1,6,72.3,17,6.490,17,28.0,17,0.003998,17,0.891,27
2012,1,7,64.1,24,4.635,24,33.5,24,0.004837,24,0.668,43
2012,1,8,81.2,45,4.932,45,46.0,45,0.003528,45,0.901,64
2012,1,9,67.5,51,4.133,51,41.0,51,0.004894,51,1.125,81
2012,1,10,70.0,58,8.446,58,42.5,58,0.004051,58,0.837,90
2012,1,11,79.3,62,4.869,62,46.0,62,0.006027,62,0.815,106
2012,1,12,91.0,82,4.499,82,39.0,82,0.003885,82,0.800,123
2012,1,13,74.2,73,5.400,73,45.0,73,0.004404,73,0.806,124
2012,1,14,74.7,76,5.174,76,44.0,76,0.004869,76,0.772,126
2012,1,15,70.9,92,6.692,92,43.5,92,0.004959,92,1.044,139
2012,1,16,89.4,88,4.423,88,44.5,88,0.006437,88,0.763,134
2012,1,17,78.6,118,4.834,118,42.5,118,0.005224,118,0.796,170
2012,1,18,75.7,122,4.563,122,43.0,122,0.005631,122,0.779,173
2012,1,19,83.9,106,3.921,106,45.0,106,0.006234,106,0.773,168
2012,1,20,86.6,133,4.022,133,46.0,133,0.005849,133,0.799,186
2012,1,21,91.2,124,4.567,124,49.0,124,0.005893,124,0.777,179
2012,1,22,97.6,120,3.924,120,49.5,120,0.006252,120,0.733,169
2012,1,23,92.5,91,4.088,91,49.0,91,0.005524,91,0.684,147
2012,2,0,65.9,74,5.536,74,39.0,74,0.004738,74,0.773,118
2012,2,1,72.9,78,5.571,78,45.0,78,0.004382,78,0.799,118
2012,2,2,77.6,53,4.923,53,43.0,53,0.005049,53,0.683,91
2012,2,3,62.8,33,8.052,33,42.0,33,0.004228,33,1.066,52
2012,2,4,111.6,31,2.391,31,44.0,31,0.005221,31,0.438,44
2012,2,5,71.3,29,7.300,29,40.0,29,0.003850,29,0.926,52
2012,2,6,65.0,33,6.344,33,44.0,33,0.004372,33,1.018,46
2012,2,7,60.6,52,10.675,52,40.0,52,0.004273,52,1.124,73
2012,2,8,60.1,68,10.049,68,39.0,68,0.004160,68,1.084,92
2012,2,9,60.3,60,10.663,60,40.0,60,0.003506,60,1.002,111
2012,2,10,68.3,76,5.578,76,42.0,76,0.002689,76,0.806,134
2012,2,11,61.6,90,7.047,90,41.0,90,0.004328,90,0.844,132
2012,2,12,67.1,91,4.820,91,39.0,91,0.005798,91,0.802,153
2012,2,13,74.4,78,4.557,78,44.0,78,0.005106,78,0.799,131
2012,2,14,73.4,99,4.857,99,44.0,99,0.004362,99,0.936,170
2012,2,15,69.1,123,6.539,123,41.0,123,0.003938,123,0.924,171
2012,2,16,70.6,128,5.597,128,41.5,128,0.004152,128,0.808,183
2012,2,17,84.3,125,4.165,125,44.0,125,0.005364,125,0.803,187
2012,2,18,71.8,142,6.090,142,41.5,142,0.005260,142,0.835,205
2012,2,19,79.9,145,5.004,145,44.0,145,0.005751,145,0.803,202
2012,2,20,75.1,180,4.736,180,43.5,180,0.004996,180,0.888,246
2012,2,21,77.3,149,4.462,149,44.0,149,0.005337,149,0.790,219
2012,2,22,77.5,145,4.856,145,46.0,145,0.005114,145,0.803,212
2012,2,23,81.3,120,4.323,120,44.0,120,0.004488,120,0.665,176
2012,3,0,82.0,124,5.717,124,47.0,124,0.005577,124,0.806,202
2012,3,1,76.6,66,5.527,66,51.0,66,0.005748,66,0.724,113
2012,3,2,82.6,47,5.498,47,48.0,47,0.005790,47,0.774,75
2012,3,3,76.2,42,2.857,42,44.5,42,0.003404,42,0.745,82
2012,3,4,86.1,29,5.325,29,44.0,29,0.005314,29,0.632,55
2012,3,5,82.9,28,4.820,28,44.5,28,0.006034,28,0.499,55
2012,3,6,68.2,27,7.193,27,45.0,27,0.005255,27,0.802,46
2012,3,7,129.0,31,2.533,31,45.0,31,0.007142,31,0.496,53
2012,3,8,62.7,64,8.163,64,42.0,64,0.003851,64,1.045,85
2012,3,9,65.2,62,8.525,62,42.5,62,0.003024,62,0.815,99
2012,3,10,95.0,83,4.798,83,48.0,83,0.006077,83,0.772,135
2012,3,11,77.7,71,6.185,71,48.0,71,0.004829,71,0.803,115
