month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.022,26,47,26,65.08,26,0.9919,26,0.5351,47
11,2,2013,0.01046,29,63,29,120.5,29,2.19,29,0.4255,50
11,3,2013,0.00786,29,56,29,92.01,29,3.508,29,0.428,50
11,4,2013,0.005768,20,60,20,92.89,20,3.01,20,0.5276,37
11,5,2013,0.004624,34,56.5,34,151.8,34,3.79,34,0.4931,59
11,6,2013,0.001441,29,55,29,144,29,5.05,29,0.3777,62
11,7,2013,0.007731,38,47.5,38,85.94,38,3.782,38,0.4094,82
11,8,2013,0.01019,25,62,25,100.4,25,2.404,25,0.4073,63
11,9,2013,0.008033,30,49.5,30,97.75,30,5.723,30,0.5257,55
11,10,2013,0.01304,46,56,46,101.5,46,3.263,46,0.4004,67
11,11,2013,0.006675,33,67,33,117.8,33,3.796,33,0.4678,64
11,12,2013,0.008545,40,55.5,40,112,40,4.163,40,0.5503,62
11,13,2013,0.006626,25,63,25,102.9,25,2.715,25,0.3875,46
11,14,2013,0.007473,42,53,41,104.4,41,3.094,42,0.5508,61
11,15,2013,0.00696,22,63.5,22,94.02,22,3.187,22,0.3803,42
11,16,2013,0.006122,30,52,30,84.09,30,3.469,30,0.5059,47
11,17,2013,0.005411,45,51,45,89.15,45,3.457,45,0.5106,67
11,18,2013,0.01153,49,57,49,88.01,49,2.61,49,0.5,72
11,19,2013,0.01134,39,67,39,127.8,39,2.821,39,0.4311,56
11,20,2013,0.007179,26,61,26,142,26,2.148,26,0.5154,50
11,21,2013,0.009978,40,62.5,40,136.2,40,4.209,40,0.3999,66
11,22,2013,0.00795,37,58,37,96.6,37,2.82,37,0.5442,57
11,23,2013,0.009775,45,74,45,114.6,45,2.279,45,0.5087,65
11,24,2013,0.005996,29,65,29,111.3,29,4.482,29,0.5516,48
11,25,2013,0.009829,34,55,34,105.7,34,3.814,34,0.5045,47
11,26,2013,0.009128,46,63.5,46,107.3,46,1.699,46,0.3819,88
11,27,2013,0.0135,39,52,39,87.37,39,2.454,39,0.4693,54
11,28,2013,0.008915,40,59.5,40,112.4,40,2.583,40,0.3351,74
11,29,2013,0.01253,21,72,21,146.5,21,1.972,21,0.3769,61
11,30,2013,0.01076,30,71,30,115.2,30,2.401,30,0.3788,57
11,1,2012,0.01275,38,60.5,38,89.86,38,4.559,38,0.5258,69
11,2,2012,0.01147,32,55,32,89.39,32,3.966,32,0.5029,54
11,3,2012,0.009014,34,68.5,34,114.1,34,2.94,34,0.4844,63
11,4,2012,0.006637,34,61,34,101.7,34,2.755,34,0.5265,61
11,5,2012,0.02653,24,69.5,24,131.5,24,2.561,24,0.4016,48
11,6,2012,0.01318,31,56,31,98.35,31,3.674,31,0.4441,50
11,7,2012,0.01035,25,58,25,109.4,25,2.599,25,0.4247,42
11,8,2012,0.0149,19,75,19,106.1,19,1.156,19,0.4097,38
11,9,2012,0.009,38,69,38,113.5,38,3.529,38,0.5246,70
11,10,2012,0.01354,27,72,27,112.9,27,2.025,27,0.4152,53
11,11,2012,0.007279,31,56,31,75.68,31,4.898,31,0.5631,61
11,12,2012,0.01321,36,65,36,95.24,36,1.847,36,0.5035,57
11,13,2012,0.01171,26,70,26,116.6,26,1.61,26,0.4023,58
11,14,2012,0.008772,37,74,37,107.2,37,2.825,37,0.4035,66
11,15,2012,0.0127,19,73.5,18,129.5,18,1.403,19,0.3872,45
11,16,2012,0.01044,38,59.5,38,93.67,38,3.804,38,0.3893,75
11,17,2012,0.009443,36,65,36,118.3,36,2.826,36,0.4499,76
11,18,2012,0.01093,60,67,61,116.8,61,2.535,61,0.4006,127
11,19,2012,0.01192,38,60,38,79.66,38,4.751,38,0.488,75
11,20,2012,0.01112,52,68,52,115.1,52,3.059,52,0.4956,82
11,21,2012,0.01106,51,75,51,110.7,51,2.525,51,0.534,79
11,22,2012,0.01243,51,71,51,122.4,51,2.798,51,0.3812,91
11,23,2012,0.01113,38,62,38,111.8,38,2.484,38,0.4073,74
11,24,2012,0.01201,45,67,45,115.8,45,2.28,45,0.4241,76
11,25,2012,0.01049,54,59,54,87.3,54,2.545,54,0.4504,92
11,26,2012,0.01076,53,68,53,103.6,53,2.807,53,0.5132,80
11,27,2012,0.01107,41,66,41,101,41,2.423,41,0.5017,73
11,28,2012,0.01319,25,66,25,97.43,25,3.658,25,0.3817,62
11,29,2012,0.009346,47,64,47,87.37,47,2.316,47,0.5881,68
11,30,2012,0.01156,34,61.5,34,85.07,34,4.492,34,0.3931,67
10,1,2012,0.009583,45,64,45,102.9,45,3.106,45,0.5408,66
10,2,2012,0.01187,29,73,29,100,29,2.687,29,0.3443,72
10,3,2012,0.01008,54,69.5,54,96.58,54,3.792,54,0.4158,96
10,4,2012,0.009199,58,65.5,58,101,58,2.826,58,0.4123,81
10,5,2012,0.009384,44,70.5,44,144.5,44,2.708,44,0.3942,86
10,6,2012,0.01103,48,77,48,124.4,48,2.12,48,0.4228,83
10,7,2012,0.007622,39,61,39,110.7,39,2.421,39,0.578,60
10,8,2012,0.008211,45,66,45,87.3,45,3.033,45,0.54,75
10,9,2012,0.00896,38,56,38,85.35,38,4.684,38,0.6141,60
10,10,2012,0.01525,35,53,35,88.45,35,4.729,35,0.4394,80
10,11,2012,0.007958,29,60,29,99.89,29,3.693,29,0.4067,63
10,12,2012,0.0149,36,51.5,36,87.62,36,4.025,36,0.5442,55
10,13,2012,0.007757,38,66,38,105.5,38,2.658,38,0.4059,69
10,14,2012,0.01242,44,58,44,108.8,44,3.316,44,0.4067,98
10,15,2012,0.009566,27,64,27,100.3,27,3.23,27,0.5931,69
10,16,2012,0.01282,34,61.5,34,126.5,34,2.826,34,0.4424,69
10,17,2012,0.01562,41,69,41,104.9,41,2.651,41,0.4097,68
10,18,2012,0.01143,33,58,33,93.17,33,2.847,33,0.4052,65
10,19,2012,0.011,36,61.5,36,86.67,36,3.89,36,0.5177,67
10,20,2012,0.008111,25,62,25,84.33,25,4.957,25,0.4689,52
10,21,2012,0.01646,26,59,26,93.44,26,2.706,26,0.4076,47
10,22,2012,0.01142,36,66,36,94.02,36,4.607,36,0.3931,71
10,23,2012,0.01533,26,63,26,105.5,26,2.137,26,0.3895,48
10,24,2012,0.01914,38,67.5,38,90.06,38,1.66,38,0.4115,56
10,25,2012,0.01389,31,55,31,94.67,31,2.808,31,0.5867,52
10,26,2012,0.0143,27,62,27,113.9,27,2.018,27,0.4139,45
10,27,2012,0.008872,34,70,34,102.8,34,1.884,34,0.4105,63
10,28,2012,0.01817,46,74,46,114,46,2.058,46,0.4037,80
10,29,2012,0.005868,20,76,20,123.2,20,1.85,20,0.4067,40
10,30,2012,0.006219,28,66.5,28,123,28,3.316,28,0.4026,58
10,31,2012,0.01406,23,63,23,106.1,23,2.876,23,0.3973,58
10,1,2013,0.01116,108,61,108,97.28,108,1.596,108,0.5355,146
10,2,2013,0.01852,86,61,84,98.15,84,1.411,86,0.4694,120
10,3,2013,0.02073,119,55,119,87.09,119,1.127,119,0.5271,165
10,4,2013,0.009438,92,57,92,79.22,92,2.503,92,0.5655,132
10,5,2013,0.006858,62,61,62,90.38,62,3.935,62,0.4824,114
10,6,2013,0.01721,114,59,114,85.94,114,1.29,114,0.4844,164
10,7,2013,0.02937,73,67,73,101.1,73,0.8765,73,0.5691,110
10,8,2013,0.007491,89,61,89,100.7,89,2.09,89,0.5059,120
10,9,2013,0.01539,41,47,41,80.97,41,1.433,41,0.5327,68
10,10,2013,0.02753,26,51.5,26,96.1,26,1.967,26,0.5302,51
10,11,2013,0.0104,34,61.5,34,87.01,34,4.082,34,0.4924,61
10,12,2013,0.007918,38,52,38,123.4,38,2.718,38,0.41,67
10,13,2013,0.009706,40,56,40,121.6,40,2.115,40,0.4137,69
10,14,2013,0.007936,32,55.5,32,112.4,32,3.465,32,0.4178,46
10,15,2013,0.0114,22,54.5,22,139.2,22,0.9564,22,0.4078,47
10,16,2013,0.003769,44,51.5,44,76.65,44,6.162,44,0.5894,67
10,17,2013,0.007003,35,50,35,93.81,35,6.05,35,0.5686,50
10,18,2013,0.005714,47,57,47,83.91,47,4.799,47,0.5028,74
10,19,2013,0.005959,52,48.5,52,86.29,52,3.442,52,0.5078,71
10,20,2013,0.01018,32,49,32,101.6,32,2.155,32,0.4959,43
10,21,2013,0.01085,36,47.5,36,82.79,36,2.799,36,0.4857,60
10,22,2013,0.01652,42,64,42,120.8,42,2.553,42,0.5109,55
10,23,2013,0.006926,28,55,28,106.7,28,3.367,28,0.5177,60
10,24,2013,0.008128,19,52,19,86.24,19,3.196,19,0.4874,35
10,25,2013,0.006735,28,53,28,95.51,28,4.978,28,0.5697,41
10,26,2013,0.005973,20,54.5,20,91.33,20,4.142,20,0.4626,34
10,27,2013,0.00754,27,68,27,105.6,27,3.54,27,0.3963,61
10,28,2013,0.004282,21,62,21,91.41,21,5.744,21,0.5968,34
10,29,2013,0.003376,34,80.5,34,119.5,34,3.955,34,0.5445,52
10,30,2013,0.0172,36,50,36,80.77,36,1.656,36,0.5967,52
10,31,2013,0.01516,27,52,27,80.97,27,2.409,27,0.5733,48
4,1,2014,0.01286,36,66,36,109.5,36,3.157,36,0.5172,59
4,2,2014,0.008006,32,74.5,32,106.9,32,2.805,32,0.4088,47
4,3,2014,0.003954,25,62,25,134.9,25,2.941,25,0.4327,49
4,4,2014,0.007657,28,68.5,28,127.1,28,2.848,28,0.4494,50
4,5,2014,0.007463,31,61,31,96.38,31,3.959,31,0.4388,52
4,6,2014,0.004672,34,69,34,106.8,34,4.139,34,0.3927,56
4,7,2014,0.01065,57,61,57,88.17,57,3.954,57,0.4395,87
4,8,2014,0.0105,34,58.5,34,101.4,34,2.788,34,0.4065,53
4,9,2014,0.009195,38,55.5,38,117,38,4.003,38,0.4828,62
4,10,2014,0.006593,34,62.5,34,98.99,34,5.167,34,0.4043,64
4,11,2014,0.01128,37,58,37,95.52,37,4.339,37,0.5298,52
4,12,2014,0.006995,33,68,33,159.8,33,3.225,33,0.4297,68
