month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.002086,47,38,47,56.97,47,9.918,47,3.59,66
11,1,2013,0.001704,28,34.5,28,50.01,28,12.37,28,3.623,31
11,2,2013,0.001232,17,30,17,55.7,17,15.65,17,3.59,21
11,3,2013,0.00229,13,15,13,43.25,13,4.527,13,3.59,15
11,4,2013,0.001534,11,14,11,40.9,11,7.608,11,2.774,21
11,5,2013,0.003271,11,36,11,96.94,11,6.467,11,3.063,10
11,6,2013,0.001122,8,33.5,8,37.3,8,23.19,8,3.63,15
11,7,2013,0.0009333,16,36.5,16,52.78,16,11.31,16,5.801,20
11,8,2013,0.001222,7,29,7,45.39,7,22.03,7,3.696,11
11,9,2013,0.001891,18,37,18,49.41,18,14.97,18,3.625,21
11,10,2013,0.001897,26,30,26,49.89,26,12.77,26,3.63,39
11,11,2013,0.002034,34,38,34,54.01,34,12.26,34,3.648,38
11,12,2013,0.001609,35,39,35,60.79,35,13.47,35,3.631,48
11,13,2013,0.001776,50,36,50,53.84,50,15.92,50,3.619,60
11,14,2013,0.002584,35,38,35,49.08,35,9.517,35,3.695,42
11,15,2013,0.001662,42,26.5,42,42.23,42,14.89,42,3.67,48
11,16,2013,0.002285,36,38.5,36,56.21,36,14.43,36,3.698,41
11,17,2013,0.001141,49,35,49,49.66,49,16.31,49,3.7,68
11,18,2013,0.001857,59,36,59,50.66,59,11.41,59,3.55,81
11,19,2013,0.001655,40,33.5,40,48.89,40,12.24,40,3.637,62
11,20,2013,0.002427,64,37.5,64,56.58,64,12.9,64,3.618,82
11,21,2013,0.003875,61,38,61,57.36,61,7.163,61,3.627,79
11,22,2013,0.001864,74,42.5,74,66.72,74,7.431,74,3.614,105
11,23,2013,0.002417,57,38,57,58.55,57,12.08,57,3.474,71
11,0,2012,0.003807,229,68,229,100.1,229,8.987,229,3.326,316
11,1,2012,0.002908,180,70,180,104.5,180,8.106,180,3.393,248
11,2,2012,0.003041,124,68.5,124,96.02,124,8.099,124,3.503,156
11,3,2012,0.003849,90,67,90,94.43,90,9.582,90,3.477,125
11,4,2012,0.003778,82,68.5,82,95.59,82,9.435,82,3.601,112
11,5,2012,0.002449,50,69,50,90.73,50,10.34,50,3.648,77
11,6,2012,0.002243,46,39.5,46,54.35,46,13.24,46,3.625,57
11,7,2012,0.003871,46,54,46,93.36,46,12.96,46,3.579,72
11,8,2012,0.001838,66,38,66,81.4,66,10.54,66,3.589,88
11,9,2012,0.001569,68,33,68,52.48,68,14.31,68,3.529,97
11,10,2012,0.00242,101,38,101,72.46,101,11.47,101,3.516,147
11,11,2012,0.003504,139,40,139,88.83,139,11.53,139,3.269,202
11,12,2012,0.00308,139,42,139,80.58,139,11.6,139,3.259,199
11,13,2012,0.002835,162,59,162,88.76,162,9.784,162,3.53,237
11,14,2012,0.003266,191,54,191,82.99,191,9.974,191,3.328,270
11,15,2012,0.002738,198,47,198,82.42,198,9.787,198,3.273,286
11,16,2012,0.002873,207,51,207,84.23,207,9.831,207,3.29,295
11,17,2012,0.002617,229,42,229,80.2,229,9.731,229,3.438,323
11,18,2012,0.002196,221,47,221,83.08,221,11.42,221,3.578,297
11,19,2012,0.003649,215,46,215,86.57,215,8.478,215,3.523,295
11,20,2012,0.003047,255,43,255,83.61,255,8.752,255,3.428,350
11,21,2012,0.002792,254,46,254,88.54,254,8.334,254,3.335,355
11,22,2012,0.002877,261,69,261,93.76,261,7.841,261,3.437,364
11,23,2012,0.002833,234,64.5,234,98.82,234,7.447,234,3.197,324
10,0,2012,0.00351,140,62,140,93.37,140,8.296,140,3.216,190
10,1,2012,0.003243,151,68,152,94.11,152,8.913,152,3.267,203
10,2,2012,0.002587,114,68,114,88.44,114,9.759,114,3.552,159
10,3,2012,0.003492,57,62,57,88.17,57,8.619,57,3.218,96
10,4,2012,0.003471,54,66.5,54,97.52,54,6.674,54,2.885,91
10,5,2012,0.002939,39,68,39,82.42,39,9.425,39,3.464,71
10,6,2012,0.004768,36,61.5,36,102.1,36,9.539,36,3.538,54
10,7,2012,0.001673,34,40.5,34,81.91,34,11.09,34,3.654,49
10,8,2012,0.001546,38,39,38,65.25,38,12.91,38,3.579,54
10,9,2012,0.002068,53,38,53,71.61,53,9.153,53,3.373,79
10,10,2012,0.003413,76,40,76,68.91,76,8.739,76,3.214,114
10,11,2012,0.002446,117,37,117,77.33,117,12.43,117,3.401,151
10,12,2012,0.002701,111,46,111,80,111,10.13,111,3.399,162
10,13,2012,0.00249,133,44,133,77.18,133,11.04,133,3.302,189
10,14,2012,0.002525,111,44,111,84.29,111,10.82,111,3.322,161
10,15,2012,0.002685,140,45,140,83.24,140,10.15,140,3.046,219
10,16,2012,0.003104,137,46,137,84.15,137,10.09,137,3.198,196
10,17,2012,0.002935,162,43,162,79.13,162,9.182,162,3.407,232
10,18,2012,0.003423,168,44,168,83.1,168,8.744,168,3.376,248
10,19,2012,0.002645,171,46,171,85.18,171,7.573,171,3.401,253
10,20,2012,0.002554,173,42,173,77.78,173,8.002,173,3.379,243
10,21,2012,0.003212,193,47,193,83.35,193,8.603,193,3.414,269
10,22,2012,0.002956,198,52,198,88.14,198,7.365,198,3.508,281
10,23,2012,0.003217,183,52.5,184,87.73,184,7.847,184,3.311,270
10,0,2013,0.002871,109,59,109,81.86,109,7.141,113,4.134,133
10,1,2013,0.003847,90,60,90,97.87,90,9.735,94,3.632,114
10,2,2013,0.002103,53,54,53,78.02,53,6.816,58,3.625,79
10,3,2013,0.002565,34,61,34,94.71,34,7.901,35,3.64,48
10,4,2013,0.001607,36,37.5,36,64.05,36,10.97,37,3.725,46
10,5,2013,0.004316,29,44,29,105.8,29,7.928,31,1.963,49
10,6,2013,0.004386,28,40,28,74.57,28,7.047,29,3.178,37
10,7,2013,0.004803,21,37,21,86.03,21,8.296,21,3.677,39
10,8,2013,0.001041,41,40,41,57.35,41,11.03,41,3.813,54
10,9,2013,0.00194,60,37,60,48.7,60,10.69,61,3.704,72
10,10,2013,0.004251,94,34,94,54.29,94,7.312,95,3.589,113
10,11,2013,0.001909,75,42,75,66.67,75,10.58,77,3.587,105
10,12,2013,0.002808,91,40,91,60.78,91,12.81,96,3.648,125
10,13,2013,0.00253,87,50,87,85.97,87,6.185,92,1.593,118
10,14,2013,0.005946,73,54,73,77.53,73,10.14,73,3.53,91
10,15,2013,0.001805,84,33,84,64.35,84,10.37,87,3.587,135
10,16,2013,0.004149,97,33,97,58.97,97,7.274,101,3.177,151
10,17,2013,0.002288,101,39,101,66.95,101,11.36,104,3.628,116
10,18,2013,0.002622,88,36,88,65,88,10.61,94,3.585,128
10,19,2013,0.002496,123,39,123,66.91,123,7.603,127,3.641,174
10,20,2013,0.00393,119,44,119,78.77,119,7.753,126,3.586,168
10,21,2013,0.002085,129,40,129,65.5,129,8.948,134,3.603,153
10,22,2013,0.00236,90,38.5,90,65.87,90,10.4,95,3.573,138
10,23,2013,0.003485,107,43,107,74.32,107,8.567,108,3.538,136
